日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,1317835.0,53227820.0,39.85,40.8,39.85,40.5,+1.00,946.0,False,,,,,,
111/03/02,2790435.0,113866406.0,40.75,41.7,40.05,40.05,-0.45,1658.0,False,,,,,,
111/03/03,1926831.0,76021766.0,40.2,40.9,38.95,39.0,-1.05,1210.0,False,,,,,,
111/03/04,6378389.0,264314258.0,39.9,42.5,39.35,41.2,+2.20,3700.0,False,,,,,,
111/03/07,2770466.0,108581623.0,40.2,40.7,38.5,38.5,-2.70,1835.0,False,,,,39.85,,
111/03/08,3885310.0,144985567.0,38.3,38.85,35.55,36.0,-2.50,2202.0,False,,,,38.95,,
111/03/09,870412.0,32037169.0,36.85,37.05,36.4,36.9,+0.90,563.0,False,,,,38.32000000000001,,
111/03/10,2005090.0,76849992.0,38.45,39.15,37.6,38.1,+1.20,1203.0,False,,,,38.14,,
111/03/11,876606.0,32876544.0,38.2,38.45,37.15,37.3,-0.80,529.0,False,0.25179856115107896,0.4172661870503597,0.4724220623501199,37.36,,
111/03/14,769786.0,28524559.0,37.6,37.8,36.5,37.0,-0.30,475.0,False,0.2086330935251801,0.3477218225419665,0.4308553157474021,37.06,38.455,
111/03/15,1123118.0,40296849.0,37.0,37.15,35.45,35.45,-1.55,692.0,False,0.0,0.231814548361311,0.3645083932853717,36.95,37.95,
111/03/16,961570.0,34349818.0,36.3,36.6,34.9,35.25,-0.20,558.0,False,0.046052631578947546,0.1698939094338565,0.2996368986681999,36.62,37.47,
111/03/17,1206599.0,44629835.0,36.0,37.7,36.0,37.55,+2.30,728.0,False,0.4568965517241374,0.26556145686395005,0.2882784180667833,36.51,37.325,
111/03/18,524484.0,19638304.0,37.55,37.7,37.1,37.6,+0.05,334.0,False,0.6352941176470595,0.3888056771249865,0.32178750441951764,36.56999999999999,36.965,
111/03/21,3294357.0,129208038.0,38.5,39.95,38.3,38.5,+0.90,1876.0,False,0.7128712871287125,0.4968275471262285,0.3801341853217546,36.86999999999999,36.965,
111/03/22,1000433.0,38559805.0,38.15,39.2,37.8,39.2,+0.70,701.0,False,0.8514851485148516,0.6150467475891028,0.458438372744204,37.61999999999999,37.285000000000004,
111/03/23,1053088.0,41240771.0,39.25,39.65,38.7,38.9,-0.30,702.0,False,0.7920792079207915,0.6740575676996656,0.5303114377293578,38.349999999999994,37.485,
111/03/24,1082943.0,42226396.0,39.2,39.5,38.6,38.6,-0.30,683.0,False,0.7326732673267327,0.6935961342420213,0.5847396699002456,38.55999999999999,37.535000000000004,
111/03/25,1089323.0,41531610.0,38.4,39.0,37.35,37.85,-0.75,637.0,False,0.5841584158415842,0.6571168947752088,0.6088654115252333,38.60999999999999,37.59,
111/03/28,675922.0,25692164.0,38.3,38.7,37.4,38.5,+0.65,482.0,False,0.7128712871287125,0.6757016922263768,0.6311441717589478,38.60999999999999,37.74,38.097500000000004
111/03/29,1296790.0,50370829.0,39.5,39.5,38.4,38.45,-0.05,714.0,False,0.6202531645569623,0.6572188496699052,0.6398357310626002,38.459999999999994,38.040000000000006,37.995000000000005
