日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,1331321.0,98911965.0,73.4,74.9,72.7,74.5,+2.20,1107.0,False,,,,,,
111/03/02,1064554.0,78952247.0,74.5,74.7,73.7,74.1,-0.40,913.0,False,,,,,,
111/03/03,904146.0,67201623.0,74.5,75.2,73.7,74.5,+0.40,780.0,False,,,,,,
111/03/04,936619.0,69499806.0,74.3,74.6,73.6,73.9,-0.60,825.0,False,,,,,,
111/03/07,1860310.0,132507924.0,73.4,73.4,70.5,71.2,-2.70,2055.0,False,,,,73.64,,
111/03/08,2057543.0,144610437.0,70.1,71.6,69.7,69.7,-1.50,1825.0,False,,,,72.67999999999999,,
111/03/09,812133.0,56834196.0,71.1,71.1,69.4,69.6,-0.10,1448.0,False,,,,71.78,,
111/03/10,3112205.0,228929107.0,72.3,74.5,72.2,74.4,+4.80,2686.0,False,,,,71.75999999999999,,
111/03/11,7801217.0,593944225.0,75.5,77.5,74.3,75.9,+1.50,5993.0,False,0.8024691358024697,0.6008230452674899,0.5336076817558301,72.16,,
111/03/14,9944306.0,783430619.0,76.7,80.0,76.7,79.3,+3.40,7156.0,False,0.9339622641509432,0.7118694515619742,0.5930282716912114,73.78,73.71,
111/03/15,7113841.0,554056842.0,78.7,79.2,76.2,78.8,-0.50,5012.0,False,0.8867924528301884,0.7701771186513788,0.6520778873446005,75.6,74.13999999999999,
111/03/16,5985720.0,458774639.0,78.5,78.8,75.5,76.1,-2.70,4484.0,False,0.6320754716981125,0.7241432363336233,0.6760996703409414,76.9,74.33999999999999,
111/03/17,4536882.0,348867502.0,77.8,78.3,76.2,76.2,+0.10,3257.0,False,0.6415094339622642,0.6965986355431703,0.6829326587416844,77.25999999999999,74.50999999999999,
111/03/18,3411428.0,260118733.0,76.1,76.9,75.5,76.1,-0.10,1816.0,False,0.6320754716981125,0.6750909142614843,0.6803187439149511,77.3,74.72999999999999,
111/03/21,3628488.0,280473700.0,76.2,78.2,76.2,76.3,+0.20,2449.0,False,0.6509433962264146,0.6670417415831277,0.6758930764710098,76.7,75.23999999999998,
111/03/22,3708448.0,283755120.0,76.2,77.9,74.7,77.9,+1.60,2675.0,False,0.7307692307692314,0.6882842379784955,0.6800234636401716,76.52,76.05999999999997,
111/03/23,2539004.0,197489847.0,78.0,78.6,77.0,77.8,-0.10,2278.0,False,0.6140350877192979,0.6635345212254296,0.6745271495019243,76.85999999999999,76.87999999999997,
111/03/24,5006389.0,394808349.0,77.9,80.0,77.8,77.9,+0.10,3575.0,False,0.6037735849056612,0.6436142091188402,0.6642228360408962,77.19999999999999,77.22999999999998,
111/03/25,3788517.0,299670262.0,79.1,79.8,78.2,79.3,+1.40,3207.0,False,0.8679245283018862,0.7183843155131888,0.6822766625316603,77.83999999999999,77.56999999999996,
111/03/28,2213586.0,173672428.0,79.0,79.1,77.5,78.8,-0.50,1694.0,False,0.7735849056603767,0.7367845122289179,0.7004459457640795,78.33999999999999,77.51999999999997,75.615
111/03/29,3810461.0,300940468.0,79.5,80.6,77.8,78.4,-0.40,2671.0,False,0.6271186440677979,0.7002292228418779,0.7003737047900123,78.43999999999998,77.47999999999998,75.81
111/03/30,8973240.0,722083319.0,78.8,81.9,78.6,80.4,+2.00,5999.0,False,0.7916666666666667,0.7307083707834743,0.7104852601211662,78.95999999999998,77.90999999999997,76.12500000000001
111/03/31,2520255.0,200367722.0,80.1,80.2,79.0,79.1,-1.30,1888.0,False,0.6111111111111097,0.6908426175593527,0.7039377126005617,79.19999999999997,78.19999999999996,76.355
111/04/01,5600295.0,453176773.0,79.0,81.8,78.9,81.1,+2.00,3773.0,False,0.8888888888888874,0.7568580413358643,0.7215778221789959,79.55999999999997,78.69999999999996,76.715
111/04/06,5056226.0,410275098.0,80.2,82.3,79.4,81.0,-0.10,3186.0,False,0.7547169811320759,0.7561443546012678,0.7330999996530866,79.99999999999997,79.16999999999997,77.205
111/04/07,5588416.0,431358390.0,79.4,79.7,75.2,75.2,X0.00,3768.0,False,0.0,0.5040962364008453,0.6567654119023394,79.35999999999997,78.89999999999998,77.47999999999999
111/04/08,3267634.0,255318877.0,76.5,79.1,76.5,78.2,+3.00,2024.0,False,0.422535211267606,0.4769092280230988,0.5968133506092592,78.91999999999996,78.93999999999998,77.91
111/04/11,4495017.0,349433461.0,80.5,80.5,76.3,77.5,-0.70,3041.0,False,0.32394366197183083,0.4259207060060095,0.5398491357415093,78.59999999999995,78.89999999999999,78.065
111/04/12,2226301.0,173013717.0,76.4,78.6,76.4,77.9,+0.40,1462.0,False,0.3802816901408458,0.4107077007176215,0.4968019907335466,77.95999999999995,78.75999999999999,78.16499999999999
111/04/13,1580987.0,122801200.0,78.2,78.4,77.1,77.5,-0.40,1329.0,False,0.32394366197183083,0.3817863544690246,0.4584634453120393,77.25999999999995,78.63,78.075
111/04/14,1240612.0,96708302.0,77.8,78.6,77.3,78.0,+0.50,876.0,False,0.3943661971830985,0.3859796353737159,0.4343021753325981,77.81999999999995,78.59,78.035
111/04/15,1329038.0,101854882.0,77.3,77.9,76.1,76.4,-1.60,1009.0,False,0.16901408450704278,0.3136577850848248,0.39408737858334025,77.45999999999995,78.19,78.05000000000001
111/04/18,1674622.0,127679048.0,76.1,77.1,75.3,76.1,-0.30,1040.0,False,0.12676056338028058,0.25135871118331005,0.3465111561166635,77.17999999999995,77.89,78.045
111/04/19,2144903.0,168193841.0,77.3,79.2,77.2,78.1,+2.00,1523.0,False,0.5471698113207534,0.3499624112291245,0.3476615744874838,77.21999999999996,77.59,78.14500000000001
111/04/20,4340276.0,349923657.0,79.2,81.7,79.2,80.1,+2.00,3312.0,False,0.7499999999999989,0.4833082741527493,0.39287714104257226,77.73999999999997,77.5,78.33500000000001
111/04/21,12070268.0,1018085024.0,81.5,87.5,80.5,85.6,+5.50,8770.0,False,0.8442622950819668,0.6036262811291551,0.4631268544047665,79.25999999999996,78.53999999999999,78.72
111/04/22,8459688.0,717853545.0,85.0,86.6,82.5,86.3,+0.70,6638.0,False,0.9016393442622948,0.7029639688402016,0.5430725592165782,81.23999999999997,79.35,79.145
111/04/25,4854868.0,398005967.0,83.6,84.1,80.6,81.5,-4.80,3599.0,False,0.5081967213114755,0.6380415529972929,0.5747288904768164,82.31999999999996,79.74999999999999,79.32499999999999
111/04/26,14112273.0,1200518183.0,82.4,86.8,80.6,86.7,+5.20,9033.0,False,0.934426229508197,0.7368364451675942,0.6287647420404089,84.03999999999996,80.63,79.695
111/04/27,16384198.0,1413989077.0,84.0,89.0,82.1,87.4,+0.70,11244.0,False,0.8832116788321173,0.7856281897224351,0.6810525579344177,85.49999999999996,81.61999999999999,80.125
111/04/28,11598465.0,989650704.0,88.0,88.1,82.9,83.6,-3.80,8410.0,False,0.6058394160583939,0.725698598501088,0.6959345714566411,85.09999999999995,82.17999999999999,80.38499999999999
111/04/29,9152108.0,774009356.0,84.7,86.6,83.0,83.4,-0.20,5864.0,False,0.5254237288135597,0.6589403086052452,0.6836031505061757,84.51999999999995,82.88,80.535
111/05/03,4557494.0,380845887.0,84.5,85.5,82.1,82.7,-0.70,3439.0,False,0.3571428571428573,0.5583411581177825,0.641849153043378,84.75999999999995,83.53999999999999,80.715
111/05/04,4041810.0,332511079.0,82.8,83.4,81.3,82.3,-0.40,3837.0,False,0.2117647058823526,0.4428156740393059,0.5755046600420206,83.87999999999995,83.96,80.775
111/05/05,10320401.0,830373539.0,83.1,83.6,78.5,79.0,-3.30,6790.0,False,0.047619047619047616,0.3110834652325531,0.4873642617721981,82.19999999999996,83.85,80.675
111/05/06,6105611.0,465703604.0,76.2,77.5,75.1,76.2,-2.80,4174.0,False,0.07913669064748259,0.23376787370419624,0.4028321324161974,80.71999999999996,82.91,80.725
111/05/09,5221045.0,396571305.0,76.0,77.5,74.2,74.2,-2.00,3357.0,False,0.0,0.15584524913613082,0.3205031713228419,78.87999999999995,81.7,80.525
111/05/10,5289744.0,390681043.0,73.8,75.4,72.7,74.3,+0.10,3182.0,False,0.09815950920245366,0.13661666915823842,0.2592076706013074,77.19999999999996,80.97999999999999,80.365
111/05/11,3539366.0,260302979.0,74.3,74.7,72.5,73.5,-0.80,2166.0,False,0.06410256410256412,0.112445300806347,0.21028688066965395,75.43999999999996,79.66,80.145
111/05/12,3885645.0,281897084.0,73.0,74.4,71.5,72.0,-1.50,2339.0,False,0.03311258278145696,0.08600106146471698,0.16885827426800826,74.03999999999995,78.11999999999999,79.86999999999999
111/05/13,3218525.0,240655299.0,73.7,76.0,73.0,74.9,+2.90,2248.0,False,0.2428571428571433,0.13828642192885907,0.1586676568216252,73.77999999999996,77.24999999999999,79.715
111/05/16,6986436.0,541448108.0,76.3,78.7,75.5,77.4,+2.50,4919.0,False,0.4876033057851247,0.2547253832142809,0.19068689895251045,74.41999999999997,76.64999999999999,79.765
