日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,19945429.0,894702532.0,45.9,46.15,44.15,44.8,+0.30,12219.0,False,,,,,,
111/03/02,15731497.0,707916378.0,44.5,45.85,44.25,44.5,-0.30,8465.0,False,,,,,,
111/03/03,13310737.0,599617054.0,44.9,45.5,44.65,44.95,+0.45,6828.0,False,,,,,,
111/03/04,26264663.0,1196933015.0,45.1,46.6,44.45,45.25,+0.30,15219.0,False,,,,,,
111/03/07,15378274.0,679220288.0,45.3,45.6,43.05,43.05,-2.20,10003.0,False,,,,,,
111/03/08,12256947.0,514836484.0,42.0,43.5,40.6,41.0,-2.05,7560.0,False,,,,,,
111/03/09,28219214.0,1236782120.0,42.25,45.1,41.85,45.1,+4.10,15576.0,False,,,,,,
111/03/10,101186567.0,4811719107.0,46.7,49.55,45.75,47.1,+2.00,50041.0,False,,,,,,
111/03/11,65397718.0,3118176648.0,47.6,48.7,46.5,48.15,+1.05,33289.0,False,0.8435754189944135,0.6145251396648044,0.5381750465549348,,,
111/03/14,44989310.0,2183571490.0,48.4,49.45,47.8,47.8,-0.35,23225.0,False,0.8044692737430167,0.6778398510242084,0.584729981378026,,,
111/03/15,34261318.0,1590264440.0,47.85,48.3,45.2,45.2,-2.60,20612.0,False,0.5139664804469278,0.6232153941651148,0.5975584523070556,,,
111/03/16,24068611.0,1088436411.0,46.7,46.9,44.0,44.45,-0.75,12984.0,False,0.4301675977653635,0.558866128698531,0.5846610111042141,,,
111/03/17,16289032.0,740699774.0,45.05,46.15,44.6,45.8,+1.35,8509.0,False,0.5810055865921786,0.5662459479964135,0.5785226567349472,,,
111/03/18,9954397.0,447791140.0,45.5,45.65,44.65,45.0,-0.80,5585.0,False,0.4916201117318437,0.5413706692415569,0.566138660903817,,,
111/03/21,7823437.0,353811252.0,45.0,45.6,44.65,45.4,+0.40,4312.0,False,0.4610389610389609,0.5145934331740248,0.5489569183272196,,,
111/03/22,5403905.0,243655660.0,45.4,45.5,44.85,44.9,-0.50,3407.0,False,0.16216216216216198,0.3971163428367372,0.4983433931637255,,,
111/03/23,4811229.0,217219672.0,45.3,45.6,44.8,44.9, 0.00,2856.0,False,0.16513761467889873,0.3197901001174577,0.4388256288149695,,,
111/03/24,5815264.0,259575949.0,45.3,45.35,44.35,44.45,-0.45,3456.0,False,0.08256880733945003,0.2407163358581218,0.3727891978293536,,,
111/03/25,8394109.0,363891165.0,44.6,44.65,42.8,43.1,-1.35,5191.0,False,0.05454545454545532,0.17865937542056629,0.3080792570264245,,,
111/03/28,6168578.0,267432515.0,42.6,44.2,42.25,44.05,+0.95,3730.0,False,0.3870967741935479,0.2481385083448935,0.2880990074659141,,,
111/03/29,5616421.0,248267372.0,44.0,44.55,43.9,44.1,+0.05,3196.0,False,0.4743589743589749,0.3235453303495873,0.29991444842713844,,,
111/03/30,5584202.0,246013602.0,44.3,44.5,43.5,44.0,-0.10,2976.0,False,0.5147058823529413,0.3872655143507053,0.3290314704016607,,,
111/03/31,3362310.0,146758268.0,44.2,44.4,43.3,43.45,-0.55,2281.0,False,0.3582089552238813,0.377579994641764,0.34521431181502843,,,
111/04/01,2638386.0,114863747.0,43.0,43.9,43.0,43.6,+0.15,1803.0,False,0.4029850746268661,0.3860483546367979,0.3588256594222849,,,
111/04/06,2442318.0,104946111.0,43.15,43.5,42.8,42.8,-0.80,1659.0,False,0.16417910447761105,0.3120919379170689,0.34324775225387955,,,
