日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,3765166.0,967770004.0,248.5,261.0,248.5,260.5,+9.50,3002.0,False,,,
111/03/02,1375500.0,354965883.0,259.0,259.5,256.5,258.0,-2.50,1444.0,False,,,
111/03/03,1455382.0,375535991.0,258.5,259.5,257.0,258.5,+0.50,1346.0,False,,,
111/03/04,3081061.0,776434223.0,255.0,255.0,250.5,251.0,-7.50,3928.0,False,,,
111/03/07,4526602.0,1100996095.0,247.0,247.0,240.5,240.5,-10.50,6478.0,False,,,
111/03/08,5853251.0,1367462731.0,233.0,240.0,230.5,232.5,-8.00,7046.0,False,,,
111/03/09,3132365.0,736968177.0,234.0,238.0,234.0,235.0,+2.50,3386.0,False,,,
111/03/10,3645979.0,888224130.0,242.0,245.0,241.5,244.5,+9.50,2644.0,False,,,
111/03/11,2622659.0,629906621.0,244.0,244.0,238.0,238.5,-6.00,3021.0,False,0.26229508196721313,0.4207650273224043,0.4735883424408014
111/03/14,1832730.0,437269825.0,238.0,242.0,236.0,238.5, 0.00,2110.0,False,0.27586206896551724,0.372464041203442,0.4398802420283482
111/03/15,4598705.0,1074428280.0,238.0,238.0,232.0,233.0,-5.50,3942.0,False,0.08620689655172414,0.2770449929862027,0.3856018256809664
111/03/16,5628001.0,1289008681.0,231.5,234.5,224.0,230.0,-3.00,6229.0,False,0.1935483870967742,0.24921279102305985,0.3401388141283308
111/03/17,5126541.0,1235760828.0,238.0,243.5,238.0,241.0,+11.00,4294.0,False,0.7391304347826086,0.4125186722762427,0.3642654335109681
111/03/18,4630618.0,1136084438.0,243.0,247.5,242.5,246.0,+5.00,2692.0,False,0.9361702127659576,0.5870691857728143,0.43853335093158347
111/03/21,2365222.0,589111840.0,247.5,251.5,246.0,248.5,+2.50,2161.0,False,0.8909090909090909,0.6883491541515732,0.5218052853382467
111/03/22,1253361.0,313898711.0,247.0,251.5,247.0,251.0,+2.50,1124.0,False,0.9818181818181818,0.7861721633737759,0.6099275780167563
111/03/23,1819571.0,461323231.0,251.5,255.0,251.5,255.0,+4.00,1800.0,False,1.0,0.8574481089158505,0.6924344216497877
111/03/24,1253565.0,316200576.0,252.5,254.0,251.0,252.5,-2.50,2081.0,False,0.9193548387096774,0.8780836855137928,0.7543175096044561
111/03/25,2430063.0,605732465.0,252.0,252.0,248.0,248.0,-4.50,1843.0,False,0.7741935483870968,0.8434536398048941,0.7840295530046021
111/03/28,3327697.0,803991275.0,245.5,246.0,239.0,242.0,-6.00,3802.0,False,0.5806451612903226,0.7558508136333701,0.774636639880858
111/03/29,2995631.0,718636397.0,245.5,251.0,243.5,251.0,+9.00,1700.0,False,0.7647058823529411,0.7588025032065604,0.7693585943227588
111/03/30,3884872.0,939116942.0,251.5,255.5,251.5,254.0,+3.00,2101.0,False,0.9090909090909092,0.8088986385013432,0.7825386090489534
111/03/31,2955153.0,752025741.0,257.0,257.5,252.0,253.5,-0.50,1800.0,False,0.7837837837837838,0.8005270202621567,0.7885347461200212
111/04/01,2998872.0,755401101.0,250.0,253.5,249.0,253.0,-0.50,3981.0,False,0.7567567567567568,0.7859369324270233,0.7876688082223552
111/04/06,3953923.0,1013260170.0,250.0,260.0,250.0,260.0,+7.00,3026.0,False,1.0,0.8572912882846822,0.8108763015764641
111/04/07,3430693.0,880723845.0,255.5,259.0,255.5,256.0,-4.00,4367.0,False,0.8095238095238095,0.8413687953643911,0.8210404661724398
111/04/08,2480439.0,629971566.0,256.0,258.0,253.0,253.0,-3.00,2934.0,False,0.6666666666666666,0.7831347524651496,0.8084052282700097
111/04/11,4759916.0,1162905093.0,251.5,254.0,240.5,242.0,-11.00,5106.0,False,0.14285714285714285,0.5697088825958141,0.7288397797119445
111/04/12,3849392.0,944029818.0,248.0,248.0,242.0,245.5,+3.50,3754.0,False,0.2564102564102564,0.4652760072006282,0.640985188874839
111/04/13,4389982.0,1087070086.0,248.0,248.5,245.0,248.5,+3.00,2383.0,False,0.41025641025641024,0.44693614155255545,0.5763021731007445
111/04/14,1812374.0,458323073.0,249.0,255.0,248.5,254.0,+5.50,2111.0,False,0.6923076923076923,0.5287266584709344,0.5604436682241412
111/04/15,1438505.0,357375271.0,253.0,253.0,246.0,247.0,-7.00,2722.0,False,0.3333333333333333,0.46359555009173403,0.5281609621800054
111/04/18,1384575.0,339953840.0,244.5,247.0,243.0,247.0, 0.00,1931.0,False,0.3333333333333333,0.4201748111722671,0.4921655785107593
111/04/19,1210553.0,299073798.0,245.5,249.0,245.0,247.5,+0.50,1020.0,False,0.3783783783783784,0.4062426669076375,0.4635246079763853
111/04/20,3820312.0,934787904.0,247.0,247.0,241.0,243.5,-4.00,3003.0,False,0.17142857142857146,0.3279713017479488,0.4183401725669064
111/04/21,4029575.0,991142526.0,246.5,250.0,244.0,246.5,+3.00,2828.0,False,0.4137931034482759,0.3565785689813912,0.39775297137173465
111/04/22,5934161.0,1441129119.0,243.5,244.0,240.0,242.5,-4.00,3176.0,False,0.16666666666666666,0.2932746015431497,0.3629268480955397
111/04/25,5036189.0,1203798981.0,239.0,240.5,236.5,236.5,-6.00,5407.0,False,0.0,0.19551640102876644,0.3071233657399486
111/04/26,5511157.0,1314289847.0,236.0,245.0,232.5,245.0,+8.50,3675.0,False,0.5555555555555556,0.3155294525376961,0.3099253946725311
111/04/27,3898864.0,917556043.0,239.5,239.5,232.5,234.5,-10.50,4586.0,False,0.0975609756097561,0.2428732935617161,0.2875746943022594
111/04/28,4072879.0,957046086.0,235.5,237.0,232.5,236.0,+1.50,3491.0,False,0.2,0.22858219570781074,0.2679105281041099
111/04/29,2110519.0,499472491.0,236.0,238.5,235.0,236.5,+0.50,2191.0,False,0.2285714285714285,0.22857860666235005,0.25479988762352324
111/05/03,2333839.0,552979684.0,234.0,240.0,231.5,239.0,+2.50,2671.0,False,0.40540540540540543,0.28752087291003514,0.2657068827190272
111/05/04,2072678.0,503539011.0,241.0,244.5,239.0,244.0,+5.00,2335.0,False,0.6756756756756757,0.4169058071652486,0.31610652420110097
111/05/05,2778675.0,678983042.0,246.0,248.5,242.0,242.0,-2.00,4031.0,False,0.6176470588235294,0.4838195577180088,0.3720108687067369
111/05/06,2770431.0,652871775.0,238.0,240.0,234.0,236.5,-5.50,3926.0,False,0.29411764705882354,0.4205855874982803,0.38820244163725137
111/05/09,3726376.0,849403487.0,232.0,233.5,225.0,225.0,-11.50,5554.0,False,0.0,0.2803903916655202,0.3522650916466743
111/05/10,10288953.0,2212120827.0,214.0,220.0,212.0,215.5,-9.50,9637.0,False,0.0958904109589041,0.21889039809664806,0.3078068604633322
111/05/11,6853231.0,1453071777.0,215.0,218.5,209.5,212.5,-3.00,6740.0,False,0.07692307692307693,0.17156795770545774,0.26239389287737397
111/05/12,8656784.0,1747188419.0,208.0,209.0,198.5,199.5,-13.00,9414.0,False,0.02,0.12104530513697186,0.2152776969639066
111/05/13,10467742.0,2032980395.0,200.0,200.0,191.5,192.5,-7.00,11625.0,False,0.017543859649122806,0.08654482330768881,0.17236673907850067
111/05/16,6980722.0,1349700700.0,195.0,198.0,191.0,193.0,+0.50,6184.0,False,0.034782608695652174,0.06929075177034327,0.1380080766424482
111/05/17,5841454.0,1138760130.0,195.5,197.5,192.5,194.5,+1.50,5127.0,False,0.060869565217391314,0.06648368958602595,0.11416661429030744
111/05/18,10073331.0,2048152167.0,196.0,209.0,196.0,207.0,+12.50,7855.0,False,0.32653061224489793,0.15316599713898327,0.1271664085731994
111/05/19,5295802.0,1068443495.0,201.0,204.5,197.0,204.5,-2.50,5708.0,False,0.3176470588235294,0.20799301770049866,0.15410861161563244
111/05/20,3772156.0,772911901.0,204.5,206.5,203.0,205.0,+0.50,3568.0,False,0.4827586206896552,0.2995815520302175,0.20259959175382744
111/05/23,3030198.0,621012291.0,205.5,207.5,203.0,205.5,+0.50,2424.0,False,0.5272727272727272,0.37547861044438735,0.2602259313173474
111/05/24,2610890.0,534639821.0,205.0,208.5,202.5,202.5,-3.00,2546.0,False,0.6388888888888888,0.4632820365925545,0.3279112997424164
111/05/25,3370735.0,689210386.0,204.5,207.0,202.5,204.5,+2.00,2584.0,False,0.75,0.5588546910617029,0.4048924301821786
111/05/26,7333919.0,1478662097.0,206.5,208.0,198.0,199.0,-5.50,6412.0,False,0.4444444444444444,0.5207179421892834,0.4435009341845469
111/05/27,4843120.0,1007136530.0,200.5,212.0,200.5,210.0,+11.00,4453.0,False,0.8974358974358975,0.6462905939381547,0.5110974874357495
111/05/30,4502326.0,969347097.0,213.0,218.0,211.5,215.5,+5.50,13722.0,False,0.8863636363636364,0.7263149414133152,0.5828366387616046
111/05/31,10620143.0,2361931118.0,221.5,225.0,218.0,225.0,+9.50,5413.0,False,1.0,0.8175432942755434,0.6610721905995842
111/06/01,3706543.0,826295827.0,225.0,226.0,220.0,222.5,-2.50,7030.0,False,0.875,0.8366955295170289,0.7196133035720658
111/06/02,2300547.0,511667219.0,219.0,225.5,218.0,222.5, 0.00,4205.0,False,0.875,0.8494636863446858,0.7628967644962724
111/06/06,2293088.0,509158206.0,225.0,225.5,218.5,222.5, 0.00,3928.0,False,0.875,0.8579757908964571,0.7945897732963338
111/06/07,2379271.0,528254091.0,220.5,224.5,219.5,223.0,+0.50,2067.0,False,0.8928571428571429,0.8696029082166856,0.8195941516031178
111/06/08,3257592.0,747212321.0,225.0,231.5,224.5,231.0,+8.00,3072.0,False,0.9850746268656716,0.9080934810996808,0.849093928101972
111/06/09,3154608.0,725077524.0,231.0,234.0,227.5,228.5,-2.50,5072.0,False,0.8358208955223879,0.8840026192405832,0.8607301584815091
111/06/10,3595028.0,793473903.0,226.0,226.5,222.5,223.5,-5.00,3249.0,False,0.5333333333333333,0.7671128572714998,0.8295243914115058
111/06/13,3578684.0,786843267.0,219.0,222.0,217.0,221.0,-2.50,2661.0,False,0.2352941176470588,0.5898399440633528,0.7496295756287881
111/06/14,3825636.0,830656221.0,218.0,220.0,215.0,217.5,-3.50,3081.0,False,0.13157894736842105,0.4370862784983756,0.6454484765853172
111/06/15,4439923.0,1001427138.0,219.0,229.0,218.0,226.5,+9.00,3414.0,False,0.6052631578947368,0.4931452382971626,0.5946807304892656
111/06/16,6829218.0,1569389117.0,230.0,235.5,225.0,227.0,+0.50,7038.0,False,0.5853658536585366,0.5238854434176206,0.5710823014653839
111/06/17,5126725.0,1126086666.0,222.0,224.5,218.0,218.5,-8.50,6947.0,False,0.17073170731707318,0.4061675313841048,0.5161107114382908
111/06/20,3724926.0,815306260.0,221.5,223.5,216.0,216.0,-2.50,3019.0,False,0.04878048780487805,0.2870385168576958,0.4397533132447592
111/06/21,3812296.0,845601088.0,219.5,225.5,217.5,224.5,+8.50,2800.0,False,0.4634146341463415,0.34583055595391105,0.4084457274811431
111/06/22,5022579.0,1025477632.0,208.5,210.5,200.5,202.5,X0.00,8499.0,False,0.057142857142857134,0.24960132301689306,0.3554975926597264
111/06/23,3743324.0,756190277.0,206.0,206.0,199.5,203.0,+0.50,5196.0,False,0.09722222222222222,0.19880828941866946,0.3032678249127074
111/06/24,3999197.0,821115701.0,205.0,207.5,202.5,205.0,+2.00,3817.0,False,0.1527777777777778,0.1834647855383722,0.26333347845459565
111/06/27,4152435.0,873662564.0,206.0,214.0,204.5,212.5,+7.50,3760.0,False,0.3611111111111111,0.24268022739595185,0.2564490614350477
111/06/28,3379682.0,724792002.0,212.5,217.0,211.0,214.5,+2.00,4909.0,False,0.4166666666666667,0.30067570715285674,0.27119127667431736
111/06/29,4499644.0,970531258.0,212.0,217.5,211.5,217.0,+2.50,5187.0,False,0.6730769230769231,0.4248094457942122,0.32239733304761564
111/06/30,5150110.0,1063109777.0,217.0,218.0,208.0,208.5,-8.50,6087.0,False,0.3461538461538461,0.3985909125807568,0.3477951928919961
111/07/01,16773347.0,3255397779.0,197.0,198.5,188.0,189.0,-19.50,12583.0,False,0.02666666666666667,0.27461616394272675,0.3234021832422396
111/07/04,7397566.0,1391208042.0,187.5,194.0,183.5,188.0,-1.00,6007.0,False,0.13043478260869565,0.2265557034980497,0.29112002332750964
111/07/05,5092864.0,965881156.0,192.0,193.0,186.5,191.0,+3.00,3467.0,False,0.21739130434782608,0.2235009037813085,0.26858031681210925
111/07/06,6975961.0,1339450182.0,192.5,195.5,190.0,190.5,-0.50,4546.0,False,0.2028985507246377,0.21663345276241824,0.2512646954622122
111/07/07,6107200.0,1169602340.0,192.5,194.0,187.0,192.0,+1.50,3742.0,False,0.2463768115942029,0.22654790570634645,0.24302576554359026
111/07/08,6622902.0,1272572984.0,192.5,193.5,189.5,192.5,+0.50,4052.0,False,0.2608695652173913,0.2379884588766948,0.2413466633212917
111/07/11,3139613.0,604376407.0,193.0,195.0,190.5,192.0,-0.50,2340.0,False,0.2463768115942029,0.24078457644919746,0.2411593010305937
111/07/12,3694751.0,689913179.0,190.0,191.0,185.0,188.0,-4.00,3468.0,False,0.13043478260869565,0.20400131183569686,0.2287733046322947
111/07/13,5491066.0,1044351731.0,190.0,191.5,189.0,190.0,+2.00,3026.0,False,0.43333333333333335,0.28044531900157565,0.245997309422055
111/07/14,3190769.0,608796698.0,191.0,192.5,189.0,192.5,+2.50,1945.0,False,0.75,0.4369635460010504,0.3096527216150534
111/07/15,7711390.0,1432050651.0,192.0,192.0,181.5,185.5,-7.00,6517.0,False,0.2857142857142857,0.3865471259054621,0.3352841897118563
111/07/18,12699646.0,2361183462.0,185.0,190.0,184.0,186.5,+1.00,3423.0,False,0.35714285714285715,0.37674570298459376,0.3491046941361021
111/07/19,9416621.0,1775795806.0,189.0,192.0,185.5,187.5,+1.00,5169.0,False,0.4444444444444444,0.3993119501378773,0.3658404461366938
111/07/20,7471111.0,1417872163.0,190.0,191.5,187.5,191.0,+3.50,4054.0,False,0.7037037037037037,0.5007758679931527,0.4108189200888467
111/07/21,5378819.0,1048374266.0,193.0,197.0,192.0,197.0,+6.00,3898.0,False,1.0,0.667183911995435,0.4962739173910428
111/07/22,4953073.0,986008807.0,197.5,201.0,194.5,201.0,+4.00,4466.0,False,1.0,0.7781226079969567,0.5902234809263474
111/07/25,3823603.0,760738097.0,199.5,201.5,197.5,199.0,-2.00,3140.0,False,0.875,0.8104150719979709,0.6636206779502218
111/07/26,5813514.0,1180285854.0,201.5,205.0,201.0,202.5,+3.50,4013.0,False,0.8936170212765957,0.8381490550908459,0.7217968036637632
111/07/27,3287414.0,663436689.0,201.5,204.0,201.0,203.5,+1.00,2509.0,False,0.9361702127659576,0.8708227743158831,0.7714721272144698
