日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,85012.0,819827.0,9.8,9.8,9.55,9.64,0.13,72.0,False,,,,,,
111/03/02,53021.0,508469.0,9.63,9.64,9.52,9.6,-0.04,55.0,False,,,,,,
111/03/03,109004.0,1046859.0,9.7,9.7,9.5,9.6,0.0,56.0,False,,,,,,
111/03/04,46018.0,437933.0,9.51,9.55,9.5,9.55,-0.05,45.0,False,,,,,,
111/03/07,479077.0,4409560.0,9.55,9.55,9.15,9.21,-0.34,92.0,False,,,,,,
111/03/08,208099.0,1896830.0,9.21,9.21,9.02,9.13,-0.08,75.0,False,,,,,,
111/03/09,98013.0,899138.0,9.29,9.29,9.06,9.17,0.04,74.0,False,,,,,,
111/03/10,130005.0,1207239.0,9.28,9.31,9.27,9.28,0.11,51.0,False,,,,,,
111/03/11,84332.0,778726.0,9.21,9.34,9.2,9.2,-0.08,66.0,False,0.2307692307692301,0.41025641025640996,0.47008547008547,,,
111/03/14,35297.0,325706.0,9.31,9.31,9.19,9.24,0.04,53.0,False,0.3235294117647069,0.3813474107591756,0.4405061169767052,,,
111/03/15,216009.0,1963095.0,9.32,9.32,9.04,9.11,-0.13,105.0,False,0.13235294117647042,0.2983492542316072,0.3931204960616724,,,
111/03/16,121010.0,1097411.0,9.18,9.23,9.0,9.13,0.02,83.0,False,0.2363636363636375,0.27768738160895057,0.3546427912440984,,,
111/03/17,165434.0,1520463.0,9.13,9.24,9.13,9.23,0.1,86.0,False,0.4181818181818184,0.3245188604665732,0.3446014809849233,,,
111/03/18,149006.0,1384197.0,9.21,9.4,9.21,9.4,0.17,80.0,False,1.0,0.5496792403110488,0.41296073409363176,,,
111/03/21,61124.0,573349.0,9.43,9.44,9.33,9.39,-0.01,44.0,False,0.8863636363636387,0.6619073723285787,0.4959429468386141,,,
111/03/22,70013.0,656070.0,9.38,9.43,9.33,9.41,0.02,44.0,False,0.9318181818181832,0.7518776421584468,0.5812545119452249,,,
111/03/23,172922.0,1638847.0,9.42,9.63,9.35,9.6,0.19,95.0,False,0.9523809523809508,0.8187120788992813,0.6604070342632437,,,
111/03/24,175003.0,1681167.0,9.57,9.72,9.5,9.7,0.1,72.0,False,0.9722222222222204,0.8698821266735942,0.7302320650666938,,,
111/03/25,171004.0,1661968.0,9.7,9.79,9.65,9.78,0.08,62.0,False,0.987341772151899,0.9090353418330293,0.7898331573221389,,,
111/03/28,96009.0,929473.0,9.78,9.78,9.62,9.67,-0.11,43.0,False,0.8481012658227857,0.8887239831629479,0.8227967659357418,,,
111/03/29,46041.0,443580.0,9.62,9.77,9.6,9.64,-0.03,40.0,False,0.7727272727272744,0.8500584130177233,0.8318839816297356,,,
111/03/30,160038.0,1561050.0,9.73,9.84,9.7,9.76,0.12,87.0,False,0.8730158730158727,0.8577108996837729,0.8404929543144147,,,
111/03/31,130503.0,1261896.0,9.81,9.81,9.6,9.7,-0.06,66.0,False,0.7254901960784301,0.8136373318153254,0.8315410801480516,,,
111/04/01,105060.0,1005301.0,9.61,9.69,9.52,9.58,-0.12,72.0,False,0.4901960784313728,0.7058235806873412,0.7896352469944814,,,
111/04/06,157330.0,1497805.0,9.65,9.65,9.46,9.51,-0.07,198.0,False,0.3265306122448981,0.5793925912065268,0.7195543617318299,,,
111/04/07,86221.0,817033.0,9.52,9.57,9.42,9.53,0.02,86.0,False,0.2619047619047606,0.4735633147726047,0.6375573460787548,,,
111/04/08,82015.0,779745.0,9.53,9.6,9.46,9.54,0.01,66.0,False,0.2857142857142839,0.4109469717531644,0.5620205546368913,,,
111/04/11,62031.0,583969.0,9.47,9.47,9.38,9.38,-0.16,63.0,False,0.0,0.2739646478354429,0.4660019190364085,,,
111/04/12,49148.0,458756.0,9.49,9.49,9.28,9.32,-0.06,68.0,False,0.07142857142857302,0.2064526223664863,0.379485486813101,,,
111/04/13,172014.0,1602146.0,9.43,9.47,9.2,9.38,0.06,102.0,False,0.28125000000000205,0.2313850815776582,0.3301186850679534,,,
111/04/14,121036.0,1121176.0,9.39,9.39,9.21,9.32,-0.06,82.0,False,0.19672131147541108,0.2198304915435758,0.2933559538931608,,,
111/04/15,76029.0,704924.0,9.31,9.37,9.2,9.28,-0.04,76.0,False,0.16326530612244905,0.20097542973653354,0.2625624458409517,,,
111/04/18,33078.0,306528.0,9.31,9.31,9.21,9.22,-0.06,84.0,False,0.04444444444444734,0.14879843463917147,0.22464110877369164,,,
111/04/19,55051.0,510989.0,9.31,9.33,9.26,9.26,0.04,96.0,False,0.1500000000000011,0.1491989564261147,0.19949372465783266,,,
111/04/20,244056.0,2297700.0,9.32,9.6,9.16,9.55,0.29,138.0,False,0.8863636363636387,0.3949205164052893,0.2646359885736515,,,
111/04/21,82111.0,783832.0,9.56,9.62,9.45,9.56,0.01,49.0,False,0.8695652173913069,0.5531354167339618,0.36080246462708826,,,
111/04/22,60155.0,568540.0,9.56,9.56,9.41,9.46,-0.1,84.0,False,0.6521739130434812,0.5861482488371349,0.4359177260304371,,,
111/04/25,107241.0,993057.0,9.36,9.39,9.2,9.2,-0.26,230.0,False,0.08695652173912875,0.4197510064711328,0.430528819510669,,,
111/04/26,51089.0,472622.0,9.31,9.31,9.22,9.23,0.03,116.0,False,0.1521739130434792,0.3305586419952483,0.3972054270055288,,,
111/04/27,194088.0,1754865.0,9.0,9.1,9.0,9.05,-0.18,136.0,False,0.08064516129032383,0.24725414842694016,0.3472216674793325,,,
111/04/28,43023.0,389222.0,9.05,9.13,9.0,9.1,0.05,48.0,False,0.1612903225806448,0.21859953981150834,0.3043476249233911,,,
111/04/29,168014.0,1511864.0,9.07,9.11,8.8,9.0,-0.1,92.0,False,0.24390243902438985,0.2270338395491355,0.2785763631319725,,,
111/05/03,43019.0,381321.0,8.9,8.9,8.85,8.86,-0.14,35.0,False,0.07317073170731565,0.17574613693519553,0.2442996210663801,,,
111/05/04,109000.0,970010.0,8.86,8.99,8.85,8.92,0.06,59.0,False,0.14634146341463347,0.16594457909500818,0.2181812737425895,,,
111/05/05,43358.0,389102.0,8.95,9.01,8.93,9.01,0.09,30.0,False,0.2763157894736831,0.20273498255456648,0.21303251001324847,,,
111/05/06,175014.0,1543703.0,8.86,8.99,8.71,8.81,-0.2,79.0,False,0.1470588235294113,0.18417626287951472,0.20341376096867053,,,
111/05/09,625053.0,5463504.0,8.81,8.91,8.61,8.61,-0.2,69.0,False,0.0,0.1227841752530098,0.1765372323967836,,,
111/05/10,90606.0,776432.0,8.6,8.64,8.46,8.56,-0.05,65.0,False,0.14925373134328307,0.13160736061643422,0.16156060847000045,,,
111/05/11,157012.0,1326181.0,8.56,8.57,8.38,8.49,-0.07,74.0,False,0.14666666666666592,0.13662712929984475,0.15324944874661522,,,
111/05/12,303003.0,2528184.0,8.37,8.42,8.3,8.3,-0.19,71.0,False,0.0,0.09108475286656316,0.13252788345326452,,,
111/05/13,404614.0,3370674.0,8.41,8.5,8.3,8.3,0.0,102.0,False,0.0,0.06072316857770878,0.10859297849474593,,,
111/05/16,354951.0,2973328.0,8.42,8.5,8.29,8.29,-0.01,100.0,False,0.0,0.04048211238513919,0.08588935645821033,,,
111/05/17,411131.0,3428405.0,8.41,8.5,8.26,8.47,0.18,156.0,False,0.28000000000000114,0.12032140825675985,0.09736670705772683,,,
111/05/18,720027.0,6405890.0,8.55,9.19,8.39,9.0,0.53,316.0,False,0.7956989247311833,0.34544724708156765,0.1800602203990071,,,
111/05/19,425003.0,3740104.0,8.79,8.95,8.65,8.85,-0.15,207.0,False,0.6344086021505376,0.4417676987712243,0.2672960465230795,,,
111/05/20,383005.0,3460312.0,8.85,9.23,8.85,9.0,0.15,174.0,False,0.7628865979381441,0.5488073318268641,0.361133141624341,,,
111/05/23,277082.0,2497770.0,9.03,9.11,8.95,9.09,0.09,103.0,False,0.8556701030927829,0.6510949222488371,0.457787068499173,,,
111/05/24,2035562.0,19843999.0,9.1,9.99,9.1,9.77,0.68,790.0,False,0.8728323699421962,0.7250074048132902,0.546860513937212,,,
111/05/25,11223985.0,116444394.0,9.75,10.7,9.6,10.55,0.78,2646.0,False,0.9385245901639352,0.7961797999301717,0.629966942601532,,,
111/05/26,5142955.0,53435841.0,10.35,10.9,10.0,10.3,-0.25,1873.0,False,0.7727272727272729,0.7883622908625387,0.6827653920218675,,,
111/05/27,5521669.0,58142346.0,10.55,10.8,10.2,10.35,0.05,1735.0,False,0.7916666666666664,0.7894637494639145,0.7183315111692165,,,
111/05/30,2091534.0,21415375.0,10.6,10.6,9.99,10.05,-0.3,876.0,False,0.6613545816733069,0.7467606935337119,0.7278079052907149,,,
111/05/31,15763800.0,170533575.0,10.1,11.05,9.9,10.8,0.75,3687.0,False,0.8958333333333334,0.7964515734669191,0.7506891280161163,,,
111/06/01,7838366.0,83169179.0,10.8,10.95,10.25,10.5,-0.3,2321.0,False,0.7499999999999998,0.7809677156446125,0.7607819905589484,,,
111/06/02,3398573.0,35001248.0,10.6,10.65,10.15,10.25,-0.25,1134.0,False,0.6190476190476191,0.7269943501122813,0.7495194437433926,,,
111/06/06,5242051.0,54682847.0,10.2,10.6,10.15,10.35,0.1,1298.0,False,0.6410256410256406,0.6983381137500677,0.7324590004122843,,,
111/06/07,1248035.0,12724756.0,10.3,10.4,10.05,10.1,-0.25,482.0,False,0.3448275862068963,0.5805012712356772,0.6818064240200818,,,
111/06/08,18530884.0,203143118.0,10.4,11.1,10.4,10.7,0.6,5042.0,False,0.6666666666666662,0.6092230697126735,0.6576119725842791,,,
111/06/09,23915128.0,264581345.0,10.5,11.7,10.35,11.45,0.75,7209.0,False,0.8611111111111109,0.6931857501788192,0.6694698984491257,,,
111/06/10,10171702.0,116213146.0,11.4,11.65,11.15,11.5,0.05,3688.0,False,0.8888888888888892,0.7584201297488425,0.6991199755490314,,,
111/06/13,5291392.0,58574146.0,11.3,11.35,10.85,11.2,-0.3,2343.0,False,0.7222222222222221,0.7463541605733024,0.7148647038904549,,,
111/06/14,34931647.0,402043228.0,11.0,12.25,10.65,11.65,0.45,8823.0,False,0.7272727272727273,0.7399936828064441,0.7232410301957846,,,
111/06/15,44812092.0,550489339.0,11.55,12.8,11.5,12.1,0.45,14750.0,False,0.745454545454545,0.741813970355811,0.7294320102491267,,,
111/06/16,38332914.0,488179861.0,12.35,13.3,12.35,12.6,0.5,11926.0,False,0.7846153846153843,0.7560811084423353,0.7383150429801962,,,
