日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,1404286.0,134343341.0,94.5,96.6,94.3,96.5,+2.00,1882.0,False,,,,,,
111/03/02,680201.0,65091583.0,95.9,95.9,95.3,95.5,-1.00,1126.0,False,,,,,,
111/03/03,1675807.0,160514280.0,96.0,96.5,95.1,96.5,+1.00,1241.0,False,,,,,,
111/03/04,2593261.0,247765313.0,96.0,96.1,94.8,96.0,-0.50,1997.0,False,,,,,,
111/03/07,1711177.0,162097659.0,95.1,95.3,94.3,94.6,-1.40,1144.0,False,,,,,,
111/03/08,1403820.0,131225232.0,92.5,94.6,92.5,93.3,-1.30,1116.0,False,,,,,,
111/03/09,654495.0,61288492.0,94.0,94.2,93.2,93.4,+0.10,624.0,False,,,,,,
111/03/10,803862.0,76047345.0,94.2,95.1,94.1,94.4,+1.00,732.0,False,,,,,,
111/03/11,612621.0,57883070.0,94.5,95.0,94.1,94.5,+0.10,470.0,False,0.4878048780487811,0.4959349593495937,0.4986449864498646,,,
111/03/14,731169.0,69162663.0,94.9,95.1,94.1,95.0,+0.50,555.0,False,0.625,0.5389566395663958,0.512082204155375,,,
111/03/15,1827304.0,170920145.0,94.5,94.7,93.0,94.0,-1.00,1469.0,False,0.375,0.4843044263775972,0.5028229448961157,,,
111/03/16,2847352.0,271966053.0,94.2,96.5,94.2,95.8,+1.80,1758.0,False,0.8249999999999993,0.5978696175850645,0.5345051691257653,,,
111/03/17,4249611.0,413008653.0,96.6,98.1,96.5,97.6,+1.80,2814.0,False,0.9107142857142856,0.7021511736281382,0.5903871706265562,,,
111/03/18,3945219.0,389930023.0,98.0,99.8,97.9,98.5,+0.90,2685.0,False,0.8219178082191784,0.7420733851584849,0.6409492421371991,,,
111/03/21,4633089.0,469601705.0,99.5,103.5,99.2,101.5,+3.00,3130.0,False,0.8095238095238095,0.7645568599469263,0.6821517814071081,,,
111/03/22,2651092.0,269908729.0,101.5,103.0,100.5,102.5,+1.00,1772.0,False,0.9047619047619048,0.8112918748852525,0.7251984792331562,,,
111/03/23,3210688.0,328090265.0,103.0,103.5,101.0,102.5, 0.00,2437.0,False,0.9047619047619048,0.8424485515108031,0.7642818366590385,,,
111/03/24,1366219.0,139343389.0,101.5,102.5,101.0,102.5, 0.00,963.0,False,0.9047619047619048,0.8632196692611702,0.7972611141930823,,,
111/03/25,2435737.0,246334818.0,103.0,103.0,100.0,100.0,-2.50,1347.0,False,0.6666666666666666,0.7977020017296691,0.7974080767052778,,,
111/03/28,2893625.0,291957697.0,100.0,102.0,99.8,101.0,+1.00,1565.0,False,0.7311827956989246,0.7755289330527542,0.7901150288211032,,,
111/03/29,1864159.0,189517829.0,101.5,102.5,101.0,101.0, 0.00,1172.0,False,0.6428571428571429,0.7313050029875504,0.7705116868765856,,,
111/03/30,1543985.0,156705799.0,102.0,102.5,101.0,101.0, 0.00,1191.0,False,0.5535714285714282,0.6720604781821763,0.7376946173117824,,,
111/03/31,1523447.0,154442391.0,101.5,102.0,100.5,101.5,+0.50,903.0,False,0.5348837209302323,0.6263348924315283,0.7005747090183643,,,
111/04/01,1644250.0,165172272.0,101.0,101.5,99.5,101.0,-0.50,1323.0,False,0.375,0.5425565949543522,0.6479020043303603,,,
111/04/06,3249474.0,323329799.0,100.0,101.0,98.1,100.5,-0.50,2190.0,False,0.444444444444445,0.5098525447843831,0.6018855178150345,,,
111/04/07,3665805.0,363034053.0,99.5,100.5,97.9,97.9,-2.60,2421.0,False,0.0,0.3399016965229221,0.5145575773843304,,,
111/04/08,3983804.0,392916356.0,98.3,99.8,97.8,98.5,+0.60,2638.0,False,0.13461538461538508,0.2714729258870764,0.43352936021857896,,,
111/04/11,2928419.0,283322418.0,98.5,98.5,95.5,96.0,-2.50,2410.0,False,0.07142857142857142,0.20479147440090809,0.3572833982793553,,,
111/04/12,1004495.0,96029043.0,95.2,96.1,94.7,96.0, 0.00,981.0,False,0.16666666666666635,0.1920832051561608,0.3022166672382905,,,
111/04/13,926713.0,89310827.0,96.6,97.0,95.8,96.7,+0.70,1093.0,False,0.2564102564102565,0.2135255555741927,0.2726529633502579,,,
111/04/14,690793.0,66738419.0,96.8,97.1,96.0,96.8,+0.10,693.0,False,0.28767123287671165,0.238240781341699,0.2611822360140716,,,
111/04/15,952711.0,91402135.0,96.7,96.7,95.4,96.0,-0.80,749.0,False,0.19117647058823486,0.22255267775721105,0.248305716595118,,,
111/04/18,1001003.0,95503968.0,95.8,96.0,94.6,95.6,-0.40,925.0,False,0.15624999999999986,0.20045178517147394,0.23235440612057,,,
111/04/19,1383542.0,134704969.0,96.3,98.4,96.3,98.3,+2.70,1020.0,False,0.6271186440677965,0.3426740714702481,0.269127627903796,,,
111/04/20,3175982.0,315533719.0,98.8,100.5,98.1,98.5,+0.20,1864.0,False,0.6610169491525427,0.44878836403101297,0.3290145399462016,,,
111/04/21,2262917.0,226020442.0,99.5,100.5,99.2,99.9,+1.40,1234.0,False,0.8983050847457638,0.5986272709359299,0.418885450276111,,,
111/04/22,2643777.0,260074082.0,97.7,98.9,97.7,98.6,-1.30,1874.0,False,0.6779661016949146,0.6250735478555914,0.4876148161359378,,,
111/04/25,3067679.0,292432826.0,97.7,97.9,94.4,95.0,-3.60,2522.0,False,0.09836065573770407,0.4495025838162956,0.474910738696057,,,
111/04/26,2710263.0,257951962.0,95.9,96.7,94.6,95.0, 0.00,1465.0,False,0.09836065573770407,0.33245527445676504,0.4274255839496263,,,
111/04/27,5388059.0,493712751.0,92.0,92.4,90.5,92.4,-2.60,4114.0,False,0.19000000000000056,0.2849701829711769,0.3799404502901431,,,
