日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,487044.0,181146696.0,369.0,377.5,363.0,370.0,+4.00,508.0,False,,,,,,
111/03/02,448909.0,161181240.0,364.5,366.5,352.5,363.0,-7.00,525.0,False,,,,,,
111/03/03,1104246.0,429379717.0,369.5,398.0,369.5,391.5,+28.50,1113.0,False,,,,,,
111/03/04,1561992.0,637759041.0,384.0,419.5,383.5,408.5,+17.00,1649.0,False,,,,,,
111/03/07,1047104.0,399903243.0,401.5,405.0,370.0,376.5,-32.00,1059.0,False,,,,381.9,,
111/03/08,961427.0,353272762.0,376.0,383.5,358.5,362.5,-14.00,1002.0,False,,,,380.4,,
111/03/09,310338.0,115039734.0,367.5,378.5,366.0,366.0,+3.50,351.0,False,,,,381.0,,
111/03/10,919313.0,357256636.0,379.0,397.5,377.0,383.5,+17.50,894.0,False,,,,379.4,,
111/03/11,1192846.0,474264166.0,388.0,405.0,382.5,393.5,+10.00,1236.0,False,0.6119402985074627,0.5373134328358209,0.5124378109452736,376.4,,
111/03/14,695563.0,280732179.0,400.0,414.0,396.0,399.0,+5.50,795.0,False,0.6940298507462687,0.5895522388059702,0.5381426202321724,380.9,381.4,
111/03/15,468926.0,180827333.0,400.0,401.0,378.0,378.0,-21.00,538.0,False,0.319672131147541,0.4995922029198271,0.5252924811280573,384.0,382.2,
111/03/16,588035.0,230755702.0,395.0,401.0,381.5,395.0,+17.00,587.0,False,0.5983606557377049,0.5325150205257864,0.5276999942606335,389.8,385.4,
111/03/17,2576342.0,1100379439.0,413.0,434.5,410.5,433.0,+38.00,2409.0,False,0.9802631578947368,0.6817643996487698,0.579054796056679,399.7,389.55,
111/03/18,2043422.0,906640061.0,431.0,453.5,427.0,443.5,+10.50,2130.0,False,0.8947368421052632,0.7527552138009341,0.6369549353047641,409.7,393.05,
111/03/21,1222330.0,551219154.0,451.0,456.5,444.0,451.5,+8.00,1268.0,False,0.9447513812154696,0.8167539362724459,0.6968879356273245,420.2,400.55,
111/03/22,920771.0,416678567.0,460.0,460.0,446.0,452.5,+1.00,884.0,False,0.9096385542168676,0.847715475587253,0.7471637822806341,435.1,409.55,
111/03/23,1118461.0,512078831.0,457.5,466.5,449.5,463.0,+10.50,1037.0,False,0.9604519774011301,0.8852943095252119,0.79320729136216,448.7,419.25,
111/03/24,828166.0,379568327.0,453.5,479.0,446.0,479.0,+16.00,856.0,False,1.0,0.9235295396834746,0.8366480408025981,457.9,428.8,
111/03/25,1195749.0,536274992.0,462.0,463.5,437.0,438.0,-41.00,1301.0,False,0.594059405940594,0.8137061617691809,0.8290007477914592,456.8,433.25,
111/03/28,550814.0,244935268.0,438.0,453.0,430.0,442.0,+4.00,545.0,False,0.6205128205128205,0.749308381350394,0.8024366256444373,454.9,437.55,409.475
111/03/29,651380.0,295588650.0,452.5,459.5,447.0,456.0,+14.00,680.0,False,0.6642335766423357,0.7209501131143745,0.7752744548010829,455.6,445.35,413.775
111/03/30,677886.0,313677205.0,457.5,470.0,457.0,463.0,+7.00,762.0,False,0.6923076923076923,0.7114026395121471,0.7539838497047711,455.6,452.15,418.775
111/03/31,494536.0,223131109.0,464.5,464.5,444.5,445.0,-18.00,535.0,False,0.30612244897959184,0.576309242667962,0.6947589806925012,448.8,453.35,421.45
111/04/01,369786.0,162319585.0,444.0,446.0,431.0,437.5,-7.50,414.0,False,0.15306122448979592,0.4352265699419066,0.6082481771089696,448.7,452.75,422.9
111/04/06,881495.0,366444366.0,431.5,431.5,405.0,422.5,-15.00,891.0,False,0.2364864864864865,0.3689798754567666,0.5284920765582353,444.8,449.85,425.2
111/04/07,750016.0,308961867.0,419.5,425.0,403.0,403.0,-19.50,794.0,False,0.0,0.2459865836378444,0.4343235789181049,434.2,444.9,427.225
111/04/08,361502.0,146981122.0,409.0,415.0,401.0,403.0, 0.00,388.0,False,0.028985507246376805,0.17365289150735516,0.34743334978118834,422.2,438.9,429.075
