日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,1031048.0,439985571.0,425.0,433.0,418.0,428.0,+13.00,995.0,False,,,
111/03/02,1002133.0,429838216.0,430.0,435.0,421.0,433.5,+5.50,1055.0,False,,,
111/03/03,933995.0,404900606.0,438.0,443.0,426.0,426.0,-7.50,1037.0,False,,,
111/03/04,579779.0,243589110.0,423.0,426.5,414.5,416.0,-10.00,753.0,False,,,
111/03/07,1347773.0,534056353.0,406.0,406.0,388.0,390.0,-26.00,2006.0,False,,,
111/03/08,961620.0,374034496.0,378.0,400.0,378.0,384.0,-6.00,1239.0,False,,,
111/03/09,739200.0,287796415.0,390.0,397.0,385.0,385.0,+1.00,851.0,False,,,
111/03/10,814066.0,325035778.0,396.0,404.5,394.0,401.0,+16.00,903.0,False,,,
111/03/11,690160.0,269985208.0,395.0,397.5,386.0,396.0,-5.00,881.0,False,0.2769230769230769,0.4256410256410256,0.4752136752136752
111/03/14,580807.0,227120290.0,400.0,400.5,387.0,393.0,-3.00,719.0,False,0.2307692307692308,0.3606837606837607,0.437037037037037
111/03/15,1390602.0,519941268.0,390.0,393.0,365.0,366.0,-27.00,1866.0,False,0.01282051282051282,0.24472934472934474,0.3729344729344729
111/03/16,884110.0,332783617.0,378.5,382.0,371.0,376.0,+10.00,993.0,False,0.17886178861788618,0.22277349269219188,0.32288081285371256
111/03/17,1284944.0,513969662.0,390.0,408.0,389.0,407.5,+31.50,1337.0,False,0.9883720930232558,0.4779730261358798,0.3745782172811016
111/03/18,810282.0,329779035.0,406.0,412.0,398.5,412.0,+4.50,851.0,False,1.0,0.6519820174239199,0.467046150662041
111/03/21,309379.0,127740044.0,419.5,419.5,407.5,407.5,-4.50,516.0,False,0.7798165137614679,0.6945935162031025,0.5428952725090614
111/03/22,465116.0,193590240.0,410.0,420.0,410.0,414.0,+6.50,644.0,False,0.8909090909090909,0.7600320411050986,0.6152741953744072
111/03/23,444756.0,188399839.0,420.0,428.5,420.0,420.5,+6.50,856.0,False,0.8740157480314961,0.7980266100805644,0.6761916669431263
111/03/24,534559.0,220602247.0,416.0,419.0,408.0,413.5,-7.00,793.0,False,0.7637795275590551,0.7866109159067279,0.7129980832643268
111/03/25,411396.0,170638276.0,417.5,422.5,410.0,410.0,-3.50,573.0,False,0.7086614173228346,0.7606277497120968,0.7288746387469167
111/03/28,701455.0,280095144.0,410.0,410.0,393.0,402.0,-8.00,993.0,False,0.5391304347826087,0.6867953114022673,0.7148481962987002
111/03/29,539609.0,216984814.0,404.0,409.5,396.0,402.0, 0.00,665.0,False,0.3291139240506329,0.5675681822850558,0.6657548582941519
111/03/30,1136222.0,474975683.0,408.5,428.0,407.5,414.0,+12.00,1252.0,False,0.5915492957746479,0.5755618867815865,0.6356905344566302
111/03/31,349815.0,142438015.0,414.0,414.0,405.0,405.0,-9.00,512.0,False,0.3380281690140845,0.4963839808590858,0.5892550165907819
111/04/01,647191.0,260274042.0,396.0,414.0,392.0,413.0,+8.00,710.0,False,0.5753424657534246,0.5227034758238653,0.5670711696684764
111/04/06,386315.0,157227823.0,408.0,409.5,402.0,409.5,-3.50,481.0,False,0.4794520547945205,0.5082863354807503,0.5474762249392343
111/04/07,569280.0,229299101.0,409.5,409.5,400.0,400.0,-9.50,647.0,False,0.2222222222222222,0.4129316310612409,0.5026280269799032
111/04/08,443103.0,175990749.0,402.0,404.0,395.0,395.0,-5.00,573.0,False,0.08333333333333333,0.3030655318186051,0.4361071952594705
111/04/11,760054.0,295666710.0,400.0,403.0,379.0,383.0,-12.00,1021.0,False,0.08163265306122447,0.22925457223281154,0.3671563209172508
111/04/12,874874.0,329092481.0,375.0,383.0,370.0,374.0,-9.00,1067.0,False,0.06896551724137931,0.17582488723566744,0.303379176356723
111/04/13,650147.0,246847683.0,379.0,384.5,375.5,381.0,+7.00,669.0,False,0.1896551724137931,0.18043498229504265,0.2623977783361629
111/04/14,525791.0,203005502.0,384.0,391.0,382.5,382.5,+1.50,566.0,False,0.2840909090909091,0.2149869578936648,0.2465941715219969
111/04/15,811427.0,299798818.0,379.0,379.0,366.0,366.5,-16.00,1122.0,False,0.010416666666666666,0.14679686081799873,0.2133284012873308
111/04/18,526320.0,190974242.0,360.5,371.5,353.5,363.0,-3.50,647.0,False,0.16964285714285715,0.15441219292628486,0.19368966516698213
111/04/19,328601.0,120678980.0,371.0,372.5,364.0,365.5,+2.50,380.0,False,0.21428571428571427,0.17437003337942802,0.1872497879044641
111/04/20,329847.0,120998725.0,369.0,371.5,361.0,368.0,+2.50,384.0,False,0.2871287128712871,0.21195625987671435,0.1954852785618808
111/04/21,213540.0,78884768.0,368.0,372.0,366.0,371.5,+3.50,248.0,False,0.3636363636363637,0.2625162944632641,0.21782895052900847
111/04/22,658067.0,234115639.0,362.0,363.0,350.0,350.0,-21.50,1040.0,False,0.0,0.17501086297550938,0.20355625467784216
111/04/25,1100213.0,359824739.0,324.0,334.5,318.0,333.0,-17.00,1293.0,False,0.2054794520547945,0.18516705933527108,0.19742652289698512
111/04/26,1659231.0,525784026.0,336.0,336.5,308.5,308.5,-24.50,1935.0,False,0.0,0.12344470622351406,0.1727659173391614
111/04/27,1543394.0,454497489.0,289.0,303.0,286.5,299.5,-9.00,1738.0,False,0.14054054054054055,0.12914331766252288,0.15822505078028187
111/04/28,2032591.0,590137552.0,299.5,302.0,282.5,288.5,-11.00,2127.0,False,0.06666666666666668,0.1083177673305708,0.14158928963037815
111/04/29,1238859.0,367767405.0,295.0,303.0,292.0,297.0,+8.50,1325.0,False,0.16111111111111112,0.1259155485907509,0.13636470928383573
111/05/03,1082553.0,332064456.0,297.0,311.5,297.0,308.5,+11.50,1383.0,False,0.2905027932960894,0.1807779634925304,0.1511691273534006
111/05/04,1684962.0,544007977.0,314.5,332.5,311.0,326.0,+17.50,1764.0,False,0.4860335195530726,0.2825298155127111,0.1949560234065041
111/05/05,1743893.0,588061881.0,333.0,346.0,332.0,337.0,+11.00,1816.0,False,0.6770186335403726,0.4140260881885983,0.2679793783338688
