日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,939389.0,914632730.0,980.0,990.0,967.0,969.0,-18.00,1276.0,False,,,
111/03/02,505110.0,487481157.0,970.0,970.0,956.0,964.0,-5.00,459.0,False,,,
111/03/03,665881.0,628736644.0,970.0,970.0,930.0,933.0,-31.00,1184.0,False,,,
111/03/04,480446.0,444343848.0,925.0,935.0,916.0,924.0,-9.00,710.0,False,,,
111/03/07,770876.0,699479641.0,907.0,920.0,903.0,909.0,-15.00,996.0,False,,,
111/03/08,752228.0,675986304.0,888.0,917.0,888.0,897.0,-12.00,1024.0,False,,,
111/03/09,845102.0,795123577.0,924.0,953.0,919.0,951.0,+54.00,964.0,False,,,
111/03/10,665576.0,639906456.0,960.0,972.0,954.0,954.0,+3.00,811.0,False,,,
111/03/11,486170.0,467086178.0,949.0,967.0,945.0,964.0,+10.00,522.0,False,0.7450980392156863,0.5816993464052287,0.5272331154684096
111/03/14,664453.0,658214123.0,968.0,1030.0,968.0,1030.0,+66.00,823.0,False,1.0,0.7211328976034858,0.5918663761801015
111/03/15,1003605.0,967926000.0,1000.0,1000.0,942.0,945.0,-85.00,1218.0,False,0.4014084507042254,0.6145580819703989,0.5994302781102006
111/03/16,587357.0,554068827.0,945.0,958.0,931.0,956.0,+11.00,1078.0,False,0.4788732394366197,0.5693298011258058,0.5893967857820689
111/03/17,831787.0,837828983.0,984.0,1020.0,977.0,1010.0,+54.00,1123.0,False,0.8591549295774648,0.6659381772763587,0.6149105829468322
111/03/18,445882.0,448090037.0,1015.0,1015.0,998.0,1005.0,-5.00,407.0,False,0.8239436619718309,0.7186066721748494,0.6494759460228379
111/03/21,9029077.0,8305375347.0,942.0,952.0,933.0,937.0,-68.00,1544.0,False,0.16216216216216214,0.533125168837287,0.6106923536276542
111/03/22,2001890.0,1852988016.0,929.0,941.0,905.0,921.0,-16.00,2207.0,False,0.128,0.3980834458915247,0.539822717715611
111/03/23,2135356.0,2024412720.0,930.0,964.0,928.0,958.0,+37.00,2041.0,False,0.424,0.4067222972610164,0.4954559108974128
111/03/24,1595589.0,1494474722.0,950.0,965.0,922.0,942.0,-16.00,1332.0,False,0.29600000000000004,0.3698148648406776,0.4535755622118344
111/03/25,857902.0,813115359.0,945.0,956.0,934.0,948.0,+6.00,937.0,False,0.3739130434782609,0.3711809243865387,0.4261106829367358
111/03/28,770771.0,711054305.0,938.0,941.0,917.0,920.0,-28.00,947.0,False,0.13043478260869565,0.29093221046059103,0.3810511921113542
111/03/29,645059.0,604858457.0,922.0,949.0,921.0,944.0,+24.00,706.0,False,0.3391304347826087,0.3069982852345969,0.3563668898191017
111/03/30,1461696.0,1435169737.0,976.0,1010.0,973.0,1005.0,+61.00,1703.0,False,0.9090909090909092,0.5076958265200342,0.4068098687194125
111/03/31,875870.0,861080472.0,1010.0,1020.0,985.0,1020.0,+15.00,815.0,False,1.0,0.6717972176800228,0.4951389850396159
111/04/01,866341.0,854019936.0,1000.0,1000.0,977.0,990.0,-30.00,929.0,False,0.7391304347826086,0.6942416233808847,0.5615065311533721
111/04/06,342929.0,340293469.0,980.0,999.0,979.0,992.0,+2.00,425.0,False,0.7281553398058253,0.7055461955225315,0.6095197526097585
111/04/07,804184.0,794277718.0,982.0,1000.0,970.0,988.0,-4.00,868.0,False,0.6893203883495146,0.7001375931315259,0.6397256994503476
111/04/08,898375.0,883460848.0,998.0,1005.0,969.0,972.0,-16.00,955.0,False,0.5339805825242718,0.6447519229291079,0.641401107276601
111/04/11,1177544.0,1156870565.0,1015.0,1035.0,953.0,960.0,-12.00,1303.0,False,0.3644067796610169,0.5513035418397443,0.6113685854643154
111/04/12,410505.0,398946505.0,954.0,979.0,953.0,973.0,+13.00,468.0,False,0.456140350877193,0.5195824781855605,0.580773216371397
111/04/13,321810.0,313105330.0,980.0,983.0,958.0,983.0,+10.00,438.0,False,0.36585365853658536,0.4683395383025688,0.5432953236817876
111/04/14,398021.0,385987270.0,980.0,1005.0,980.0,996.0,+13.00,422.0,False,0.5243902439024389,0.4870231068358588,0.524537918066478
111/04/15,277744.0,269749843.0,991.0,998.0,961.0,962.0,-34.00,409.0,False,0.1097560975609756,0.3612674370775644,0.4701144244035068
111/04/18,137687.0,134247138.0,960.0,982.0,960.0,974.0,+12.00,235.0,False,0.25609756097560976,0.3262108117102461,0.4221465535057532
111/04/19,380211.0,379375901.0,988.0,1005.0,988.0,996.0,+22.00,468.0,False,0.5243902439024389,0.3922706224409771,0.4121879098174944
111/04/20,801950.0,820531065.0,1000.0,1040.0,997.0,1030.0,+34.00,1117.0,False,0.8850574712643678,0.5565329053821073,0.460302908339032
111/04/21,638415.0,647105885.0,1020.0,1030.0,998.0,1015.0,-15.00,616.0,False,0.7126436781609196,0.6085698296417114,0.5097252154399251
111/04/22,874356.0,864506836.0,999.0,999.0,970.0,980.0,-35.00,896.0,False,0.3103448275862069,0.5091614956232099,0.5095373088343533
111/04/25,502352.0,484610583.0,960.0,974.0,955.0,967.0,-13.00,639.0,False,0.1411764705882353,0.3864998206115517,0.4685248127600861
111/04/26,667350.0,660279496.0,980.0,1010.0,976.0,998.0,+31.00,720.0,False,0.5058823529411764,0.4262939980547599,0.4544478745249773
111/04/27,920698.0,904348020.0,990.0,990.0,966.0,975.0,-23.00,750.0,False,0.2352941176470588,0.3626273712521929,0.42384104010071577
111/04/28,832171.0,828065928.0,988.0,1005.0,974.0,1005.0,+30.00,945.0,False,0.5882352941176471,0.4378300122073441,0.4285040308029253
111/04/29,623515.0,634561415.0,1020.0,1035.0,1010.0,1020.0,+15.00,695.0,False,0.7647058823529411,0.5467886355892099,0.4679322323983534
111/05/03,370383.0,379049720.0,1010.0,1040.0,1000.0,1035.0,+15.00,560.0,False,0.9411764705882352,0.6782512472555516,0.5380385706840861
111/05/04,800040.0,804287787.0,1040.0,1045.0,982.0,1010.0,-25.00,883.0,False,0.6111111111111112,0.6558712018740714,0.5773161144140813
111/05/05,515566.0,533136515.0,1030.0,1045.0,1015.0,1030.0,+20.00,639.0,False,0.8333333333333334,0.7150252456938254,0.623219158173996
111/05/06,504534.0,502127034.0,1005.0,1005.0,987.0,995.0,-35.00,770.0,False,0.4444444444444444,0.624831645277365,0.6237566538751189
111/05/09,663373.0,637789827.0,985.0,985.0,962.0,963.0,-32.00,655.0,False,0.012048192771084338,0.4205704944419381,0.5560279340640586
111/05/10,877998.0,815142897.0,957.0,962.0,935.0,946.0,-17.00,848.0,False,0.1,0.31371366296129205,0.4752565103631364
111/05/11,681113.0,633987760.0,950.0,954.0,922.0,922.0,-24.00,740.0,False,0.0,0.20914244197419468,0.38655182090015583
111/05/12,622500.0,573257162.0,921.0,938.0,905.0,923.0,+1.00,690.0,False,0.12857142857142856,0.18228543750660595,0.3184630264356392
111/05/13,945273.0,883119580.0,938.0,943.0,912.0,940.0,+17.00,901.0,False,0.25,0.2048569583377373,0.28059433706967185
111/05/16,668803.0,653002747.0,951.0,1000.0,951.0,969.0,+29.00,971.0,False,0.4571428571428571,0.2889522579394439,0.2833803106929292
111/05/17,573733.0,555628370.0,968.0,978.0,961.0,969.0, 0.00,679.0,False,0.4571428571428571,0.34501579100724833,0.3039254707977022
111/05/18,387408.0,371930895.0,969.0,970.0,953.0,956.0,-13.00,521.0,False,0.51,0.4000105273381656,0.33595382297785664
111/05/19,435130.0,406214493.0,940.0,942.0,921.0,938.0,-18.00,643.0,False,0.3473684210526316,0.3824631585763209,0.35145693484401136
111/05/20,616547.0,576634397.0,940.0,954.0,924.0,935.0,-3.00,697.0,False,0.3157894736842105,0.3602385969456174,0.3543841555445467
111/05/23,436233.0,409558659.0,939.0,954.0,930.0,930.0,-5.00,500.0,False,0.2631578947368421,0.3278783628760256,0.3455488913217063
111/05/24,809480.0,728604256.0,931.0,936.0,883.0,883.0,-47.00,1391.0,False,0.0,0.21858557525068373,0.3032277859646988
111/05/25,663596.0,584546345.0,885.0,900.0,873.0,878.0,-5.00,1054.0,False,0.03937007874015748,0.15884707641384166,0.2551008827810797
111/05/26,2109687.0,1702020560.0,854.0,862.0,791.0,791.0,-87.00,3543.0,False,0.0,0.1058980509425611,0.20536660550157348
111/05/27,1608547.0,1313054538.0,820.0,835.0,804.0,808.0,+17.00,1890.0,False,0.09090909090909093,0.10090173093140437,0.17054498064485046
111/05/30,1241894.0,1057322531.0,822.0,865.0,822.0,857.0,+49.00,1521.0,False,0.3687150837988827,0.1901728485538972,0.17708760328119932
111/05/31,1905833.0,1727272278.0,866.0,933.0,856.0,923.0,+66.00,1895.0,False,0.8098159509202454,0.3967205493426799,0.2502985853016928
111/06/01,1154872.0,1033612868.0,898.0,908.0,883.0,884.0,-39.00,2069.0,False,0.5705521472392638,0.4546644153082078,0.31842052863719783
111/06/02,635326.0,554575210.0,880.0,884.0,861.0,871.0,-13.00,790.0,False,0.4907975460122699,0.4667087922095618,0.3678499498279858
111/06/06,780318.0,688805681.0,881.0,896.0,861.0,886.0,+15.00,892.0,False,0.6551724137931034,0.5295299994040756,0.4217432996866824
111/06/07,698522.0,625061976.0,891.0,902.0,881.0,889.0,+3.00,840.0,False,0.6901408450704225,0.5830669479595245,0.4755178491109631
111/06/08,539434.0,484351197.0,891.0,918.0,885.0,887.0,-2.00,655.0,False,0.676056338028169,0.6140634113157393,0.5216997031792218
111/06/09,486643.0,439516739.0,900.0,910.0,899.0,900.0,+13.00,547.0,False,0.7441860465116279,0.6574376230477021,0.5669456764687152
111/06/10,368048.0,330600305.0,891.0,906.0,890.0,900.0, 0.00,408.0,False,0.7027027027027027,0.6725259829327024,0.6021391119567109
111/06/13,846776.0,732348048.0,876.0,878.0,850.0,866.0,-34.00,1085.0,False,0.1927710843373494,0.512607683400918,0.5722953024381132
111/06/14,1063015.0,896419489.0,846.0,856.0,828.0,841.0,-25.00,1223.0,False,0.14444444444444446,0.38988660374876016,0.5114924028749955
111/06/15,921818.0,768986559.0,842.0,850.0,825.0,825.0,-16.00,1099.0,False,0.0,0.2599244024991734,0.4276364027497215
111/06/16,913064.0,746094904.0,840.0,842.0,804.0,806.0,-19.00,1340.0,False,0.017543859649122806,0.1791308882158232,0.34480123123842205
111/06/17,1485095.0,1121678282.0,758.0,767.0,749.0,755.0,X0.00,1893.0,False,0.035502958579881665,0.13125491167050934,0.2736191247157845
111/06/20,780508.0,579430311.0,769.0,772.0,730.0,730.0,-25.00,1050.0,False,0.0,0.08750327444700623,0.21158050795952504
111/06/21,941554.0,710582876.0,742.0,775.0,742.0,761.0,+31.00,840.0,False,0.17222222222222222,0.11574292370541155,0.1796346465414872
111/06/22,551549.0,414734923.0,762.0,770.0,740.0,746.0,-15.00,652.0,False,0.09090909090909093,0.10746497943997134,0.1555780908409819
111/06/23,535337.0,396241778.0,751.0,757.0,726.0,734.0,-12.00,617.0,False,0.05263157894736842,0.08918717927577036,0.13344778698591134
111/06/24,517292.0,388588232.0,750.0,754.0,746.0,752.0,+18.00,551.0,False,0.2,0.1261247861838469,0.13100678671855653
111/06/27,746768.0,581790105.0,768.0,793.0,765.0,765.0,+13.00,1299.0,False,0.3145161290322581,0.1889219004666506,0.1503118246345879
111/06/28,484688.0,366187971.0,769.0,777.0,742.0,751.0,-14.00,627.0,False,0.2155172413793104,0.19778701410420385,0.16613688779112654
