日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,703447.0,963864340.0,1325.0,1415.0,1305.0,1355.0,+50.00,888.0,False,,,,,,
111/03/02,700142.0,912456930.0,1340.0,1355.0,1270.0,1320.0,-35.00,1060.0,False,,,,,,
111/03/03,454552.0,600806045.0,1350.0,1360.0,1300.0,1310.0,-10.00,570.0,False,,,,,,
111/03/04,1089553.0,1493087675.0,1350.0,1415.0,1335.0,1335.0,+25.00,1319.0,False,,,,,,
111/03/07,871115.0,1078246980.0,1300.0,1325.0,1205.0,1250.0,-85.00,1291.0,False,,,,,,
111/03/08,933324.0,1188557555.0,1245.0,1305.0,1235.0,1270.0,+20.00,1110.0,False,,,,,,
111/03/09,930625.0,1209572560.0,1330.0,1340.0,1275.0,1275.0,+5.00,1064.0,False,,,,,,
111/03/10,1292517.0,1767202625.0,1325.0,1400.0,1315.0,1385.0,+110.00,1494.0,False,,,,,,
111/03/11,1289567.0,1691208185.0,1385.0,1395.0,1250.0,1250.0,-135.00,2308.0,False,0.21428571428571427,0.4047619047619048,0.4682539682539682,,,
111/03/14,880214.0,1106556155.0,1270.0,1280.0,1215.0,1270.0,+20.00,1057.0,False,0.30952380952380953,0.37301587301587297,0.4365079365079365,,,
111/03/15,621048.0,732786780.0,1245.0,1260.0,1145.0,1145.0,-125.00,1773.0,False,0.0,0.24867724867724866,0.3738977072310405,,,
111/03/16,1966856.0,2226530240.0,1140.0,1200.0,1065.0,1190.0,+45.00,2125.0,False,0.35714285714285715,0.2848324514991182,0.3442092886537331,,,
111/03/17,965314.0,1216023175.0,1290.0,1290.0,1225.0,1240.0,+50.00,1216.0,False,0.5223880597014925,0.36401765423324295,0.3508120771802363,,,
111/03/18,1048852.0,1307942850.0,1220.0,1275.0,1185.0,1265.0,+25.00,1076.0,False,0.5970149253731343,0.4416834112798734,0.3811025218801153,,,
111/03/21,729099.0,914628745.0,1280.0,1290.0,1230.0,1240.0,-25.00,889.0,False,0.5223880597014925,0.4685849607537464,0.41026333483799227,,,
