日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,4938100.0,84159091.0,16.1,17.5,16.05,17.5,1.55,2133.0,False,,,
111/03/02,3231023.0,54862223.0,17.15,17.3,16.7,16.7,-0.8,1572.0,False,,,
111/03/03,1116927.0,18730213.0,16.8,16.95,16.6,16.65,-0.05,610.0,False,,,
111/03/04,1057511.0,17251976.0,16.7,16.7,16.1,16.2,-0.45,596.0,False,,,
111/03/07,1052434.0,16528145.0,16.2,16.2,15.35,15.6,-0.6,603.0,False,,,
111/03/08,762218.0,11962953.0,15.6,15.95,15.5,15.55,-0.05,409.0,False,,,
111/03/09,458083.0,7163814.0,15.7,15.85,15.5,15.7,0.15,233.0,False,,,
111/03/10,574081.0,9040909.0,15.8,15.9,15.6,15.65,-0.05,297.0,False,,,
111/03/11,328970.0,5181170.0,15.65,15.85,15.6,15.75,0.1,248.0,False,0.1860465116279071,0.3953488372093024,0.4651162790697674
111/03/14,730205.0,11635514.0,15.9,16.25,15.75,16.1,0.35,358.0,False,0.3846153846153853,0.3917710196779967,0.4406678592725105
111/03/15,666055.0,10650373.0,16.0,16.15,15.8,16.1,0.0,322.0,False,0.4687500000000012,0.4174306797853315,0.43292213277678415
111/03/16,516086.0,8370870.0,16.2,16.4,15.95,16.3,0.2,309.0,False,0.7037037037037047,0.5128550210914559,0.4595664288816746
111/03/17,672564.0,11084797.0,16.6,16.65,16.3,16.55,0.25,342.0,False,0.9230769230769248,0.6495956550866121,0.5229095042833204
111/03/18,324053.0,5333641.0,16.6,16.6,16.35,16.4,-0.15,220.0,False,0.7826086956521736,0.6939333352751326,0.5799174479472577
111/03/21,297437.0,4885773.0,16.5,16.5,16.3,16.45,0.05,197.0,False,0.8260869565217396,0.7379845423573348,0.6326064794172834
111/03/22,295184.0,4823673.0,16.5,16.5,16.2,16.3,-0.15,212.0,False,0.6666666666666684,0.7142119171271126,0.6598082919872265
111/03/23,369275.0,5983960.0,16.4,16.4,16.05,16.1,-0.2,268.0,False,0.4761904761904784,0.6348714368149011,0.6514960069297846
111/03/24,420283.0,6770243.0,16.15,16.3,16.0,16.1,0.0,238.0,False,0.3888888888888911,0.5528772541728977,0.6186230893441556
111/03/25,1613720.0,26771533.0,16.1,16.95,16.05,16.75,0.65,797.0,False,0.8260869565217396,0.6439471549558449,0.627064444548052
111/03/28,1459688.0,24731707.0,17.2,17.2,16.55,16.9,0.15,864.0,False,0.7599999999999995,0.6826314366372297,0.6455867752444445
