日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,43112.0,1054225.0,24.4,24.55,24.35,24.5,+0.15,94.0,False,,,,,,
111/03/02,21278.0,521715.0,24.75,24.75,24.45,24.55,+0.05,61.0,False,,,,,,
111/03/03,31341.0,761681.0,24.4,24.5,24.2,24.4,-0.15,106.0,False,,,,,,
111/03/04,15900.0,389486.0,24.6,24.6,24.35,24.5,+0.10,139.0,False,,,,,,
111/03/07,67790.0,1642343.0,25.2,25.2,24.0,24.25,-0.25,233.0,False,,,,24.439999999999998,,
111/03/08,36892.0,895003.0,24.8,24.8,24.0,24.2,-0.05,148.0,False,,,,24.379999999999995,,
111/03/09,29491.0,723593.0,24.4,24.75,24.35,24.5,+0.30,88.0,False,,,,24.369999999999997,,
111/03/10,27694.0,680795.0,24.6,24.85,24.4,24.55,+0.05,70.0,False,,,,24.399999999999995,,
111/03/11,49943.0,1212750.0,24.55,24.55,24.15,24.2,-0.35,72.0,False,0.1666666666666662,0.3888888888888887,0.4629629629629629,24.339999999999993,,
111/03/14,17614.0,426922.0,24.25,24.25,24.15,24.2, 0.00,109.0,False,0.1666666666666662,0.3148148148148145,0.4135802469135801,24.32999999999999,24.384999999999998,
111/03/15,106658.0,2549954.0,24.2,24.2,23.8,23.8,-0.40,205.0,False,0.0,0.2098765432098764,0.3456790123456788,24.249999999999993,24.314999999999998,
111/03/16,24255.0,578998.0,23.85,23.95,23.8,23.85,+0.05,85.0,False,0.03571428571428626,0.15182245737801298,0.2810601606897902,24.119999999999994,24.244999999999997,
111/03/17,24754.0,595994.0,23.95,24.3,23.9,24.15,+0.30,55.0,False,0.2499999999999987,0.18454830491867488,0.2488895420994184,24.039999999999996,24.219999999999995,
111/03/18,12631.0,303834.0,23.95,24.1,23.95,24.1,-0.05,89.0,False,0.2857142857142862,0.218270298517212,0.23868312757201626,24.019999999999996,24.179999999999996,
