日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,135979.0,2015681.0,14.85,14.95,14.7,14.7,0.2,171.0,False,,,
111/03/02,46317.0,683401.0,14.8,14.8,14.65,14.75,0.05,144.0,False,,,
111/03/03,73077.0,1088486.0,14.8,15.05,14.75,14.9,0.15,119.0,False,,,
111/03/04,56551.0,837418.0,15.05,15.05,14.7,14.75,-0.15,115.0,False,,,
111/03/07,112166.0,1625742.0,14.7,14.75,14.35,14.45,-0.3,331.0,False,,,
111/03/08,233638.0,3309863.0,14.35,14.45,13.95,14.0,-0.45,385.0,False,,,
111/03/09,54129.0,773992.0,14.2,14.4,14.2,14.35,0.35,190.0,False,,,
111/03/10,79981.0,1159094.0,14.75,14.75,14.35,14.5,0.15,141.0,False,,,
111/03/11,64294.0,923175.0,14.5,14.5,14.25,14.3,-0.2,160.0,False,0.31818181818181906,0.4393939393939397,0.4797979797979799
111/03/14,47452.0,672325.0,14.3,14.3,14.1,14.25,-0.05,167.0,False,0.27272727272727304,0.3838383838383841,0.447811447811448
111/03/15,99842.0,1408783.0,14.2,14.2,14.0,14.05,-0.2,203.0,False,0.09090909090909208,0.2861952861952868,0.3939393939393942
111/03/16,85217.0,1203383.0,14.1,14.2,14.0,14.2,0.15,158.0,False,0.22727272727272704,0.2665544332211002,0.3514777403666295
111/03/17,77385.0,1103630.0,14.45,14.45,14.2,14.3,0.1,106.0,False,0.4375000000000014,0.3235362888140673,0.34216392318244204
111/03/18,22752.0,323461.0,14.15,14.3,14.15,14.3,0.0,98.0,False,0.4375000000000014,0.361524192542712,0.34861734630253194
111/03/21,46720.0,664291.0,14.3,14.3,14.15,14.25,-0.05,117.0,False,0.3333333333333333,0.3521272394729191,0.34978731069266106
111/03/22,44316.0,628438.0,14.2,14.25,14.15,14.15,-0.1,176.0,False,0.20000000000000048,0.30141815964861285,0.3336642603446449
111/03/23,72637.0,1027746.0,14.25,14.25,14.0,14.15,0.0,225.0,False,0.3000000000000007,0.3009454397657421,0.322757986818344
111/03/24,99607.0,1402584.0,14.15,14.15,14.0,14.05,-0.1,190.0,False,0.11111111111111288,0.23766733021419906,0.29439443461696235
111/03/25,88660.0,1248575.0,14.2,14.2,14.0,14.15,0.1,214.0,False,0.33333333333333465,0.26955599792057755,0.2861149557181674
111/03/28,99613.0,1404052.0,14.15,14.3,14.0,14.05,-0.1,281.0,False,0.11111111111111288,0.2167410356507561,0.2629903156956969
111/03/29,176636.0,2494916.0,14.1,14.25,14.05,14.1,0.05,258.0,False,0.2222222222222218,0.21856809784124456,0.2481829097442128
111/03/30,40133.0,568151.0,14.15,14.25,14.1,14.2,0.1,128.0,False,0.6666666666666627,0.3679342874497172,0.2881000356460476
