日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,1834275.0,191217531.0,102.5,105.5,102.0,105.0,+4.50,1298.0,False,,,,,,
111/03/02,1595293.0,168348174.0,105.0,107.0,104.0,107.0,+2.00,1248.0,False,,,,,,
111/03/03,2482585.0,266326403.0,109.0,109.0,105.5,107.5,+0.50,2056.0,False,,,,,,
111/03/04,1394195.0,147273738.0,106.5,107.0,104.0,104.0,-3.50,1497.0,False,,,,,,
111/03/07,1597483.0,161169334.0,103.0,103.0,100.0,100.5,-3.50,1362.0,False,,,,104.8,,
111/03/08,2018450.0,202810204.0,99.5,103.0,99.4,99.5,-1.00,1576.0,False,,,,103.7,,
111/03/09,1044445.0,105510652.0,101.5,102.0,100.0,101.5,+2.00,851.0,False,,,,102.6,,
111/03/10,2570471.0,269022918.0,104.0,105.5,103.5,105.0,+3.50,1648.0,False,,,,102.1,,
111/03/11,1566639.0,164962622.0,105.5,106.0,104.0,105.0, 0.00,1299.0,False,0.583333333333333,0.5277777777777777,0.5092592592592592,102.3,,
111/03/14,945303.0,99552736.0,106.5,107.0,104.5,105.0, 0.00,840.0,False,0.583333333333333,0.5462962962962961,0.5216049382716048,103.2,104.0,
111/03/15,4457133.0,472094238.0,108.0,109.0,104.0,104.5,-0.50,3294.0,False,0.5312499999999997,0.5412808641975306,0.5281635802469133,104.2,103.95,
111/03/16,2806271.0,296558168.0,106.0,107.0,104.0,105.0,+0.50,2069.0,False,0.583333333333333,0.5552983539094647,0.537208504801097,104.9,103.75,
111/03/17,9785862.0,1072930157.0,108.0,112.0,107.5,112.0,+7.00,5736.0,False,1.0,0.7035322359396431,0.5926497485139457,106.3,104.2,
111/03/18,12956075.0,1474126029.0,112.0,116.5,109.5,114.0,+2.00,10155.0,False,0.8538011695906432,0.7536218804899765,0.6463071258392893,108.1,105.2,
111/03/21,9293838.0,1075039277.0,115.5,118.5,112.5,113.5,-0.50,6916.0,False,0.7297297297297297,0.7456578302365608,0.6794240273050465,109.8,106.5,
111/03/22,4052475.0,462298167.0,112.5,115.5,112.5,114.5,+1.00,2689.0,False,0.7333333333333333,0.7415496646021515,0.7001325730707482,111.8,108.0,
111/03/23,10412991.0,1208654658.0,115.5,119.0,113.0,115.0,+0.50,8521.0,False,0.7333333333333333,0.7388108875125454,0.7130253445513473,113.8,109.35,
111/03/24,4720237.0,544802402.0,115.0,116.5,114.0,115.0, 0.00,3308.0,False,0.7333333333333333,0.7369850361194747,0.7210119084073897,114.4,110.35,
111/03/25,4300029.0,486590717.0,116.0,116.5,111.0,112.0,-3.00,3676.0,False,0.5333333333333333,0.669101135190761,0.7037083173351801,114.0,111.05,
