日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,541079.0,20099127.0,37.1,37.25,37.1,37.2,+0.15,383.0,False,,,
111/03/02,494933.0,18384552.0,37.2,37.3,37.0,37.2, 0.00,326.0,False,,,
111/03/03,1259751.0,47392282.0,37.2,37.85,37.2,37.65,+0.45,827.0,False,,,
111/03/04,454741.0,17016846.0,37.65,37.65,37.35,37.4,-0.25,340.0,False,,,
111/03/07,1270501.0,46954763.0,37.15,37.15,36.85,37.0,-0.40,932.0,False,,,
111/03/08,857712.0,31599966.0,36.95,37.0,36.7,36.8,-0.20,801.0,False,,,
111/03/09,419892.0,15540534.0,36.9,37.1,36.85,37.1,+0.30,332.0,False,,,
111/03/10,368788.0,13711545.0,37.1,37.3,37.1,37.25,+0.15,261.0,False,,,
111/03/11,531037.0,19651730.0,37.1,37.15,36.95,36.95,-0.30,391.0,False,0.2173913043478264,0.4057971014492753,0.4685990338164251
111/03/14,396822.0,14684728.0,37.0,37.15,36.9,37.05,+0.10,332.0,False,0.30434782608695193,0.3719806763285009,0.4363929146537837
111/03/15,694224.0,25963591.0,38.0,38.0,37.15,37.15,+0.10,434.0,False,0.34615384615384365,0.3633717329369485,0.4120525207481719
111/03/16,527323.0,19530830.0,37.0,37.25,36.9,37.25,+0.10,393.0,False,0.4230769230769218,0.3832734629836062,0.4024595014933167
111/03/17,1301867.0,49052708.0,37.4,37.85,37.4,37.8,+0.55,804.0,False,0.8461538461538436,0.537566924040352,0.44749530900899503
111/03/18,2736373.0,105341039.0,37.8,38.8,37.8,38.7,+0.90,1621.0,False,0.9523809523809548,0.6758382668205529,0.5236096282795143
111/03/21,2343950.0,91620915.0,39.2,39.5,38.75,38.85,+0.15,1344.0,False,0.7547169811320759,0.7021311715910605,0.5831168093833629
111/03/22,2021090.0,78762923.0,38.85,39.25,38.75,39.1,+0.25,1073.0,False,0.8461538461538468,0.7501387297786559,0.6387907828484606
111/03/23,1713054.0,66909283.0,39.15,39.25,38.85,39.15,+0.05,1062.0,False,0.8653846153846149,0.7885540249806422,0.6887118635591878
111/03/24,2021203.0,79299411.0,39.15,39.45,39.05,39.4,+0.25,1098.0,False,0.961538461538461,0.8462155038332484,0.7412130769838746
111/03/25,1545731.0,60774423.0,39.55,39.6,39.15,39.2,-0.20,847.0,False,0.8518518518518525,0.8480942865061163,0.7768401468246218
111/03/28,1196443.0,46600694.0,39.15,39.15,38.75,39.0,-0.20,687.0,False,0.7777777777777775,0.8246554502633365,0.7927785813041933
111/03/29,941896.0,36914308.0,39.15,39.3,39.0,39.2,+0.20,530.0,False,0.818181818181819,0.8224975729028305,0.8026849118370724
111/03/30,899017.0,34978758.0,39.0,39.05,38.75,38.95,-0.25,949.0,False,0.6388888888888905,0.7612946782315171,0.7888881673018873
111/03/31,1053392.0,40798252.0,38.9,39.1,38.5,38.5,-0.45,750.0,False,0.0,0.507529785487678,0.6951020400304841
111/04/01,566420.0,21775788.0,38.4,38.55,38.25,38.4,-0.10,401.0,False,0.11111111111110994,0.3753902273621553,0.5885314358077078
111/04/06,1167702.0,44498545.0,38.4,38.4,37.85,38.1,-0.30,759.0,False,0.14285714285714285,0.29787919919381783,0.4916473569364112
111/04/07,1212781.0,45927517.0,38.0,38.2,37.65,37.7,-0.40,791.0,False,0.02564102564102779,0.20713314134288785,0.3968092850719034
111/04/08,424907.0,16084236.0,37.8,38.0,37.75,38.0,+0.30,292.0,False,0.17948717948717996,0.1979178207243185,0.3305121302893751
111/04/11,856097.0,32286738.0,38.2,38.2,37.5,37.55,-0.45,577.0,False,0.027777777777776243,0.14120447307547107,0.2674095778847404
111/04/12,531804.0,19849021.0,37.2,37.45,37.2,37.35,-0.20,465.0,False,0.07142857142857094,0.11794583919317105,0.2175883316542173
111/04/13,696006.0,26018757.0,37.35,37.55,37.2,37.5,+0.15,485.0,False,0.1578947368421039,0.13126213840948198,0.18881293390597206
111/04/14,445224.0,16685145.0,37.3,37.6,37.3,37.45,-0.05,328.0,False,0.13157894736842116,0.13136774139579502,0.16966453640257975
111/04/15,436636.0,16305844.0,37.45,37.45,37.2,37.35,-0.10,344.0,False,0.11111111111111052,0.12461553130090018,0.15464820136868654
111/04/18,432895.0,16169781.0,37.4,37.45,37.25,37.3,-0.05,270.0,False,0.08333333333332889,0.11085479864504308,0.1400504004608054
111/04/19,411663.0,15371391.0,37.3,37.45,37.25,37.45,+0.15,301.0,False,0.25,0.15723653243002872,0.14577911111721314
111/04/20,234490.0,8783066.0,37.45,37.5,37.4,37.45, 0.00,212.0,False,0.25,0.1881576882866858,0.15990530350703738
111/04/21,340695.0,12810951.0,37.45,37.7,37.4,37.6,+0.15,255.0,False,0.3999999999999986,0.2587717921911234,0.19286079973506606
111/04/22,558441.0,20937853.0,37.55,37.65,37.3,37.55,-0.05,380.0,False,0.6999999999999886,0.4058478614607451,0.2638564869769591
111/04/25,632507.0,23642105.0,37.35,37.6,37.25,37.35,-0.20,431.0,False,0.2999999999999972,0.3705652409738291,0.2994260716425824
111/04/26,390644.0,14626747.0,37.35,37.6,37.35,37.45,+0.10,300.0,False,0.5,0.4137101606492194,0.33752076797812797
111/04/27,696993.0,26042833.0,37.5,37.65,37.25,37.3,-0.15,491.0,False,0.19999999999998866,0.34247344043280914,0.33917165879635497
111/04/28,605595.0,22850372.0,37.35,38.2,37.35,37.8,+0.50,448.0,False,0.5789473684210479,0.4212980830955554,0.3665471335627552
111/04/29,552235.0,20957643.0,37.85,38.2,37.65,38.2,+0.40,339.0,False,1.0,0.6141987220637035,0.4490976630630713
111/05/03,532339.0,20076096.0,37.85,37.95,37.5,37.75,-0.45,428.0,False,0.5263157894736826,0.5849044112003632,0.4943665791088352
111/05/04,344068.0,12918944.0,37.75,37.75,37.45,37.5,-0.25,321.0,False,0.2631578947368413,0.4776555723791892,0.4887962435322865
111/05/05,321872.0,12063578.0,37.5,37.7,37.4,37.5, 0.00,242.0,False,0.2631578947368413,0.40615634649840654,0.4612496111876598
111/05/06,554533.0,20691994.0,37.4,37.45,37.2,37.4,-0.10,387.0,False,0.19999999999999574,0.3374375643322696,0.4199789289025297
111/05/09,612362.0,22792479.0,37.4,37.4,37.15,37.2,-0.20,407.0,False,0.04761904761905149,0.2408313920945302,0.3602630832998632
111/05/10,470553.0,17474852.0,37.05,37.4,36.95,37.4,+0.20,325.0,False,0.3599999999999966,0.2805542613963523,0.3336934759986929
111/05/11,302446.0,11253950.0,37.4,37.4,37.15,37.2,-0.20,232.0,False,0.2,0.2537028409309015,0.30702993097609577
111/05/12,611338.0,22610248.0,37.15,37.15,36.85,36.85,-0.35,492.0,False,0.0,0.16913522728726765,0.2610650297464864
111/05/13,511122.0,19014370.0,36.85,37.4,36.85,37.3,+0.45,415.0,False,0.4090909090909047,0.24912045455514664,0.2570835046827065
111/05/16,639896.0,23936899.0,37.4,37.75,37.0,37.35,+0.05,591.0,False,0.5555555555555565,0.3512654882219499,0.2884774991957876
111/05/17,641218.0,24137344.0,37.25,37.8,37.25,37.7,+0.35,385.0,False,0.8947368421052687,0.5324226061830561,0.3697925348582104
111/05/18,279854.0,10535430.0,37.4,37.8,37.4,37.7, 0.00,297.0,False,0.8947368421052687,0.6531940181571271,0.4642596959578492
111/05/19,399629.0,14887615.0,37.5,37.5,36.9,37.3,-0.40,488.0,False,0.4736842105263134,0.5933574156135224,0.5072922691764069
111/05/20,577707.0,21757701.0,37.3,38.0,37.3,37.6,+0.30,289.0,False,0.652173913043479,0.6129629147568412,0.5425158177032183
111/05/23,229126.0,8611764.0,37.65,37.7,37.5,37.65,+0.05,150.0,False,0.6956521739130419,0.6405260011422413,0.5751858788495593
111/05/24,353012.0,13282117.0,37.6,37.7,37.55,37.55,-0.10,190.0,False,0.6086956521739101,0.6299158848194643,0.593429214172861
111/05/25,365394.0,13783911.0,37.65,37.9,37.6,37.8,+0.25,349.0,False,0.8260869565217365,0.6953062420535551,0.6273882234664256
111/05/26,522337.0,19796886.0,37.95,37.95,37.8,37.9,+0.10,419.0,False,0.9090909090909081,0.7665677977326726,0.6737814148885078
111/05/27,694123.0,26426675.0,38.0,38.15,38.0,38.15,+0.25,501.0,False,1.0,0.8443785318217816,0.7306471205329325
111/05/30,744141.0,28517713.0,38.2,38.45,38.15,38.4,+0.25,534.0,False,0.9677419354838684,0.8854996663758103,0.7822646358138917
111/05/31,1213236.0,46507403.0,38.4,38.5,38.0,38.5,+0.10,497.0,False,1.0,0.9236664442505402,0.8293985719594411
111/06/01,382829.0,14676588.0,38.5,38.5,38.25,38.3,-0.20,258.0,False,0.8333333333333314,0.8935554072781372,0.8507841837323398
