日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,230624.0,11837817.0,51.2,51.7,50.4,51.4,+1.65,190.0,False,,,
111/03/02,209357.0,10888877.0,51.4,52.4,51.4,51.9,+0.50,168.0,False,,,
111/03/03,588632.0,31590141.0,53.0,54.3,52.8,54.0,+2.10,463.0,False,,,
111/03/04,285224.0,15145966.0,54.0,54.0,52.5,52.7,-1.30,216.0,False,,,
111/03/07,3047836.0,170050431.0,52.0,57.0,51.7,56.3,+3.60,1814.0,False,,,
111/03/08,5443176.0,319601953.0,56.3,60.8,55.5,57.9,+1.60,3815.0,False,,,
111/03/09,8989416.0,562371819.0,62.8,63.6,60.4,62.0,+4.10,4370.0,False,,,
111/03/10,5630809.0,349781123.0,60.5,64.5,60.4,61.3,-0.70,3250.0,False,,,
111/03/11,7658541.0,487800703.0,61.7,65.3,61.3,65.3,+4.00,4426.0,False,1.0,0.6666666666666666,0.5555555555555556
111/03/14,4335695.0,278670125.0,65.3,65.4,63.0,65.2,-0.10,2528.0,False,0.9857142857142857,0.7730158730158729,0.628042328042328
111/03/15,4288071.0,262566907.0,63.1,64.5,58.8,58.8,-6.40,2683.0,False,0.5182481751824812,0.6880933070714089,0.6480593210520216
111/03/16,3225355.0,191464728.0,59.9,60.8,57.0,58.9,+0.10,1692.0,False,0.525547445255474,0.6339113531327639,0.6433433317456023
111/03/17,1768749.0,106109471.0,59.6,61.0,59.0,61.0,+2.10,942.0,False,0.6788321167883208,0.6488849410179495,0.6451905348363847
111/03/18,9593300.0,624729872.0,60.7,66.9,60.7,64.6,+3.60,5964.0,False,0.7982456140350869,0.6986718320236619,0.6630176338988104
111/03/21,8729691.0,586051020.0,65.6,69.5,64.5,68.2,+3.60,5790.0,False,0.8960000000000002,0.7644478880157747,0.6968277186044651
111/03/22,5247230.0,354359543.0,67.3,69.0,66.1,68.5,+0.30,3615.0,False,0.92,0.8162985920105164,0.7366513430731488
111/03/23,3893573.0,264030383.0,68.8,69.5,66.2,67.2,-1.30,2377.0,False,0.8160000000000003,0.8161990613403443,0.7631672491622139
111/03/24,7740108.0,542362356.0,66.8,71.5,66.8,70.5,+3.30,4871.0,False,0.9310344827586208,0.8544775351464363,0.7936040111569547
111/03/25,3731506.0,255934856.0,69.8,70.5,67.0,67.3,-3.20,2573.0,False,0.7103448275862067,0.8064332992930263,0.7978804405356452
111/03/28,6921871.0,484948409.0,65.5,72.4,65.5,70.5,+3.20,4268.0,False,0.8766233766233763,0.8298299917364762,0.8085302909359222
111/03/29,2776711.0,192638693.0,69.0,71.0,68.3,69.0,-1.50,2076.0,False,0.7462686567164176,0.8019762133964566,0.8063455984227671
111/03/30,2667462.0,183837839.0,69.5,69.9,68.1,68.2,-0.80,1496.0,False,0.6410256410256409,0.7483260226061846,0.7870057398172394
111/03/31,3862845.0,267994666.0,69.9,71.5,67.9,67.9,-0.30,2308.0,False,0.4303797468354433,0.6423439306826042,0.7387851367723609
111/04/01,2096811.0,142889284.0,67.1,69.7,67.1,67.6,-0.30,1442.0,False,0.30434782608695543,0.5296785624840546,0.6690829453429256
111/04/06,5138821.0,350101935.0,67.8,70.7,65.9,66.3,-1.30,3177.0,False,0.11594202898550672,0.3917663846512053,0.5766440917790188
111/04/07,3126795.0,201546176.0,66.3,66.9,63.0,63.8,-2.50,2170.0,False,0.08510638297872307,0.2895463840937112,0.4809448558839162
111/04/08,2206216.0,145154486.0,65.0,66.9,64.3,66.3,+2.50,1173.0,False,0.35106382978723355,0.3100521993248853,0.4239806370309059
111/04/11,4779472.0,292423246.0,66.5,66.5,59.7,59.7,-6.60,2801.0,False,0.0,0.2067014662165902,0.3515542467594673
111/04/12,1265086.0,75243327.0,59.0,60.7,58.4,58.8,-0.90,818.0,False,0.030534351145038056,0.1479790945260728,0.28369586268166913
111/04/13,1885572.0,110359036.0,59.8,60.2,57.1,58.1,-0.70,1058.0,False,0.06944444444444445,0.12180087783219667,0.2297308677318449
111/04/14,1430222.0,81819656.0,58.4,58.6,56.5,56.7,-1.40,966.0,False,0.013333333333333523,0.08564502966590895,0.1817022550431996
111/04/15,2031779.0,112351064.0,56.2,57.3,53.9,54.7,-2.00,1422.0,False,0.04761904761904786,0.07296970231695525,0.14545807080111814
111/04/18,1310244.0,73246215.0,56.1,56.9,55.0,55.6,+0.90,867.0,False,0.10119047619047633,0.08237662694146228,0.12443092284789953
