日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,1037648.0,24291454.0,23.5,23.7,23.15,23.5,-0.10,719.0,False,,,,,,
111/03/02,935750.0,21883340.0,23.55,23.7,23.2,23.35,-0.15,756.0,False,,,,,,
111/03/03,824403.0,19256765.0,23.35,23.45,23.25,23.35, 0.00,535.0,False,,,,,,
111/03/04,716521.0,16622544.0,23.45,23.5,23.1,23.15,-0.20,500.0,False,,,,,,
111/03/07,1282311.0,28804228.0,23.1,23.1,22.25,22.35,-0.80,866.0,False,,,,,,
111/03/08,1453192.0,31845653.0,22.2,22.3,21.6,21.7,-0.65,952.0,False,,,,,,
111/03/09,901137.0,19885710.0,21.85,22.3,21.85,22.05,+0.35,566.0,False,,,,,,
111/03/10,835635.0,18796562.0,22.3,22.7,22.2,22.7,+0.65,576.0,False,,,,,,
111/03/11,746619.0,16516990.0,22.7,22.7,21.95,22.1,-0.60,547.0,False,0.2380952380952384,0.4126984126984128,0.4708994708994709,,,
111/03/14,2416032.0,54787010.0,22.2,23.2,22.05,22.55,+0.45,1372.0,False,0.4523809523809525,0.4259259259259261,0.4559082892416226,,,
111/03/15,2178520.0,49618680.0,22.95,23.3,22.4,22.5,-0.05,1184.0,False,0.4736842105263154,0.4418453541260557,0.4512206442031002,,,
111/03/16,800225.0,17960440.0,22.7,22.7,22.25,22.5, 0.00,489.0,False,0.4736842105263154,0.4524583062594756,0.451633198221892,,,
111/03/17,1694469.0,38638146.0,22.6,23.0,22.55,22.8,+0.30,725.0,False,0.7058823529411763,0.5369329884867091,0.4800664616434977,,,
111/03/18,923445.0,21131428.0,22.7,23.0,22.7,23.0,+0.20,496.0,False,0.8235294117647054,0.6324651295793745,0.5308660176221233,,,
111/03/21,1858483.0,42921458.0,23.05,23.35,22.9,23.05,+0.05,816.0,False,0.7999999999999995,0.6883100863862495,0.583347373876832,,,
111/03/22,555732.0,12694787.0,23.05,23.05,22.65,22.85,-0.20,365.0,False,0.6428571428571433,0.6731591052098808,0.6132846176545148,,,
111/03/23,1876800.0,43154467.0,22.95,23.15,22.85,23.05,+0.20,642.0,False,0.7857142857142856,0.7106774987113491,0.6457489113401262,,,
111/03/24,3490277.0,82122463.0,23.05,24.3,22.75,23.85,+0.80,1881.0,False,0.8000000000000003,0.7404516658075659,0.6773164961626061,,,
111/03/25,2810906.0,66462966.0,23.9,24.1,23.25,23.25,-0.60,1714.0,False,0.4878048780487803,0.6562360698879708,0.6702896874043943,,,
111/03/28,5001677.0,127590305.0,25.5,25.55,25.2,25.55,+2.30,2260.0,False,1.0,0.7708240465919804,0.703801140466923,,,
111/03/29,7610310.0,185022146.0,24.5,24.65,23.8,24.15,-1.40,4157.0,False,0.5333333333333327,0.6916604755057645,0.6997542521465367,,,
111/03/30,6761601.0,167099606.0,24.2,25.3,23.85,24.75,+0.60,3561.0,False,0.7241379310344828,0.7024862940153371,0.7006649327694702,,,
111/03/31,14093669.0,361682276.0,25.0,26.45,24.75,26.0,+1.25,7707.0,False,0.8815789473684212,0.7621838451330318,0.7211712368906573,,,
111/04/01,25400650.0,671554893.0,26.3,27.25,25.6,26.4,+0.40,12556.0,False,0.8152173913043476,0.7798616938568037,0.7407347225460394,,,
111/04/06,18762132.0,514267036.0,27.65,28.5,26.9,27.0,+0.60,8876.0,False,0.7391304347826086,0.7662846074987386,0.7492513508636058,,,
111/04/07,20747816.0,565618748.0,27.0,28.0,26.15,27.05,+0.05,10663.0,False,0.7478260869565219,0.7601317673179997,0.7528781563484037,,,
111/04/08,7900949.0,208333071.0,26.5,26.8,25.95,26.55,-0.50,4414.0,False,0.6285714285714287,0.7162783210691427,0.7406782112553166,,,
111/04/11,5771909.0,154880262.0,26.95,27.35,26.1,26.1,-0.45,3188.0,False,0.4893617021276598,0.6406394480886484,0.7073319568664271,,,
111/04/12,3589433.0,91381497.0,25.85,26.5,25.0,25.0,-1.10,2260.0,False,0.2553191489361701,0.5121993483711555,0.6422877540346699,,,
111/04/13,1561899.0,38944798.0,25.65,25.65,24.7,24.75,-0.25,1228.0,False,0.19354838709677394,0.4059823612796951,0.5635192897830116,,,
111/04/14,4453532.0,108872907.0,24.5,24.8,24.15,24.2,-0.55,2329.0,False,0.011494252873563378,0.27448632514431776,0.4671749682367803,,,
111/04/15,2821834.0,69006554.0,24.5,24.75,24.2,24.2, 0.00,1548.0,False,0.011494252873563378,0.1868223010540663,0.3737240791758756,,,
111/04/18,1523294.0,36994912.0,24.2,24.55,24.0,24.1,-0.10,975.0,False,0.022222222222222542,0.13195560811011836,0.2931345888206232,,,
111/04/19,1522851.0,35966599.0,24.1,24.1,23.4,23.65,-0.45,1042.0,False,0.054347826086956506,0.10608634743573107,0.23078517502565915,,,
111/04/20,1731929.0,41692335.0,23.75,24.55,23.6,24.4,+0.75,1006.0,False,0.2531645569620251,0.1551124172778291,0.2055609224430492,,,
