,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,535.0,2498,宏達電,53512,50480,28666,28526,,,,,,,,,,,False
2022-12-12,,2498,宏達電,51284,51094,28714,28459,1779.0,1969.0,,206895.0,330.0,105.0,30.0,206895.0,29.0, ,False
2022-12-13,,2498,宏達電,51019,51224,27809,27577,1435.0,1217.0,13.0,206895.0,236.0,94.0,90.0,206895.0,24.0, ,False
2022-12-14,,2498,宏達電,51224,50769,27577,27300,989.0,1444.0,,206895.0,252.0,168.0,193.0,206895.0,6.0, ,False
2022-12-15,,2498,宏達電,50769,51026,27300,27262,1444.0,1183.0,4.0,206895.0,116.0,78.0,,206895.0,17.0, ,False
2022-12-18,,2498,宏達電,51026,50945,27262,26603,1240.0,1321.0,,206895.0,637.0,297.0,319.0,206895.0,28.0, ,False
2022-12-19,,2498,宏達電,50945,50385,26603,26344,861.0,1399.0,22.0,206895.0,418.0,159.0,,206895.0,16.0, ,False
2022-12-20,,2498,宏達電,50385,49131,26344,26079,1440.0,2672.0,22.0,206895.0,487.0,224.0,2.0,206895.0,33.0, ,False
2022-12-21,,2498,宏達電,49131,49196,26079,24831,1299.0,1231.0,3.0,206895.0,1742.0,494.0,,206895.0,11.0, ,False
2022-12-23,,2498,宏達電,49479,49899,24480,24342,1100.0,668.0,12.0,206895.0,265.0,257.0,130.0,206895.0,12.0, ,False
2022-12-26,,2498,宏達電,49899,50236,24342,24362,957.0,594.0,26.0,206895.0,91.0,111.0,,206895.0,13.0, ,False
2022-12-27,,2498,宏達電,50236,50165,24362,24256,1211.0,1270.0,12.0,206895.0,117.0,364.0,353.0,206895.0,13.0, ,False
2022-12-28,,2498,宏達電,50165,50573,24256,23711,1429.0,1010.0,11.0,206895.0,622.0,77.0,,206895.0,29.0, ,False
2022-12-29,,2498,宏達電,50573,50626,23711,23718,626.0,564.0,9.0,206895.0,161.0,168.0,,206895.0,14.0, ,False
2022-12-30,,2498,宏達電,50626,51183,23718,23700,1291.0,723.0,11.0,206895.0,106.0,89.0,1.0,206895.0,31.0, ,False
2023-01-03,,2498,宏達電,51183,50169,23700,23969,1535.0,2544.0,5.0,206895.0,129.0,398.0,,206895.0,28.0, ,
2023-01-04,,2498,宏達電,50169,51477,23969,24769,3129.0,1792.0,29.0,206895.0,47.0,847.0,,206895.0,28.0, ,
2023-01-05,,2498,宏達電,51477,50940,24769,24672,2882.0,3396.0,23.0,206895.0,491.0,397.0,3.0,206895.0,31.0, ,
2023-01-06,,2498,宏達電,50940,50525,24672,24516,1295.0,1654.0,56.0,206895.0,272.0,117.0,1.0,206895.0,31.0, ,
2023-01-10,,2498,宏達電,50571,50428,24334,24725,1056.0,1191.0,8.0,206895.0,124.0,516.0,1.0,206895.0,17.0, ,
2023-01-11,,2498,宏達電,50428,51314,24725,24875,1845.0,957.0,2.0,206895.0,94.0,244.0,,206895.0,3.0, ,
2023-01-12,,2498,宏達電,51314,53767,24875,25385,4469.0,2006.0,10.0,206895.0,67.0,627.0,50.0,206895.0,26.0, ,
2023-01-14,,2498,宏達電,53767,53240,25385,24250,2578.0,3100.0,5.0,206895.0,1213.0,88.0,10.0,206895.0,11.0, ,
2023-01-16,,2498,宏達電,53240,52858,24250,24123,861.0,1215.0,28.0,206895.0,153.0,34.0,8.0,206895.0,5.0, ,
2023-01-18,,2498,宏達電,52858,52065,24123,23670,663.0,1117.0,339.0,206895.0,521.0,68.0,,206895.0,, ,
2023-02-01,,2498,宏達電,50622,49859,24954,25125,1642.0,2400.0,5.0,206895.0,100.0,271.0,,206895.0,8.0, ,
2023-02-02,,2498,宏達電,50622,49859,24954,25125,1642.0,2400.0,5.0,206895.0,100.0,271.0,,206895.0,8.0, ,
2023-02-03,,2498,宏達電,48567,50270,25906,25642,8477.0,6764.0,10.0,206895.0,580.0,318.0,2.0,206895.0,201.0, ,
2023-02-04,,2498,宏達電,48567,50270,25906,25642,8477.0,6764.0,10.0,206895.0,580.0,318.0,2.0,206895.0,201.0, ,
2023-02-06,,2498,宏達電,50270,53539,25642,26815,8599.0,5326.0,4.0,206895.0,246.0,1423.0,4.0,206895.0,95.0, ,
2023-02-07,,2498,宏達電,53539,52658,26815,25800,5108.0,5971.0,18.0,206895.0,826.0,170.0,359.0,206895.0,32.0, ,
2023-02-08,,2498,宏達電,52658,52666,25800,25799,3294.0,3267.0,19.0,206895.0,210.0,215.0,6.0,206895.0,20.0, ,
2023-02-09,,2498,宏達電,52666,53559,25799,26292,3845.0,2865.0,87.0,206895.0,110.0,612.0,9.0,206895.0,52.0, ,
2023-02-10,,2498,宏達電,53559,51733,26292,25590,3145.0,4930.0,41.0,206895.0,838.0,136.0,,206895.0,24.0, ,
