0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1281456.0,13946447.0,10.9,10.95,10.8,10.9,+0.10,487.0,False,,,
23.0,2022-03-01,1281456.0,13946447.0,10.9,10.95,10.8,10.9,+0.10,487.0,False,0.09999999999999963,0.5291322511891473,0.693637679179803
1.0,2022-03-02,1434630.0,15717333.0,10.9,11.05,10.9,10.95,+0.05,623.0,False,,,
24.0,2022-03-02,1434630.0,15717333.0,10.9,11.05,10.9,10.95,+0.05,623.0,False,0.14999999999999858,0.40275483412609775,0.5966767308285679
2.0,2022-03-03,1255484.0,13812702.0,11.05,11.05,10.95,11.0,+0.05,433.0,False,,,
25.0,2022-03-03,1255484.0,13812702.0,11.05,11.05,10.95,11.0,+0.05,433.0,False,0.2105263157894731,0.3386786613472228,0.5106773743347862
3.0,2022-03-04,1451725.0,15912076.0,11.0,11.05,10.9,10.95,-0.05,439.0,False,,,
26.0,2022-03-04,1451725.0,15912076.0,11.0,11.05,10.9,10.95,-0.05,439.0,False,0.1578947368421039,0.2784173531788498,0.4332573672828074
4.0,2022-03-07,2154226.0,23177454.0,10.9,10.9,10.7,10.75,-0.20,640.0,False,,,
27.0,2022-03-07,2154226.0,23177454.0,10.9,10.9,10.7,10.75,-0.20,640.0,False,0.04761904761904826,0.20148458465891594,0.35599977307484354
5.0,2022-03-08,2765380.0,29295903.0,10.65,10.8,10.45,10.5,-0.25,773.0,False,,,
28.0,2022-03-08,2765380.0,29295903.0,10.65,10.8,10.45,10.5,-0.25,773.0,False,0.03846153846153898,0.14714356925979027,0.28638103846982577
6.0,2022-03-09,684214.0,7282849.0,10.6,10.7,10.55,10.7,+0.20,306.0,False,,,
29.0,2022-03-09,684214.0,7282849.0,10.6,10.7,10.55,10.7,+0.20,306.0,False,0.20833333333333315,0.16754015728430455,0.24676741140798536
30.0,2022-03-10,1333186.0,14347411.0,10.85,10.85,10.7,10.75,+0.05,409.0,False,0.2500000000000004,0.19502677152286985,0.2295205314462801
7.0,2022-03-10,1333186.0,14347411.0,10.85,10.85,10.7,10.75,+0.05,409.0,False,,,
8.0,2022-03-11,793772.0,8495392.0,10.75,10.8,10.65,10.7,-0.05,276.0,False,0.4166666666666657,0.4722222222222219,0.4907407407407406
31.0,2022-03-11,793772.0,8495392.0,10.75,10.8,10.65,10.7,-0.05,276.0,False,0.4166666666666657,0.2689067365708018,0.2426492664877873
32.0,2022-03-14,577634.0,6202975.0,10.7,10.8,10.7,10.75,+0.05,323.0,False,0.5,0.3459378243805345,0.2770787857853697
9.0,2022-03-14,577634.0,6202975.0,10.7,10.8,10.7,10.75,+0.05,323.0,False,0.5,0.4814814814814812,0.4876543209876541
33.0,2022-03-15,1077361.0,11449717.0,10.7,10.7,10.55,10.6,-0.15,387.0,False,0.25,0.31395854958702296,0.2893720403859208
10.0,2022-03-15,1077361.0,11449717.0,10.7,10.7,10.55,10.6,-0.15,387.0,False,0.25,0.4043209876543207,0.4598765432098763
34.0,2022-03-16,1176048.0,12472083.0,10.65,10.75,10.5,10.6, 0.00,435.0,False,0.25,0.2926390330580153,0.2904610379432856
11.0,2022-03-16,1176048.0,12472083.0,10.65,10.75,10.5,10.6, 0.00,435.0,False,0.25,0.3528806584362138,0.4242112482853221
35.0,2022-03-17,1163311.0,12475534.0,10.75,10.8,10.6,10.75,+0.15,450.0,False,0.6666666666666666,0.4173149109275657,0.3327456622713789
12.0,2022-03-17,1163311.0,12475534.0,10.75,10.8,10.6,10.75,+0.15,450.0,False,0.6666666666666666,0.4574759945130314,0.43529949702789184
36.0,2022-03-18,1418037.0,15352136.0,10.8,10.9,10.75,10.9,+0.15,438.0,False,1.0,0.6115432739517104,0.4256781994981561
13.0,2022-03-18,1418037.0,15352136.0,10.8,10.9,10.75,10.9,+0.15,438.0,False,1.0,0.6383173296753542,0.5029721079103793
37.0,2022-03-21,3350440.0,37143371.0,10.95,11.15,10.95,11.1,+0.20,995.0,False,0.923076923076922,0.7153878236601142,0.5222480742188087
14.0,2022-03-21,3350440.0,37143371.0,10.95,11.15,10.95,11.1,+0.20,995.0,False,0.923076923076922,0.7332371941425434,0.579727136654434
38.0,2022-03-22,14219955.0,163360339.0,11.1,11.75,11.1,11.65,+0.55,4355.0,False,0.9200000000000004,0.7835918824400763,0.6093626769592312
15.0,2022-03-22,14219955.0,163360339.0,11.1,11.75,11.1,11.65,+0.55,4355.0,False,0.9200000000000004,0.7954914627616957,0.6516485786901879
16.0,2022-03-23,6021874.0,69977805.0,11.8,11.8,11.5,11.6,-0.05,1939.0,False,0.8461538461538454,0.8123789238924122,0.7052253604242626
39.0,2022-03-23,6021874.0,69977805.0,11.8,11.8,11.5,11.6,-0.05,1939.0,False,0.8461538461538454,0.804445870344666,0.6743904080877094
