0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,11180971.0,1202864729.0,106.0,108.5,105.5,108.0,+3.00,5318.0,False,,,
23.0,2022-03-01,11180971.0,1202864729.0,106.0,108.5,105.5,108.0,+3.00,5318.0,False,0.8571428571428571,0.5979170821578539,0.5429542084674073
1.0,2022-03-02,14353793.0,1559878093.0,109.0,110.0,107.5,108.5,+0.50,5868.0,False,,,
24.0,2022-03-02,14353793.0,1559878093.0,109.0,110.0,107.5,108.5,+0.50,5868.0,False,0.7,0.6319447214385692,0.5726177127911278
2.0,2022-03-03,9766690.0,1063727029.0,109.0,109.5,108.0,109.0,+0.50,3473.0,False,,,
25.0,2022-03-03,9766690.0,1063727029.0,109.0,109.5,108.0,109.0,+0.50,3473.0,False,0.8,0.6879631476257128,0.6110661910693228
3.0,2022-03-04,8159552.0,879669190.0,108.0,108.5,107.0,108.0,-1.00,3740.0,False,,,
26.0,2022-03-04,8159552.0,879669190.0,108.0,108.5,107.0,108.0,-1.00,3740.0,False,0.6,0.6586420984171418,0.6269248268519291
4.0,2022-03-07,13858290.0,1470585298.0,107.0,107.5,105.5,106.0,-2.00,6418.0,False,,,
27.0,2022-03-07,13858290.0,1470585298.0,107.0,107.5,105.5,106.0,-2.00,6418.0,False,0.2,0.5057613989447612,0.5865370175495397
5.0,2022-03-08,15334261.0,1600293666.0,106.0,106.0,103.0,104.0,-2.00,6202.0,False,,,
28.0,2022-03-08,15334261.0,1600293666.0,106.0,106.0,103.0,104.0,-2.00,6202.0,False,0.14285714285714285,0.38479331358222174,0.5192891162271004
6.0,2022-03-09,7165705.0,754342134.0,105.0,106.0,104.5,105.5,+1.50,3354.0,False,,,
29.0,2022-03-09,7165705.0,754342134.0,105.0,106.0,104.5,105.5,+1.50,3354.0,False,0.35714285714285715,0.37557649476910016,0.4713849090744336
30.0,2022-03-10,12840053.0,1354124130.0,106.0,107.0,104.5,105.0,-0.50,5320.0,False,0.2857142857142857,0.345622425084162,0.4294640810776763
7.0,2022-03-10,12840053.0,1354124130.0,106.0,107.0,104.5,105.0,-0.50,5320.0,False,,,
8.0,2022-03-11,18272415.0,1948424501.0,107.0,108.0,105.5,106.5,+1.50,8830.0,False,0.5,0.5,0.5
31.0,2022-03-11,18272415.0,1948424501.0,107.0,108.0,105.5,106.5,+1.50,8830.0,False,0.5,0.3970816167227745,0.41866992629270905
32.0,2022-03-14,10914394.0,1162845383.0,107.0,107.5,105.5,106.5, 0.00,4778.0,False,0.5,0.4313877444818497,0.4229091990224226
9.0,2022-03-14,10914394.0,1162845383.0,107.0,107.5,105.5,106.5, 0.00,4778.0,False,0.5,0.5,0.5
33.0,2022-03-15,8420184.0,890504431.0,106.5,106.5,105.0,106.0,-0.50,4067.0,False,0.4615384615384616,0.4414379835007203,0.4290854605151884
10.0,2022-03-15,8420184.0,890504431.0,106.5,106.5,105.0,106.0,-0.50,4067.0,False,0.4615384615384616,0.4871794871794872,0.4957264957264957
34.0,2022-03-16,12956332.0,1364358058.0,105.5,106.5,104.5,106.0, 0.00,6224.0,False,0.5454545454545454,0.4761101708186619,0.4447603639496796
11.0,2022-03-16,12956332.0,1364358058.0,105.5,106.5,104.5,106.0, 0.00,6224.0,False,0.5454545454545454,0.5066045066045065,0.4993524993524993
35.0,2022-03-17,12167125.0,1300366726.0,107.5,108.0,106.0,107.0,+1.00,4751.0,False,0.8,0.5840734472124413,0.4911980583706001
12.0,2022-03-17,12167125.0,1300366726.0,107.5,108.0,106.0,107.0,+1.00,4751.0,False,0.8,0.6044030044030043,0.5343693343693343
36.0,2022-03-18,13251075.0,1405892415.0,107.5,107.5,105.5,106.0,-1.00,5362.0,False,0.6,0.5893822981416275,0.5239261382942759
13.0,2022-03-18,13251075.0,1405892415.0,107.5,107.5,105.5,106.0,-1.00,5362.0,False,0.6,0.6029353362686695,0.5572246683357793
37.0,2022-03-21,9270494.0,994803974.0,106.0,108.0,106.0,107.5,+1.50,4251.0,False,0.8571428571428571,0.678635817808704,0.5754960314657519
14.0,2022-03-21,9270494.0,994803974.0,106.0,108.0,106.0,107.5,+1.50,4251.0,False,0.8571428571428571,0.6876711765600654,0.6007068377438747
38.0,2022-03-22,7084138.0,757837318.0,107.0,107.5,106.5,107.5, 0.00,3493.0,False,0.8571428571428571,0.7381381642534217,0.6297100757283085
15.0,2022-03-22,7084138.0,757837318.0,107.0,107.5,106.5,107.5, 0.00,3493.0,False,0.8571428571428571,0.7441617367543293,0.6485251374140262
16.0,2022-03-23,7521242.0,807104597.0,107.5,107.5,107.0,107.5, 0.00,3357.0,False,0.8571428571428571,0.7818221102171719,0.6929574616817413
39.0,2022-03-23,7521242.0,807104597.0,107.5,107.5,107.0,107.5, 0.00,3357.0,False,0.8571428571428571,0.7778063952165668,0.6790755155577279
17.0,2022-03-24,6341741.0,677732930.0,106.5,107.5,106.5,107.0,-0.50,2953.0,False,0.7142857142857143,0.7593099782400192,0.7150749672011673
40.0,2022-03-24,6341741.0,677732930.0,106.5,107.5,106.5,107.0,-0.50,2953.0,False,0.7142857142857143,0.7566328349062825,0.7049279553405794
18.0,2022-03-25,6596352.0,702398762.0,106.5,107.0,106.0,106.5,-0.50,2979.0,False,0.5714285714285714,0.6966828426362033,0.7089442590128459
41.0,2022-03-25,6596352.0,702398762.0,106.5,107.0,106.0,106.5,-0.50,2979.0,False,0.5714285714285714,0.6948980804137121,0.7015846636982903
19.0,2022-03-28,7018456.0,742472847.0,106.5,106.5,105.5,105.5,-1.00,3243.0,False,0.2857142857142857,0.5596933236622308,0.6591939472293075
42.0,2022-03-28,7018456.0,742472847.0,106.5,106.5,105.5,105.5,-1.00,3243.0,False,0.2857142857142857,0.5585034821805699,0.6538909365257168
20.0,2022-03-29,7886313.0,832720706.0,106.0,106.5,105.0,105.5, 0.00,3304.0,False,0.16666666666666666,0.4286844379970427,0.5823574441518858
43.0,2022-03-29,7886313.0,832720706.0,106.0,106.5,105.0,105.5, 0.00,3304.0,False,0.16666666666666666,0.4278912103426023,0.5785576944646786
21.0,2022-03-30,7758942.0,825894260.0,106.0,107.0,105.5,106.5,+1.00,3874.0,False,0.5,0.4524562919980284,0.5390570601006
44.0,2022-03-30,7758942.0,825894260.0,106.0,107.0,105.5,106.5,+1.00,3874.0,False,0.5,0.4519274735617348,0.536347620830364
22.0,2022-03-31,4570075.0,486255960.0,106.5,107.0,106.0,106.5, 0.00,1661.0,False,0.5,0.4683041946653522,0.515472771622184
45.0,2022-03-31,4570075.0,486255960.0,106.5,107.0,106.0,106.5, 0.00,1661.0,False,0.5,0.4679516490411565,0.5135489635672948
46.0,2022-04-01,7676720.0,816146472.0,105.5,107.0,105.5,107.0,+0.50,2529.0,False,0.8,0.5786344326941043,0.5352441199428979
47.0,2022-04-06,9417018.0,1002842742.0,106.0,107.5,105.5,107.0, 0.00,3694.0,False,0.8,0.6524229551294028,0.5743037316717329
48.0,2022-04-07,7659603.0,816464324.0,106.5,107.0,106.0,106.5,-0.50,3048.0,False,0.6,0.6349486367529352,0.5945187000321336
49.0,2022-04-08,7289844.0,773119530.0,107.0,107.5,105.5,106.5, 0.00,3831.0,False,0.6,0.6232990911686235,0.6041121637442969
50.0,2022-04-11,7255423.0,764982782.0,106.0,106.5,105.0,105.5,-1.00,4333.0,False,0.2,0.4821993941124157,0.5634745738670031
51.0,2022-04-12,9853004.0,1033260092.0,106.0,106.0,104.5,105.0,-0.50,4907.0,False,0.16666666666666666,0.377021818297166,0.5013236553437239
52.0,2022-04-13,6581505.0,692455648.0,105.0,106.0,104.5,105.5,+0.50,3240.0,False,0.3333333333333333,0.3624589899758884,0.4550354335544454
