0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,13013531.0,1163818585.0,88.9,90.0,88.2,90.0,+2.30,6221.0,False,,,
23.0,2022-03-01,13013531.0,1163818585.0,88.9,90.0,88.2,90.0,+2.30,6221.0,False,0.32142857142857123,0.6678414064170667,0.7816277423069071
1.0,2022-03-02,11005540.0,994223287.0,90.1,91.0,89.5,90.5,+0.50,6391.0,False,,,
24.0,2022-03-02,11005540.0,994223287.0,90.1,91.0,89.5,90.5,+0.50,6391.0,False,0.4107142857142856,0.5821323661828063,0.7151292835988734
2.0,2022-03-03,7264938.0,661103729.0,90.6,91.5,90.3,91.2,+0.70,5104.0,False,,,
25.0,2022-03-03,7264938.0,661103729.0,90.6,91.5,90.3,91.2,+0.70,5104.0,False,0.5357142857142863,0.5666596726932995,0.6656394132970154
3.0,2022-03-04,6994175.0,631345161.0,89.6,90.8,89.1,90.7,-0.50,4056.0,False,,,
26.0,2022-03-04,6994175.0,631345161.0,89.6,90.8,89.1,90.7,-0.50,4056.0,False,0.4464285714285719,0.5265826389383903,0.6192871551774737
4.0,2022-03-07,11383671.0,1006018507.0,89.2,89.8,87.6,88.4,-2.30,13152.0,False,,,
27.0,2022-03-07,11383671.0,1006018507.0,89.2,89.8,87.6,88.4,-2.30,13152.0,False,0.1290322580645179,0.39406584531376615,0.5442133852229045
5.0,2022-03-08,10378118.0,905495996.0,88.4,89.0,86.6,86.6,-1.80,12106.0,False,,,
28.0,2022-03-08,10378118.0,905495996.0,88.4,89.0,86.6,86.6,-1.80,12106.0,False,0.0,0.2627105635425108,0.4503791113294399
6.0,2022-03-09,7920416.0,696755206.0,87.7,88.4,87.4,88.0,+1.40,5239.0,False,,,
29.0,2022-03-09,7920416.0,696755206.0,87.7,88.4,87.4,88.0,+1.40,5239.0,False,0.1944444444444452,0.23995519050982225,0.38023780438956734
30.0,2022-03-10,9506714.0,849497565.0,88.6,89.8,88.4,89.6,+1.60,6048.0,False,0.4166666666666665,0.2988590158954369,0.3531115415581905
7.0,2022-03-10,9506714.0,849497565.0,88.6,89.8,88.4,89.6,+1.60,6048.0,False,,,
8.0,2022-03-11,10568880.0,950167565.0,90.4,90.4,89.4,89.8,+0.20,8299.0,False,0.6530612244897958,0.5510204081632653,0.5170068027210883
31.0,2022-03-11,10568880.0,950167565.0,90.4,90.4,89.4,89.8,+0.20,8299.0,False,0.6530612244897958,0.4169264187602232,0.3743831672922014
32.0,2022-03-14,15116588.0,1378847256.0,91.7,91.8,90.6,91.2,+1.40,8483.0,False,0.8846153846153858,0.5728227407119441,0.4405296917654489
9.0,2022-03-14,15116588.0,1378847256.0,91.7,91.8,90.6,91.2,+1.40,8483.0,False,0.8846153846153858,0.6622187336473054,0.565410779696494
33.0,2022-03-15,8929915.0,812267399.0,91.0,91.5,90.5,90.8,-0.40,4667.0,False,0.8076923076923078,0.6511125963720653,0.5107239933009877
10.0,2022-03-15,8929915.0,812267399.0,91.0,91.5,90.5,90.8,-0.40,4667.0,False,0.8076923076923078,0.7107099249956396,0.6138438281295424
34.0,2022-03-16,10625442.0,968684762.0,91.0,91.6,90.7,91.5,+0.70,7266.0,False,0.9423076923076928,0.7481776283506079,0.5898752049841944
11.0,2022-03-16,10625442.0,968684762.0,91.0,91.6,90.7,91.5,+0.70,7266.0,False,0.9423076923076928,0.7879091807663239,0.6718656123418029
