0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,5787647.0,467962509.0,80.0,81.2,79.5,81.1,+2.10,2819.0,False,,,
23.0,2022-03-01,5787647.0,467962509.0,80.0,81.2,79.5,81.1,+2.10,2819.0,False,0.9599999999999966,0.4484987516946546,0.33092965957061504
1.0,2022-03-02,4568440.0,372244868.0,81.2,81.8,80.8,81.7,+0.60,2333.0,False,,,
24.0,2022-03-02,4568440.0,372244868.0,81.2,81.8,80.8,81.7,+0.60,2333.0,False,0.9677419354838728,0.6215798129577272,0.42781304403298576
2.0,2022-03-03,3514041.0,287262241.0,81.8,82.0,81.1,82.0,+0.30,2842.0,False,,,
25.0,2022-03-03,3514041.0,287262241.0,81.8,82.0,81.1,82.0,+0.30,2842.0,False,1.0,0.7477198753051515,0.534448654457041
3.0,2022-03-04,4388501.0,357288019.0,81.0,81.9,80.5,81.9,-0.10,2137.0,False,,,
26.0,2022-03-04,4388501.0,357288019.0,81.0,81.9,80.5,81.9,-0.10,2137.0,False,0.9696969696969714,0.8217122401024247,0.6302031830055023
4.0,2022-03-07,7572397.0,603944318.0,80.7,80.9,79.3,79.7,-2.20,7184.0,False,,,
27.0,2022-03-07,7572397.0,603944318.0,80.7,80.9,79.3,79.7,-2.20,7184.0,False,0.3030303030303033,0.6488182610783843,0.6364082090297962
5.0,2022-03-08,6934460.0,547268660.0,79.0,79.8,78.3,78.5,-1.20,4059.0,False,,,
28.0,2022-03-08,6934460.0,547268660.0,79.0,79.8,78.3,78.5,-1.20,4059.0,False,0.05405405405405478,0.4505635254036078,0.5744599811544
6.0,2022-03-09,3202107.0,252552365.0,79.0,79.5,78.6,78.6,+0.10,1590.0,False,,,
29.0,2022-03-09,3202107.0,252552365.0,79.0,79.5,78.6,78.6,+0.10,1590.0,False,0.08108108108108025,0.32740271062943194,0.4921075576460773
30.0,2022-03-10,4489531.0,359725306.0,79.5,80.4,79.4,80.4,+1.80,2010.0,False,0.5675675675675694,0.4074576629421444,0.4638909260780996
7.0,2022-03-10,4489531.0,359725306.0,79.5,80.4,79.4,80.4,+1.80,2010.0,False,,,
8.0,2022-03-11,6921378.0,548173480.0,79.5,79.8,79.0,79.2,-1.20,4014.0,False,0.2432432432432446,0.4144144144144149,0.4714714714714716
31.0,2022-03-11,6921378.0,548173480.0,79.5,79.8,79.0,79.2,-1.20,4014.0,False,0.2432432432432446,0.35271952304251114,0.4268337917329034
32.0,2022-03-14,4249183.0,336791297.0,79.5,79.6,79.0,79.4,+0.20,2295.0,False,0.29729729729729937,0.3342454477941072,0.3959710104199713
9.0,2022-03-14,4249183.0,336791297.0,79.5,79.6,79.0,79.4,+0.20,2295.0,False,0.29729729729729937,0.3753753753753764,0.4394394394394399
33.0,2022-03-15,3335785.0,263923236.0,79.3,79.4,79.0,79.1,-0.30,2114.0,False,0.21621621621621528,0.2949023706014765,0.3622814638138063
10.0,2022-03-15,3335785.0,263923236.0,79.3,79.4,79.0,79.1,-0.30,2114.0,False,0.21621621621621528,0.3223223223223226,0.4004004004004008
34.0,2022-03-16,4854563.0,384354174.0,79.1,79.7,78.9,79.6,+0.50,2640.0,False,0.36111111111110944,0.3169719507713541,0.3471782927996556
11.0,2022-03-16,4854563.0,384354174.0,79.1,79.7,78.9,79.6,+0.50,2640.0,False,0.36111111111110944,0.33525191858525155,0.37868423979535104
35.0,2022-03-17,6451930.0,518949547.0,80.6,81.2,79.7,80.4,+0.80,3543.0,False,0.7241379310344843,0.4526939441923975,0.38235017659723625
12.0,2022-03-17,6451930.0,518949547.0,80.6,81.2,79.7,80.4,+0.80,3543.0,False,0.7241379310344843,0.4648805894016624,0.4074163563307881
36.0,2022-03-18,6995527.0,559563337.0,80.5,80.8,79.7,79.9,-0.50,2033.0,False,0.5517241379310364,0.4857040087719438,0.41680145398880536
13.0,2022-03-18,6995527.0,559563337.0,80.5,80.8,79.7,79.9,-0.50,2033.0,False,0.5517241379310364,0.4938284389114537,0.4362203838576766
37.0,2022-03-21,2102522.0,168616420.0,80.0,80.6,79.8,80.2,+0.30,1316.0,False,0.6153846153846166,0.5289308776428346,0.4541779285401484
14.0,2022-03-21,2102522.0,168616420.0,80.0,80.6,79.8,80.2,+0.30,1316.0,False,0.6153846153846166,0.534347164402508,0.4689293107059537
38.0,2022-03-22,2177793.0,174637318.0,80.3,80.4,79.8,80.4,+0.20,1186.0,False,0.652173913043479,0.5700118894430495,0.4927892488411154
15.0,2022-03-22,2177793.0,174637318.0,80.3,80.4,79.8,80.4,+0.20,1186.0,False,0.652173913043479,0.5736227472828317,0.5038271228982463
16.0,2022-03-23,4810294.0,385494258.0,80.4,80.4,79.8,80.2,-0.20,2135.0,False,0.5652173913043473,0.5708209619566702,0.5261584025843875
39.0,2022-03-23,4810294.0,385494258.0,80.4,80.4,79.8,80.2,-0.20,2135.0,False,0.5652173913043473,0.5684137233968154,0.5179974070263487
17.0,2022-03-24,4367184.0,348631413.0,79.8,80.1,79.7,79.8,-0.40,2465.0,False,0.39130434782608375,0.510982090579808,0.5210996319161942
40.0,2022-03-24,4367184.0,348631413.0,79.8,80.1,79.7,79.8,-0.40,2465.0,False,0.39130434782608375,0.5093772648732382,0.5151240263086452
18.0,2022-03-25,5209882.0,413605751.0,79.7,80.0,79.2,79.3,-0.50,2708.0,False,0.17391304347825734,0.39862574154595776,0.4802750017927821
41.0,2022-03-25,5209882.0,413605751.0,79.7,80.0,79.2,79.3,-0.50,2708.0,False,0.17391304347825734,0.39755585774157787,0.4759346367862894
19.0,2022-03-28,4786832.0,377805892.0,79.0,79.1,78.7,79.0,-0.30,2612.0,False,0.11999999999999884,0.3057504943639714,0.4221001659831785
42.0,2022-03-28,4786832.0,377805892.0,79.0,79.1,78.7,79.0,-0.30,2612.0,False,0.11999999999999884,0.3050372384943848,0.4189688373556545
20.0,2022-03-29,4993692.0,393853935.0,79.0,79.1,78.7,79.0, 0.00,3185.0,False,0.11999999999999884,0.2438336629093139,0.36267799829189024
43.0,2022-03-29,4993692.0,393853935.0,79.0,79.1,78.7,79.0, 0.00,3185.0,False,0.11999999999999884,0.2433581589962561,0.3604319445691884
21.0,2022-03-30,6284462.0,496815731.0,79.1,79.5,78.8,79.0, 0.00,3424.0,False,0.14285714285714188,0.2101748228919232,0.3118436064919012
44.0,2022-03-30,6284462.0,496815731.0,79.1,79.5,78.8,79.0, 0.00,3424.0,False,0.14285714285714188,0.2098578202832181,0.3102405698071983
22.0,2022-03-31,3594560.0,284119055.0,79.2,79.4,78.9,79.0, 0.00,1877.0,False,0.15789473684210448,0.1927481275419836,0.2721451135085953
45.0,2022-03-31,3594560.0,284119055.0,79.2,79.4,78.9,79.0, 0.00,1877.0,False,0.15789473684210448,0.1925367924695135,0.2710059773613033
46.0,2022-04-01,3627378.0,285969341.0,78.8,79.0,78.6,79.0, 0.00,1805.0,False,0.222222222222224,0.20243193572041696,0.2481479634810079
47.0,2022-04-06,4252068.0,337269026.0,79.0,79.9,78.7,79.9,+0.90,2259.0,False,0.7222222222222242,0.3756953645543526,0.29066376383878945
48.0,2022-04-07,6272118.0,494554365.0,79.0,79.3,78.7,78.7,-1.20,3480.0,False,0.06666666666667236,0.2726857985917925,0.2846711087564571
49.0,2022-04-08,1723322.0,136314604.0,79.2,79.3,78.8,79.3,+0.60,1072.0,False,0.5,0.34845719906119504,0.3059331388580364
50.0,2022-04-11,3549458.0,279531284.0,79.3,79.6,78.5,78.5,-0.80,3216.0,False,0.0,0.23230479937413,0.2813903590300676
51.0,2022-04-12,3255923.0,255732384.0,78.7,78.9,78.3,78.6,+0.10,2397.0,False,0.1874999999999972,0.21736986624941906,0.2600501947698514
52.0,2022-04-13,2909081.0,230454699.0,79.2,79.5,78.7,79.5,+0.90,2326.0,False,0.7499999999999978,0.3949132441662786,0.30500454456866044
53.0,2022-04-14,2672611.0,212724926.0,79.4,79.8,79.1,79.7,+0.20,1853.0,False,0.8749999999999989,0.5549421627775186,0.3883170839716131
54.0,2022-04-15,2121259.0,168649661.0,79.7,79.8,79.1,79.3,-0.40,2030.0,False,0.6249999999999967,0.5782947751850113,0.4516429810427458
55.0,2022-04-18,1806571.0,142916715.0,78.9,79.4,78.9,79.0,-0.30,1794.0,False,0.4374999999999993,0.531363183456674,0.4782163818473885
56.0,2022-04-19,3041309.0,241945455.0,79.6,79.8,79.0,79.7,+0.70,1892.0,False,0.9333333333333372,0.6653532334155616,0.5405953323701129
57.0,2022-04-20,9974218.0,799045409.0,79.6,80.8,79.1,80.0,+0.30,5503.0,False,0.6800000000000012,0.6702354889437081,0.5838087178946446
58.0,2022-04-21,6785537.0,546263075.0,80.7,80.9,79.8,80.9,+0.90,3542.0,False,1.0,0.7801569926291387,0.6492581428061426
59.0,2022-04-22,6452645.0,519966378.0,80.1,81.1,79.7,81.1,+0.20,3824.0,False,1.0,0.8534379950860924,0.7173180935661259
60.0,2022-04-25,7063239.0,563216716.0,79.9,80.2,79.1,80.2,-0.90,5594.0,False,0.6250000000000022,0.7772919967240622,0.7373093946187712
61.0,2022-04-26,6156966.0,494779098.0,79.6,80.7,79.6,80.7,+0.50,3295.0,False,0.8181818181818211,0.7909219372099818,0.7551802421491747
62.0,2022-04-27,3865748.0,306861964.0,79.5,79.9,79.1,79.1,-1.60,2331.0,False,0.0909090909090862,0.5575843217763499,0.6893149353582331
63.0,2022-04-28,5231022.0,414638429.0,79.0,79.9,78.8,79.9,+0.80,3829.0,False,0.4782608695652217,0.5311431710393071,0.6365910139185911
64.0,2022-04-29,2564488.0,204444527.0,79.1,80.0,79.1,79.9, 0.00,2028.0,False,0.4782608695652217,0.5135157372146121,0.5955659216839313
65.0,2022-05-03,1138675.0,91007841.0,79.8,80.0,79.6,80.0,+0.10,1584.0,False,0.5217391304347845,0.5162568682880028,0.5691295705519551
66.0,2022-05-04,1335955.0,106956251.0,80.1,80.5,79.8,80.0, 0.00,1016.0,False,0.5217391304347845,0.5180842890035966,0.5521144767025022
67.0,2022-05-05,2527742.0,201831854.0,80.2,80.3,79.6,79.7,-0.30,2531.0,False,0.3913043478260899,0.4758243086110943,0.5266844206720329
68.0,2022-05-06,4137588.0,327132421.0,79.0,79.6,78.8,79.2,-0.50,3581.0,False,0.2105263157894761,0.3873916443372215,0.4802534952270958
69.0,2022-05-09,2886325.0,226870597.0,78.6,78.9,78.4,78.6,-0.60,1618.0,False,0.0869565217391256,0.2872466034711895,0.4159178646417936
70.0,2022-05-10,3902231.0,306683135.0,78.7,78.8,78.2,78.7,+0.10,2480.0,False,0.2173913043478264,0.2639615037634018,0.3652657443489963
71.0,2022-05-11,3262080.0,255496396.0,78.3,79.1,78.1,78.2,-0.50,2446.0,False,0.04166666666667012,0.18986322473115788,0.3067982378097168
72.0,2022-05-12,6166776.0,475277091.0,78.2,78.2,76.1,76.1,-2.10,4835.0,False,0.0,0.12657548315410524,0.2467239862578463
73.0,2022-05-13,4435592.0,342662797.0,77.7,77.9,77.0,77.2,+1.10,3269.0,False,0.2500000000000016,0.16771698876940402,0.22038832042836554
74.0,2022-05-16,2956716.0,229167711.0,78.3,78.3,77.1,77.3,+0.10,1949.0,False,0.27272727272727304,0.20272041675536034,0.21449901920403047
75.0,2022-05-17,3106145.0,242742377.0,78.0,78.4,77.6,78.4,+1.10,1687.0,False,0.54761904761905,0.3176866270432569,0.2488948884837726
76.0,2022-05-18,5262779.0,415327402.0,78.1,79.6,78.0,79.2,+0.80,4290.0,False,0.8857142857142881,0.5070291799336006,0.3349396523003819
77.0,2022-05-19,3253329.0,254263203.0,78.7,78.7,77.8,78.4,-0.80,2882.0,False,0.6571428571428604,0.5570670723366872,0.408982125645817
78.0,2022-05-20,4806246.0,381023396.0,78.9,79.8,78.5,79.7,+1.30,2944.0,False,0.9729729729729746,0.695702372548783,0.504555541280139
79.0,2022-05-23,4369985.0,349145140.0,80.3,80.4,79.6,80.0,+0.30,1909.0,False,0.9069767441860456,0.7661271630945371,0.5917460818849383
80.0,2022-05-24,1922275.0,153463135.0,79.3,80.0,79.3,80.0, 0.00,1096.0,False,0.9069767441860456,0.8130770234583732,0.6655230624094165
81.0,2022-05-25,5420070.0,434801804.0,80.2,80.5,79.8,80.4,+0.40,2488.0,False,0.9714285714285732,0.8658608727817729,0.7323023325335354
82.0,2022-05-26,4356617.0,350902498.0,80.6,81.0,80.3,80.5,+0.10,2301.0,False,0.8717948717948721,0.8678388724528059,0.7774811791732923
83.0,2022-05-27,7048573.0,570306289.0,81.0,81.0,80.7,81.0,+0.50,3856.0,False,1.0,0.911892581635204,0.8222849799939294
84.0,2022-05-30,8166409.0,665558132.0,81.3,81.7,81.2,81.7,+0.70,4378.0,False,1.0,0.9412617210901361,0.8619438936926649
85.0,2022-05-31,21846027.0,1790848655.0,81.6,82.2,81.4,82.0,+0.30,3335.0,False,0.954545454545454,0.9456896322419086,0.8898591398757459
86.0,2022-06-01,2656618.0,217421076.0,81.4,82.2,81.4,81.7,-0.30,2349.0,False,0.8648648648648649,0.9187480431162274,0.8994887742892398
87.0,2022-06-02,2715951.0,221247306.0,81.0,81.8,80.4,81.7, 0.00,1461.0,False,0.827586206896552,0.8883607643763356,0.8957794376516051
88.0,2022-06-06,2707180.0,221460815.0,82.2,82.2,81.3,82.0,+0.30,1680.0,False,0.93103448275862,0.9025853371704304,0.8980480708245467
89.0,2022-06-07,3288484.0,267756864.0,81.8,81.8,81.1,81.5,-0.50,1527.0,False,0.7083333333333328,0.8378346692247312,0.8779769369579414
90.0,2022-06-08,3033690.0,247985510.0,82.0,82.0,81.5,81.7,+0.20,1717.0,False,0.7368421052631586,0.8041704812375402,0.8533747850511411
91.0,2022-06-09,6652151.0,546589643.0,81.8,82.5,81.6,82.4,+0.70,2897.0,False,0.9523809523809548,0.8535739716186784,0.8534411805736535
92.0,2022-06-10,4034976.0,331850679.0,81.4,82.6,81.3,82.5,+0.10,1823.0,False,0.9545454545454568,0.8872311325942712,0.8647044979138593
93.0,2022-06-13,5533611.0,447506011.0,80.7,81.5,80.4,81.3,-1.20,3683.0,False,0.40909090909090734,0.7278510580931499,0.8190866846402894
94.0,2022-06-14,4350891.0,354204828.0,81.6,81.8,80.7,81.4,+0.10,2253.0,False,0.4545454545454569,0.6367491902439189,0.7583075198414992
95.0,2022-06-15,6409908.0,524120390.0,81.4,82.4,81.3,81.8,+0.40,3736.0,False,0.6363636363636358,0.6366206722838245,0.7177452373222744
96.0,2022-06-16,5436263.0,445459244.0,82.5,82.5,81.5,81.5,-0.30,2543.0,False,0.5,0.5910804481892162,0.6755236409445883
97.0,2022-06-17,5519105.0,448478154.0,81.0,81.8,80.7,81.3,-0.20,1768.0,False,0.40909090909090734,0.5304172684897799,0.6271548501263188
98.0,2022-06-20,3431728.0,275409939.0,81.2,81.2,79.8,80.0,-1.30,2965.0,False,0.07142857142857252,0.3774210361360441,0.5439102454628939
99.0,2022-06-21,4960461.0,401178466.0,81.3,81.7,80.2,81.2,+1.20,2047.0,False,0.5000000000000026,0.4182806907573635,0.5020337272277171
100.0,2022-06-22,3314907.0,268570738.0,81.4,81.4,80.7,80.8,-0.40,1923.0,False,0.3571428571428575,0.3979014128858615,0.4673229557804319
101.0,2022-06-23,6013828.0,485700881.0,81.1,81.6,80.3,80.6,-0.20,3401.0,False,0.2962962962962949,0.3640330406893393,0.432892984083401
102.0,2022-06-24,6637635.0,540498843.0,81.4,81.8,81.1,81.4,+0.80,2979.0,False,0.5925925925925951,0.44021955799042456,0.4353351753857421
103.0,2022-06-27,11598434.0,947059187.0,81.6,81.9,81.5,81.5,+0.10,3593.0,False,0.62962962962963,0.5033562485368264,0.4580088664361035
104.0,2022-06-28,14721566.0,1139479142.0,77.0,77.8,76.7,76.8,X0.00,4677.0,False,0.017241379310343856,0.3413179587946655,0.4191118972222908
105.0,2022-06-29,6781456.0,518406494.0,76.8,77.1,76.0,76.3,-0.50,3320.0,False,0.05084745762711811,0.244494458405483,0.3609060842833549
106.0,2022-06-30,7453096.0,559886979.0,76.1,76.7,74.7,74.7,-1.60,3797.0,False,0.0,0.16299630560365533,0.2949361580567884
107.0,2022-07-01,5118191.0,379260394.0,74.5,75.0,73.5,73.7,-1.00,2913.0,False,0.02380952380952413,0.11660071167227826,0.2354910092619517
108.0,2022-07-04,6214457.0,462291368.0,75.4,76.3,73.4,73.8,+0.10,2617.0,False,0.04705882352941077,0.09342008229132244,0.18813403360507525
109.0,2022-07-05,5680632.0,416254095.0,75.0,75.3,72.5,72.8,-1.00,2776.0,False,0.031914893617020955,0.07291835273322192,0.1497288066477908
110.0,2022-07-06,7315131.0,524581147.0,73.6,73.6,71.1,71.2,-1.60,3891.0,False,0.009259259259260041,0.05169865490856797,0.1170520894013832
111.0,2022-07-07,5323758.0,376457604.0,71.5,71.6,69.8,70.7,-0.50,3880.0,False,0.07438016528925663,0.05925915836879751,0.09778777905718797
112.0,2022-07-08,6488473.0,456466128.0,70.8,71.3,70.0,70.1,-0.60,3513.0,False,0.03749999999999965,0.05200610557919822,0.08252722123119137
113.0,2022-07-11,2861778.0,199375066.0,70.5,70.5,69.3,69.5,-0.60,2023.0,False,0.025641025641026008,0.04321774559980748,0.06942406268739675
114.0,2022-07-12,16008408.0,1049791979.0,68.7,68.7,64.4,64.6,-4.90,11103.0,False,0.0162601626016251,0.03423188460041335,0.057693336658402275
115.0,2022-07-13,9662544.0,642478880.0,66.1,67.5,66.0,66.3,+1.70,4700.0,False,0.1596638655462179,0.07604254491568152,0.06380973941082868
116.0,2022-07-14,5891580.0,388678208.0,66.3,66.3,65.2,66.1,-0.20,3074.0,False,0.14285714285714202,0.098314077562835,0.07531118546149745
117.0,2022-07-15,4320119.0,283764625.0,65.8,66.1,65.3,65.6,-0.50,2849.0,False,0.1100917431192651,0.10223996608164504,0.0842874456682133
118.0,2022-07-18,8193412.0,537408450.0,65.8,66.0,65.2,65.8,+0.20,4582.0,False,0.15217391304347752,0.11888461506892252,0.09581983546844973
119.0,2022-07-19,7918023.0,525566044.0,66.2,67.2,65.6,66.5,+0.70,3448.0,False,0.29166666666666635,0.17647863226817045,0.12270610106835662
120.0,2022-07-20,8382796.0,561151971.0,67.1,67.4,66.3,66.8,+0.30,3643.0,False,0.3478260869565209,0.23359445049762065,0.15966888421144462
121.0,2022-07-21,6673470.0,448999922.0,66.8,67.8,66.4,67.7,+0.90,3966.0,False,0.5409836065573771,0.3360575025175394,0.21846509031347625
122.0,2022-07-22,6622338.0,448822258.0,67.5,68.2,67.1,67.8,+0.10,3446.0,False,0.7906976744186032,0.4876042264845606,0.3081781357038377
123.0,2022-07-25,2603146.0,178624406.0,67.8,69.2,67.4,68.9,+1.10,1696.0,False,0.9250000000000008,0.6334028176563741,0.41658636302134977
124.0,2022-07-26,3912505.0,268181317.0,68.5,69.4,68.0,68.4,-0.50,2114.0,False,0.7619047619047621,0.6762367990725033,0.5031365083717343
125.0,2022-07-27,2240802.0,153701346.0,68.8,69.2,68.3,68.7,+0.30,1119.0,False,0.8333333333333328,0.7286023104927798,0.5782917757454161
126.0,2022-07-28,3005305.0,206598346.0,69.0,69.1,68.4,68.8,+0.10,1819.0,False,0.8571428571428552,0.7714491593761382,0.6426775702889901
127.0,2022-07-29,3265514.0,227789625.0,69.7,70.0,69.1,70.0,+1.20,1804.0,False,1.0,0.8476327729174253,0.7109959711651351
128.0,2022-08-01,2735940.0,192225841.0,70.2,70.8,69.7,70.1,+0.10,1610.0,False,0.8444444444444438,0.8465699967597647,0.7561873130300116
129.0,2022-08-02,4929223.0,339023743.0,68.8,69.4,68.5,68.9,-1.20,3135.0,False,0.5681818181818192,0.7537739372337828,0.7553828544312686
130.0,2022-08-03,3564661.0,245588777.0,68.8,69.3,68.3,69.3,+0.40,1996.0,False,0.594594594594595,0.7007141563540534,0.7371599550721969
131.0,2022-08-04,5508230.0,378783199.0,68.9,69.3,67.7,69.0,-0.30,2153.0,False,0.4705882352941171,0.6240055160007414,0.699441808715045
