0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,8264325.0,248965713.0,29.95,30.3,29.6,30.3,+0.75,3020.0,False,,,
23.0,2022-03-01,8264325.0,248965713.0,29.95,30.3,29.6,30.3,+0.75,3020.0,False,0.5384615384615391,0.5070715438975049,0.561822216930941
1.0,2022-03-02,6273653.0,190044984.0,30.25,30.4,30.05,30.35,+0.05,2195.0,False,,,
24.0,2022-03-02,6273653.0,190044984.0,30.25,30.4,30.05,30.35,+0.05,2195.0,False,0.5769230769230782,0.5303553882393626,0.5513332740337482
2.0,2022-03-03,5136871.0,156548417.0,30.45,30.6,30.2,30.6,+0.25,2035.0,False,,,
25.0,2022-03-03,5136871.0,156548417.0,30.45,30.6,30.2,30.6,+0.25,2035.0,False,0.8,0.6202369254929083,0.5743011578534682
3.0,2022-03-04,4811054.0,145425525.0,30.1,30.5,29.95,30.3,-0.30,2162.0,False,,,
26.0,2022-03-04,4811054.0,145425525.0,30.1,30.5,29.95,30.3,-0.30,2162.0,False,0.6999999999999993,0.6468246169952719,0.5984756442340695
4.0,2022-03-07,11371675.0,336180957.0,30.0,30.05,29.3,29.5,-0.80,5369.0,False,,,
27.0,2022-03-07,11371675.0,336180957.0,30.0,30.05,29.3,29.5,-0.80,5369.0,False,0.15384615384615322,0.4824984626122324,0.5598165836934571
5.0,2022-03-08,9414531.0,277776815.0,29.3,29.75,29.25,29.5, 0.00,2965.0,False,,,
28.0,2022-03-08,9414531.0,277776815.0,29.3,29.75,29.25,29.5, 0.00,2965.0,False,0.18518518518518493,0.3833940368032166,0.501009068063377
6.0,2022-03-09,5640452.0,167270989.0,29.65,29.9,29.55,29.55,+0.05,1757.0,False,,,
29.0,2022-03-09,5640452.0,167270989.0,29.65,29.9,29.55,29.55,+0.05,1757.0,False,0.2222222222222225,0.3296700986095519,0.4438960782454353
30.0,2022-03-10,6426810.0,192869642.0,29.6,30.2,29.6,30.2,+0.65,2086.0,False,0.7037037037037024,0.4543479669742687,0.4473800411550464
7.0,2022-03-10,6426810.0,192869642.0,29.6,30.2,29.6,30.2,+0.65,2086.0,False,,,
8.0,2022-03-11,3484520.0,105127226.0,30.1,30.4,30.05,30.2, 0.00,1471.0,False,0.7037037037037024,0.5679012345679008,0.5226337448559669
31.0,2022-03-11,3484520.0,105127226.0,30.1,30.4,30.05,30.2, 0.00,1471.0,False,0.7037037037037024,0.5374665458840799,0.4774088760647242
32.0,2022-03-14,5685525.0,172715434.0,30.2,30.6,30.1,30.55,+0.35,2187.0,False,0.9629629629629624,0.6792986849103742,0.5447054790132742
9.0,2022-03-14,5685525.0,172715434.0,30.2,30.6,30.1,30.55,+0.35,2187.0,False,0.9629629629629624,0.6995884773662546,0.5816186556927294
33.0,2022-03-15,6028308.0,181650139.0,30.5,30.5,29.95,30.2,-0.35,1902.0,False,0.7037037037037024,0.6874336911748169,0.5922815497337883
10.0,2022-03-15,6028308.0,181650139.0,30.5,30.5,29.95,30.2,-0.35,1902.0,False,0.7037037037037024,0.7009602194787372,0.6213991769547321
34.0,2022-03-16,7327718.0,221886449.0,30.0,30.45,30.0,30.45,+0.25,2933.0,False,0.8888888888888874,0.7545854237461738,0.6463828410712501
11.0,2022-03-16,7327718.0,221886449.0,30.0,30.45,30.0,30.45,+0.25,2933.0,False,0.8888888888888874,0.7636031092821205,0.6688004877305281
35.0,2022-03-17,9027317.0,275525997.0,30.45,30.8,30.3,30.55,+0.10,3121.0,False,0.8387096774193549,0.7826268416372341,0.6917975079265781
12.0,2022-03-17,9027317.0,275525997.0,30.45,30.8,30.3,30.55,+0.10,3121.0,False,0.8387096774193549,0.7886386319945319,0.7087465358185293
36.0,2022-03-18,12118124.0,370709765.0,30.6,30.75,30.3,30.7,+0.15,2506.0,False,0.935483870967741,0.833579184747403,0.7390580668668529
