0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1360048.0,57685915.0,41.8,42.8,41.65,42.55,+0.75,867.0,False,,,
23.0,2022-03-01,1360048.0,57685915.0,41.8,42.8,41.65,42.55,+0.75,867.0,False,0.05678233438485795,0.5024356431336472,0.6894439944893866
1.0,2022-03-02,544377.0,23162917.0,42.55,42.7,42.4,42.6,+0.05,439.0,False,,,
24.0,2022-03-02,544377.0,23162917.0,42.55,42.7,42.4,42.6,+0.05,439.0,False,0.059936908517350326,0.3549360649282149,0.5779413513023294
2.0,2022-03-03,2273483.0,98165126.0,42.8,43.5,42.6,43.3,+0.70,1492.0,False,,,
25.0,2022-03-03,2273483.0,98165126.0,42.8,43.5,42.6,43.3,+0.70,1492.0,False,0.10410094637223967,0.2713243587428898,0.4757356871158495
3.0,2022-03-04,2564456.0,111980512.0,43.3,44.0,42.9,43.75,+0.45,1726.0,False,,,
26.0,2022-03-04,2564456.0,111980512.0,43.3,44.0,42.9,43.75,+0.45,1726.0,False,0.13249211356466886,0.2250469436834828,0.3921727726383939
4.0,2022-03-07,1799277.0,77271908.0,43.7,43.7,42.6,42.75,-1.00,1365.0,False,,,
27.0,2022-03-07,1799277.0,77271908.0,43.7,43.7,42.6,42.75,-1.00,1365.0,False,0.06940063091482658,0.17316483942726402,0.31917012823468394
5.0,2022-03-08,4266156.0,177338680.0,41.8,42.25,40.9,41.5,-1.25,2533.0,False,,,
28.0,2022-03-08,4266156.0,177338680.0,41.8,42.25,40.9,41.5,-1.25,2533.0,False,0.03614457831325309,0.12749141905592706,0.2552772251750983
6.0,2022-03-09,1362376.0,57191393.0,41.95,42.35,41.55,42.25,+0.75,922.0,False,,,
29.0,2022-03-09,1362376.0,57191393.0,41.95,42.35,41.55,42.25,+0.75,922.0,False,0.08132530120481936,0.1121027131055578,0.2075523878185848
30.0,2022-03-10,6304522.0,277502554.0,42.8,44.65,42.8,44.45,+2.20,3650.0,False,0.2138554216867473,0.14602028263262096,0.18704168608993013
7.0,2022-03-10,6304522.0,277502554.0,42.8,44.65,42.8,44.45,+2.20,3650.0,False,,,
