0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,10896591.0,1260374566.0,111.0,116.5,110.5,116.5,+10.50,4620.0,False,,,
23.0,2022-03-01,10896591.0,1260374566.0,111.0,116.5,110.5,116.5,+10.50,4620.0,False,0.2181818181818181,0.3832493115332288,0.5035328469213154
1.0,2022-03-02,37775320.0,4483643472.0,117.0,122.0,115.0,119.0,+2.50,22172.0,False,,,
24.0,2022-03-02,37775320.0,4483643472.0,117.0,122.0,115.0,119.0,+2.50,22172.0,False,0.3090909090909091,0.3585298440524556,0.4551985126316954
2.0,2022-03-03,18218605.0,2188233683.0,121.5,123.0,117.0,117.5,-1.50,11665.0,False,,,
25.0,2022-03-03,18218605.0,2188233683.0,121.5,123.0,117.0,117.5,-1.50,11665.0,False,0.2545454545454545,0.3238683808834552,0.4114218020489486
3.0,2022-03-04,5120708.0,594219754.0,117.5,118.0,114.0,114.5,-3.00,4037.0,False,,,
26.0,2022-03-04,5120708.0,594219754.0,117.5,118.0,114.0,114.5,-3.00,4037.0,False,0.16326530612244894,0.27033402262978645,0.3643925422425612
4.0,2022-03-07,5761586.0,638388227.0,113.0,113.5,109.0,110.0,-4.50,4024.0,False,,,
27.0,2022-03-07,5761586.0,638388227.0,113.0,113.5,109.0,110.0,-4.50,4024.0,False,0.0392156862745098,0.1932945771780276,0.30735988722105
5.0,2022-03-08,6121371.0,674707086.0,109.0,113.5,107.5,108.0,-2.00,4829.0,False,,,
28.0,2022-03-08,6121371.0,674707086.0,109.0,113.5,107.5,108.0,-2.00,4829.0,False,0.018518518518518517,0.1350358909581912,0.2499185551334304
6.0,2022-03-09,4175318.0,455900483.0,111.5,111.5,107.0,109.0,+1.00,5186.0,False,,,
29.0,2022-03-09,4175318.0,455900483.0,111.5,111.5,107.0,109.0,+1.00,5186.0,False,0.07272727272727272,0.11426635154788505,0.2047011539382486
30.0,2022-03-10,10051990.0,1178202907.0,114.0,119.5,113.0,119.5,+10.50,6407.0,False,0.5,0.2428442343652567,0.21741551408058465
7.0,2022-03-10,10051990.0,1178202907.0,114.0,119.5,113.0,119.5,+10.50,6407.0,False,,,
8.0,2022-03-11,14870590.0,1759779064.0,118.5,120.5,116.0,120.5,+1.00,9502.0,False,0.84375,0.6145833333333333,0.5381944444444444
31.0,2022-03-11,14870590.0,1759779064.0,118.5,120.5,116.0,120.5,+1.00,9502.0,False,0.84375,0.4431461562435045,0.2926590614682245
32.0,2022-03-14,15213469.0,1825027249.0,121.0,123.5,117.0,119.0,-1.50,10727.0,False,0.7272727272727273,0.5378550132532454,0.3743910453965648
9.0,2022-03-14,15213469.0,1825027249.0,121.0,123.5,117.0,119.0,-1.50,10727.0,False,0.7272727272727273,0.6521464646464645,0.5761784511784511
33.0,2022-03-15,11012598.0,1311118567.0,119.0,121.5,116.5,118.0,-1.00,7378.0,False,0.6666666666666666,0.5807922310577192,0.4431914406169496
10.0,2022-03-15,11012598.0,1311118567.0,119.0,121.5,116.5,118.0,-1.00,7378.0,False,0.6666666666666666,0.6569865319865319,0.603114478114478
