0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,592542.0,571390035.0,939.0,980.0,935.0,974.0,+54.00,766.0,False,,,
23.0,2022-03-01,592542.0,571390035.0,939.0,980.0,935.0,974.0,+54.00,766.0,False,0.9302325581395348,0.8218751563960635,0.8012973752594346
1.0,2022-03-02,318780.0,304468756.0,959.0,967.0,947.0,953.0,-21.00,388.0,False,,,
24.0,2022-03-02,318780.0,304468756.0,959.0,967.0,947.0,953.0,-21.00,388.0,False,0.686046511627907,0.7765989414733445,0.7930645639974044
2.0,2022-03-03,210294.0,199528317.0,957.0,971.0,939.0,939.0,-14.00,269.0,False,,,
25.0,2022-03-03,210294.0,199528317.0,957.0,971.0,939.0,939.0,-14.00,269.0,False,0.5232558139534884,0.6921512323000589,0.7594267867649559
3.0,2022-03-04,299745.0,276751313.0,928.0,933.0,916.0,920.0,-19.00,474.0,False,,,
26.0,2022-03-04,299745.0,276751313.0,928.0,933.0,916.0,920.0,-19.00,474.0,False,0.3023255813953488,0.5622093486651556,0.693687640731689
4.0,2022-03-07,548503.0,491395333.0,914.0,915.0,887.0,890.0,-30.00,791.0,False,,,
27.0,2022-03-07,548503.0,491395333.0,914.0,915.0,887.0,890.0,-30.00,791.0,False,0.03225806451612903,0.38555892061547997,0.5909780673596192
5.0,2022-03-08,456348.0,397249263.0,862.0,900.0,862.0,865.0,-25.00,561.0,False,,,
28.0,2022-03-08,456348.0,397249263.0,862.0,900.0,862.0,865.0,-25.00,561.0,False,0.025423728813559324,0.2655138566815064,0.4824899971335816
6.0,2022-03-09,328672.0,289371496.0,892.0,893.0,870.0,874.0,+9.00,399.0,False,,,
29.0,2022-03-09,328672.0,289371496.0,892.0,893.0,870.0,874.0,+9.00,399.0,False,0.1016949152542373,0.21090754287241667,0.3919625123798599
30.0,2022-03-10,394691.0,354823216.0,887.0,908.0,887.0,900.0,+26.00,451.0,False,0.3220338983050847,0.2479496613499727,0.3439582287032308
7.0,2022-03-10,394691.0,354823216.0,887.0,908.0,887.0,900.0,+26.00,451.0,False,,,
8.0,2022-03-11,217845.0,194199835.0,902.0,902.0,885.0,889.0,-11.00,299.0,False,0.2288135593220339,0.4096045197740112,0.4698681732580037
31.0,2022-03-11,217845.0,194199835.0,902.0,902.0,885.0,889.0,-11.00,299.0,False,0.2288135593220339,0.24157096067399306,0.30982913936015155
32.0,2022-03-14,688247.0,589306690.0,885.0,896.0,840.0,842.0,-47.00,982.0,False,0.015267175572519085,0.16613636564016834,0.2619315481201572
9.0,2022-03-14,688247.0,589306690.0,885.0,896.0,840.0,842.0,-47.00,982.0,False,0.015267175572519085,0.27815873837351385,0.4059650282965071
33.0,2022-03-15,942839.0,765895638.0,839.0,839.0,799.0,807.0,-35.00,1162.0,False,0.04651162790697674,0.12626145306243786,0.21670818310091736
10.0,2022-03-15,942839.0,765895638.0,839.0,839.0,799.0,807.0,-35.00,1162.0,False,0.04651162790697674,0.20094303488466814,0.337624363825894
