0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,50148185.0,1454713835.0,28.3,29.4,28.25,29.0,+1.10,17805.0,False,,,
23.0,2022-03-01,50148185.0,1454713835.0,28.3,29.4,28.25,29.0,+1.10,17805.0,False,0.5294117647058817,0.5945268011538991,0.5975160180760157
1.0,2022-03-02,27422762.0,798621678.0,29.2,29.55,28.85,28.85,-0.15,10121.0,False,,,
24.0,2022-03-02,27422762.0,798621678.0,29.2,29.55,28.85,28.85,-0.15,10121.0,False,0.4411764705882355,0.5434100242986779,0.5794806868169031
2.0,2022-03-03,33940372.0,998344485.0,29.25,29.95,28.85,29.85,+1.00,12539.0,False,,,
25.0,2022-03-03,33940372.0,998344485.0,29.25,29.95,28.85,29.85,+1.00,12539.0,False,0.945945945945947,0.6775886648477676,0.6121833461605246
3.0,2022-03-04,56771914.0,1720120833.0,29.85,30.95,29.2,30.05,+0.20,24866.0,False,,,
26.0,2022-03-04,56771914.0,1720120833.0,29.85,30.95,29.2,30.05,+0.20,24866.0,False,0.6842105263157897,0.6797959520037751,0.6347208814416079
4.0,2022-03-07,58718744.0,1777255787.0,30.6,30.85,29.6,30.55,+0.50,20991.0,False,,,
27.0,2022-03-07,58718744.0,1777255787.0,30.6,30.85,29.6,30.55,+0.50,20991.0,False,0.8596491228070179,0.7397470089381892,0.669729590607135
5.0,2022-03-08,74736971.0,2257755137.0,31.45,31.9,28.6,28.7,-1.85,26360.0,False,,,
28.0,2022-03-08,74736971.0,2257755137.0,31.45,31.9,28.6,28.7,-1.85,26360.0,False,0.12328767123287655,0.5342605630364183,0.6245732480835627
6.0,2022-03-09,29724711.0,867637795.0,29.3,29.75,28.85,29.0,+0.30,10662.0,False,,,
29.0,2022-03-09,29724711.0,867637795.0,29.3,29.75,28.85,29.0,+0.30,10662.0,False,0.2054794520547946,0.4246668593758771,0.5579377851810008
30.0,2022-03-10,25194061.0,731045065.0,29.4,29.4,28.5,29.15,+0.15,8934.0,False,0.2465753424657532,0.3653030204058357,0.4937261969226124
7.0,2022-03-10,25194061.0,731045065.0,29.4,29.4,28.5,29.15,+0.15,8934.0,False,,,
8.0,2022-03-11,15152803.0,437679389.0,28.9,29.2,28.7,28.7,-0.45,5145.0,False,0.12328767123287655,0.37442922374429216,0.4581430745814306
31.0,2022-03-11,15152803.0,437679389.0,28.9,29.2,28.7,28.7,-0.45,5145.0,False,0.12328767123287655,0.2846312373481827,0.4240278770644691
32.0,2022-03-14,15945317.0,465063426.0,28.9,29.55,28.7,29.55,+0.85,5578.0,False,0.30882352941176505,0.2926953347027101,0.3802503629438828
9.0,2022-03-14,15945317.0,465063426.0,28.9,29.55,28.7,29.55,+0.85,5578.0,False,0.30882352941176505,0.3525606589667831,0.4229489360432148
33.0,2022-03-15,16525095.0,475740303.0,29.45,29.45,28.5,28.6,-0.95,5825.0,False,0.029411764705882783,0.20493414470376767,0.321811623530511
10.0,2022-03-15,16525095.0,475740303.0,29.45,29.45,28.5,28.6,-0.95,5825.0,False,0.029411764705882783,0.2448443608798163,0.3635807443220821
34.0,2022-03-16,26197977.0,734872754.0,28.8,28.85,27.45,27.95,-0.65,8839.0,False,0.11235955056179778,0.17407594665644435,0.2725663979058221
11.0,2022-03-16,26197977.0,734872754.0,28.8,28.85,27.45,27.95,-0.65,8839.0,False,0.11235955056179778,0.2006827574404768,0.3092814153615469
35.0,2022-03-17,9671743.0,274453291.0,28.5,28.65,28.2,28.35,+0.40,5414.0,False,0.20224719101123648,0.18346636144137504,0.2428663857510064
12.0,2022-03-17,9671743.0,274453291.0,28.5,28.65,28.2,28.35,+0.40,5414.0,False,0.20224719101123648,0.20120423529739667,0.2732556886734968
36.0,2022-03-18,14585398.0,421028080.0,28.5,29.1,28.4,29.1,+0.75,4585.0,False,0.3707865168539331,0.24590641324556106,0.24387972824919124
13.0,2022-03-18,14585398.0,421028080.0,28.5,29.1,28.4,29.1,+0.75,4585.0,False,0.3707865168539331,0.2577316624829088,0.2680810132766341
37.0,2022-03-21,12079032.0,353128373.0,29.05,29.55,29.0,29.15,+0.05,4652.0,False,0.7391304347826082,0.4103144204245768,0.2993579589743197
14.0,2022-03-21,12079032.0,353128373.0,29.05,29.55,29.0,29.15,+0.05,4652.0,False,0.7391304347826082,0.4181979199161419,0.3181199821564701
38.0,2022-03-22,11568333.0,341371975.0,29.2,29.8,29.15,29.55,+0.40,4816.0,False,0.8936170212765958,0.5714152873752497,0.39004373510796303
15.0,2022-03-22,11568333.0,341371975.0,29.2,29.8,29.15,29.55,+0.40,4816.0,False,0.8936170212765958,0.5766709537029598,0.4043036393386333
16.0,2022-03-23,8052521.0,237057266.0,29.75,29.75,29.25,29.5,-0.05,3599.0,False,0.8723404255319147,0.6752274443126114,0.4946115743299594
39.0,2022-03-23,8052521.0,237057266.0,29.75,29.75,29.25,29.5,-0.05,3599.0,False,0.8723404255319147,0.6717236667608046,0.4839370456589102
17.0,2022-03-24,9682807.0,284509927.0,29.4,29.8,29.1,29.3,-0.20,3900.0,False,0.7872340425531916,0.7125629770594715,0.5672620419064633
40.0,2022-03-24,9682807.0,284509927.0,29.4,29.8,29.1,29.3,-0.20,3900.0,False,0.7872340425531916,0.7102271253582669,0.5593670722253624
18.0,2022-03-25,5949851.0,173093995.0,29.25,29.3,28.95,29.05,-0.25,2553.0,False,0.6808510638297874,0.7019923393162435,0.6121721410430567
41.0,2022-03-25,5949851.0,173093995.0,29.25,29.3,28.95,29.05,-0.25,2553.0,False,0.6808510638297874,0.7004351048487738,0.6063897497664995
19.0,2022-03-28,11043502.0,313099750.0,28.9,28.95,28.1,28.6,-0.45,4766.0,False,0.4893617021276602,0.6311154602533824,0.6184865807798319
42.0,2022-03-28,11043502.0,313099750.0,28.9,28.95,28.1,28.6,-0.45,4766.0,False,0.4893617021276602,0.6300773039417359,0.6142856011582449
20.0,2022-03-29,6149053.0,177167297.0,28.65,29.0,28.65,28.8,+0.20,2676.0,False,0.4117647058823527,0.5579985421297058,0.5983239012297898
43.0,2022-03-29,6149053.0,177167297.0,28.65,29.0,28.65,28.8,+0.20,2676.0,False,0.4117647058823527,0.5573064379219415,0.5952925467461437
21.0,2022-03-30,17659063.0,515791788.0,29.3,29.8,28.9,29.05,+0.25,6731.0,False,0.5588235294117645,0.5582735378903921,0.5849737801166572
44.0,2022-03-30,17659063.0,515791788.0,29.3,29.8,28.9,29.05,+0.25,6731.0,False,0.5588235294117645,0.5578121350852158,0.5827990761925009
