0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,7424131.0,791874033.0,108.5,110.5,103.0,105.0,-3.50,6744.0,False,,,
23.0,2022-03-01,7424131.0,791874033.0,108.5,110.5,103.0,105.0,-3.50,6744.0,False,0.6381578947368421,0.5991633122671298,0.5033409363756345
1.0,2022-03-02,12133201.0,1350366641.0,105.0,115.5,104.5,112.0,+7.00,8361.0,False,,,
24.0,2022-03-02,12133201.0,1350366641.0,105.0,115.5,104.5,112.0,+7.00,8361.0,False,0.8267326732673268,0.6750197659338621,0.5605672128950436
2.0,2022-03-03,7574769.0,854943931.0,111.5,115.0,110.5,113.5,+1.50,5184.0,False,,,
25.0,2022-03-03,7574769.0,854943931.0,111.5,115.0,110.5,113.5,+1.50,5184.0,False,0.8974358974358975,0.7491584764345405,0.6234309674082092
3.0,2022-03-04,4918800.0,548856508.0,112.5,115.5,108.5,109.0,-4.50,5413.0,False,,,
26.0,2022-03-04,4918800.0,548856508.0,112.5,115.5,108.5,109.0,-4.50,5413.0,False,0.6666666666666666,0.7216612065119159,0.6561743804427781
4.0,2022-03-07,3621326.0,378616610.0,108.5,109.5,102.0,102.5,-6.50,3306.0,False,,,
27.0,2022-03-07,3621326.0,378616610.0,108.5,109.5,102.0,102.5,-6.50,3306.0,False,0.32291666666666674,0.5887463598968329,0.6336983735941297
5.0,2022-03-08,3067944.0,306708688.0,99.4,104.0,97.5,97.5,-5.00,2771.0,False,,,
28.0,2022-03-08,3067944.0,306708688.0,99.4,104.0,97.5,97.5,-5.00,2771.0,False,0.06250000000000014,0.4133309065978886,0.5602425512620492
6.0,2022-03-09,3039226.0,304308765.0,100.0,103.0,98.2,98.8,+1.30,2801.0,False,,,
29.0,2022-03-09,3039226.0,304308765.0,100.0,103.0,98.2,98.8,+1.30,2801.0,False,0.0824175824175824,0.3030264652044532,0.4745038559095172
30.0,2022-03-10,2478532.0,252718667.0,102.0,104.0,100.0,102.5,+3.70,1731.0,False,0.2777777777777778,0.294610236062228,0.4145393159604208
7.0,2022-03-10,2478532.0,252718667.0,102.0,104.0,100.0,102.5,+3.70,1731.0,False,,,
8.0,2022-03-11,1333059.0,132816686.0,101.5,102.0,98.1,98.3,-4.20,1176.0,False,0.04444444444444429,0.3481481481481481,0.4493827160493827
31.0,2022-03-11,1333059.0,132816686.0,101.5,102.0,98.1,98.3,-4.20,1176.0,False,0.04444444444444429,0.2112216388563001,0.3467667569257139
32.0,2022-03-14,1727306.0,169517313.0,100.0,100.5,95.7,98.8,+0.50,1628.0,False,0.1565656565656563,0.19300297809275216,0.2955121639813933
9.0,2022-03-14,1727306.0,169517313.0,100.0,100.5,95.7,98.8,+0.50,1628.0,False,0.1565656565656563,0.28428731762065085,0.3943509165731387
33.0,2022-03-15,1514675.0,145482417.0,99.2,99.7,93.6,93.6,-5.20,1315.0,False,0.0,0.12866865206183475,0.2398976600082071
10.0,2022-03-15,1514675.0,145482417.0,99.2,99.7,93.6,93.6,-5.20,1315.0,False,0.0,0.1895248784137672,0.32607557052001485
34.0,2022-03-16,1353253.0,127778354.0,96.0,96.2,93.0,93.0,-0.60,999.0,False,0.0,0.0857791013745565,0.1885248071303236
11.0,2022-03-16,1353253.0,127778354.0,96.0,96.2,93.0,93.0,-0.60,999.0,False,0.0,0.12634991894251146,0.2595003533275137
35.0,2022-03-17,2188682.0,212754747.0,97.0,99.1,95.6,96.7,+3.70,1557.0,False,0.2242424242424244,0.13193354233051247,0.1696610521970532
12.0,2022-03-17,2188682.0,212754747.0,97.0,99.1,95.6,96.7,+3.70,1557.0,False,0.2242424242424244,0.15898075404248244,0.22599382023250325
36.0,2022-03-18,1024243.0,98718881.0,95.9,98.1,95.2,98.0,+1.30,812.0,False,0.4545454545454545,0.2394708464021598,0.19293098359875527
13.0,2022-03-18,1024243.0,98718881.0,95.9,98.1,95.2,98.0,+1.30,812.0,False,0.4545454545454545,0.2575023208768065,0.2364966537806043
37.0,2022-03-21,789161.0,76899270.0,97.8,98.3,96.5,97.0,-1.00,684.0,False,0.3636363636363637,0.2808593521468944,0.2222404397814684
14.0,2022-03-21,789161.0,76899270.0,97.8,98.3,96.5,97.0,-1.00,684.0,False,0.3636363636363637,0.2928803351299922,0.25529121423040024
38.0,2022-03-22,949232.0,91468345.0,98.6,98.6,95.5,96.0,-1.00,761.0,False,0.2727272727272727,0.2781486590070205,0.2408765128566524
15.0,2022-03-22,949232.0,91468345.0,98.6,98.6,95.5,96.0,-1.00,761.0,False,0.2727272727272727,0.286162647662419,0.2655816920410732
16.0,2022-03-23,859883.0,83169304.0,95.3,97.6,95.3,96.5,+0.50,690.0,False,0.3888888888888889,0.3204047280712423,0.2838560373844629
39.0,2022-03-23,859883.0,83169304.0,95.3,97.6,95.3,96.5,+0.50,690.0,False,0.3888888888888889,0.3150620689676432,0.265605031560316
17.0,2022-03-24,1371462.0,134218808.0,96.1,98.9,96.1,98.5,+2.00,1098.0,False,0.7333333333333333,0.4580475964919393,0.3419198904202883
40.0,2022-03-24,1371462.0,134218808.0,96.1,98.9,96.1,98.5,+2.00,1098.0,False,0.7333333333333333,0.4544858237562066,0.3285652956256129
18.0,2022-03-25,1630065.0,159052424.0,99.7,99.8,96.0,96.0,-2.50,1291.0,False,0.4411764705882355,0.4524238878573713,0.3787545562326493
41.0,2022-03-25,1630065.0,159052424.0,99.7,99.8,96.0,96.0,-2.50,1291.0,False,0.4411764705882355,0.45004937270021617,0.369059987983814
19.0,2022-03-28,7879457.0,799143741.0,100.0,104.5,98.2,98.2,+2.20,5355.0,False,0.4521739130434785,0.4523405629194071,0.4032832251282352
42.0,2022-03-28,7879457.0,799143741.0,100.0,104.5,98.2,98.2,+2.20,5355.0,False,0.4521739130434785,0.4507575528146369,0.3962925095940881
20.0,2022-03-29,1616559.0,158220600.0,98.4,99.4,96.3,98.2, 0.00,1514.0,False,0.3225806451612904,0.4090872570000348,0.40521790241883504
43.0,2022-03-29,1616559.0,158220600.0,98.4,99.4,96.3,98.2, 0.00,1514.0,False,0.3225806451612904,0.408031916930188,0.4002056453727881
21.0,2022-03-30,1027097.0,100650972.0,97.6,98.8,97.3,97.9,-0.30,847.0,False,0.2903225806451617,0.3694990315484104,0.3933116121286935
44.0,2022-03-30,1027097.0,100650972.0,97.6,98.8,97.3,97.9,-0.30,847.0,False,0.2903225806451617,0.3687954715018459,0.3897355874158074
22.0,2022-03-31,8462131.0,883392304.0,101.0,107.5,99.7,107.5,+9.60,5884.0,False,1.0,0.5796660210322736,0.4554297484298868
45.0,2022-03-31,8462131.0,883392304.0,101.0,107.5,99.7,107.5,+9.60,5884.0,False,1.0,0.5791969810012305,0.4528893852776151
46.0,2022-04-01,13315900.0,1443680470.0,105.5,113.0,103.0,103.0,-4.50,9931.0,False,0.4350282485875707,0.5311407368633438,0.4789731691395246
47.0,2022-04-06,9439426.0,1034811164.0,109.0,112.0,106.0,108.0,+5.00,7068.0,False,0.7175141242937854,0.5932651993401576,0.5170705125397356
48.0,2022-04-07,16574061.0,1856120821.0,110.0,115.5,108.0,111.5,+3.50,11860.0,False,0.7948717948717948,0.6604673978507033,0.5648694743100582
49.0,2022-04-08,9082611.0,986704215.0,111.5,112.5,105.0,105.5,-6.00,6130.0,False,0.4871794871794872,0.6027047609602979,0.5774812365268047
50.0,2022-04-11,20178379.0,2292765785.0,108.5,116.0,108.0,116.0,+10.50,13487.0,False,1.0,0.7351365073068652,0.6300329934534915
51.0,2022-04-12,37129917.0,4313545559.0,119.0,122.0,111.0,116.0, 0.00,21822.0,False,0.7665369649805448,0.7456033265314251,0.6685564378128026
52.0,2022-04-13,13065113.0,1476173946.0,115.5,116.0,110.5,113.0,-3.00,7968.0,False,0.6356275303643725,0.7089447278090741,0.6820192011448931
53.0,2022-04-14,23308328.0,2822705670.0,113.5,124.0,112.5,124.0,+11.00,12327.0,False,1.0,0.8059631518727159,0.7233338513875007
54.0,2022-04-15,53259066.0,7038472528.0,126.0,136.0,126.0,136.0,+12.00,29249.0,False,1.0,0.8706421012484773,0.7724366013411595
55.0,2022-04-18,10630237.0,1562904381.0,144.5,149.5,141.5,149.5,+13.50,4746.0,False,1.0,0.913761400832318,0.8195448678382122
56.0,2022-04-19,70600626.0,10487438845.0,149.5,160.0,141.0,160.0,+10.50,39387.0,False,1.0,0.9425076005548788,0.8605324454104343
57.0,2022-04-20,95024990.0,15551525884.0,160.0,172.0,155.0,162.0,+2.00,59389.0,False,0.8507462686567164,0.9119204899221578,0.8776617935810087
58.0,2022-04-21,8039821.0,1240095609.0,153.0,158.5,152.5,153.0,-9.00,6403.0,False,0.703125,0.8423219932814385,0.8658818601478186
59.0,2022-04-22,6121010.0,919077068.0,153.0,156.0,145.5,148.0,-5.00,4735.0,False,0.6097560975609756,0.7648000280412842,0.8321879161123071
60.0,2022-04-25,5175752.0,765330754.0,150.0,151.5,142.0,142.0,-6.00,4012.0,False,0.5121951219512195,0.6805983926779293,0.7816580749675145
61.0,2022-04-26,6139457.0,833011788.0,144.0,144.0,130.0,137.5,-4.50,4222.0,False,0.4201680672268908,0.5937882841942498,0.7190348113764262
62.0,2022-04-27,5328633.0,768101507.0,135.0,151.0,134.5,151.0,+13.50,3886.0,False,0.5434782608695652,0.5770182764193549,0.6716959663907358
63.0,2022-04-28,5820561.0,851347203.0,150.0,152.0,136.5,136.5,-14.50,4527.0,False,0.15476190476190474,0.4362661525335381,0.5932193617716699
64.0,2022-04-29,2446686.0,341220921.0,138.5,143.5,137.0,139.5,+3.00,2042.0,False,0.2261904761904762,0.3662409270858508,0.5175598835430635
65.0,2022-05-03,2005031.0,275396006.0,139.5,142.5,134.0,134.5,-5.00,1557.0,False,0.10714285714285714,0.2798749037715196,0.4383315569525488
66.0,2022-05-04,4548163.0,566040499.0,139.0,139.0,122.0,122.5,-12.00,3393.0,False,0.0136986301369863,0.1911494792266752,0.3559375310439242
67.0,2022-05-05,2343142.0,292850606.0,125.0,127.0,123.0,123.5,+1.00,1746.0,False,0.04411764705882353,0.14213886850405796,0.2846713101973021
68.0,2022-05-06,2901849.0,360695239.0,125.0,127.5,121.0,125.5,+2.00,2085.0,False,0.14516129032258066,0.1431463424435655,0.2374963209460565
69.0,2022-05-09,2113016.0,267733686.0,127.0,129.0,125.0,129.0,+3.50,1568.0,False,0.25806451612903225,0.18145240033872104,0.2188150140769448
70.0,2022-05-10,9688329.0,1157389557.0,126.0,126.5,116.5,116.5,-12.50,5630.0,False,0.0,0.1209682668924807,0.18619943168212336
71.0,2022-05-11,18141107.0,2039135552.0,113.5,117.0,108.0,111.5,-5.00,10736.0,False,0.07954545454545454,0.1071606627768053,0.15985317538035068
72.0,2022-05-12,11246179.0,1220726298.0,113.0,113.5,104.0,104.0,-7.50,6585.0,False,0.0,0.07144044185120353,0.13038226420396828
73.0,2022-05-13,12852264.0,1362081436.0,105.5,109.5,102.0,105.5,+1.50,7514.0,False,0.08641975308641975,0.0764335455962756,0.11239935800140403
74.0,2022-05-16,7127946.0,756712423.0,107.0,109.0,103.0,109.0,+3.50,4208.0,False,0.1891891891891892,0.1140187601272468,0.11293915871001828
75.0,2022-05-17,3490906.0,372499980.0,107.5,108.0,105.5,106.5,-2.50,2264.0,False,0.16666666666666666,0.13156806230705342,0.11914879324236333
76.0,2022-05-18,7519116.0,821975289.0,106.5,112.0,105.5,107.5,+1.00,4646.0,False,0.2037037037037037,0.15561327610593684,0.13130362086355446
77.0,2022-05-19,11725280.0,1244072559.0,107.5,111.5,101.5,102.0,-5.50,7497.0,False,0.01818181818181818,0.1098027901312306,0.12413667728611315
78.0,2022-05-20,5743765.0,595104966.0,103.0,105.0,102.5,102.5,+0.50,3201.0,False,0.04,0.0865351934208204,0.11160284933101557
