0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,22328823.0,2503386099.0,115.5,115.5,108.0,114.0,+2.50,14464.0,False,,,
23.0,2022-03-01,22328823.0,2503386099.0,115.5,115.5,108.0,114.0,+2.50,14464.0,False,0.2033898305084746,0.6500652314339262,0.766115256505193
1.0,2022-03-02,27737802.0,3262502265.0,113.5,122.5,112.0,118.0,+4.00,18765.0,False,,,
24.0,2022-03-02,27737802.0,3262502265.0,113.5,122.5,112.0,118.0,+4.00,18765.0,False,0.3389830508474576,0.5463711712384367,0.6928672280829409
2.0,2022-03-03,13596915.0,1589808916.0,118.0,119.5,114.5,115.5,-2.50,9234.0,False,,,
25.0,2022-03-03,13596915.0,1589808916.0,118.0,119.5,114.5,115.5,-2.50,9234.0,False,0.2542372881355932,0.4489932102041555,0.6115758887900125
3.0,2022-03-04,10936098.0,1259888678.0,114.0,119.0,112.5,112.5,-3.00,9028.0,False,,,
26.0,2022-03-04,10936098.0,1259888678.0,114.0,119.0,112.5,112.5,-3.00,9028.0,False,0.15254237288135594,0.3501762644298889,0.5244426806699712
4.0,2022-03-07,10631145.0,1147438416.0,111.0,112.5,104.5,106.0,-6.50,9329.0,False,,,
27.0,2022-03-07,10631145.0,1147438416.0,111.0,112.5,104.5,106.0,-6.50,9329.0,False,0.045454545454545456,0.2486023581047745,0.43249590648157227
5.0,2022-03-08,9793491.0,1032188151.0,105.0,109.0,101.5,101.5,-4.50,6783.0,False,,,
28.0,2022-03-08,9793491.0,1032188151.0,105.0,109.0,101.5,101.5,-4.50,6783.0,False,0.0,0.16573490540318295,0.3435755727887758
6.0,2022-03-09,6808449.0,710859874.0,104.0,107.5,102.0,103.0,+1.50,4406.0,False,,,
29.0,2022-03-09,6808449.0,710859874.0,104.0,107.5,102.0,103.0,+1.50,4406.0,False,0.04166666666666666,0.12437882582434415,0.27050999046729857
30.0,2022-03-10,8314276.0,889834576.0,106.0,109.5,104.5,107.0,+4.00,5125.0,False,0.1527777777777778,0.13384514314215534,0.22495504135891747
7.0,2022-03-10,8314276.0,889834576.0,106.0,109.5,104.5,107.0,+4.00,5125.0,False,,,
8.0,2022-03-11,6564619.0,673967798.0,104.0,105.5,101.0,102.5,-4.50,4393.0,False,0.06976744186046513,0.3565891472868217,0.4521963824289406
31.0,2022-03-11,6564619.0,673967798.0,104.0,105.5,101.0,102.5,-4.50,4393.0,False,0.06976744186046513,0.11248590938159196,0.18746533069980886
32.0,2022-03-14,7255497.0,724465480.0,102.0,103.0,97.6,101.5,-1.00,4985.0,False,0.15662650602409658,0.12719944159576016,0.16737670099845933
9.0,2022-03-14,7255497.0,724465480.0,102.0,103.0,97.6,101.5,-1.00,4985.0,False,0.15662650602409658,0.28993493353257993,0.3981092327968203
33.0,2022-03-15,5428923.0,550663511.0,102.5,104.0,99.7,99.7,-1.80,3573.0,False,0.09589041095890448,0.1167630980501416,0.15050550001568674
10.0,2022-03-15,5428923.0,550663511.0,102.5,104.0,99.7,99.7,-1.80,3573.0,False,0.09589041095890448,0.22525342600802145,0.3404906305338873
34.0,2022-03-16,3287203.0,329126705.0,102.5,102.5,98.5,99.0,-0.70,2313.0,False,0.0654205607476638,0.09964891894931566,0.13355330632689638
11.0,2022-03-16,3287203.0,329126705.0,102.5,102.5,98.5,99.0,-0.70,2313.0,False,0.0654205607476638,0.1719758042545689,0.2843190217741145
35.0,2022-03-17,8884482.0,947445860.0,102.0,108.5,101.5,108.5,+9.50,4217.0,False,0.7315436241610739,0.31028048735323505,0.1924623666690093
12.0,2022-03-17,8884482.0,947445860.0,102.0,108.5,101.5,108.5,+9.50,4217.0,False,0.7315436241610739,0.35849841089007056,0.3090454848127665
36.0,2022-03-18,21500324.0,2403824858.0,109.5,115.5,107.0,114.0,+5.50,13791.0,False,0.9162011173184358,0.5122540306749686,0.29905958800432897
13.0,2022-03-18,21500324.0,2403824858.0,109.5,115.5,107.0,114.0,+5.50,13791.0,False,0.9162011173184358,0.5443993130328589,0.3874967608861306
37.0,2022-03-21,18370022.0,2154602738.0,116.0,120.0,114.0,117.0,+3.00,11563.0,False,0.8660714285714286,0.6301931633071218,0.4094374464385933
14.0,2022-03-21,18370022.0,2154602738.0,116.0,120.0,114.0,117.0,+3.00,11563.0,False,0.8660714285714286,0.6516233515457155,0.4755389577726589
38.0,2022-03-22,7185992.0,833688881.0,115.5,118.0,114.0,117.5,+0.50,4804.0,False,0.8883928571428572,0.7162597279190336,0.5117115402654067
