0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,6832307.0,159642223.0,23.05,23.6,23.05,23.45,+0.55,3183.0,False,,,
23.0,2022-03-01,6832307.0,159642223.0,23.05,23.6,23.05,23.45,+0.55,3183.0,False,0.1379310344827582,0.4863725917012831,0.6539760594277829
1.0,2022-03-02,4968593.0,117140332.0,23.35,23.8,23.3,23.65,+0.20,2256.0,False,,,
24.0,2022-03-02,4968593.0,117140332.0,23.35,23.8,23.3,23.65,+0.20,2256.0,False,0.2068965517241373,0.3932139117089012,0.5670553435214891
2.0,2022-03-03,4180559.0,98665654.0,23.75,23.9,23.5,23.6,-0.05,2145.0,False,,,
25.0,2022-03-03,4180559.0,98665654.0,23.75,23.9,23.5,23.6,-0.05,2145.0,False,0.18965517241379345,0.3253609986105319,0.4864905618845034
3.0,2022-03-04,4831200.0,112241988.0,23.4,23.5,23.0,23.0,-0.60,2612.0,False,,,
26.0,2022-03-04,4831200.0,112241988.0,23.4,23.5,23.0,23.0,-0.60,2612.0,False,0.0,0.21690733240702129,0.3966294853920093
4.0,2022-03-07,9186737.0,208200743.0,22.95,23.05,22.4,22.8,-0.20,3926.0,False,,,
27.0,2022-03-07,9186737.0,208200743.0,22.95,23.05,22.4,22.8,-0.20,3926.0,False,0.11267605633802875,0.18216357371735706,0.3251408481671252
5.0,2022-03-08,42224507.0,1011103153.0,23.2,24.7,23.15,23.4,+0.60,18228.0,False,,,
28.0,2022-03-08,42224507.0,1011103153.0,23.2,24.7,23.15,23.4,+0.60,18228.0,False,0.2816901408450704,0.2153390960932615,0.28854026414250394
6.0,2022-03-09,12641657.0,294138534.0,23.55,23.8,23.0,23.25,-0.15,6740.0,False,,,
29.0,2022-03-09,12641657.0,294138534.0,23.55,23.8,23.0,23.25,-0.15,6740.0,False,0.2394366197183102,0.2233716039682777,0.26681737741776185
30.0,2022-03-10,17868695.0,429907002.0,23.6,24.4,23.6,24.1,+0.85,8040.0,False,0.5074626865671649,0.3180686315012401,0.2839011287789213
7.0,2022-03-10,17868695.0,429907002.0,23.6,24.4,23.6,24.1,+0.85,8040.0,False,,,
8.0,2022-03-11,19053015.0,467460929.0,24.35,24.85,24.2,24.5,+0.40,8268.0,False,0.8571428571428568,0.6190476190476188,0.5396825396825395
31.0,2022-03-11,19053015.0,467460929.0,24.35,24.85,24.2,24.5,+0.40,8268.0,False,0.8571428571428568,0.4977600400484457,0.3551874325354294
32.0,2022-03-14,11170341.0,275965353.0,24.6,24.95,24.45,24.7,+0.20,4801.0,False,0.9019607843137256,0.6324936214702055,0.4476228288470214
9.0,2022-03-14,11170341.0,275965353.0,24.6,24.95,24.45,24.7,+0.20,4801.0,False,0.9019607843137256,0.7133520074696544,0.5975723622782445
33.0,2022-03-15,10933137.0,268273526.0,24.8,24.85,24.3,24.3,-0.40,5177.0,False,0.7450980392156871,0.6700284273853659,0.5217580283598029
10.0,2022-03-15,10933137.0,268273526.0,24.8,24.85,24.3,24.3,-0.40,5177.0,False,0.7450980392156871,0.7239340180516652,0.639692914202718
34.0,2022-03-16,9033946.0,219885368.0,24.8,24.8,23.9,24.3, 0.00,4009.0,False,0.7450980392156871,0.6950516313288062,0.579522562682804
11.0,2022-03-16,9033946.0,219885368.0,24.8,24.8,23.9,24.3, 0.00,4009.0,False,0.7450980392156871,0.7309886917730057,0.6701248400594806
35.0,2022-03-17,8791578.0,217675686.0,24.75,24.95,24.5,24.8,+0.50,3834.0,False,0.9411764705882358,0.7770932444152827,0.6453794565936302
12.0,2022-03-17,8791578.0,217675686.0,24.75,24.95,24.5,24.8,+0.50,3834.0,False,0.9411764705882358,0.8010512847114157,0.7137669882767923
36.0,2022-03-18,13320326.0,333993772.0,24.8,25.5,24.8,25.5,+0.70,4922.0,False,1.0,0.8513954962768551,0.7140514698213718
13.0,2022-03-18,13320326.0,333993772.0,24.8,25.5,24.8,25.5,+0.70,4922.0,False,1.0,0.8673675231409437,0.7649671665648428
37.0,2022-03-21,9406509.0,239615366.0,25.55,25.65,25.2,25.5, 0.00,4419.0,False,0.9433962264150948,0.8820624063229351,0.7700551153218929
14.0,2022-03-21,9406509.0,239615366.0,25.55,25.65,25.2,25.5, 0.00,4419.0,False,0.9433962264150948,0.8927104242323274,0.8075482524540042
38.0,2022-03-22,5953726.0,151504865.0,25.3,25.65,25.25,25.45,-0.05,2682.0,False,0.902439024390244,0.8888546123453713,0.8096549476630523
15.0,2022-03-22,5953726.0,151504865.0,25.3,25.65,25.25,25.45,-0.05,2682.0,False,0.902439024390244,0.8959532909516329,0.8370165986198803
16.0,2022-03-23,9549900.0,246110007.0,25.55,25.95,25.55,25.75,+0.30,4458.0,False,0.9024390243902444,0.8981152020978366,0.8573827997791991
39.0,2022-03-23,9549900.0,246110007.0,25.55,25.95,25.55,25.75,+0.30,4458.0,False,0.9024390243902444,0.8933827496936623,0.8375642150065892
17.0,2022-03-24,6544522.0,166116528.0,25.65,25.65,25.25,25.4,-0.35,3306.0,False,0.7317073170731705,0.8426459070896145,0.8524705022160042
40.0,2022-03-24,6544522.0,166116528.0,25.65,25.65,25.25,25.4,-0.35,3306.0,False,0.7317073170731705,0.8394909388201649,0.8382064562777809
18.0,2022-03-25,6286156.0,158140481.0,25.25,25.35,24.9,25.3,-0.10,3211.0,False,0.6829268292682935,0.7894062144825075,0.8314490729715052
41.0,2022-03-25,6286156.0,158140481.0,25.25,25.35,24.9,25.3,-0.10,3211.0,False,0.6829268292682935,0.7873029023028744,0.8212386049528121
19.0,2022-03-28,4888091.0,121408683.0,24.95,25.05,24.65,25.0,-0.30,2334.0,False,0.536585365853659,0.7051325982728913,0.7893435814053005
42.0,2022-03-28,4888091.0,121408683.0,24.95,25.05,24.65,25.0,-0.30,2334.0,False,0.536585365853659,0.7037303901531358,0.7820692000195866
20.0,2022-03-29,10844535.0,277290195.0,25.15,25.75,25.1,25.7,+0.70,5081.0,False,0.8275862068965516,0.7459504678141113,0.7748792102082374
43.0,2022-03-29,10844535.0,277290195.0,25.15,25.75,25.1,25.7,+0.70,5081.0,False,0.8275862068965516,0.745015662400941,0.7697180208133714
