0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1282466.0,19417688.0,14.9,15.25,14.9,15.25,+0.40,347.0,False,,,
23.0,2022-03-01,1282466.0,19417688.0,14.9,15.25,14.9,15.25,+0.40,347.0,False,0.1521739130434782,0.4246125384565611,0.6156303308167049
1.0,2022-03-02,969340.0,14764496.0,15.25,15.4,15.1,15.35,+0.10,255.0,False,,,
24.0,2022-03-02,969340.0,14764496.0,15.25,15.4,15.1,15.35,+0.10,255.0,False,0.19565217391304326,0.34829241694205515,0.5265176928584883
2.0,2022-03-03,1022349.0,15582305.0,15.35,15.5,15.15,15.25,-0.10,254.0,False,,,
25.0,2022-03-03,1022349.0,15582305.0,15.35,15.5,15.15,15.25,-0.10,254.0,False,0.1521739130434782,0.2829195823091961,0.4453183226753909
3.0,2022-03-04,762009.0,11495187.0,15.15,15.25,15.0,15.0,-0.25,247.0,False,,,
26.0,2022-03-04,762009.0,11495187.0,15.15,15.25,15.0,15.0,-0.25,247.0,False,0.043478260869565084,0.20310580849598567,0.3645808179489225
4.0,2022-03-07,1281037.0,18790974.0,14.85,14.85,14.5,14.65,-0.35,512.0,False,,,
27.0,2022-03-07,1281037.0,18790974.0,14.85,14.85,14.5,14.65,-0.35,512.0,False,0.055555555555555705,0.15392239084917572,0.2943613422490069
5.0,2022-03-08,1024849.0,15165986.0,14.35,15.1,14.35,14.6,-0.05,445.0,False,,,
28.0,2022-03-08,1024849.0,15165986.0,14.35,15.1,14.35,14.6,-0.05,445.0,False,0.08771929824561404,0.13185469331465516,0.24019245927088964
29.0,2022-03-09,2808207.0,41665530.0,14.65,14.9,14.65,14.85,+0.25,204.0,False,0.17857142857142866,0.14742693840024632,0.2092706189806752
6.0,2022-03-09,2808207.0,41665530.0,14.65,14.9,14.65,14.85,+0.25,204.0,False,,,
30.0,2022-03-10,902956.0,13712788.0,15.25,15.3,15.0,15.05,+0.20,294.0,False,0.27450980392156915,0.1897878935740206,0.20277637717845687
7.0,2022-03-10,902956.0,13712788.0,15.25,15.3,15.0,15.05,+0.20,294.0,False,,,
31.0,2022-03-11,1133884.0,17347572.0,15.15,15.4,15.1,15.4,+0.35,445.0,False,0.91304347826087,0.430873088469637,0.2788086142755169
8.0,2022-03-11,1133884.0,17347572.0,15.15,15.4,15.1,15.4,+0.35,445.0,False,0.91304347826087,0.63768115942029,0.5458937198067633
32.0,2022-03-14,1684156.0,26477689.0,15.4,15.95,15.4,15.85,+0.45,775.0,False,0.9375000000000002,0.5997487256464247,0.3857886513991529
9.0,2022-03-14,1684156.0,26477689.0,15.4,15.95,15.4,15.85,+0.45,775.0,False,0.9375000000000002,0.73762077294686,0.6098027375201288
33.0,2022-03-15,1908862.0,30407037.0,15.9,16.1,15.8,15.85, 0.00,715.0,False,0.8571428571428563,0.6855467694785685,0.4857080240922914
10.0,2022-03-15,1908862.0,30407037.0,15.9,16.1,15.8,15.85, 0.00,715.0,False,0.8571428571428563,0.7774614676788587,0.6656889809063721
34.0,2022-03-16,888594.0,14024913.0,16.0,16.0,15.55,15.85, 0.00,417.0,False,0.8571428571428563,0.7427454653666644,0.571387171183749
11.0,2022-03-16,888594.0,14024913.0,16.0,16.0,15.55,15.85, 0.00,417.0,False,0.8571428571428563,0.8040219308335246,0.7117999642154229
12.0,2022-03-17,1804444.0,28996996.0,16.0,16.3,15.8,16.2,+0.35,602.0,False,0.948717948717948,0.8522539367949991,0.7586179550752816
