0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,2648989.0,56787477.0,21.2,21.65,21.0,21.6,0.65,1165.0,False,,,
23.0,2022-03-01,2648989.0,56787477.0,21.2,21.65,21.0,21.6,0.65,1165.0,False,0.5000000000000014,0.30164224098171943,0.29764416158109264
1.0,2022-03-02,1552955.0,33513308.0,21.5,21.75,21.4,21.7,0.1,971.0,False,,,
24.0,2022-03-02,1552955.0,33513308.0,21.5,21.75,21.4,21.7,0.1,971.0,False,0.583333333333333,0.3955392717655906,0.3302758649759253
2.0,2022-03-03,2569492.0,56244937.0,21.7,22.1,21.7,21.9,0.2,1248.0,False,,,
25.0,2022-03-03,2569492.0,56244937.0,21.7,22.1,21.7,21.9,0.2,1248.0,False,0.8181818181818158,0.536420120570999,0.3989906168409498
3.0,2022-03-04,1435342.0,31197967.0,21.75,21.95,21.5,21.65,-0.25,903.0,False,,,
26.0,2022-03-04,1435342.0,31197967.0,21.75,21.95,21.5,21.65,-0.25,903.0,False,0.5909090909090888,0.5545831106836956,0.4508547814551984
4.0,2022-03-07,2254090.0,47698657.0,21.5,21.55,20.9,21.2,-0.45,1445.0,False,,,
27.0,2022-03-07,2254090.0,47698657.0,21.5,21.55,20.9,21.2,-0.45,1445.0,False,0.25,0.4530554071224637,0.4515883233442868
5.0,2022-03-08,3027580.0,64670756.0,21.0,21.7,21.0,21.2,0.0,1671.0,False,,,
28.0,2022-03-08,3027580.0,64670756.0,21.0,21.7,21.0,21.2,0.0,1671.0,False,0.25,0.38537027141497576,0.42951563936784976
6.0,2022-03-09,6821093.0,150089594.0,21.6,22.25,21.55,22.1,0.9,3267.0,False,,,
29.0,2022-03-09,6821093.0,150089594.0,21.6,22.25,21.55,22.1,0.9,3267.0,False,0.8888888888888901,0.5532098105729472,0.4707470297695489
30.0,2022-03-10,4343706.0,96243615.0,22.35,22.45,22.0,22.0,-0.1,2485.0,False,0.7096774193548393,0.6053656801669112,0.5156199132353363
7.0,2022-03-10,4343706.0,96243615.0,22.35,22.45,22.0,22.0,-0.1,2485.0,False,,,
8.0,2022-03-11,1652213.0,36216035.0,21.95,22.05,21.8,21.95,-0.05,974.0,False,0.6774193548387099,0.5591397849462366,0.5197132616487455
31.0,2022-03-11,1652213.0,36216035.0,21.95,22.05,21.8,21.95,-0.05,974.0,False,0.6774193548387099,0.6293835717241774,0.5535411327316166
32.0,2022-03-14,1724716.0,37579815.0,22.05,22.1,21.6,21.6,-0.35,923.0,False,0.4516129032258081,0.5701266822247208,0.559069649229318
9.0,2022-03-14,1724716.0,37579815.0,22.05,22.1,21.6,21.6,-0.35,923.0,False,0.4516129032258081,0.523297491039427,0.5209080047789727
33.0,2022-03-15,2940057.0,62320068.0,21.7,21.8,21.05,21.1,-0.5,1472.0,False,0.1290322580645179,0.4230952075046532,0.5137448353210964
10.0,2022-03-15,2940057.0,62320068.0,21.7,21.8,21.05,21.1,-0.5,1472.0,False,0.1290322580645179,0.3918757467144573,0.4778972520908009
34.0,2022-03-16,2127000.0,44827378.0,21.3,21.3,20.95,21.0,-0.1,992.0,False,0.06451612903225895,0.3035688480138551,0.4436861728853492
11.0,2022-03-16,2127000.0,44827378.0,21.3,21.3,20.95,21.0,-0.1,992.0,False,0.06451612903225895,0.2827558741537245,0.41285012611177535
35.0,2022-03-17,1704349.0,36300170.0,21.25,21.45,21.15,21.3,0.3,908.0,False,0.2580645161290335,0.28840073738558125,0.3919243610520932
