0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,117494374.0,6321681135.0,53.0,54.5,52.5,54.1,+2.00,45205.0,False,,,
23.0,2022-03-01,117494374.0,6321681135.0,53.0,54.5,52.5,54.1,+2.00,45205.0,False,0.8000000000000007,0.8060737050609037,0.8064346343104712
1.0,2022-03-02,58016597.0,3102969984.0,53.2,53.9,53.1,53.6,-0.50,30333.0,False,,,
24.0,2022-03-02,58016597.0,3102969984.0,53.2,53.9,53.1,53.6,-0.50,30333.0,False,0.5500000000000007,0.7207158033739359,0.7778616906649595
2.0,2022-03-03,51713681.0,2800451635.0,54.2,54.5,53.8,54.2,+0.60,24275.0,False,,,
25.0,2022-03-03,51713681.0,2800451635.0,54.2,54.5,53.8,54.2,+0.60,24275.0,False,0.8500000000000014,0.7638105355826245,0.7731779723041811
3.0,2022-03-04,45582895.0,2436581284.0,53.3,53.8,53.2,53.4,-0.80,28947.0,False,,,
26.0,2022-03-04,45582895.0,2436581284.0,53.3,53.8,53.2,53.4,-0.80,28947.0,False,0.4499999999999993,0.6592070237217493,0.7351876561100371
4.0,2022-03-07,107606101.0,5571210359.0,52.8,52.8,51.3,51.6,-1.80,61258.0,False,,,
27.0,2022-03-07,107606101.0,5571210359.0,52.8,52.8,51.3,51.6,-1.80,61258.0,False,0.09375000000000124,0.4707213491478333,0.6470322204559691
5.0,2022-03-08,180287297.0,9041335610.0,50.6,51.2,49.5,49.7,-1.90,97960.0,False,,,
28.0,2022-03-08,180287297.0,9041335610.0,50.6,51.2,49.5,49.7,-1.90,97960.0,False,0.04000000000000057,0.3271475660985557,0.5404040023368313
6.0,2022-03-09,98203213.0,5054495564.0,50.8,52.2,50.5,51.8,+2.10,51585.0,False,,,
29.0,2022-03-09,98203213.0,5054495564.0,50.8,52.2,50.5,51.8,+2.10,51585.0,False,0.4599999999999994,0.3714317107323703,0.4840799051353442
30.0,2022-03-10,98569832.0,5240112949.0,53.5,53.8,52.6,52.8,+1.00,47354.0,False,0.6599999999999995,0.4676211404882466,0.4785936502529784
7.0,2022-03-10,98569832.0,5240112949.0,53.5,53.8,52.6,52.8,+1.00,47354.0,False,,,
8.0,2022-03-11,47021432.0,2471114716.0,52.7,53.0,52.3,52.5,-0.30,29315.0,False,0.6,0.5333333333333333,0.5111111111111111
31.0,2022-03-11,47021432.0,2471114716.0,52.7,53.0,52.3,52.5,-0.30,29315.0,False,0.6,0.5117474269921644,0.4896449091660403
32.0,2022-03-14,59759854.0,3128307592.0,52.7,53.1,51.8,52.5, 0.00,25064.0,False,0.6,0.5411649513281095,0.5068182565533967
9.0,2022-03-14,59759854.0,3128307592.0,52.7,53.1,51.8,52.5, 0.00,25064.0,False,0.6,0.5555555555555555,0.5259259259259258
33.0,2022-03-15,118324946.0,6003320460.0,51.4,51.6,50.2,50.4,-2.10,68484.0,False,0.17999999999999972,0.4207766342187395,0.4781377157751776
10.0,2022-03-15,118324946.0,6003320460.0,51.4,51.6,50.2,50.4,-2.10,68484.0,False,0.17999999999999972,0.4303703703703702,0.4940740740740739
34.0,2022-03-16,82588688.0,4175217464.0,51.2,51.3,50.1,50.8,+0.40,38029.0,False,0.3023255813953484,0.38129294994427576,0.445856127164877
11.0,2022-03-16,82588688.0,4175217464.0,51.2,51.3,50.1,50.8,+0.40,38029.0,False,0.3023255813953484,0.3876887740453629,0.4586123073978369
35.0,2022-03-17,106648904.0,5597421561.0,52.4,52.8,52.2,52.6,+1.80,37310.0,False,0.7209302325581404,0.4945053774822306,0.4620725439373282
12.0,2022-03-17,106648904.0,5597421561.0,52.4,52.8,52.2,52.6,+1.80,37310.0,False,0.7209302325581404,0.4987692602162887,0.4719979583373208
36.0,2022-03-18,66366735.0,3498785389.0,52.7,53.0,52.5,52.8,+0.20,22183.0,False,0.7674418604651161,0.5854842051431923,0.5032097643392829
13.0,2022-03-18,66366735.0,3498785389.0,52.7,53.0,52.5,52.8,+0.20,22183.0,False,0.7674418604651161,0.5883267936325645,0.5107742367690686
37.0,2022-03-21,51116003.0,2729774792.0,53.5,53.7,53.1,53.5,+0.70,22473.0,False,0.9189189189189196,0.6966291097351014,0.5676828794712223
14.0,2022-03-21,51116003.0,2729774792.0,53.5,53.7,53.1,53.5,+0.70,22473.0,False,0.9189189189189196,0.6985241687280161,0.5733575474220511
38.0,2022-03-22,47847440.0,2549312902.0,53.5,53.5,52.9,53.5, 0.00,19119.0,False,0.9189189189189196,0.7707257127963739,0.6353638239129396
15.0,2022-03-22,47847440.0,2549312902.0,53.5,53.5,52.9,53.5, 0.00,19119.0,False,0.9189189189189196,0.7719890854583172,0.6395680601008065
16.0,2022-03-23,63589704.0,3423382206.0,53.8,54.2,53.6,53.8,+0.30,27399.0,False,0.9024390243902426,0.8154723984356256,0.6982028395457461
39.0,2022-03-23,63589704.0,3423382206.0,53.8,54.2,53.6,53.8,+0.30,27399.0,False,0.9024390243902426,0.8146301499943301,0.6951192659400697
17.0,2022-03-24,51198782.0,2717245605.0,53.0,53.4,52.9,53.2,-0.60,25468.0,False,0.7560975609756099,0.7956807859489536,0.7306954883468153
40.0,2022-03-24,51198782.0,2717245605.0,53.0,53.4,52.9,53.2,-0.60,25468.0,False,0.7560975609756099,0.79511928698809,0.7284526062894098
18.0,2022-03-25,42288486.0,2256948605.0,53.5,53.6,53.0,53.3,+0.10,20724.0,False,0.7804878048780475,0.7906164589253182,0.7506691452063162
41.0,2022-03-25,42288486.0,2256948605.0,53.5,53.6,53.0,53.3,+0.10,20724.0,False,0.7804878048780475,0.7902421262847424,0.7490491129545207
19.0,2022-03-28,40471428.0,2155186429.0,53.2,53.8,52.8,53.6,+0.30,16868.0,False,0.8536585365853656,0.8116304848120006,0.7709895917415444
42.0,2022-03-28,40471428.0,2155186429.0,53.2,53.8,52.8,53.6,+0.30,16868.0,False,0.8536585365853656,0.8113809297182835,0.7698263852091083
20.0,2022-03-29,39644134.0,2128234516.0,53.9,54.0,53.3,53.7,+0.10,19350.0,False,0.75,0.7910869898746671,0.7776887244525852
43.0,2022-03-29,39644134.0,2128234516.0,53.9,54.0,53.3,53.7,+0.10,19350.0,False,0.75,0.7909206198121891,0.7768577967434684
21.0,2022-03-30,72860449.0,3944736027.0,54.1,54.5,54.0,54.5,+0.80,31002.0,False,1.0,0.8607246599164446,0.8053673696072049
44.0,2022-03-30,72860449.0,3944736027.0,54.1,54.5,54.0,54.5,+0.80,31002.0,False,1.0,0.8606137465414592,0.8047764466761321
22.0,2022-03-31,48478339.0,2615987922.0,54.1,54.2,53.8,54.0,-0.50,21667.0,False,0.7058823529411771,0.8091105575913554,0.8066150989352551
45.0,2022-03-31,48478339.0,2615987922.0,54.1,54.2,53.8,54.0,-0.50,21667.0,False,0.7058823529411771,0.8090366153413651,0.8061965028978764
46.0,2022-04-01,84161916.0,4440132288.0,53.1,53.1,52.5,52.9,-1.10,38776.0,False,0.1999999999999993,0.6060244102275765,0.7394724720077763
47.0,2022-04-06,145865641.0,7464044574.0,51.6,51.7,50.8,51.1,-1.80,69413.0,False,0.08108108108108218,0.4310433005120784,0.6366627481758771
48.0,2022-04-07,114103048.0,5728994346.0,50.1,50.6,50.0,50.0,-1.10,63724.0,False,0.0,0.2873622003413856,0.5202292322310464
