0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,15815080.0,3981546739.0,249.0,256.5,247.5,256.5,+10.00,5814.0,False,,,
23.0,2022-03-01,15815080.0,3981546739.0,249.0,256.5,247.5,256.5,+10.00,5814.0,False,0.4,0.6991278496196328,0.7917446107648054
1.0,2022-03-02,5954975.0,1519444641.0,254.5,258.0,252.0,255.0,-1.50,4245.0,False,,,
24.0,2022-03-02,5954975.0,1519444641.0,254.5,258.0,252.0,255.0,-1.50,4245.0,False,0.3333333333333333,0.5771963441908663,0.7202285219068256
2.0,2022-03-03,7976318.0,2044815914.0,255.5,258.0,254.5,256.0,+1.00,4891.0,False,,,
25.0,2022-03-03,7976318.0,2044815914.0,255.5,258.0,254.5,256.0,+1.00,4891.0,False,0.37777777777777777,0.5107234887198367,0.6503935108444959
3.0,2022-03-04,5939934.0,1512687616.0,253.0,257.0,251.5,254.5,-1.50,3490.0,False,,,
26.0,2022-03-04,5939934.0,1512687616.0,253.0,257.0,251.5,254.5,-1.50,3490.0,False,0.3111111111111111,0.44418602951692815,0.5816576837353067
4.0,2022-03-07,13996103.0,3470128936.0,249.5,250.0,246.0,247.0,-7.50,8594.0,False,,,
27.0,2022-03-07,13996103.0,3470128936.0,249.5,250.0,246.0,247.0,-7.50,8594.0,False,0.04166666666666666,0.310012908566841,0.4911094253458181
5.0,2022-03-08,13417566.0,3220337882.0,242.0,250.0,234.0,235.5,-11.50,17218.0,False,,,
28.0,2022-03-08,13417566.0,3220337882.0,242.0,250.0,234.0,235.5,-11.50,17218.0,False,0.04166666666666666,0.22056416126678288,0.4009276706528063
6.0,2022-03-09,7176588.0,1723786329.0,236.5,243.0,236.5,241.5,+6.00,7472.0,False,,,
29.0,2022-03-09,7176588.0,1723786329.0,236.5,243.0,236.5,241.5,+6.00,7472.0,False,0.2083333333333333,0.2164872186222997,0.3394475199759708
30.0,2022-03-10,10337175.0,2626487811.0,252.0,258.0,249.5,254.5,+13.00,9759.0,False,0.5774647887323944,0.33681307532566457,0.33856937175920204
7.0,2022-03-10,10337175.0,2626487811.0,252.0,258.0,249.5,254.5,+13.00,9759.0,False,,,
8.0,2022-03-11,10922131.0,2851885112.0,257.5,264.0,254.5,262.0,+7.50,12598.0,False,0.9333333333333332,0.6444444444444444,0.5481481481481479
31.0,2022-03-11,10922131.0,2851885112.0,257.5,264.0,254.5,262.0,+7.50,12598.0,False,0.9333333333333332,0.5356531613282208,0.4042639682822083
32.0,2022-03-14,4388711.0,1132968999.0,263.5,263.5,256.0,257.5,-4.50,6990.0,False,0.7833333333333333,0.6182132186632583,0.4755803850758916
9.0,2022-03-14,4388711.0,1132968999.0,263.5,263.5,256.0,257.5,-4.50,6990.0,False,0.7833333333333333,0.6907407407407407,0.5956790123456789
33.0,2022-03-15,6432804.0,1621680469.0,257.5,257.5,249.5,251.5,-6.00,7227.0,False,0.5833333333333334,0.60658659021995,0.5192491201239111
10.0,2022-03-15,6432804.0,1621680469.0,257.5,257.5,249.5,251.5,-6.00,7227.0,False,0.5833333333333334,0.6549382716049382,0.615432098765432
34.0,2022-03-16,9183097.0,2273679134.0,251.5,254.0,247.0,249.0,-2.50,6617.0,False,0.5,0.5710577268132999,0.5365186556870407
11.0,2022-03-16,9183097.0,2273679134.0,251.5,254.0,247.0,249.0,-2.50,6617.0,False,0.5,0.6032921810699587,0.6113854595336076
35.0,2022-03-17,8834656.0,2282946479.0,255.0,262.0,253.0,260.5,+11.50,6701.0,False,0.8833333333333333,0.675149595653311,0.5827289690091308
12.0,2022-03-17,8834656.0,2282946479.0,255.0,262.0,253.0,260.5,+11.50,6701.0,False,0.8833333333333333,0.6966392318244169,0.6398033836305439
36.0,2022-03-18,10350076.0,2665111239.0,260.0,262.5,254.5,256.0,-4.50,7234.0,False,0.7333333333333333,0.694544174879985,0.6200007042994156
13.0,2022-03-18,10350076.0,2665111239.0,260.0,262.5,254.5,256.0,-4.50,7234.0,False,0.7333333333333333,0.7088705989940556,0.6628257887517144
37.0,2022-03-21,5640871.0,1481728153.0,261.0,265.0,260.0,261.0,+5.00,5961.0,False,0.8596491228070176,0.7495791575223292,0.6631935220403867
14.0,2022-03-21,5640871.0,1481728153.0,261.0,265.0,260.0,261.0,+5.00,5961.0,False,0.8596491228070176,0.7591301069317096,0.694927228145046
38.0,2022-03-22,3973695.0,1041488998.0,263.5,264.0,260.5,262.0,+1.00,3836.0,False,0.8333333333333334,0.7774972161259972,0.7012947534022569
15.0,2022-03-22,3973695.0,1041488998.0,263.5,264.0,260.5,262.0,+1.00,3836.0,False,0.8333333333333334,0.7838645157322508,0.7245729906741143
16.0,2022-03-23,3096282.0,817505606.0,266.0,266.0,262.0,264.5,+2.50,2727.0,False,0.9210526315789472,0.8295938876811496,0.759579956343126
39.0,2022-03-23,3096282.0,817505606.0,266.0,266.0,262.0,264.5,+2.50,2727.0,False,0.9210526315789472,0.8253490212769805,0.7426461760271648
17.0,2022-03-24,5972418.0,1588380519.0,265.0,267.5,262.5,266.5,+2.00,5220.0,False,0.951219512195122,0.8701357625191403,0.7964318917351307
40.0,2022-03-24,5972418.0,1588380519.0,265.0,267.5,262.5,266.5,+2.00,5220.0,False,0.951219512195122,0.8673058515830275,0.7841994012124524
18.0,2022-03-25,4900943.0,1314752843.0,269.0,270.0,266.0,268.0,+1.50,4227.0,False,0.9130434782608696,0.88443833443305,0.8257673726344371
41.0,2022-03-25,4900943.0,1314752843.0,269.0,270.0,266.0,268.0,+1.50,4227.0,False,0.9130434782608696,0.8825517271423082,0.8169835098557376
19.0,2022-03-28,2745584.0,721325187.0,264.0,265.5,258.5,265.0,-3.00,5517.0,False,0.7826086956521741,0.8504951215060912,0.834009955591655
42.0,2022-03-28,2745584.0,721325187.0,264.0,265.5,258.5,265.0,-3.00,5517.0,False,0.7826086956521741,0.8492373833122635,0.8277348010079129
20.0,2022-03-29,3662412.0,974235803.0,263.5,268.5,263.5,266.0,+1.00,3070.0,False,0.7647058823529411,0.8218987084550411,0.8299728732127837
43.0,2022-03-29,3662412.0,974235803.0,263.5,268.5,263.5,266.0,+1.00,3070.0,False,0.7647058823529411,0.8210602163258227,0.8255099394472161
21.0,2022-03-30,4848041.0,1297125886.0,269.0,270.0,265.0,268.0,+2.00,6910.0,False,0.8709677419354839,0.838255052948522,0.8327335997913631
44.0,2022-03-30,4848041.0,1297125886.0,269.0,270.0,265.0,268.0,+2.00,6910.0,False,0.8709677419354839,0.8376960581957097,0.8295719790300472
22.0,2022-03-31,3525183.0,945150236.0,269.0,269.5,266.0,268.5,+0.50,2197.0,False,0.8695652173913043,0.8486917744294493,0.8380529913373918
45.0,2022-03-31,3525183.0,945150236.0,269.0,269.5,266.0,268.5,+0.50,2197.0,False,0.8695652173913043,0.8483191112609079,0.8358210231070007
