0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,3846604.0,1779403010.0,463.0,466.0,457.5,465.0,+13.50,3820.0,False,,,
23.0,2022-03-01,3846604.0,1779403010.0,463.0,466.0,457.5,465.0,+13.50,3820.0,False,0.9782608695652174,0.7419863532993098,0.619788961514621
1.0,2022-03-02,1989663.0,914732033.0,460.0,463.5,457.0,462.5,-2.50,2363.0,False,,,
24.0,2022-03-02,1989663.0,914732033.0,460.0,463.5,457.0,462.5,-2.50,2363.0,False,0.9230769230769232,0.8023498765585142,0.6806425998625854
2.0,2022-03-03,2141937.0,990266771.0,466.0,468.5,459.0,459.5,-3.00,2475.0,False,,,
25.0,2022-03-03,2141937.0,990266771.0,466.0,468.5,459.0,459.5,-3.00,2475.0,False,0.8125,0.8057332510390094,0.72233948358806
3.0,2022-03-04,2264668.0,1025470176.0,457.0,457.0,450.0,450.5,-9.00,3287.0,False,,,
26.0,2022-03-04,2264668.0,1025470176.0,457.0,457.0,450.0,450.5,-9.00,3287.0,False,0.625,0.7454888340260062,0.7300559337340421
4.0,2022-03-07,5017607.0,2162186410.0,440.0,441.0,427.0,427.0,-23.50,7099.0,False,,,
27.0,2022-03-07,5017607.0,2162186410.0,440.0,441.0,427.0,427.0,-23.50,7099.0,False,0.13541666666666666,0.5421314449062263,0.6674144374581035
5.0,2022-03-08,4065607.0,1703323048.0,414.0,430.5,414.0,414.5,-12.50,5914.0,False,,,
28.0,2022-03-08,4065607.0,1703323048.0,414.0,430.5,414.0,414.5,-12.50,5914.0,False,0.009174311926605505,0.3644790672463527,0.5664359807208532
29.0,2022-03-09,2693443.0,1138834113.0,423.5,428.0,418.0,423.5,+9.00,3020.0,False,0.1743119266055046,0.30109002036607,0.4779873272692587
6.0,2022-03-09,2693443.0,1138834113.0,423.5,428.0,418.0,423.5,+9.00,3020.0,False,,,
