0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,3285311.0,327707762.0,98.8,100.5,98.8,99.5,+1.50,2399.0,False,,,
23.0,2022-03-01,3285311.0,327707762.0,98.8,100.5,98.8,99.5,+1.50,2399.0,False,0.9065420560747663,0.7635970313946594,0.659164918945985
1.0,2022-03-02,2564868.0,254567670.0,99.4,100.0,98.5,99.4,-0.10,2437.0,False,,,
24.0,2022-03-02,2564868.0,254567670.0,99.4,100.0,98.5,99.4,-0.10,2437.0,False,0.8971962616822435,0.8081301081571873,0.7088199820163857
2.0,2022-03-03,4092230.0,412061628.0,101.0,102.0,99.9,99.9,+0.50,2919.0,False,,,
25.0,2022-03-03,4092230.0,412061628.0,101.0,102.0,99.9,99.9,+0.50,2919.0,False,0.8278688524590169,0.8147096895911305,0.7441165512079673
3.0,2022-03-04,3704421.0,365523360.0,99.1,99.4,98.2,98.3,-1.60,3234.0,False,,,
26.0,2022-03-04,3704421.0,365523360.0,99.1,99.4,98.2,98.3,-1.60,3234.0,False,0.6967213114754097,0.7753802302192235,0.7545377775450526
4.0,2022-03-07,14011654.0,1288824305.0,96.0,96.1,89.8,89.9,-8.40,10238.0,False,,,
27.0,2022-03-07,14011654.0,1288824305.0,96.0,96.1,89.8,89.9,-8.40,10238.0,False,0.008196721311476108,0.519652393916641,0.6762426496689153
5.0,2022-03-08,12792045.0,1112116788.0,87.2,90.5,84.2,84.5,-5.40,8955.0,False,,,
28.0,2022-03-08,12792045.0,1112116788.0,87.2,90.5,84.2,84.5,-5.40,8955.0,False,0.016853932584269506,0.3520529068058505,0.5681794020478937
6.0,2022-03-09,6107936.0,532771405.0,87.1,88.3,86.0,88.1,+3.60,4761.0,False,,,
29.0,2022-03-09,6107936.0,532771405.0,87.1,88.3,86.0,88.1,+3.60,4761.0,False,0.2191011235955052,0.30773564573573536,0.4813648166105076
30.0,2022-03-10,6073294.0,555635541.0,91.0,92.2,90.5,91.9,+3.80,4509.0,False,0.4325842696629216,0.3493518537114641,0.4373604956441598
7.0,2022-03-10,6073294.0,555635541.0,91.0,92.2,90.5,91.9,+3.80,4509.0,False,,,
8.0,2022-03-11,2887397.0,262500752.0,91.9,91.9,90.2,91.4,-0.50,2373.0,False,0.4044943820224721,0.4681647940074906,0.4893882646691635
31.0,2022-03-11,2887397.0,262500752.0,91.9,91.9,90.2,91.4,-0.50,2373.0,False,0.4044943820224721,0.3677326964818001,0.4141512292567065
32.0,2022-03-14,2772339.0,254612692.0,92.0,92.9,90.9,92.1,+0.70,2248.0,False,0.4438202247191007,0.3930952058942336,0.4071325548025488
9.0,2022-03-14,2772339.0,254612692.0,92.0,92.9,90.9,92.1,+0.70,2248.0,False,0.4438202247191007,0.4600499375780273,0.4796088223054514
33.0,2022-03-15,3105722.0,282510764.0,92.2,92.2,90.0,90.2,-1.90,2278.0,False,0.3370786516853933,0.3744230211579535,0.39622937692101706
10.0,2022-03-15,3105722.0,282510764.0,92.2,92.2,90.0,90.2,-1.90,2278.0,False,0.3370786516853933,0.4190595089471493,0.4594257178526841
34.0,2022-03-16,2668969.0,242384648.0,92.5,92.7,89.2,90.1,-0.10,2272.0,False,0.3881578947368415,0.37900131235091616,0.3904866887309834
11.0,2022-03-16,2668969.0,242384648.0,92.5,92.7,89.2,90.1,-0.10,2272.0,False,0.3881578947368415,0.40875897087704666,0.4425368021941382
35.0,2022-03-17,4679453.0,434392316.0,92.2,93.6,91.7,93.2,+3.10,3416.0,False,0.7563025210084039,0.5047683819034121,0.4285805864551263
12.0,2022-03-17,4679453.0,434392316.0,92.2,93.6,91.7,93.2,+3.10,3416.0,False,0.7563025210084039,0.5246068209208323,0.4698934751030362
36.0,2022-03-18,2835475.0,265175012.0,93.2,94.0,92.6,94.0,+0.80,2245.0,False,1.0,0.6698455879356079,0.5090022536152868
13.0,2022-03-18,2835475.0,265175012.0,93.2,94.0,92.6,94.0,+0.80,2245.0,False,1.0,0.6830712139472215,0.5409527213844313
37.0,2022-03-21,2090481.0,198459823.0,96.4,96.6,94.0,94.0, 0.00,1938.0,False,0.7547169811320759,0.6981360523344307,0.5720468531883347
14.0,2022-03-21,2090481.0,198459823.0,96.4,96.6,94.0,94.0, 0.00,1938.0,False,0.7547169811320759,0.7069531363421728,0.5962861930370118
38.0,2022-03-22,1059609.0,99551173.0,94.8,94.8,93.2,93.9,-0.10,1085.0,False,0.6351351351351362,0.6771357466013325,0.6070764843260006
