0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,15964131.0,462036671.0,28.7,29.25,28.55,29.1,+0.30,5992.0,False,,,
23.0,2022-03-01,15964131.0,462036671.0,28.7,29.25,28.55,29.1,+0.30,5992.0,False,0.2291666666666671,0.3885841514893835,0.541230264139051
1.0,2022-03-02,10358851.0,299936854.0,28.8,29.1,28.75,29.05,-0.05,4583.0,False,,,
24.0,2022-03-02,10358851.0,299936854.0,28.8,29.1,28.75,29.05,-0.05,4583.0,False,0.20833333333333345,0.3285005454373668,0.4703203579051562
2.0,2022-03-03,12741637.0,370251755.0,29.2,29.35,28.9,29.0,-0.05,5413.0,False,,,
25.0,2022-03-03,12741637.0,370251755.0,29.2,29.35,28.9,29.0,-0.05,5413.0,False,0.2093023255813952,0.2887678054853762,0.4098028404318962
3.0,2022-03-04,15567150.0,447938391.0,28.75,29.1,28.65,28.7,-0.30,7308.0,False,,,
26.0,2022-03-04,15567150.0,447938391.0,28.75,29.1,28.65,28.7,-0.30,7308.0,False,0.0810810810810804,0.2195388973506109,0.34638152607146777
4.0,2022-03-07,29111435.0,803032852.0,28.4,28.45,27.25,27.55,-1.15,13655.0,False,,,
27.0,2022-03-07,29111435.0,803032852.0,28.4,28.45,27.25,27.55,-1.15,13655.0,False,0.09677419354838727,0.17861732941653638,0.2904601271864906
5.0,2022-03-08,22708100.0,616234487.0,27.0,27.5,26.5,27.2,-0.35,9351.0,False,,,
28.0,2022-03-08,22708100.0,616234487.0,27.0,27.5,26.5,27.2,-0.35,9351.0,False,0.1818181818181816,0.17968428021708474,0.2535348448633553
6.0,2022-03-09,18121724.0,496383296.0,27.45,27.8,26.95,27.55,+0.35,7933.0,False,,,
29.0,2022-03-09,18121724.0,496383296.0,27.45,27.8,26.95,27.55,+0.35,7933.0,False,0.2727272727272728,0.2106986110538141,0.2392561002601749
30.0,2022-03-10,14127081.0,401031231.0,28.0,28.7,27.95,28.55,+1.00,5993.0,False,0.5394736842105264,0.3202903021060515,0.2662675008754671
7.0,2022-03-10,14127081.0,401031231.0,28.0,28.7,27.95,28.55,+1.00,5993.0,False,,,
8.0,2022-03-11,10716644.0,306005622.0,28.25,28.8,28.05,28.8,+0.25,4318.0,False,0.807017543859649,0.6023391812865496,0.5341130604288499
31.0,2022-03-11,10716644.0,306005622.0,28.25,28.8,28.05,28.8,+0.25,4318.0,False,0.807017543859649,0.4825327160239173,0.3383559059249505
32.0,2022-03-14,17530466.0,505446053.0,28.7,29.35,28.3,29.25,+0.45,6187.0,False,0.964912280701754,0.6433259042498628,0.44001257203325456
9.0,2022-03-14,17530466.0,505446053.0,28.7,29.35,28.3,29.25,+0.45,6187.0,False,0.964912280701754,0.7231968810916176,0.5971410006497724
33.0,2022-03-15,13839896.0,401359561.0,29.0,29.25,28.75,29.05,-0.20,4657.0,False,0.8947368421052629,0.7271295502016628,0.535718231422724
10.0,2022-03-15,13839896.0,401359561.0,29.0,29.25,28.75,29.05,-0.20,4657.0,False,0.8947368421052629,0.7803768680961659,0.6582196231319035
34.0,2022-03-16,28513011.0,841943187.0,29.85,29.85,29.15,29.7,+0.65,11683.0,False,0.9552238805970144,0.80316099366678,0.6248658188374092
11.0,2022-03-16,28513011.0,841943187.0,29.85,29.85,29.15,29.7,+0.65,11683.0,False,0.9552238805970144,0.8386592055964487,0.7183661506200852
35.0,2022-03-17,33027012.0,975585283.0,29.85,29.85,29.25,29.65,-0.05,12098.0,False,0.9402985074626856,0.8488734982654151,0.6995350453134112
12.0,2022-03-17,33027012.0,975585283.0,29.85,29.85,29.25,29.65,-0.05,12098.0,False,0.9402985074626856,0.8725389728851943,0.7697570913751215
36.0,2022-03-18,36435737.0,1095258386.0,29.55,30.3,29.5,30.3,+0.65,10162.0,False,1.0,0.8992489988436101,0.7661063631568108
13.0,2022-03-18,36435737.0,1095258386.0,29.55,30.3,29.5,30.3,+0.65,10162.0,False,1.0,0.9150259819234628,0.8181800548912352
37.0,2022-03-21,15683871.0,476006661.0,30.3,30.55,30.15,30.3, 0.00,5944.0,False,0.9305555555555556,0.9096845177475918,0.8139657480204043
14.0,2022-03-21,15683871.0,476006661.0,30.3,30.55,30.15,30.3, 0.00,5944.0,False,0.9305555555555556,0.9202025064674936,0.852187538749988
38.0,2022-03-22,14443302.0,440185093.0,30.4,30.65,30.15,30.6,+0.30,5523.0,False,0.9814814814814824,0.933616838992222,0.8538494450110102
15.0,2022-03-22,14443302.0,440185093.0,30.4,30.65,30.15,30.6,+0.30,5523.0,False,0.9814814814814824,0.9406288314721566,0.8816679696573775
16.0,2022-03-23,16718215.0,514694635.0,30.7,30.95,30.6,30.75,+0.15,6221.0,False,0.9310344827586208,0.9374307152343112,0.9002555515163554
39.0,2022-03-23,16718215.0,514694635.0,30.7,30.95,30.6,30.75,+0.15,6221.0,False,0.9310344827586208,0.9327560535810216,0.8801516478676806
17.0,2022-03-24,10737102.0,326623184.0,30.6,30.7,30.3,30.3,-0.45,4849.0,False,0.7547169811320759,0.8765261372002329,0.8923457467443145
40.0,2022-03-24,10737102.0,326623184.0,30.6,30.7,30.3,30.3,-0.45,4849.0,False,0.7547169811320759,0.8734096960980398,0.8779043306111336
18.0,2022-03-25,13358659.0,403200629.0,30.15,30.4,30.05,30.15,-0.15,4756.0,False,0.6363636363636359,0.7964719702547005,0.8603878212477765
41.0,2022-03-25,13358659.0,403200629.0,30.15,30.4,30.05,30.15,-0.15,4756.0,False,0.6363636363636359,0.7943943428532384,0.8500676680251685
19.0,2022-03-28,11584066.0,346714689.0,30.0,30.15,29.65,30.05,-0.10,5122.0,False,0.500000000000001,0.6976479801698006,0.8061412075551178
42.0,2022-03-28,11584066.0,346714689.0,30.0,30.15,29.65,30.05,-0.10,5122.0,False,0.500000000000001,0.6962628952354926,0.7987994104286098
20.0,2022-03-29,5515226.0,166284418.0,30.25,30.35,30.0,30.05, 0.00,2515.0,False,0.4705882352941183,0.6219613985445731,0.7447479378849361
43.0,2022-03-29,5515226.0,166284418.0,30.25,30.35,30.0,30.05, 0.00,2515.0,False,0.4705882352941183,0.6210380085883678,0.7395456098151958
21.0,2022-03-30,9299406.0,280761359.0,30.3,30.35,30.0,30.25,+0.20,4603.0,False,0.5172413793103451,0.5870547254664971,0.6921835337454564
44.0,2022-03-30,9299406.0,280761359.0,30.3,30.35,30.0,30.25,+0.20,4603.0,False,0.5172413793103451,0.5864391321623601,0.6885101172642505
22.0,2022-03-31,9306524.0,279574038.0,30.25,30.3,29.95,29.95,-0.30,4864.0,False,0.2307692307692312,0.4682928939007418,0.6175533204638848
45.0,2022-03-31,9306524.0,279574038.0,30.25,30.3,29.95,29.95,-0.30,4864.0,False,0.2307692307692312,0.4678824983646505,0.6149675776310505
46.0,2022-04-01,10465462.0,310093384.0,29.75,29.8,29.3,29.65,-0.30,5394.0,False,0.21212121212121104,0.38262873628350397,0.5375212971818683
47.0,2022-04-06,14952581.0,438038637.0,29.4,29.45,29.1,29.3,-0.35,7553.0,False,0.10810810810810784,0.2911218602250385,0.4553881515295917
48.0,2022-04-07,25238837.0,723973953.0,29.0,29.1,28.3,28.3,-1.00,10428.0,False,0.0,0.1940812401500257,0.368285847736403
49.0,2022-04-08,9545111.0,275858464.0,28.55,29.1,28.5,29.0,+0.70,4758.0,False,0.3333333333333333,0.2404986045444616,0.3256901000057558
50.0,2022-04-11,11204699.0,322968330.0,29.05,29.2,28.6,28.85,-0.15,5356.0,False,0.2682926829268295,0.24976329733858416,0.3003811657833653
