0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,3078403.0,1148971621.0,369.5,376.5,369.5,373.5,+2.00,2862.0,False,,,
23.0,2022-03-01,3078403.0,1148971621.0,369.5,376.5,369.5,373.5,+2.00,2862.0,False,0.4782608695652174,0.5110726409532182,0.5354664632669228
1.0,2022-03-02,2263600.0,845222456.0,370.5,375.0,370.5,373.0,-0.50,1795.0,False,,,
24.0,2022-03-02,2263600.0,845222456.0,370.5,375.0,370.5,373.0,-0.50,1795.0,False,0.35,0.4573817606354788,0.5094382290564414
2.0,2022-03-03,2710167.0,1026285038.0,374.0,380.5,374.0,380.0,+7.00,2624.0,False,,,
25.0,2022-03-03,2710167.0,1026285038.0,374.0,380.5,374.0,380.0,+7.00,2624.0,False,0.9545454545454546,0.6231029919388039,0.5473264833505622
3.0,2022-03-04,3559454.0,1347539630.0,377.0,381.5,376.0,376.0,-4.00,2950.0,False,,,
26.0,2022-03-04,3559454.0,1347539630.0,377.0,381.5,376.0,376.0,-4.00,2950.0,False,0.5416666666666666,0.5959575501814249,0.5635368389608497
4.0,2022-03-07,5278981.0,1922331156.0,372.0,372.5,359.0,364.0,-12.00,5918.0,False,,,
27.0,2022-03-07,5278981.0,1922331156.0,372.0,372.5,359.0,364.0,-12.00,5918.0,False,0.2222222222222222,0.4713791075283573,0.5328175951500189
5.0,2022-03-08,4715983.0,1690988395.0,360.0,364.5,355.0,358.5,-5.50,5110.0,False,,,
28.0,2022-03-08,4715983.0,1690988395.0,360.0,364.5,355.0,358.5,-5.50,5110.0,False,0.1320754716981132,0.3582778955849426,0.4746376952949934
6.0,2022-03-09,2466525.0,886497803.0,361.0,361.5,357.0,360.0,+1.50,2264.0,False,,,
29.0,2022-03-09,2466525.0,886497803.0,361.0,361.5,357.0,360.0,+1.50,2264.0,False,0.18867924528301888,0.301745012150968,0.4170068009136516
30.0,2022-03-10,3067823.0,1126302164.0,367.0,369.0,365.0,366.5,+6.50,2585.0,False,0.4339622641509434,0.3458174294842931,0.3932770104371988
7.0,2022-03-10,3067823.0,1126302164.0,367.0,369.0,365.0,366.5,+6.50,2585.0,False,,,
8.0,2022-03-11,3540869.0,1313700537.0,369.0,374.0,368.0,371.5,+5.00,3147.0,False,0.6226415094339622,0.5408805031446541,0.5136268343815513
31.0,2022-03-11,3540869.0,1313700537.0,369.0,374.0,368.0,371.5,+5.00,3147.0,False,0.6226415094339622,0.4380921228008495,0.4082153812250823
32.0,2022-03-14,5039951.0,1840370292.0,368.5,369.5,360.0,369.5,-2.00,4505.0,False,0.5471698113207547,0.4744513523074845,0.4302940382525496
9.0,2022-03-14,5039951.0,1840370292.0,368.5,369.5,360.0,369.5,-2.00,4505.0,False,0.5471698113207547,0.5429769392033542,0.5234102026554857
33.0,2022-03-15,3387034.0,1238177240.0,368.0,368.5,362.0,368.0,-1.50,2916.0,False,0.490566037735849,0.4798229141169394,0.4468036635406795
10.0,2022-03-15,3387034.0,1238177240.0,368.0,368.5,362.0,368.0,-1.50,2916.0,False,0.490566037735849,0.5255066387141858,0.5241090146750523
34.0,2022-03-16,6476023.0,2427929676.0,369.0,379.0,368.0,379.0,+11.00,5324.0,False,0.9056603773584906,0.6217687351974563,0.5051253540929385
11.0,2022-03-16,6476023.0,2427929676.0,369.0,379.0,368.0,379.0,+11.00,5324.0,False,0.9056603773584906,0.6522245515956206,0.5668141936485751
35.0,2022-03-17,13730301.0,5180549909.0,384.0,384.5,369.5,377.0,-2.00,12511.0,False,0.7457627118644068,0.6631000607531065,0.5577835896463278
12.0,2022-03-17,13730301.0,5180549909.0,384.0,384.5,369.5,377.0,-2.00,12511.0,False,0.7457627118644068,0.6834039383518826,0.6056774418830109
36.0,2022-03-18,6780241.0,2536919938.0,377.0,381.0,371.0,372.5,-4.50,5682.0,False,0.5932203389830508,0.6398068201630879,0.5851246664852477
13.0,2022-03-18,6780241.0,2536919938.0,377.0,381.0,371.0,372.5,-4.50,5682.0,False,0.5932203389830508,0.653342738562272,0.6215658741094312
37.0,2022-03-21,4148775.0,1551933955.0,372.5,376.0,371.5,374.5,+2.00,3751.0,False,0.6363636363636364,0.6386590922299373,0.6029694750668109
14.0,2022-03-21,4148775.0,1551933955.0,372.5,376.0,371.5,374.5,+2.00,3751.0,False,0.6363636363636364,0.6476830378293934,0.6302715953494186
38.0,2022-03-22,4279175.0,1588499704.0,371.5,373.5,368.0,372.0,-2.50,4159.0,False,0.4897959183673469,0.5890380342757405,0.5983256614697874
15.0,2022-03-22,4279175.0,1588499704.0,371.5,373.5,368.0,372.0,-2.50,4159.0,False,0.4897959183673469,0.5950539980087112,0.6185323962358494
16.0,2022-03-23,2321366.0,864626540.0,371.5,374.0,371.0,372.5,+0.50,2493.0,False,0.5102040816326531,0.5667706925500251,0.6012784950072413
39.0,2022-03-23,2321366.0,864626540.0,371.5,374.0,371.0,372.5,+0.50,2493.0,False,0.5102040816326531,0.562760050061378,0.5864704576669841
17.0,2022-03-24,2155366.0,806239792.0,372.5,376.0,372.5,373.0,+0.50,2728.0,False,0.5306122448979592,0.5547178766660031,0.5857582888934952
