0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,5994747.0,562261081.0,94.0,94.9,93.1,93.8,+0.90,4006.0,False,,,
23.0,2022-03-01,5994747.0,562261081.0,94.0,94.9,93.1,93.8,+0.90,4006.0,False,0.8382352941176461,0.4223120809008372,0.3716988667667693
1.0,2022-03-02,5611028.0,522328959.0,93.4,93.5,92.4,93.2,-0.60,3706.0,False,,,
24.0,2022-03-02,5611028.0,522328959.0,93.4,93.5,92.4,93.2,-0.60,3706.0,False,0.75,0.5315413872672248,0.4249797069335878
2.0,2022-03-03,2921013.0,273375763.0,93.7,93.9,93.4,93.6,+0.40,1897.0,False,,,
25.0,2022-03-03,2921013.0,273375763.0,93.7,93.9,93.4,93.6,+0.40,1897.0,False,0.8088235294117634,0.6239687679820709,0.4913093939497488
3.0,2022-03-04,5243041.0,486687808.0,92.6,93.3,92.2,92.9,-0.70,5326.0,False,,,
26.0,2022-03-04,5243041.0,486687808.0,92.6,93.3,92.2,92.9,-0.70,5326.0,False,0.7058823529411771,0.6512732963017729,0.5446306947337568
4.0,2022-03-07,11743611.0,1064313029.0,91.6,91.9,90.0,90.9,-2.00,10404.0,False,,,
27.0,2022-03-07,11743611.0,1064313029.0,91.6,91.9,90.0,90.9,-2.00,10404.0,False,0.4117647058823539,0.5714370994952999,0.5535661629876045
5.0,2022-03-08,13820712.0,1239072681.0,89.3,90.8,88.8,89.6,-1.30,12276.0,False,,,
28.0,2022-03-08,13820712.0,1239072681.0,89.3,90.8,88.8,89.6,-1.30,12276.0,False,0.22058823529411728,0.4544874780949056,0.5205399346900381
6.0,2022-03-09,10601491.0,946771164.0,89.9,90.4,88.7,89.1,-0.50,12189.0,False,,,
29.0,2022-03-09,10601491.0,946771164.0,89.9,90.4,88.7,89.1,-0.50,12189.0,False,0.14705882352941152,0.3520112599064076,0.4643637097621613
30.0,2022-03-10,10425878.0,963516811.0,91.1,93.3,90.9,92.6,+3.50,6551.0,False,0.6617647058823518,0.4552624085650556,0.4613299426964593
7.0,2022-03-10,10425878.0,963516811.0,91.1,93.3,90.9,92.6,+3.50,6551.0,False,,,
8.0,2022-03-11,3695314.0,340954897.0,92.7,92.8,91.9,92.0,-0.60,3416.0,False,0.5322580645161283,0.5107526881720428,0.5035842293906809
31.0,2022-03-11,3695314.0,340954897.0,92.7,92.8,91.9,92.0,-0.60,3416.0,False,0.5322580645161283,0.4809276272154132,0.4678625042027772
32.0,2022-03-14,5189816.0,476415359.0,92.0,92.5,91.4,92.0, 0.00,3383.0,False,0.6346153846153837,0.5321568796820699,0.4892939626958747
9.0,2022-03-14,5189816.0,476415359.0,92.0,92.5,91.4,92.0, 0.00,3383.0,False,0.6346153846153837,0.5520402536531563,0.5197362374781727
33.0,2022-03-15,5714508.0,519785229.0,92.0,92.0,90.7,91.0,-1.00,3861.0,False,0.4423076923076915,0.502207150557277,0.4935983586496755
10.0,2022-03-15,5714508.0,519785229.0,92.0,92.0,90.7,91.0,-1.00,3861.0,False,0.4423076923076915,0.5154627332046681,0.5183117360536711
34.0,2022-03-16,8939761.0,816651036.0,91.0,92.4,90.6,92.0,+1.00,4788.0,False,0.7173913043478264,0.5739352018207935,0.5203773063733814
11.0,2022-03-16,8939761.0,816651036.0,91.0,92.4,90.6,92.0,+1.00,4788.0,False,0.7173913043478264,0.5827722569190541,0.539798576342132
35.0,2022-03-17,11975189.0,1106875612.0,93.4,93.6,91.4,92.4,+0.40,7387.0,False,0.7551020408163285,0.6343241481526385,0.558359586966467
12.0,2022-03-17,11975189.0,1106875612.0,93.4,93.6,91.4,92.4,+0.40,7387.0,False,0.7551020408163285,0.6402155182181455,0.5732708903008031
36.0,2022-03-18,10271938.0,949189049.0,92.4,92.7,92.0,92.5,+0.10,3137.0,False,0.7755102040816334,0.6813861667956367,0.5993684469095235
13.0,2022-03-18,10271938.0,949189049.0,92.4,92.7,92.0,92.5,+0.10,3137.0,False,0.7755102040816334,0.685313746839308,0.6106185091469714
37.0,2022-03-21,5617141.0,517791343.0,92.5,92.7,91.9,92.0,-0.50,4031.0,False,0.6734693877551027,0.678747240448792,0.6258280447559463
14.0,2022-03-21,5617141.0,517791343.0,92.5,92.7,91.9,92.0,-0.50,4031.0,False,0.6734693877551027,0.6813656271445729,0.6342008818128385
38.0,2022-03-22,7350747.0,670487858.0,92.0,92.1,90.8,91.4,-0.60,8769.0,False,0.26666666666667044,0.5413870491880848,0.5976810462333257
