0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,11729232.0,930403503.0,78.2,80.0,77.5,79.9,+2.80,7267.0,False,,,
23.0,2022-03-01,11729232.0,930403503.0,78.2,80.0,77.5,79.9,+2.80,7267.0,False,0.9920000000000004,0.4840415434806757,0.3365255021601793
1.0,2022-03-02,7939064.0,630414041.0,79.0,80.1,78.3,79.7,-0.20,4930.0,False,,,
24.0,2022-03-02,7939064.0,630414041.0,79.0,80.1,78.3,79.7,-0.20,4930.0,False,0.9682539682539688,0.6454456850717734,0.439498896464044
2.0,2022-03-03,14399088.0,1184866904.0,82.3,83.3,81.6,82.6,+2.90,9452.0,False,,,
25.0,2022-03-03,14399088.0,1184866904.0,82.3,83.3,81.6,82.6,+2.90,9452.0,False,0.9556962025316452,0.7488625242250639,0.5426201057177172
3.0,2022-03-04,9231277.0,757082538.0,81.3,82.8,80.5,81.6,-1.00,7050.0,False,,,
26.0,2022-03-04,9231277.0,757082538.0,81.3,82.8,80.5,81.6,-1.00,7050.0,False,0.892405063291139,0.7967100372470891,0.6273167495608412
4.0,2022-03-07,18402984.0,1415935731.0,79.6,79.6,76.0,76.9,-4.70,18481.0,False,,,
27.0,2022-03-07,18402984.0,1415935731.0,79.6,79.6,76.0,76.9,-4.70,18481.0,False,0.59493670886076,0.7294522611183126,0.6613619200799983
5.0,2022-03-08,13468086.0,1017118209.0,75.9,77.6,74.3,74.7,-2.20,12556.0,False,,,
28.0,2022-03-08,13468086.0,1017118209.0,75.9,77.6,74.3,74.7,-2.20,12556.0,False,0.4109589041095892,0.6232878087820715,0.6486705496473559
6.0,2022-03-09,6418748.0,483515449.0,76.0,76.5,74.8,74.9,+0.20,6062.0,False,,,
29.0,2022-03-09,6418748.0,483515449.0,76.0,76.5,74.8,74.9,+0.20,6062.0,False,0.4084507042253529,0.5516754405964985,0.6163388466304034
30.0,2022-03-10,10649777.0,817313739.0,76.3,77.5,76.2,76.7,+1.80,7589.0,False,0.5319148936170215,0.5450885916033394,0.5925887616213821
7.0,2022-03-10,10649777.0,817313739.0,76.3,77.5,76.2,76.7,+1.80,7589.0,False,,,
8.0,2022-03-11,8161975.0,613608340.0,76.0,76.3,74.6,75.6,-1.10,8260.0,False,0.14444444444444413,0.38148148148148137,0.4604938271604938
31.0,2022-03-11,8161975.0,613608340.0,76.0,76.3,74.6,75.6,-1.10,8260.0,False,0.14444444444444413,0.4115405425503743,0.5322393552643795
32.0,2022-03-14,9234125.0,694628739.0,75.8,76.2,74.7,75.7,+0.10,4995.0,False,0.1555555555555562,0.3262122135521016,0.4635636413602868
9.0,2022-03-14,9234125.0,694628739.0,75.8,76.2,74.7,75.7,+0.10,4995.0,False,0.1555555555555562,0.3061728395061729,0.4090534979423868
33.0,2022-03-15,12492919.0,919514658.0,75.3,75.5,73.0,73.0,-2.70,8527.0,False,0.0,0.2174748090347344,0.38153403058510266
10.0,2022-03-15,12492919.0,919514658.0,75.3,75.5,73.0,73.0,-2.70,8527.0,False,0.0,0.2041152263374486,0.3407407407407407
34.0,2022-03-16,19482067.0,1392075658.0,73.5,73.8,70.5,70.9,-2.10,15520.0,False,0.0325203252032525,0.1558233144242404,0.30629712519814856
11.0,2022-03-16,19482067.0,1392075658.0,73.5,73.8,70.5,70.9,-2.10,15520.0,False,0.0325203252032525,0.14691692595938322,0.2761328024802881
35.0,2022-03-17,13193975.0,971778464.0,73.0,74.3,72.6,74.2,+3.30,8381.0,False,0.4065934065934072,0.239413345147296,0.28400253184786434
12.0,2022-03-17,13193975.0,971778464.0,73.0,74.3,72.6,74.2,+3.30,8381.0,False,0.4065934065934072,0.2334757528373912,0.2619137859326558
36.0,2022-03-18,6787128.0,505601081.0,74.2,74.8,73.9,74.8,+0.60,3791.0,False,0.6056338028169015,0.3614868310371645,0.309830631577631
13.0,2022-03-18,6787128.0,505601081.0,74.2,74.8,73.9,74.8,+0.60,3791.0,False,0.6056338028169015,0.3575284361638946,0.2937853360097354
37.0,2022-03-21,5585167.0,418560782.0,75.0,75.4,74.3,74.9,+0.10,4309.0,False,0.6285714285714293,0.4505150302152528,0.3567254311235049
14.0,2022-03-21,5585167.0,418560782.0,75.0,75.4,74.3,74.9,+0.10,4309.0,False,0.6285714285714293,0.4478761002997395,0.3451489241064034
38.0,2022-03-22,11150733.0,824118606.0,75.1,75.3,73.4,74.0,-0.90,9168.0,False,0.5,0.4670100201435018,0.3934869607968372
15.0,2022-03-22,11150733.0,824118606.0,75.1,75.3,73.4,74.0,-0.90,9168.0,False,0.5,0.4652507335331596,0.3851828605819888
16.0,2022-03-23,14132321.0,1039978095.0,74.5,74.7,73.0,73.7,-0.30,8709.0,False,0.5517241379310353,0.4940752016657848,0.4214803076099208
39.0,2022-03-23,14132321.0,1039978095.0,74.5,74.7,73.0,73.7,-0.30,8709.0,False,0.5517241379310353,0.4952480594060129,0.42740732699989575
17.0,2022-03-24,30281688.0,2146660799.0,73.0,73.0,70.3,71.3,-2.40,22385.0,False,0.16949152542372864,0.3858806429184327,0.4096137527127581
40.0,2022-03-24,30281688.0,2146660799.0,73.0,73.0,70.3,71.3,-2.40,22385.0,False,0.16949152542372864,0.3866625480785848,0.4138257340261254
18.0,2022-03-25,25898904.0,1797441013.0,71.0,71.1,68.9,68.9,-2.40,19816.0,False,0.0,0.2572537619456218,0.35882708912371264
41.0,2022-03-25,25898904.0,1797441013.0,71.0,71.1,68.9,68.9,-2.40,19816.0,False,0.0,0.25777503205238983,0.3618088333682135
19.0,2022-03-28,9694662.0,668576149.0,68.2,69.9,67.5,69.8,+0.90,8578.0,False,0.29113924050632856,0.2685489214658573,0.3287343665710942
42.0,2022-03-28,9694662.0,668576149.0,68.2,69.9,67.5,69.8,+0.90,8578.0,False,0.29113924050632856,0.2688964348703694,0.3308380338689321
20.0,2022-03-29,10191848.0,704765445.0,69.8,69.8,68.7,69.0,-0.80,6630.0,False,0.18987341772151886,0.24232375355107785,0.2999308288977554
43.0,2022-03-29,10191848.0,704765445.0,69.8,69.8,68.7,69.0,-0.80,6630.0,False,0.18987341772151886,0.2425554291540859,0.30141049896398336
21.0,2022-03-30,7030163.0,488963507.0,70.0,70.4,69.1,69.3,+0.30,4688.0,False,0.22784810126582225,0.2374985361226593,0.27912006463939004
44.0,2022-03-30,7030163.0,488963507.0,70.0,70.4,69.1,69.3,+0.30,4688.0,False,0.22784810126582225,0.23765298652466466,0.2801579948175438
22.0,2022-03-31,9880666.0,687491018.0,69.5,70.2,69.2,69.2,-0.10,4707.0,False,0.21518987341772167,0.23006231522101345,0.2627674814999312
45.0,2022-03-31,9880666.0,687491018.0,69.5,70.2,69.2,69.2,-0.10,4707.0,False,0.21518987341772167,0.2301652821556837,0.2634937572635904
46.0,2022-04-01,10546456.0,722682338.0,68.5,69.2,68.0,69.2, 0.00,5654.0,False,0.2179487179487184,0.2260930940866952,0.2510268695379586
47.0,2022-04-06,19414704.0,1298021669.0,68.3,68.5,66.5,66.6,-2.60,11075.0,False,0.012195121951218815,0.1547937700415364,0.21894916970581788
48.0,2022-04-07,12488798.0,833871177.0,66.8,67.7,66.2,66.2,-0.40,7316.0,False,0.0,0.1031958466943576,0.1803647287019977
49.0,2022-04-08,7120723.0,475691229.0,66.8,67.2,66.4,66.8,+0.60,3465.0,False,0.1224489795918358,0.10961355766018366,0.15678100502139306
50.0,2022-04-11,9315358.0,619498780.0,66.8,67.6,65.7,66.8, 0.00,6045.0,False,0.234042553191488,0.15108988950395175,0.15488396651557929
51.0,2022-04-12,11303698.0,740544251.0,66.2,66.3,65.1,65.5,-1.30,6214.0,False,0.07547169811320846,0.12588382570703732,0.14521725291273194
52.0,2022-04-13,7135707.0,474295649.0,66.0,66.8,65.8,66.7,+1.20,4146.0,False,0.3018867924528312,0.1845514812889686,0.1583286623714775
53.0,2022-04-14,19681361.0,1270317591.0,66.7,66.7,64.1,64.1,-2.60,12148.0,False,0.0,0.1230343208593124,0.14656388186742245
54.0,2022-04-15,7842033.0,500775731.0,63.6,64.7,63.3,63.9,-0.20,4158.0,False,0.10169491525423743,0.11592118565762073,0.13634964979748854
55.0,2022-04-18,5160499.0,329698406.0,63.3,64.9,63.3,63.8,-0.10,4246.0,False,0.0961538461538461,0.10933207248969586,0.12734379069489096
56.0,2022-04-19,5812849.0,374678990.0,64.6,65.0,64.1,64.4,+0.60,3202.0,False,0.2500000000000016,0.15622138165979774,0.1369696543498599
57.0,2022-04-20,10101387.0,658665293.0,65.1,65.8,64.4,65.3,+0.90,6360.0,False,0.4651162790697678,0.2591863474631211,0.17770855205428027
58.0,2022-04-21,8515621.0,563067139.0,65.9,66.9,65.3,66.9,+1.60,4214.0,False,0.8372093023255839,0.4518606657506087,0.2690925899530564
59.0,2022-04-22,8313290.0,549625439.0,66.0,66.5,65.5,66.4,-0.50,5215.0,False,0.8611111111111115,0.5882774808707762,0.3754875535922964
60.0,2022-04-25,10672114.0,685243819.0,65.0,65.3,63.6,64.3,-2.10,7391.0,False,0.2777777777777771,0.4847775798397765,0.4119175623414564
61.0,2022-04-26,7787796.0,499450234.0,64.7,64.9,63.7,64.2,-0.10,4382.0,False,0.250000000000001,0.40651838655985134,0.41011783708092137
62.0,2022-04-27,8752188.0,545723258.0,62.7,63.2,61.5,63.2,-1.00,6345.0,False,0.314814814814815,0.37595052931150585,0.3987287344911162
63.0,2022-04-28,8019616.0,514401411.0,63.6,64.7,63.2,64.2,+1.00,5210.0,False,0.5,0.4173003528743372,0.40491927395218985
64.0,2022-04-29,8184465.0,536381676.0,65.1,65.9,64.9,65.6,+1.40,3798.0,False,0.7592592592592574,0.5312866550026438,0.4470417343023411
65.0,2022-05-03,6591858.0,432700913.0,65.6,66.0,65.2,65.9,+0.30,4300.0,False,0.8148148148148149,0.6257960416067008,0.5066265034037942
66.0,2022-05-04,7592756.0,501333380.0,65.8,66.5,65.4,66.1,+0.20,4980.0,False,0.8518518518518499,0.7011479783550838,0.5714669950542239
67.0,2022-05-05,11187476.0,751637083.0,67.5,68.0,66.4,67.0,+0.90,6721.0,False,0.8461538461538461,0.7494832676213379,0.6308057525765953
68.0,2022-05-06,7160697.0,475589206.0,65.4,66.9,65.4,66.8,-0.20,4412.0,False,0.8153846153846149,0.7714503835424302,0.6776872962318736
69.0,2022-05-09,5820890.0,381782220.0,65.9,66.5,65.1,65.1,-1.70,4299.0,False,0.553846153846153,0.6989156403103377,0.684763410924695
70.0,2022-05-10,8886782.0,582998617.0,64.2,66.2,64.1,66.0,+0.90,5188.0,False,0.6923076923076923,0.6967129909761225,0.6887466042751708
71.0,2022-05-11,8024685.0,522140812.0,65.5,65.6,64.2,65.2,-0.80,5040.0,False,0.4166666666666669,0.603364216206304,0.6602858082522152
72.0,2022-05-12,7050120.0,457454165.0,64.5,65.5,64.5,64.6,-0.60,3801.0,False,0.12820512820512805,0.44497785353924535,0.5885164900145585
73.0,2022-05-13,5511568.0,359807010.0,65.4,65.9,64.9,65.5,+0.90,3018.0,False,0.3589743589743599,0.4163100220176169,0.531114334015578
74.0,2022-05-16,15724608.0,1057077214.0,66.5,68.0,66.4,66.9,+1.40,7783.0,False,0.7179487179487198,0.5168562539946512,0.526361640675269
75.0,2022-05-17,7004515.0,469463426.0,67.3,67.6,66.6,67.0,+0.10,5894.0,False,0.743589743589744,0.5924340838596821,0.5483857884034067
76.0,2022-05-18,6880656.0,464014286.0,67.6,68.0,67.0,67.2,+0.20,5265.0,False,0.7948717948717959,0.65991332086372,0.5855616325568445
77.0,2022-05-19,5487055.0,363802494.0,66.3,66.9,65.6,66.9,-0.30,4388.0,False,0.7179487179487198,0.6792584532253866,0.6167939061130251
78.0,2022-05-20,3774285.0,252432416.0,67.4,67.4,66.4,66.8,-0.10,3157.0,False,0.6923076923076921,0.6836081995861549,0.6390653372707351
79.0,2022-05-23,4627864.0,307104568.0,67.4,67.4,65.8,66.4,-0.40,2675.0,False,0.5789473684210538,0.6487212558644546,0.6422839768019749
80.0,2022-05-24,7570001.0,492743761.0,66.6,66.6,64.3,64.3,-2.10,4301.0,False,0.0,0.4324808372429697,0.5723495969489731
81.0,2022-05-25,6875583.0,443398726.0,64.9,65.0,64.0,64.7,+0.40,4165.0,False,0.1750000000000007,0.3466538914953133,0.4971176951310865
82.0,2022-05-26,7068255.0,454046737.0,65.3,65.5,63.5,63.5,-1.20,4039.0,False,0.0,0.2311025943302089,0.4084459948641273
83.0,2022-05-27,8517588.0,543544478.0,64.3,64.6,63.4,63.9,+0.40,4445.0,False,0.10869565217391301,0.19030028027811025,0.3357307566687882
84.0,2022-05-30,8522765.0,557302407.0,64.5,65.9,64.4,65.8,+1.90,4881.0,False,0.5217391304347822,0.3007798969970009,0.3240804701115257
85.0,2022-05-31,13639611.0,901195713.0,65.7,66.8,64.9,66.8,+1.00,4860.0,False,0.8499999999999981,0.4838532646646666,0.3773380682959061
86.0,2022-06-01,6203758.0,414409098.0,66.3,67.3,66.1,66.8, 0.00,3174.0,False,0.8499999999999981,0.6059021764431103,0.4535261043449741
87.0,2022-06-02,3183748.0,212420211.0,66.3,67.0,66.2,66.8, 0.00,1908.0,False,0.8499999999999981,0.6872681176287395,0.5314401087728959
88.0,2022-06-06,5495019.0,365466677.0,66.2,67.2,65.6,66.8, 0.00,3005.0,False,0.8717948717948717,0.7487770356841169,0.6038857510766362
89.0,2022-06-07,4273108.0,281629666.0,66.1,66.2,65.6,65.8,-1.00,2736.0,False,0.6153846153846152,0.704312895584283,0.6373614659125184
90.0,2022-06-08,3693522.0,244433887.0,66.2,66.5,65.9,66.1,+0.30,2039.0,False,0.6923076923076915,0.7003111611587525,0.658344697661263
91.0,2022-06-09,4104597.0,270521135.0,66.3,66.4,65.5,65.7,-0.40,2522.0,False,0.5897435897435911,0.6634553040203653,0.6600482331142972
92.0,2022-06-10,5830202.0,379426437.0,65.1,65.7,64.8,65.1,-0.60,2910.0,False,0.2413793103448244,0.5227633061285183,0.6142865907857042
93.0,2022-06-13,14650324.0,910536927.0,62.4,62.8,61.6,62.2,-2.90,8067.0,False,0.10526315789473717,0.3835965900505912,0.5373899238739999
94.0,2022-06-14,7921212.0,489584644.0,61.7,62.3,61.3,62.2, 0.00,4093.0,False,0.15000000000000094,0.3057310600337278,0.4601703025939092
95.0,2022-06-15,11528473.0,711655483.0,61.9,62.5,61.2,61.2,-1.00,5798.0,False,0.0,0.20382070668915184,0.3747204372923234
96.0,2022-06-16,7244141.0,443978238.0,62.1,62.4,60.4,60.4,-0.80,4495.0,False,0.0,0.13588047112610124,0.295107115236916
97.0,2022-06-17,7634857.0,457006086.0,60.0,60.3,59.3,60.1,-0.30,3649.0,False,0.11111111111111166,0.12762401778777138,0.2392794160872012
98.0,2022-06-20,5616607.0,334309117.0,60.6,60.6,59.0,59.5,-0.60,3204.0,False,0.06666666666666668,0.10730490074740316,0.1952879109739352
99.0,2022-06-21,7409503.0,444004304.0,59.8,60.2,59.4,60.0,+0.50,3684.0,False,0.13513513513513506,0.11658164554331375,0.16905248916372798
100.0,2022-06-22,7063917.0,416309440.0,60.3,60.3,58.0,58.1,-1.90,4562.0,False,0.012987012987013168,0.08205010135788023,0.1400516932284454
101.0,2022-06-23,6663421.0,389886993.0,59.0,59.4,57.8,58.3,+0.20,3858.0,False,0.1,0.08803340090525348,0.1227122624540481
102.0,2022-06-24,8509118.0,490423380.0,59.0,59.7,58.3,58.9,+0.60,3896.0,False,0.2340425531914896,0.13670311833399884,0.12737588108069833
103.0,2022-06-27,8179325.0,474326233.0,59.5,59.9,59.3,59.8,+0.90,3491.0,False,0.4255319148936168,0.23297938385387146,0.16257704867175604
104.0,2022-06-28,7630542.0,448062903.0,59.8,59.8,58.1,58.9,-0.90,3777.0,False,0.2391304347826089,0.2350297341634506,0.18672794383565425
105.0,2022-06-29,12757117.0,734062839.0,58.0,58.1,57.1,57.1,-1.80,6881.0,False,0.0,0.1566864894423004,0.17671412570453626
106.0,2022-06-30,33986158.0,1690079740.0,50.8,51.5,48.5,49.4,X0.00,17401.0,False,0.07438016528925608,0.1292510480579523,0.1608930998223416
107.0,2022-07-01,23372598.0,1136609383.0,49.3,49.55,48.15,48.3,-1.10,9644.0,False,0.012345679012345564,0.09028259170941673,0.13735626378469998
108.0,2022-07-04,11990874.0,582313070.0,48.3,49.3,47.65,49.15,+0.85,4868.0,False,0.11857707509881425,0.09971408617254922,0.12480887124731638
109.0,2022-07-05,9391993.0,458095953.0,49.7,49.75,47.85,49.4,+0.25,5451.0,False,0.14285714285714285,0.11409510506741374,0.12123761585401548
