0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,12845752.0,1598770244.0,125.0,125.5,124.0,124.5, 0.00,6584.0,False,,,
23.0,2022-03-01,12845752.0,1598770244.0,125.0,125.5,124.0,124.5, 0.00,6584.0,False,0.125,0.5385058289341015,0.7162829653720717
1.0,2022-03-02,14720427.0,1817921070.0,125.0,125.0,122.5,123.5,-1.00,7377.0,False,,,
24.0,2022-03-02,14720427.0,1817921070.0,125.0,125.0,122.5,123.5,-1.00,7377.0,False,0.18181818181818185,0.4196099465621281,0.6173919591020904
2.0,2022-03-03,11058997.0,1354817748.0,123.5,124.0,122.0,122.5,-1.00,7471.0,False,,,
25.0,2022-03-03,11058997.0,1354817748.0,123.5,124.0,122.0,122.5,-1.00,7471.0,False,0.08333333333333333,0.3075177421525299,0.5141005534522369
3.0,2022-03-04,8028327.0,983219687.0,122.5,123.0,122.0,123.0,+0.50,4144.0,False,,,
26.0,2022-03-04,8028327.0,983219687.0,122.5,123.0,122.0,123.0,+0.50,4144.0,False,0.16666666666666666,0.2605673836572422,0.4295894968539053
4.0,2022-03-07,18175988.0,2201855733.0,122.0,122.5,120.5,121.0,-2.00,14084.0,False,,,
27.0,2022-03-07,18175988.0,2201855733.0,122.0,122.5,120.5,121.0,-2.00,14084.0,False,0.06666666666666668,0.19593381132705034,0.3517042683449536
5.0,2022-03-08,11857541.0,1437535437.0,120.0,122.5,120.0,122.0,+1.00,5479.0,False,,,
28.0,2022-03-08,11857541.0,1437535437.0,120.0,122.5,120.0,122.0,+1.00,5479.0,False,0.25,0.21395587421803355,0.3057881369693136
6.0,2022-03-09,4846163.0,591189077.0,122.0,122.5,121.5,122.5,+0.50,5177.0,False,,,
29.0,2022-03-09,4846163.0,591189077.0,122.0,122.5,121.5,122.5,+0.50,5177.0,False,0.3333333333333333,0.2537483605898001,0.28844154484280904
