0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1857632.0,215395690.0,113.5,117.5,113.0,116.5,+5.00,1511.0,False,,,
23.0,2022-03-01,1857632.0,215395690.0,113.5,117.5,113.0,116.5,+5.00,1511.0,False,0.5,0.5019037460930305,0.5869148964525159
1.0,2022-03-02,1206883.0,138159986.0,114.5,116.0,112.5,116.0,-0.50,1129.0,False,,,
24.0,2022-03-02,1206883.0,138159986.0,114.5,116.0,112.5,116.0,-0.50,1129.0,False,0.4444444444444444,0.4827506455435018,0.5521934794828445
2.0,2022-03-03,919945.0,107188162.0,118.0,118.0,115.0,116.0, 0.00,766.0,False,,,
25.0,2022-03-03,919945.0,107188162.0,118.0,118.0,115.0,116.0, 0.00,766.0,False,0.4444444444444444,0.4699819118438161,0.5247896236031683
3.0,2022-03-04,1029698.0,119350238.0,115.5,117.0,114.0,116.5,+0.50,839.0,False,,,
26.0,2022-03-04,1029698.0,119350238.0,115.5,117.0,114.0,116.5,+0.50,839.0,False,0.5,0.4799879412292106,0.5098557294785157
4.0,2022-03-07,2174037.0,243315201.0,115.0,115.0,110.0,112.5,-4.00,1813.0,False,,,
27.0,2022-03-07,2174037.0,243315201.0,115.0,115.0,110.0,112.5,-4.00,1813.0,False,0.2272727272727273,0.3957495365770495,0.4718203318446935
5.0,2022-03-08,2028270.0,227305852.0,110.0,115.0,110.0,111.5,-1.00,2040.0,False,,,
28.0,2022-03-08,2028270.0,227305852.0,110.0,115.0,110.0,111.5,-1.00,2040.0,False,0.13636363636363635,0.3092875698392451,0.417642744509544
6.0,2022-03-09,2746123.0,302679888.0,113.5,113.5,108.5,109.0,-2.50,3378.0,False,,,
29.0,2022-03-09,2746123.0,302679888.0,113.5,113.5,108.5,109.0,-2.50,3378.0,False,0.04,0.2195250465594968,0.35160351185952826
30.0,2022-03-10,3999850.0,462050928.0,112.0,118.0,112.0,115.0,+6.00,2629.0,False,0.65,0.3630166977063312,0.3554079071417959
7.0,2022-03-10,3999850.0,462050928.0,112.0,118.0,112.0,115.0,+6.00,2629.0,False,,,
8.0,2022-03-11,2887927.0,329560327.0,116.0,116.0,112.5,113.5,-1.50,3378.0,False,0.5263157894736842,0.5087719298245614,0.5029239766081871
31.0,2022-03-11,2887927.0,329560327.0,116.0,116.0,112.5,113.5,-1.50,3378.0,False,0.5263157894736842,0.4174497282954488,0.3760885141930135
32.0,2022-03-14,1780703.0,207027114.0,114.0,118.0,114.0,118.0,+4.50,1357.0,False,1.0,0.6116331521969658,0.4546033935276642
9.0,2022-03-14,1780703.0,207027114.0,114.0,118.0,114.0,118.0,+4.50,1357.0,False,1.0,0.6725146198830411,0.5594541910331383
33.0,2022-03-15,2253085.0,257885706.0,117.0,117.0,113.0,113.0,-5.00,1641.0,False,0.4736842105263158,0.5656501716400824,0.4916189862318036
10.0,2022-03-15,2253085.0,257885706.0,117.0,117.0,113.0,113.0,-5.00,1641.0,False,0.4736842105263158,0.6062378167641325,0.5750487329434697
34.0,2022-03-16,1932273.0,220685776.0,115.5,115.5,112.5,114.5,+1.50,1355.0,False,0.631578947368421,0.5876264302161952,0.5236214675599341
11.0,2022-03-16,1932273.0,220685776.0,115.5,115.5,112.5,114.5,+1.50,1355.0,False,0.631578947368421,0.6146848602988952,0.5882607753952782
35.0,2022-03-17,2600687.0,308180926.0,118.0,120.0,117.0,118.0,+3.50,2055.0,False,0.8260869565217391,0.6671132723180432,0.5714520691459705
12.0,2022-03-17,2600687.0,308180926.0,118.0,120.0,117.0,118.0,+3.50,2055.0,False,0.8260869565217391,0.6851522257065099,0.6205579254990221
36.0,2022-03-18,1703327.0,199590905.0,117.0,118.5,115.5,117.0,-1.00,1109.0,False,0.7391304347826086,0.6911189931395649,0.6113410438105019
13.0,2022-03-18,1703327.0,199590905.0,117.0,118.5,115.5,117.0,-1.00,1109.0,False,0.7391304347826086,0.7031449620652095,0.6480869376877512
37.0,2022-03-21,1585488.0,188701976.0,118.5,120.0,117.5,118.5,+1.50,1437.0,False,0.8695652173913043,0.7506010678901447,0.6577610518370495
14.0,2022-03-21,1585488.0,188701976.0,118.5,120.0,117.5,118.5,+1.50,1437.0,False,0.8695652173913043,0.7586183805072411,0.6849307519609145
38.0,2022-03-22,646993.0,76771987.0,119.0,119.5,117.5,119.0,+0.50,788.0,False,0.875,0.7920673785934297,0.7025298274225096
15.0,2022-03-22,646993.0,76771987.0,119.0,119.5,117.5,119.0,+0.50,788.0,False,0.875,0.7974122536714939,0.7224245858644409
16.0,2022-03-23,1173773.0,140743512.0,120.0,121.0,119.0,120.0,+1.00,1036.0,False,0.8823529411764706,0.8257258161731528,0.7568583293006781
39.0,2022-03-23,1173773.0,140743512.0,120.0,121.0,119.0,120.0,+1.00,1036.0,False,0.8823529411764706,0.8221625661211099,0.7424074069887097
17.0,2022-03-24,609551.0,72375897.0,120.0,120.0,117.5,119.0,-1.00,664.0,False,0.7647058823529411,0.8053858382330822,0.7730341656114794
40.0,2022-03-24,609551.0,72375897.0,120.0,120.0,117.5,119.0,-1.00,664.0,False,0.7647058823529411,0.8030103381983871,0.762608384058602
18.0,2022-03-25,822672.0,96570373.0,119.0,120.0,116.0,116.0,-3.00,762.0,False,0.4117647058823529,0.6741787941161723,0.7400823751130436
41.0,2022-03-25,822672.0,96570373.0,119.0,120.0,116.0,116.0,-3.00,762.0,False,0.4117647058823529,0.6725951274263755,0.7326039651811931
19.0,2022-03-28,1341834.0,153857200.0,115.0,117.5,112.0,117.0,+1.00,1229.0,False,0.5555555555555556,0.6346377145959667,0.7049341549406847
42.0,2022-03-28,1341834.0,153857200.0,115.0,117.5,112.0,117.0,+1.00,1229.0,False,0.5555555555555556,0.6335819368027689,0.6995966223883849
20.0,2022-03-29,2337535.0,278732236.0,118.0,120.5,117.5,119.5,+2.50,1861.0,False,0.8333333333333334,0.7008695875084223,0.7035792991299306
43.0,2022-03-29,2337535.0,278732236.0,118.0,120.5,117.5,119.5,+2.50,1861.0,False,0.8333333333333334,0.7001657356462904,0.6997863268076867
21.0,2022-03-30,1825414.0,217199073.0,121.0,121.0,117.5,117.5,-2.00,1957.0,False,0.6111111111111112,0.6709500953759853,0.6927028978786154
44.0,2022-03-30,1825414.0,217199073.0,121.0,121.0,117.5,117.5,-2.00,1957.0,False,0.6111111111111112,0.6704808608012306,0.690017838138868
22.0,2022-03-31,1984437.0,227172992.0,118.5,118.5,113.0,113.5,-4.00,1898.0,False,0.16666666666666666,0.5028556191395457,0.6294204716322588
45.0,2022-03-31,1984437.0,227172992.0,118.5,118.5,113.0,113.5,-4.00,1898.0,False,0.16666666666666666,0.5025427960897093,0.6275261574558151
