0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,19622543.0,1173254299.0,58.9,60.9,58.8,60.9,3.0,10090.0,False,,,
23.0,2022-03-01,19622543.0,1173254299.0,58.9,60.9,58.8,60.9,3.0,10090.0,False,0.6976744186046505,0.5590308869648408,0.5572160696479183
1.0,2022-03-02,63149713.0,4036062819.0,60.6,66.9,60.3,66.9,6.0,30434.0,False,,,
24.0,2022-03-02,63149713.0,4036062819.0,60.6,66.9,60.3,66.9,6.0,30434.0,False,1.0,0.7060205913098938,0.6068175768685767
2.0,2022-03-03,101981724.0,6924378620.0,67.9,70.2,65.4,65.4,-1.5,52372.0,False,,,
25.0,2022-03-03,101981724.0,6924378620.0,67.9,70.2,65.4,65.4,-1.5,52372.0,False,0.6065573770491807,0.6728661865563228,0.6288337800978254
3.0,2022-03-04,41103226.0,2668266205.0,64.3,66.8,63.6,64.3,-1.1,21640.0,False,,,
26.0,2022-03-04,41103226.0,2668266205.0,64.3,66.8,63.6,64.3,-1.1,21640.0,False,0.5163934426229505,0.6207086052451987,0.6261253884802831
4.0,2022-03-07,34118945.0,2088543266.0,63.9,63.9,59.7,60.1,-4.2,18452.0,False,,,
27.0,2022-03-07,34118945.0,2088543266.0,63.9,63.9,59.7,60.1,-4.2,18452.0,False,0.1721311475409837,0.4711827860104603,0.5744778543236755
5.0,2022-03-08,39568210.0,2315682695.0,58.0,61.2,56.8,56.8,-3.3,19544.0,False,,,
28.0,2022-03-08,39568210.0,2315682695.0,58.0,61.2,56.8,56.8,-3.3,19544.0,False,0.0,0.31412185734030684,0.4876925219958858
6.0,2022-03-09,35553943.0,2017956740.0,58.0,58.5,55.4,56.1,-0.7,17219.0,False,,,
29.0,2022-03-09,35553943.0,2017956740.0,58.0,58.5,55.4,56.1,-0.7,17219.0,False,0.04729729729729746,0.2251803373259704,0.4001884604392473
30.0,2022-03-10,30037242.0,1745470419.0,58.2,59.5,57.1,58.1,2.0,14848.0,False,0.1824324324324325,0.2109310356947911,0.3371026521910952
7.0,2022-03-10,30037242.0,1745470419.0,58.2,59.5,57.1,58.1,2.0,14848.0,False,,,
8.0,2022-03-11,21364527.0,1225824142.0,57.6,58.3,56.3,57.8,-0.3,10515.0,False,0.16216216216216206,0.3873873873873873,0.4624624624624624
31.0,2022-03-11,21364527.0,1225824142.0,57.6,58.3,56.3,57.8,-0.3,10515.0,False,0.16216216216216206,0.1946747445172481,0.2896266829664795
32.0,2022-03-14,15906526.0,919726366.0,57.8,58.6,57.2,57.7,-0.1,7658.0,False,0.15540540540540565,0.18158496481330053,0.25361277691541984
9.0,2022-03-14,15906526.0,919726366.0,57.8,58.6,57.2,57.7,-0.1,7658.0,False,0.15540540540540565,0.3100600600600601,0.4116616616616616
33.0,2022-03-15,21412245.0,1201576198.0,57.5,57.6,55.5,55.6,-2.1,10576.0,False,0.013513513513513702,0.12556114771337162,0.21092890051473706
10.0,2022-03-15,21412245.0,1201576198.0,57.5,57.6,55.5,55.6,-2.1,10576.0,False,0.013513513513513702,0.21121121121121128,0.34484484484484484
34.0,2022-03-16,26541698.0,1487732489.0,56.8,57.1,55.1,56.2,0.6,12870.0,False,0.09401709401709417,0.1150464631479458,0.17896808805913994
11.0,2022-03-16,26541698.0,1487732489.0,56.8,57.1,55.1,56.2,0.6,12870.0,False,0.09401709401709417,0.1721465054798389,0.2872787317231762
35.0,2022-03-17,22028076.0,1284859928.0,58.0,59.0,57.5,58.6,2.4,11299.0,False,0.3977272727272729,0.20927339967438816,0.189069858597556
12.0,2022-03-17,22028076.0,1284859928.0,58.0,59.0,57.5,58.6,2.4,11299.0,False,0.3977272727272729,0.2473400945623169,0.2739658526695564
36.0,2022-03-18,16635373.0,973141526.0,58.6,59.4,57.9,58.5,-0.1,8171.0,False,0.5573770491803275,0.3253079495097013,0.2344825555682711
13.0,2022-03-18,16635373.0,973141526.0,58.6,59.4,57.9,58.5,-0.1,8171.0,False,0.5573770491803275,0.3506857461016537,0.2995391504802555
37.0,2022-03-21,24281722.0,1452266914.0,61.1,61.8,58.4,58.5,0.0,12162.0,False,0.5074626865671643,0.3860261951955223,0.2849971021106881
14.0,2022-03-21,24281722.0,1452266914.0,61.1,61.8,58.4,58.5,0.0,12162.0,False,0.5074626865671643,0.4029447262568239,0.3340076757391116
38.0,2022-03-22,11787211.0,693303866.0,58.3,59.4,57.9,59.3,0.8,5925.0,False,0.6268656716417909,0.4663060206776118,0.3454334082996626
15.0,2022-03-22,11787211.0,693303866.0,58.3,59.4,57.9,59.3,0.8,5925.0,False,0.6268656716417909,0.4775850413851462,0.3818667976211231
16.0,2022-03-23,16758111.0,1004165926.0,60.1,60.6,59.3,59.7,0.4,8285.0,False,0.6865671641791051,0.5472457489831325,0.4369931147417929
39.0,2022-03-23,16758111.0,1004165926.0,60.1,60.6,59.3,59.7,0.4,8285.0,False,0.6865671641791051,0.5397264018447762,0.4101977394813671
17.0,2022-03-24,22005860.0,1341809031.0,59.3,62.2,59.0,61.8,2.1,12625.0,False,0.9436619718309852,0.6793844899324166,0.5177902398053341
40.0,2022-03-24,22005860.0,1341809031.0,59.3,62.2,59.0,61.8,2.1,12625.0,False,0.9436619718309852,0.6743715918401791,0.4982556902676378
18.0,2022-03-25,22558876.0,1362267291.0,62.1,62.1,59.1,59.3,-2.5,11543.0,False,0.5915492957746472,0.6501060918798268,0.5618955238301651
41.0,2022-03-25,22558876.0,1362267291.0,62.1,62.1,59.1,59.3,-2.5,11543.0,False,0.5915492957746472,0.6467641598183351,0.5477585134512035
19.0,2022-03-28,10004632.0,589160136.0,58.5,59.7,58.0,59.7,0.4,5050.0,False,0.647887323943662,0.6493665025677718,0.5910525167427007
42.0,2022-03-28,10004632.0,589160136.0,58.5,59.7,58.0,59.7,0.4,5050.0,False,0.647887323943662,0.6471385478601107,0.5808851915875058
20.0,2022-03-29,9679297.0,579228021.0,59.7,60.3,59.5,59.8,0.1,4604.0,False,0.4893617021276586,0.596031569087734,0.5927122008577117
43.0,2022-03-29,9679297.0,579228021.0,59.7,60.3,59.5,59.8,0.1,4604.0,False,0.4893617021276586,0.5945462659492933,0.585438883041435
21.0,2022-03-30,14833497.0,903963255.0,60.9,61.8,60.3,60.3,0.5,7835.0,False,0.55813953488372,0.5834008910197294,0.5896084309117176
44.0,2022-03-30,14833497.0,903963255.0,60.9,61.8,60.3,60.3,0.5,7835.0,False,0.55813953488372,0.5824106889274355,0.5844294850034351
22.0,2022-03-31,10707742.0,641792276.0,60.9,61.5,59.0,59.2,-1.1,5173.0,False,0.30232558139534954,0.4897091211449361,0.556308660989457
45.0,2022-03-31,10707742.0,641792276.0,60.9,61.5,59.0,59.2,-1.1,5173.0,False,0.30232558139534954,0.4890489864167402,0.5526359854745367
46.0,2022-04-01,8274872.0,487909405.0,58.6,60.0,58.1,60.0,0.8,4438.0,False,0.4883720930232557,0.4888233552855786,0.5313651087448841
47.0,2022-04-06,8029319.0,473491438.0,59.9,59.9,58.5,58.8,-1.2,4335.0,False,0.1904761904761897,0.3893743003491156,0.4840348392796279
48.0,2022-04-07,14801250.0,845072832.0,58.3,59.1,55.7,55.7,-3.1,8404.0,False,0.0,0.2595828668994104,0.4092175151528887
49.0,2022-04-08,7396863.0,418044011.0,56.4,57.3,56.0,56.7,1.0,4252.0,False,0.15625000000000006,0.22513857793294026,0.34785786941290586
50.0,2022-04-11,13945319.0,764808923.0,57.2,57.3,54.0,54.0,-2.7,7353.0,False,0.0,0.15009238528862684,0.28193604137147954
51.0,2022-04-12,9547975.0,522236711.0,53.5,55.8,53.5,54.0,0.0,5583.0,False,0.060240963855421714,0.12014191147755846,0.2280046647401725
52.0,2022-04-13,14201009.0,802038263.0,55.1,57.4,55.0,56.6,2.6,7470.0,False,0.3734939759036148,0.2045925996195772,0.22020064303330736
53.0,2022-04-14,8227655.0,464818830.0,57.5,57.5,56.0,56.1,-0.5,4438.0,False,0.3250000000000002,0.2447283997463849,0.2283765619376665
54.0,2022-04-15,10272066.0,560252166.0,55.5,55.7,54.0,54.2,-1.9,5794.0,False,0.10769230769230813,0.19904970239502595,0.21860094209011965
55.0,2022-04-18,8514578.0,456513089.0,54.2,54.9,52.9,53.2,-1.0,4736.0,False,0.04285714285714347,0.14698551588239844,0.19472913335421246
56.0,2022-04-19,6976634.0,374551792.0,53.9,54.7,53.1,53.2,0.0,4091.0,False,0.04838709677419421,0.1141193761796637,0.1678592142960296
57.0,2022-04-20,9664262.0,517027237.0,53.8,54.2,52.9,53.1,-0.1,5874.0,False,0.04347826086956582,0.0905723377429644,0.14209692211167452
58.0,2022-04-21,13155744.0,690033996.0,53.5,53.6,51.5,53.0,-0.1,7308.0,False,0.25,0.14371489182864294,0.142636245350664
59.0,2022-04-22,15257933.0,782678585.0,52.2,52.2,50.7,51.1,-1.9,8238.0,False,0.058823529411764525,0.1154177710230168,0.13356342057478154
60.0,2022-04-25,15658331.0,767315454.0,48.15,49.8,48.15,48.75,-2.35,8574.0,False,0.06417112299465255,0.09833555501356203,0.1218207987210417
61.0,2022-04-26,12489332.0,618839151.0,49.8,50.0,49.0,49.8,1.05,7012.0,False,0.17647058823529393,0.12438056608747268,0.12267405450985205
62.0,2022-04-27,17258197.0,829152194.0,48.2,49.0,46.9,48.6,-1.2,8882.0,False,0.1931818181818184,0.1473143167855879,0.13088747526843064
63.0,2022-04-28,11553202.0,564038218.0,49.4,49.55,47.8,48.6,0.0,6422.0,False,0.2125000000000004,0.1690428778570587,0.14360594279797334
64.0,2022-04-29,38024983.0,1880631582.0,50.1,52.5,47.55,47.6,-1.0,18591.0,False,0.08974358974359006,0.14260978181923584,0.14327388913839414
65.0,2022-05-03,13015983.0,625826517.0,47.65,48.7,47.35,48.45,0.85,7363.0,False,0.21232876712328813,0.16584944358725326,0.15079907395468053
66.0,2022-05-04,11132295.0,545888473.0,48.55,49.5,48.25,49.3,0.85,5861.0,False,0.35820895522388024,0.22996928079946224,0.1771891429029411
67.0,2022-05-05,14539061.0,738235788.0,50.4,51.4,49.9,51.0,1.7,8124.0,False,0.7321428571428572,0.3973604729139272,0.2505795862399365
68.0,2022-05-06,9516583.0,472883879.0,49.3,50.2,49.15,49.95,-1.05,5468.0,False,0.5446428571428578,0.44645460099023737,0.3158712578233701
69.0,2022-05-09,21015367.0,980208691.0,48.15,48.55,45.55,45.65,-4.3,11705.0,False,0.01438848920863329,0.3024325637297027,0.311391693125481
70.0,2022-05-10,14996103.0,687668780.0,44.55,46.7,44.45,46.45,0.8,6941.0,False,0.2484472049689441,0.2844374441427832,0.3024069434645817
71.0,2022-05-11,15486916.0,705432198.0,46.1,46.45,44.45,46.15,-0.3,8201.0,False,0.211180124223602,0.2600183375030561,0.2882774081440732
