0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,9532145.0,270635421.0,29.15,29.4,27.9,28.15,-0.05,4433.0,False,,,
23.0,2022-03-01,9532145.0,270635421.0,29.15,29.4,27.9,28.15,-0.05,4433.0,False,0.3902439024390236,0.3608897390623731,0.37391613977238747
1.0,2022-03-02,5094115.0,143091757.0,28.0,28.5,27.85,27.85,-0.30,2835.0,False,,,
24.0,2022-03-02,5094115.0,143091757.0,28.0,28.5,27.85,27.85,-0.30,2835.0,False,0.2439024390243905,0.3218939723830456,0.35657541730927345
2.0,2022-03-03,7084628.0,201496653.0,28.2,28.8,27.95,28.6,+0.75,3328.0,False,,,
25.0,2022-03-03,7084628.0,201496653.0,28.2,28.8,27.95,28.6,+0.75,3328.0,False,0.6097560975609765,0.4178480141090225,0.3769996162425231
3.0,2022-03-04,9330247.0,267528357.0,28.4,29.05,28.15,28.4,-0.20,4674.0,False,,,
26.0,2022-03-04,9330247.0,267528357.0,28.4,29.05,28.15,28.4,-0.20,4674.0,False,0.5121951219512189,0.4492970500564212,0.4010987608471558
4.0,2022-03-07,10743142.0,299929389.0,28.45,28.5,27.05,28.0,-0.40,5409.0,False,,,
27.0,2022-03-07,10743142.0,299929389.0,28.45,28.5,27.05,28.0,-0.40,5409.0,False,0.40425531914893625,0.43428313975392624,0.4121602204827459
5.0,2022-03-08,10189362.0,281273345.0,27.8,28.2,26.65,26.9,-1.10,5793.0,False,,,
28.0,2022-03-08,10189362.0,281273345.0,27.8,28.2,26.65,26.9,-1.10,5793.0,False,0.09090909090909093,0.3198251234723144,0.381381854812602
6.0,2022-03-09,10804888.0,301473014.0,27.7,28.4,27.2,28.15,+1.25,5686.0,False,,,
29.0,2022-03-09,10804888.0,301473014.0,27.7,28.4,27.2,28.15,+1.25,5686.0,False,0.5454545454545454,0.3950349307997248,0.3859328801416429
30.0,2022-03-10,49285254.0,1478781018.0,29.0,30.95,28.5,30.0,+1.85,20394.0,False,0.7790697674418606,0.52304654301377,0.4316374344323519
7.0,2022-03-10,49285254.0,1478781018.0,29.0,30.95,28.5,30.0,+1.85,20394.0,False,,,
8.0,2022-03-11,27048688.0,805536832.0,30.45,30.65,29.0,29.6,-0.40,14086.0,False,0.6860465116279075,0.5620155038759691,0.520671834625323
31.0,2022-03-11,27048688.0,805536832.0,30.45,30.65,29.0,29.6,-0.40,14086.0,False,0.6860465116279075,0.5773798658851491,0.4802182449166176
32.0,2022-03-14,16273433.0,477274548.0,29.65,30.0,28.7,28.8,-0.80,7837.0,False,0.5000000000000004,0.5515865772567662,0.5040076890300005
9.0,2022-03-14,16273433.0,477274548.0,29.65,30.0,28.7,28.8,-0.80,7837.0,False,0.5000000000000004,0.5413436692506461,0.5275624461670974
33.0,2022-03-15,12238365.0,342405857.0,28.7,29.05,27.4,27.4,-1.40,6454.0,False,0.17441860465116274,0.425863919721565,0.4779597659271886
10.0,2022-03-15,12238365.0,342405857.0,28.7,29.05,27.4,27.4,-1.40,6454.0,False,0.17441860465116274,0.4190353143841517,0.4913867355727821
34.0,2022-03-16,9153339.0,252544462.0,27.8,28.0,27.1,27.5,+0.10,5020.0,False,0.19767441860465146,0.3498007526825938,0.43524009484565696
11.0,2022-03-16,9153339.0,252544462.0,27.8,28.0,27.1,27.5,+0.10,5020.0,False,0.19767441860465146,0.34524834912431823,0.4426739400899608
35.0,2022-03-17,6776503.0,189150072.0,27.75,28.25,27.45,28.25,+0.75,2974.0,False,0.3720930232558142,0.3572315095403339,0.4092372330772159
12.0,2022-03-17,6776503.0,189150072.0,27.75,28.25,27.45,28.25,+0.75,2974.0,False,0.3720930232558142,0.35419657383481684,0.41318148467157945
36.0,2022-03-18,4564219.0,128680808.0,28.25,28.85,27.75,28.85,+0.60,2421.0,False,0.5116279069767448,0.4086969753524709,0.4090571471689676
13.0,2022-03-18,4564219.0,128680808.0,28.25,28.85,27.75,28.85,+0.60,2421.0,False,0.5116279069767448,0.4066736848821261,0.41101221807509497
37.0,2022-03-21,5801799.0,167809276.0,28.85,29.15,28.55,28.95,+0.10,2858.0,False,0.4805194805194802,0.43263781040814064,0.4169173682486919
14.0,2022-03-21,5801799.0,167809276.0,28.85,29.15,28.55,28.95,+0.10,2858.0,False,0.4805194805194802,0.4312889500945775,0.4177711287482558
38.0,2022-03-22,2575663.0,74061779.0,29.0,29.05,28.55,28.6,-0.35,1707.0,False,0.38961038961038985,0.4182953368088903,0.41737669110209136
15.0,2022-03-22,2575663.0,74061779.0,29.0,29.05,28.55,28.6,-0.35,1707.0,False,0.38961038961038985,0.4173960965998482,0.4176461180321199
16.0,2022-03-23,3207448.0,92634380.0,28.9,29.0,28.65,28.75,+0.15,1864.0,False,0.4647887323943662,0.4331936418646876,0.4228286259763091
39.0,2022-03-23,3207448.0,92634380.0,28.9,29.0,28.65,28.75,+0.15,1864.0,False,0.4647887323943662,0.4337931353373823,0.4228488391805216
17.0,2022-03-24,2584923.0,73956387.0,28.8,28.8,28.4,28.55,-0.20,1736.0,False,0.5,0.4554624279097916,0.4337065599541366
40.0,2022-03-24,2584923.0,73956387.0,28.8,28.8,28.4,28.55,-0.20,1736.0,False,0.5,0.4558620902249215,0.4338532561953216
18.0,2022-03-25,4438447.0,124220807.0,28.75,28.75,27.75,27.85,-0.70,2527.0,False,0.36585365853658586,0.42559283811872295,0.4310019860089988
41.0,2022-03-25,4438447.0,124220807.0,28.75,28.75,27.75,27.85,-0.70,2527.0,False,0.36585365853658586,0.4258592796621429,0.4311885973509287
19.0,2022-03-28,3351403.0,92984154.0,27.6,28.15,27.35,27.95,+0.10,2464.0,False,0.41463414634146295,0.42193994085963626,0.42798130429254455
42.0,2022-03-28,3351403.0,92984154.0,27.6,28.15,27.35,27.95,+0.10,2464.0,False,0.41463414634146295,0.4221175685552496,0.4281649210857023
20.0,2022-03-29,2285453.0,63970365.0,27.85,28.2,27.75,27.9,-0.05,1510.0,False,0.3055555555555545,0.3831451457582756,0.4130359181144549
43.0,2022-03-29,2285453.0,63970365.0,27.85,28.2,27.75,27.9,-0.05,1510.0,False,0.3055555555555545,0.38326356422201785,0.4131978021311408
21.0,2022-03-30,2034149.0,56998211.0,28.1,28.2,27.85,27.95,+0.05,1603.0,False,0.33333333333333265,0.3665412082832946,0.3975376815040681
44.0,2022-03-30,2034149.0,56998211.0,28.1,28.2,27.85,27.95,+0.05,1603.0,False,0.33333333333333265,0.3666201539257895,0.3976719193960237
22.0,2022-03-31,1583517.0,44310218.0,28.05,28.2,27.9,27.9,-0.05,997.0,False,0.3055555555555545,0.3462126573740479,0.38042934012739466
45.0,2022-03-31,1583517.0,44310218.0,28.05,28.2,27.9,27.9,-0.05,997.0,False,0.3055555555555545,0.3462652878023777,0.38053637553147496
46.0,2022-04-01,1715895.0,47742265.0,27.95,28.0,27.65,27.8,-0.10,1338.0,False,0.26470588235294085,0.3190788193192321,0.3600505234607273
47.0,2022-04-06,2126533.0,58198309.0,27.75,27.75,27.25,27.3,-0.50,1658.0,False,0.028571428571428976,0.2222430224032977,0.3141146897749174
48.0,2022-04-07,3252069.0,87531321.0,27.25,27.4,26.5,26.5,-0.80,2972.0,False,0.0,0.1481620149355318,0.2587971314951222
49.0,2022-04-08,2943065.0,79537618.0,26.75,27.3,26.7,26.9,+0.40,1393.0,False,0.17777777777777715,0.1580339358829469,0.2252093996243971
50.0,2022-04-11,2824527.0,76061651.0,27.1,27.55,26.5,26.5,-0.40,1732.0,False,0.0,0.10535595725529792,0.18525825216803066
51.0,2022-04-12,3400606.0,88465732.0,26.6,26.7,25.85,25.9,-0.60,1884.0,False,0.02127659574467966,0.07732950341842516,0.14928200258482882
52.0,2022-04-13,3688642.0,98742672.0,26.1,27.1,26.1,27.05,+1.15,1924.0,False,0.5106382978723406,0.22176576823639696,0.1734432578020182
53.0,2022-04-14,3182174.0,86830509.0,27.25,27.5,27.05,27.3,+0.25,1727.0,False,0.6170212765957449,0.3535176043561796,0.23346803998673865
54.0,2022-04-15,8056436.0,224783455.0,27.25,28.4,27.15,27.75,+0.45,4027.0,False,0.7450980392156865,0.4840444159760152,0.31699349864983084
55.0,2022-04-18,3735582.0,102902042.0,28.1,28.3,27.2,27.3,-0.45,2297.0,False,0.5686274509803925,0.5122387609774743,0.3820752527590453
56.0,2022-04-19,8830458.0,248999447.0,27.4,28.5,27.4,28.15,+0.85,3849.0,False,0.8679245283018862,0.6308006834189449,0.4649837296456785
57.0,2022-04-20,63146714.0,1901804056.0,29.05,30.95,29.0,29.2,+1.05,21795.0,False,0.6568627450980391,0.6394880373119762,0.5231518322011111
58.0,2022-04-21,66118987.0,2050659954.0,29.1,32.1,29.05,31.95,+2.75,30238.0,False,0.9759999999999996,0.7516586915413173,0.5993207853145129
59.0,2022-04-22,96697376.0,3157034805.0,32.3,33.3,31.55,33.0,+1.05,44240.0,False,0.9597315436241616,0.8210163089022653,0.6732192931770971
60.0,2022-04-25,32101137.0,997752409.0,32.0,32.6,30.2,30.5,-2.50,14585.0,False,0.6111111111111113,0.7510479096385472,0.6991621653309137
61.0,2022-04-26,23760750.0,705945702.0,30.75,31.2,28.4,28.4,-2.10,11428.0,False,0.21599999999999966,0.572698606425698,0.6570076456958418
62.0,2022-04-27,28290795.0,815583226.0,27.55,29.8,26.65,28.75,+0.35,13404.0,False,0.3157894736842108,0.4870622288452022,0.6003591734122953
63.0,2022-04-28,16750521.0,475805101.0,28.6,29.3,27.8,28.25,-0.50,7962.0,False,0.2406015037593988,0.404908653816601,0.5352090002137305
64.0,2022-04-29,26702962.0,796299543.0,28.6,30.65,28.3,30.05,+1.80,13465.0,False,0.5112781954887222,0.4403651677073081,0.5035943893782563
65.0,2022-05-03,16838295.0,495262682.0,30.25,30.35,28.85,29.5,-0.55,8683.0,False,0.4285714285714289,0.4364339213286816,0.4812075666950647
66.0,2022-05-04,31017893.0,954689460.0,29.8,31.8,29.7,30.2,+0.70,15945.0,False,0.5338345864661657,0.468900809707843,0.4771053143659907
67.0,2022-05-05,19705170.0,597709259.0,30.95,31.2,29.8,30.4,+0.20,9496.0,False,0.5639097744360904,0.5005704646172587,0.4849270311164133
68.0,2022-05-06,11298526.0,339323025.0,29.7,30.55,29.3,30.15,-0.25,6190.0,False,0.5882352941176467,0.5297920744507214,0.4998820455611826
69.0,2022-05-09,10626515.0,316728343.0,30.55,30.75,29.2,29.2,-0.95,5799.0,False,0.4951456310679611,0.5182432599898013,0.5060024503707221
70.0,2022-05-10,14425844.0,428236669.0,28.55,30.45,28.55,29.25,+0.05,7132.0,False,0.5048543689320389,0.5137802963038804,0.5085950656817748
71.0,2022-05-11,17101621.0,480991009.0,28.8,29.1,27.5,27.9,-1.35,8900.0,False,0.09302325581395314,0.3735279494739047,0.4635726936124847
72.0,2022-05-12,12983285.0,353618244.0,27.85,28.3,26.4,26.5,-1.40,6471.0,False,0.018518518518518767,0.25519147248877605,0.3941122865712485
73.0,2022-05-13,8285219.0,221940705.0,27.0,27.2,26.45,26.65,+0.15,3919.0,False,0.04629629629629628,0.1855597470912828,0.3245947734112599
74.0,2022-05-16,5863141.0,155523191.0,26.95,27.0,26.0,26.7,+0.05,3204.0,False,0.12068965517241365,0.1639363831183264,0.27104197664694873
75.0,2022-05-17,5192314.0,136542488.0,26.55,26.8,26.1,26.1,-0.60,3056.0,False,0.019230769230769502,0.11570117848914074,0.21926171059434607
76.0,2022-05-18,3636370.0,96615761.0,26.35,26.8,26.3,26.5,+0.40,1915.0,False,0.10526315789473684,0.11222183829100613,0.1835817531598994
77.0,2022-05-19,5474836.0,141750170.0,26.0,26.3,25.55,26.15,-0.35,3034.0,False,0.115384615384615,0.11327609732220904,0.16014653454733596
78.0,2022-05-20,9539746.0,251467213.0,26.6,27.05,25.95,26.05,-0.10,4643.0,False,0.10204081632653064,0.10953100365698293,0.14327469091721828
79.0,2022-05-23,15817173.0,428079238.0,26.35,27.8,26.35,26.85,+0.80,8339.0,False,0.3661971830985917,0.19508639680418585,0.16054525954620746
80.0,2022-05-24,6521431.0,175829946.0,27.1,27.25,26.6,27.1,+0.25,3576.0,False,0.5636363636363639,0.3179363857482452,0.21300896828022006
81.0,2022-05-25,4275448.0,115513709.0,27.1,27.3,26.8,26.95,-0.15,2370.0,False,0.6222222222222216,0.4193649979062373,0.28179431148889245
82.0,2022-05-26,5654677.0,153742257.0,27.4,27.75,26.8,27.0,+0.05,2899.0,False,0.6444444444444442,0.4943914800856395,0.3526600343544748
83.0,2022-05-27,4130531.0,111206733.0,27.2,27.3,26.8,26.85,-0.15,2049.0,False,0.5777777777777781,0.5221869126496856,0.4091689937862117
84.0,2022-05-30,3463523.0,93434921.0,27.0,27.2,26.75,27.1,+0.25,1755.0,False,0.6888888888888892,0.5777542380627535,0.4653640752117256
85.0,2022-05-31,2660142.0,71864991.0,27.3,27.35,26.85,26.95,-0.15,1468.0,False,0.6222222222222216,0.5925768994492429,0.5077683499575647
86.0,2022-06-01,3424255.0,93395548.0,27.15,27.4,27.05,27.25,+0.30,1910.0,False,0.7027027027027025,0.6292855005337294,0.5482740668162862
87.0,2022-06-02,3402037.0,92371265.0,27.25,27.45,26.95,27.0,-0.25,1930.0,False,0.4482758620689648,0.5689489543788079,0.5551656960037934
88.0,2022-06-06,2281932.0,62036408.0,27.2,27.45,26.9,26.95,-0.05,1272.0,False,0.30434782608695504,0.4807485782815236,0.53035999009637
89.0,2022-06-07,3061651.0,81623318.0,27.0,27.1,26.5,26.55,-0.40,1820.0,False,0.04000000000000057,0.3338323855210159,0.464850788571252
90.0,2022-06-08,2943393.0,78230034.0,26.65,26.85,26.35,26.55, 0.00,1811.0,False,0.1428571428571425,0.2701739712997248,0.3999585161474095
91.0,2022-06-09,4318575.0,112536836.0,26.6,26.6,25.85,26.0,-0.55,2328.0,False,0.09374999999999924,0.21136598086648287,0.337094337720434
92.0,2022-06-10,2957993.0,75923267.0,25.95,25.95,25.5,25.7,-0.30,1863.0,False,0.10256410256410224,0.17509868809902268,0.2830957878466302
93.0,2022-06-13,4106863.0,101438182.0,25.0,25.0,24.5,24.5,-1.20,2697.0,False,0.0,0.1167324587326818,0.2276413448086474
