0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,310399010.0,10052875945.0,32.8,33.1,31.75,32.1,-0.15,79982.0,False,,,
23.0,2022-03-01,310399010.0,10052875945.0,32.8,33.1,31.75,32.1,-0.15,79982.0,False,0.6000000000000004,0.5467332765144719,0.5264140992506798
1.0,2022-03-02,312933027.0,9847283972.0,31.8,32.3,30.7,31.4,-0.70,91277.0,False,,,
24.0,2022-03-02,312933027.0,9847283972.0,31.8,32.3,30.7,31.4,-0.70,91277.0,False,0.3999999999999996,0.4978221843429811,0.5168834609481135
2.0,2022-03-03,312523570.0,10233587966.0,31.95,33.6,31.9,32.7,+1.30,87502.0,False,,,
25.0,2022-03-03,312523570.0,10233587966.0,31.95,33.6,31.9,32.7,+1.30,87502.0,False,0.7500000000000004,0.5818814562286542,0.5385494593749603
3.0,2022-03-04,248932405.0,8100620521.0,32.1,33.05,31.85,32.05,-0.65,70274.0,False,,,
26.0,2022-03-04,248932405.0,8100620521.0,32.1,33.05,31.85,32.05,-0.65,70274.0,False,0.5694444444444434,0.5777357856339173,0.551611568127946
4.0,2022-03-07,302032305.0,9137438717.0,31.5,31.65,29.2,29.8,-2.25,96261.0,False,,,
27.0,2022-03-07,302032305.0,9137438717.0,31.5,31.65,29.2,29.8,-2.25,96261.0,False,0.13636363636363666,0.43061173587715706,0.5112782907110163
5.0,2022-03-08,306617879.0,8763759348.0,28.35,29.7,27.5,27.95,-1.85,85542.0,False,,,
28.0,2022-03-08,306617879.0,8763759348.0,28.35,29.7,27.5,27.95,-1.85,85542.0,False,0.07377049180327855,0.3116646545191975,0.44474041198041
6.0,2022-03-09,192531803.0,5515753489.0,28.85,29.1,28.25,28.3,+0.35,62650.0,False,,,
29.0,2022-03-09,192531803.0,5515753489.0,28.85,29.1,28.25,28.3,+0.35,62650.0,False,0.13114754098360665,0.2514922833406672,0.3803243691004957
30.0,2022-03-10,251665069.0,7548046793.0,29.65,30.6,29.45,29.8,+1.50,73074.0,False,0.3770491803278689,0.29334458233640104,0.3513311068457975
7.0,2022-03-10,251665069.0,7548046793.0,29.65,30.6,29.45,29.8,+1.50,73074.0,False,,,
8.0,2022-03-11,135936367.0,4061841179.0,29.9,30.25,29.3,30.25,+0.45,40700.0,False,0.4508196721311474,0.4836065573770491,0.494535519125683
31.0,2022-03-11,135936367.0,4061841179.0,29.9,30.25,29.3,30.25,+0.45,40700.0,False,0.4508196721311474,0.3458362789346498,0.3494994975420816
32.0,2022-03-14,109616969.0,3283556832.0,30.3,30.55,29.6,29.6,-0.65,35457.0,False,0.3442622950819674,0.3453116176504223,0.3481035375781951
9.0,2022-03-14,109616969.0,3283556832.0,30.3,30.55,29.6,29.6,-0.65,35457.0,False,0.3442622950819674,0.4371584699453551,0.4754098360655737
33.0,2022-03-15,188995692.0,5714806369.0,30.7,30.95,29.5,29.5,-0.10,53740.0,False,0.3278688524590163,0.3394973625866203,0.3452348125810035
10.0,2022-03-15,188995692.0,5714806369.0,30.7,30.95,29.5,29.5,-0.10,53740.0,False,0.3278688524590163,0.4007285974499088,0.4505160898603521
34.0,2022-03-16,222081063.0,6800572596.0,30.65,31.0,30.1,31.0,+1.50,63751.0,False,0.630630630630631,0.4365417852679572,0.3756704701433213
11.0,2022-03-16,222081063.0,6800572596.0,30.65,31.0,30.1,31.0,+1.50,63751.0,False,0.630630630630631,0.4773626085101495,0.4594649294102845
