0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,13447632.0,184547669.0,13.85,14.0,13.7,13.7,-0.05,870.0,False,,,
23.0,2022-03-01,13447632.0,184547669.0,13.85,14.0,13.7,13.7,-0.05,870.0,False,0.0,0.5887921304299326,0.7728253008160181
1.0,2022-03-02,2102354.0,28688789.0,13.7,13.75,13.6,13.65,-0.05,877.0,False,,,
24.0,2022-03-02,2102354.0,28688789.0,13.7,13.75,13.6,13.65,-0.05,877.0,False,0.013157894736842295,0.3969140518655692,0.6475215511658684
2.0,2022-03-03,1363553.0,18573963.0,13.7,13.75,13.55,13.6,-0.05,689.0,False,,,
25.0,2022-03-03,1363553.0,18573963.0,13.7,13.75,13.55,13.6,-0.05,689.0,False,0.012987012987012716,0.2689383722393837,0.5213271581903735
3.0,2022-03-04,2138715.0,28903406.0,13.55,13.6,13.45,13.45,-0.15,703.0,False,,,
26.0,2022-03-04,2138715.0,28903406.0,13.55,13.6,13.45,13.45,-0.15,703.0,False,0.0,0.1792922481595891,0.40731552151344536
4.0,2022-03-07,4725563.0,62005911.0,13.3,13.4,12.95,13.1,-0.35,1374.0,False,,,
27.0,2022-03-07,4725563.0,62005911.0,13.3,13.4,12.95,13.1,-0.35,1374.0,False,0.033707865168539415,0.13076412049590586,0.3151317211742655
5.0,2022-03-08,7809627.0,107375560.0,13.6,14.0,13.55,13.85,+0.75,2287.0,False,,,
28.0,2022-03-08,7809627.0,107375560.0,13.6,14.0,13.55,13.85,+0.75,2287.0,False,0.2022471910112361,0.15459181066768254,0.2616184176720712
6.0,2022-03-09,5524750.0,77611711.0,14.05,14.2,13.95,14.0,+0.15,1797.0,False,,,
29.0,2022-03-09,5524750.0,77611711.0,14.05,14.2,13.95,14.0,+0.15,1797.0,False,0.2359550561797755,0.18171289250504685,0.2349832426163964
30.0,2022-03-10,3772905.0,53870123.0,14.1,14.4,14.1,14.4,+0.40,1186.0,False,0.3258426966292138,0.22975616054643586,0.2332408819264095
7.0,2022-03-10,3772905.0,53870123.0,14.1,14.4,14.1,14.4,+0.40,1186.0,False,,,
8.0,2022-03-11,2013791.0,28923229.0,14.3,14.45,14.2,14.45,+0.05,734.0,False,1.0,0.6666666666666666,0.5555555555555556
31.0,2022-03-11,2013791.0,28923229.0,14.3,14.45,14.2,14.45,+0.05,734.0,False,1.0,0.4865041070309572,0.3176619569612588
32.0,2022-03-14,2850363.0,41395131.0,14.45,14.65,14.45,14.5,+0.05,908.0,False,0.9117647058823528,0.6282576399814224,0.4211938513013133
9.0,2022-03-14,2850363.0,41395131.0,14.45,14.65,14.45,14.5,+0.05,908.0,False,0.9117647058823528,0.7483660130718953,0.6198257080610021
33.0,2022-03-15,2521717.0,36627687.0,14.55,14.6,14.45,14.6,+0.10,886.0,False,0.9705882352941172,0.7423678384189873,0.5282518470072046
10.0,2022-03-15,2521717.0,36627687.0,14.55,14.6,14.45,14.6,+0.10,886.0,False,0.9705882352941172,0.8224400871459693,0.6873638344226578
34.0,2022-03-16,5221097.0,76878195.0,14.6,14.9,14.6,14.75,+0.15,1514.0,False,0.9230769230769228,0.8026041999716325,0.6197026313286805
11.0,2022-03-16,5221097.0,76878195.0,14.6,14.9,14.6,14.75,+0.15,1514.0,False,0.9230769230769228,0.8559856991229537,0.7435711226560897
35.0,2022-03-17,4908386.0,73324194.0,14.9,15.1,14.8,14.85,+0.10,1599.0,False,0.8837209302325582,0.8296431100586076,0.6896827909053228
12.0,2022-03-17,4908386.0,73324194.0,14.9,15.1,14.8,14.85,+0.10,1599.0,False,0.8837209302325582,0.8652307761594885,0.7841243404905559
36.0,2022-03-18,7030754.0,107231016.0,14.9,15.4,14.9,15.15,+0.30,2137.0,False,0.8648648648648648,0.8413836949940265,0.7402497589348906
13.0,2022-03-18,7030754.0,107231016.0,14.9,15.4,14.9,15.15,+0.30,2137.0,False,0.8648648648648648,0.8651088057279472,0.811119162236353
37.0,2022-03-21,5141254.0,79687723.0,15.2,15.65,15.2,15.55,+0.40,1781.0,False,0.9411764705882356,0.8746479535254295,0.7850491571317368
14.0,2022-03-21,5141254.0,79687723.0,15.2,15.65,15.2,15.55,+0.40,1781.0,False,0.9411764705882356,0.8904646940147098,0.8375676728291386
38.0,2022-03-22,4630114.0,72109692.0,15.55,15.75,15.4,15.7,+0.15,1352.0,False,0.9696969696969692,0.9063309589159428,0.8254764243931387
15.0,2022-03-22,4630114.0,72109692.0,15.55,15.75,15.4,15.7,+0.15,1352.0,False,0.9696969696969692,0.9168754525754632,0.8640035994112466
16.0,2022-03-23,8004672.0,128932515.0,15.7,16.35,15.65,16.3,+0.60,2550.0,False,0.9767441860465114,0.9368316970658124,0.8882796319627684
39.0,2022-03-23,8004672.0,128932515.0,15.7,16.35,15.65,16.3,+0.60,2550.0,False,0.9767441860465114,0.9298020346261322,0.8602516278041364
17.0,2022-03-24,5529455.0,90341647.0,16.3,16.5,16.15,16.3, 0.00,1890.0,False,0.9024390243902444,0.9253674728406228,0.9006422455887197
40.0,2022-03-24,5529455.0,90341647.0,16.3,16.5,16.15,16.3, 0.00,1890.0,False,0.9024390243902444,0.9206810312141694,0.8803947622741474
