0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,25902917.0,1611595335.0,61.7,62.7,61.5,62.6,+0.30,9804.0,False,,,
23.0,2022-03-01,25902917.0,1611595335.0,61.7,62.7,61.5,62.6,+0.30,9804.0,False,0.3142857142857147,0.5864908967638651,0.6825611397925062
1.0,2022-03-02,18856628.0,1168490086.0,62.1,62.2,61.8,62.0,-0.60,8885.0,False,,,
24.0,2022-03-02,18856628.0,1168490086.0,62.1,62.2,61.8,62.0,-0.60,8885.0,False,0.14285714285714285,0.4386129787949577,0.6012450861266567
2.0,2022-03-03,13494434.0,838092454.0,62.3,62.5,62.0,62.1,+0.10,6206.0,False,,,
25.0,2022-03-03,13494434.0,838092454.0,62.3,62.5,62.0,62.1,+0.10,6206.0,False,0.18750000000000028,0.35490865252997184,0.5191329415944284
3.0,2022-03-04,22375501.0,1373740843.0,61.8,61.8,61.2,61.2,-0.90,11534.0,False,,,
26.0,2022-03-04,22375501.0,1373740843.0,61.8,61.8,61.2,61.2,-0.90,11534.0,False,0.0,0.2366057683533145,0.42495721718072377
4.0,2022-03-07,52085088.0,3088045680.0,60.4,60.5,58.8,59.4,-1.80,25960.0,False,,,
27.0,2022-03-07,52085088.0,3088045680.0,60.4,60.5,58.8,59.4,-1.80,25960.0,False,0.10169491525423743,0.19163548398695548,0.3471833061161343
5.0,2022-03-08,51970716.0,3033149591.0,58.2,58.8,58.0,58.5,-0.90,22906.0,False,,,
28.0,2022-03-08,51970716.0,3033149591.0,58.2,58.8,58.0,58.5,-0.90,22906.0,False,0.07462686567164176,0.15263261121518426,0.2823330744824843
6.0,2022-03-09,18361063.0,1083953551.0,59.0,59.4,58.6,59.0,+0.50,11459.0,False,,,
29.0,2022-03-09,18361063.0,1083953551.0,59.0,59.4,58.6,59.0,+0.50,11459.0,False,0.1492537313432835,0.15150631792455066,0.2387241556298397
30.0,2022-03-10,22169794.0,1332459912.0,59.5,60.5,59.5,60.3,+1.30,11285.0,False,0.3432835820895517,0.21543207264621766,0.2309601279686324
7.0,2022-03-10,22169794.0,1332459912.0,59.5,60.5,59.5,60.3,+1.30,11285.0,False,,,
8.0,2022-03-11,12249752.0,738733829.0,60.2,60.6,59.9,60.3, 0.00,6775.0,False,0.4893617021276586,0.4964539007092195,0.4988179669030731
31.0,2022-03-11,12249752.0,738733829.0,60.2,60.6,59.9,60.3, 0.00,6775.0,False,0.4893617021276586,0.3067419491400313,0.2562207350257653
32.0,2022-03-14,14539303.0,888375356.0,60.7,61.5,60.6,61.2,+0.90,5717.0,False,0.7111111111111117,0.4415316697970581,0.3179910466161962
9.0,2022-03-14,14539303.0,888375356.0,60.7,61.5,60.6,61.2,+0.90,5717.0,False,0.7111111111111117,0.5680063041765169,0.521880745994221
33.0,2022-03-15,16334901.0,999369129.0,61.3,61.5,60.9,61.3,+0.10,5993.0,False,0.7333333333333327,0.5387988909758162,0.3915936614027362
10.0,2022-03-15,16334901.0,999369129.0,61.3,61.5,60.9,61.3,+0.10,5993.0,False,0.7333333333333327,0.6231153138954555,0.5556256019612991
34.0,2022-03-16,22127986.0,1365710975.0,61.7,62.0,61.4,62.0,+0.70,8076.0,False,1.0,0.6925325939838775,0.4919066389297833
11.0,2022-03-16,22127986.0,1365710975.0,61.7,62.0,61.4,62.0,+0.70,8076.0,False,1.0,0.7487435425969703,0.6199982488398561
35.0,2022-03-17,35516192.0,2233886318.0,62.5,63.2,62.4,63.1,+1.10,12616.0,False,0.9807692307692304,0.7886114729123284,0.5908082502572982
12.0,2022-03-17,35516192.0,2233886318.0,62.5,63.2,62.4,63.1,+1.10,12616.0,False,0.9807692307692304,0.8260854386543903,0.6886939787780342
