0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,25978385.0,772713707.0,29.15,30.0,29.15,29.8,+0.35,9081.0,False,,,
23.0,2022-03-01,25978385.0,772713707.0,29.15,30.0,29.15,29.8,+0.35,9081.0,False,0.16250000000000053,0.6846764352041655,0.8574687960348978
1.0,2022-03-02,21055924.0,628237798.0,29.75,29.95,29.55,29.9,+0.10,7150.0,False,,,
24.0,2022-03-02,21055924.0,628237798.0,29.75,29.95,29.55,29.9,+0.10,7150.0,False,0.1875,0.518950956802777,0.7446295162908574
2.0,2022-03-03,20447314.0,611449614.0,29.95,29.95,29.7,29.95,+0.05,4955.0,False,,,
25.0,2022-03-03,20447314.0,611449614.0,29.95,29.95,29.7,29.95,+0.05,4955.0,False,0.20000000000000007,0.41263397120185136,0.6339643345945221
3.0,2022-03-04,13619977.0,403234159.0,29.5,29.8,29.2,29.7,-0.25,6929.0,False,,,
26.0,2022-03-04,13619977.0,403234159.0,29.5,29.8,29.2,29.7,-0.25,6929.0,False,0.13750000000000018,0.3209226474679009,0.529617105552315
4.0,2022-03-07,36106531.0,1050647835.0,29.35,29.4,28.9,29.2,-0.50,18727.0,False,,,
27.0,2022-03-07,36106531.0,1050647835.0,29.35,29.4,28.9,29.2,-0.50,18727.0,False,0.07058823529411781,0.2374778434099732,0.43223735150486775
5.0,2022-03-08,31206569.0,901360359.0,28.35,29.2,28.35,28.95,-0.25,14304.0,False,,,
28.0,2022-03-08,31206569.0,901360359.0,28.35,29.2,28.35,28.95,-0.25,14304.0,False,0.12499999999999965,0.199985228939982,0.3548199773165725
6.0,2022-03-09,22542844.0,652963412.0,29.0,29.4,28.8,28.8,-0.15,12308.0,False,,,
29.0,2022-03-09,22542844.0,652963412.0,29.0,29.4,28.8,28.8,-0.15,12308.0,False,0.0937499999999999,0.16457348595998794,0.291404480197711
30.0,2022-03-10,29119721.0,866039635.0,29.4,29.95,29.4,29.9,+1.10,12341.0,False,0.32291666666666624,0.2173545461955474,0.26672116886365643
7.0,2022-03-10,29119721.0,866039635.0,29.4,29.95,29.4,29.9,+1.10,12341.0,False,,,
8.0,2022-03-11,18149346.0,542894684.0,29.9,30.05,29.75,29.95,+0.05,9060.0,False,0.9411764705882344,0.6470588235294115,0.5490196078431371
31.0,2022-03-11,18149346.0,542894684.0,29.9,30.05,29.75,29.95,+0.05,9060.0,False,0.9411764705882344,0.4586285209931097,0.33069028624014085
32.0,2022-03-14,16800965.0,504367892.0,29.95,30.1,29.95,30.05,+0.10,6763.0,False,0.9714285714285708,0.6295618711382635,0.4303141478728484
9.0,2022-03-14,16800965.0,504367892.0,29.95,30.1,29.95,30.05,+0.10,6763.0,False,0.9714285714285708,0.7551820728291313,0.6177404295051352
33.0,2022-03-15,20111517.0,604041964.0,30.0,30.15,29.9,30.1,+0.05,8007.0,False,0.9722222222222238,0.7437819881662502,0.5348034279706491
10.0,2022-03-15,20111517.0,604041964.0,30.0,30.15,29.9,30.1,+0.05,8007.0,False,0.9722222222222238,0.8275287892934955,0.687669882767922
34.0,2022-03-16,25763722.0,784408348.0,30.25,30.6,30.25,30.5,+0.40,9377.0,False,0.9555555555555548,0.8143731772960184,0.6279933444124387
