0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,28640307.0,725287890.0,25.15,25.55,24.95,25.25,+0.40,6377.0,False,,,
23.0,2022-03-01,28640307.0,725287890.0,25.15,25.55,24.95,25.25,+0.40,6377.0,False,0.19354838709677447,0.5579336874424966,0.6570558472720156
1.0,2022-03-02,18121074.0,458773554.0,25.2,25.45,25.15,25.4,+0.15,3896.0,False,,,
24.0,2022-03-02,18121074.0,458773554.0,25.2,25.45,25.15,25.4,+0.15,3896.0,False,0.2903225806451607,0.4687299851767179,0.5942805599069163
2.0,2022-03-03,12923561.0,328908895.0,25.45,25.5,25.35,25.5,+0.10,4027.0,False,,,
25.0,2022-03-03,12923561.0,328908895.0,25.45,25.5,25.35,25.5,+0.10,4027.0,False,0.35483870967741965,0.4307662266769519,0.5397757821635948
3.0,2022-03-04,23046834.0,577150588.0,25.15,25.2,24.85,25.05,-0.45,6166.0,False,,,
26.0,2022-03-04,23046834.0,577150588.0,25.15,25.2,24.85,25.05,-0.45,6166.0,False,0.12121212121212087,0.3275815248553415,0.4690443630608436
4.0,2022-03-07,44293276.0,1082528100.0,24.85,24.9,24.1,24.5,-0.55,13185.0,False,,,
27.0,2022-03-07,44293276.0,1082528100.0,24.85,24.9,24.1,24.5,-0.55,13185.0,False,0.1666666666666662,0.2739432387924497,0.40401065497137895
5.0,2022-03-08,36858462.0,890486766.0,24.3,24.35,24.0,24.2,-0.30,12717.0,False,,,
28.0,2022-03-08,36858462.0,890486766.0,24.3,24.35,24.0,24.2,-0.30,12717.0,False,0.07999999999999971,0.20929549252829968,0.33910560082368585
6.0,2022-03-09,20856961.0,505592348.0,24.3,24.35,24.15,24.2, 0.00,4828.0,False,,,
29.0,2022-03-09,20856961.0,505592348.0,24.3,24.35,24.15,24.2, 0.00,4828.0,False,0.07999999999999971,0.16619699501886634,0.281469398888746
30.0,2022-03-10,18723674.0,462210095.0,24.35,24.9,24.35,24.8,+0.60,5673.0,False,0.3200000000000003,0.2174646633459109,0.2601344870411343
7.0,2022-03-10,18723674.0,462210095.0,24.35,24.9,24.35,24.8,+0.60,5673.0,False,,,
8.0,2022-03-11,10355411.0,256122767.0,24.7,24.85,24.55,24.75,-0.05,3775.0,False,0.4838709677419353,0.4946236559139784,0.4982078853046594
31.0,2022-03-11,10355411.0,256122767.0,24.7,24.85,24.55,24.75,-0.05,3775.0,False,0.4838709677419353,0.3062667648112524,0.2755119129645069
32.0,2022-03-14,13734926.0,340815937.0,24.8,24.95,24.7,24.85,+0.10,3894.0,False,0.5666666666666677,0.3930667320963908,0.3146968526751349
9.0,2022-03-14,13734926.0,340815937.0,24.8,24.95,24.7,24.85,+0.10,3894.0,False,0.5666666666666677,0.5186379928315414,0.5050179211469534
33.0,2022-03-15,16886202.0,415096698.0,24.85,24.85,24.5,24.65,-0.20,6017.0,False,0.4333333333333324,0.4064889325087047,0.3452942126196581
10.0,2022-03-15,16886202.0,415096698.0,24.85,24.85,24.5,24.65,-0.20,6017.0,False,0.4333333333333324,0.4902031063321384,0.500079649542015
34.0,2022-03-16,38203695.0,976973941.0,25.3,25.7,25.3,25.6,+0.95,12504.0,False,0.9411764705882364,0.5847181118685485,0.4251021790359549
11.0,2022-03-16,38203695.0,976973941.0,25.3,25.7,25.3,25.6,+0.95,12504.0,False,0.9411764705882364,0.640527561084171,0.5468956200560671
35.0,2022-03-17,33272512.0,864822444.0,26.1,26.1,25.75,26.0,+0.40,10772.0,False,0.9523809523809518,0.7072723920393496,0.519158916703753
12.0,2022-03-17,33272512.0,864822444.0,26.1,26.1,25.75,26.0,+0.40,10772.0,False,0.9523809523809518,0.7444786915164312,0.6127566438761883
36.0,2022-03-18,42172242.0,1105283483.0,26.1,26.35,26.0,26.25,+0.25,9085.0,False,0.9574468085106376,0.7906638641964456,0.6096605658679839
