0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,23250543.0,885087745.0,37.55,38.2,37.45,38.2,+0.60,9471.0,False,,,
23.0,2022-03-01,23250543.0,885087745.0,37.55,38.2,37.45,38.2,+0.60,9471.0,False,0.1351351351351352,0.6609484337232134,0.8336470112719894
1.0,2022-03-02,16225405.0,616631395.0,38.15,38.15,37.8,38.1,-0.10,6921.0,False,,,
24.0,2022-03-02,16225405.0,616631395.0,38.15,38.15,37.8,38.1,-0.10,6921.0,False,0.11711711711711692,0.4796713281878479,0.7156551169106089
2.0,2022-03-03,11757496.0,447293545.0,38.1,38.15,37.95,38.1, 0.00,6554.0,False,,,
25.0,2022-03-03,11757496.0,447293545.0,38.1,38.15,37.95,38.1, 0.00,6554.0,False,0.11711711711711692,0.35881992449760425,0.5967100527729406
3.0,2022-03-04,15225056.0,576155007.0,38.0,38.0,37.5,38.0,-0.10,6452.0,False,,,
26.0,2022-03-04,15225056.0,576155007.0,38.0,38.0,37.5,38.0,-0.10,6452.0,False,0.09909909909909864,0.2722463160314357,0.4885554738591057
4.0,2022-03-07,35148992.0,1313243773.0,37.5,37.65,37.0,37.65,-0.35,16575.0,False,,,
27.0,2022-03-07,35148992.0,1313243773.0,37.5,37.65,37.0,37.65,-0.35,16575.0,False,0.1083333333333331,0.21760865513206806,0.3982398676167598
5.0,2022-03-08,28001182.0,1048488565.0,37.5,37.8,37.3,37.35,-0.30,16147.0,False,,,
28.0,2022-03-08,28001182.0,1048488565.0,37.5,37.8,37.3,37.35,-0.30,16147.0,False,0.05833333333333358,0.1645168811991566,0.3203322054775587
6.0,2022-03-09,16063085.0,603345052.0,37.5,37.95,37.4,37.4,+0.05,9278.0,False,,,
29.0,2022-03-09,16063085.0,603345052.0,37.5,37.95,37.4,37.4,+0.05,9278.0,False,0.06666666666666643,0.13190014302165987,0.2575215179922591
30.0,2022-03-10,17080838.0,648540019.0,37.5,38.25,37.5,38.25,+0.85,8932.0,False,0.2083333333333333,0.15737787312555102,0.2241403030366897
7.0,2022-03-10,17080838.0,648540019.0,37.5,38.25,37.5,38.25,+0.85,8932.0,False,,,
8.0,2022-03-11,7994368.0,303832808.0,38.0,38.2,37.8,37.95,-0.30,6980.0,False,0.7600000000000022,0.5866666666666673,0.5288888888888891
31.0,2022-03-11,7994368.0,303832808.0,38.0,38.2,37.8,37.95,-0.30,6980.0,False,0.7600000000000022,0.3582519154170347,0.26884417383013803
32.0,2022-03-14,15848347.0,607631783.0,38.0,38.5,38.0,38.5,+0.55,6542.0,False,1.0,0.5721679436113565,0.36995209709054416
9.0,2022-03-14,15848347.0,607631783.0,38.0,38.5,38.0,38.5,+0.55,6542.0,False,1.0,0.7244444444444449,0.5940740740740743
33.0,2022-03-15,15187136.0,584834279.0,38.5,38.7,38.3,38.6,+0.10,7695.0,False,0.9411764705882344,0.6951707859369824,0.4783583267060236
10.0,2022-03-15,15187136.0,584834279.0,38.5,38.7,38.3,38.6,+0.10,7695.0,False,0.9411764705882344,0.7966884531590415,0.66161220043573
34.0,2022-03-16,39156099.0,1528408319.0,38.75,39.5,38.5,39.5,+0.90,13781.0,False,1.0,0.7967805239579883,0.5844990591233451
11.0,2022-03-16,39156099.0,1528408319.0,38.75,39.5,38.5,39.5,+0.90,13781.0,False,1.0,0.8644589687726942,0.7292277898813847
