0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,22640540.0,389170771.0,16.9,17.3,16.9,17.2,+0.10,6321.0,False,,,
23.0,2022-03-01,22640540.0,389170771.0,16.9,17.3,16.9,17.2,+0.10,6321.0,False,0.166666666666667,0.5376206293604969,0.6540781792034336
1.0,2022-03-02,19942275.0,344555284.0,17.15,17.4,17.1,17.4,+0.20,5102.0,False,,,
24.0,2022-03-02,19942275.0,344555284.0,17.15,17.4,17.1,17.4,+0.20,5102.0,False,0.2777777777777777,0.4510063454995905,0.5863875679688192
2.0,2022-03-03,12280256.0,214035529.0,17.4,17.5,17.3,17.5,+0.10,4550.0,False,,,
25.0,2022-03-03,12280256.0,214035529.0,17.4,17.5,17.3,17.5,+0.10,4550.0,False,0.333333333333334,0.4117820081108383,0.5281857146828255
3.0,2022-03-04,23790818.0,408309967.0,17.35,17.35,17.05,17.1,-0.40,10288.0,False,,,
26.0,2022-03-04,23790818.0,408309967.0,17.35,17.35,17.05,17.1,-0.40,10288.0,False,0.11111111111111263,0.3115583757775964,0.4559766017144157
4.0,2022-03-07,36743810.0,613095222.0,16.85,16.9,16.5,16.8,-0.30,12568.0,False,,,
27.0,2022-03-07,36743810.0,613095222.0,16.85,16.9,16.5,16.8,-0.30,12568.0,False,0.13636363636363674,0.2531601293062765,0.3883711109117026
5.0,2022-03-08,44034462.0,726323564.0,16.6,16.75,16.3,16.4,-0.40,14201.0,False,,,
28.0,2022-03-08,44034462.0,726323564.0,16.6,16.75,16.3,16.4,-0.40,14201.0,False,0.041666666666665804,0.18266230842640627,0.3198015100832705
6.0,2022-03-09,27569661.0,452560170.0,16.45,16.65,16.4,16.4, 0.00,9341.0,False,,,
29.0,2022-03-09,27569661.0,452560170.0,16.45,16.65,16.4,16.4, 0.00,9341.0,False,0.041666666666665804,0.13566376117315945,0.2584222604465668
30.0,2022-03-10,17941928.0,302962593.0,16.65,17.0,16.6,16.9,+0.50,5267.0,False,0.24999999999999925,0.173775840782106,0.2302067872250799
7.0,2022-03-10,17941928.0,302962593.0,16.65,17.0,16.6,16.9,+0.50,5267.0,False,,,
8.0,2022-03-11,11114843.0,188136950.0,16.9,17.1,16.8,16.9, 0.00,7196.0,False,0.4999999999999985,0.4999999999999994,0.4999999999999998
31.0,2022-03-11,11114843.0,188136950.0,16.9,17.1,16.8,16.9, 0.00,7196.0,False,0.4999999999999985,0.2825172271880701,0.2476436005460766
32.0,2022-03-14,13426127.0,228075133.0,16.9,17.1,16.9,17.0,+0.10,3782.0,False,0.583333333333333,0.3827892625698244,0.29269215455399256
9.0,2022-03-14,13426127.0,228075133.0,16.9,17.1,16.9,17.0,+0.10,3782.0,False,0.583333333333333,0.5277777777777772,0.5092592592592589
33.0,2022-03-15,12819600.0,217207650.0,17.0,17.05,16.85,17.0, 0.00,4525.0,False,0.583333333333333,0.44963728615766063,0.3450071984218819
10.0,2022-03-15,12819600.0,217207650.0,17.0,17.05,16.85,17.0, 0.00,4525.0,False,0.583333333333333,0.5462962962962958,0.5216049382716045
34.0,2022-03-16,18159573.0,309110497.0,17.0,17.1,16.9,17.1,+0.10,5011.0,False,0.7619047619047621,0.5537264447400277,0.4145802805279305
11.0,2022-03-16,18159573.0,309110497.0,17.0,17.1,16.9,17.1,+0.10,5011.0,False,0.7619047619047621,0.6181657848324512,0.5537918871252201
35.0,2022-03-17,28220301.0,489428813.0,17.35,17.5,17.15,17.4,+0.30,7009.0,False,0.9166666666666654,0.6747065187155736,0.5012890265904781
12.0,2022-03-17,28220301.0,489428813.0,17.35,17.5,17.15,17.4,+0.30,7009.0,False,0.9166666666666654,0.7176660787771892,0.6084166176758765
36.0,2022-03-18,41402348.0,720719255.0,17.45,17.7,17.3,17.3,-0.10,12821.0,False,0.714285714285715,0.6878995839056208,0.5634925456955256
13.0,2022-03-18,41402348.0,720719255.0,17.45,17.7,17.3,17.3,-0.10,12821.0,False,0.714285714285715,0.7165392906133645,0.6444575086550391
37.0,2022-03-21,16527020.0,286868666.0,17.4,17.5,17.25,17.35,+0.05,6478.0,False,0.7307692307692325,0.7021894661934913,0.6097248525281809
14.0,2022-03-21,16527020.0,286868666.0,17.4,17.5,17.25,17.35,+0.05,6478.0,False,0.7307692307692325,0.7212826039986538,0.6700658737695774
38.0,2022-03-22,17151467.0,297443813.0,17.35,17.45,17.25,17.45,+0.10,4869.0,False,0.7727272727272723,0.7257020683714183,0.6483839244759266
15.0,2022-03-22,17151467.0,297443813.0,17.35,17.45,17.25,17.45,+0.10,4869.0,False,0.7727272727272723,0.7384308269081933,0.6928541914824493
16.0,2022-03-23,24171262.0,427182705.0,17.5,17.8,17.45,17.75,+0.30,7283.0,False,0.9499999999999992,0.8089538846054619,0.7315540891901201
39.0,2022-03-23,24171262.0,427182705.0,17.5,17.8,17.45,17.75,+0.30,7283.0,False,0.9499999999999992,0.8004680455809452,0.6990786315109327
17.0,2022-03-24,21056937.0,372056942.0,17.7,17.75,17.6,17.75, 0.00,7056.0,False,0.9473684210526307,0.8550920634211847,0.7727334139338082
40.0,2022-03-24,21056937.0,372056942.0,17.7,17.75,17.6,17.75, 0.00,7056.0,False,0.9473684210526307,0.8494348374048404,0.7491973668089019
18.0,2022-03-25,20433238.0,357813990.0,17.75,17.75,17.4,17.5,-0.25,7469.0,False,0.6842105263157885,0.7981315510527192,0.7811994596401118
41.0,2022-03-25,20433238.0,357813990.0,17.75,17.75,17.4,17.5,-0.25,7469.0,False,0.6842105263157885,0.7943600670418229,0.7642516002198756
19.0,2022-03-28,16086670.0,280233884.0,17.35,17.6,17.25,17.55,+0.05,4783.0,False,0.7222222222222229,0.7728284414425537,0.7784091202409257
42.0,2022-03-28,16086670.0,280233884.0,17.35,17.6,17.25,17.55,+0.05,4783.0,False,0.7222222222222229,0.7703141187686229,0.7662724397361247
20.0,2022-03-29,24755201.0,429725568.0,17.5,17.55,17.3,17.3,-0.25,8712.0,False,0.2307692307692333,0.5921420378847801,0.7163200927888771
43.0,2022-03-29,24755201.0,429725568.0,17.5,17.55,17.3,17.3,-0.25,8712.0,False,0.2307692307692333,0.5904658227688263,0.7076702340803585
21.0,2022-03-30,82354604.0,1491332108.0,17.55,18.5,17.5,18.35,+1.05,20136.0,False,0.8800000000000011,0.6880946919231871,0.7069116258336471
44.0,2022-03-30,82354604.0,1491332108.0,17.55,18.5,17.5,18.35,+1.05,20136.0,False,0.8800000000000011,0.6869772151792178,0.7007725611133115
22.0,2022-03-31,41981382.0,775414413.0,18.3,18.7,18.15,18.4,+0.05,10336.0,False,0.7931034482758614,0.7230976107074119,0.7123069541249021
45.0,2022-03-31,41981382.0,775414413.0,18.3,18.7,18.15,18.4,+0.05,10336.0,False,0.7931034482758614,0.7223526262114324,0.7079659161460184
46.0,2022-04-01,25028072.0,465638740.0,18.3,18.75,18.25,18.7,+0.30,6640.0,False,0.9666666666666662,0.8037906396965103,0.7399074906628491
47.0,2022-04-06,32242665.0,609693003.0,18.6,19.1,18.6,19.1,+0.40,9518.0,False,1.0,0.8691937597976735,0.7830029137077905
48.0,2022-04-07,60853782.0,1153377839.0,19.0,19.35,18.6,18.65,-0.45,18630.0,False,0.6666666666666655,0.8016847287540041,0.7892301853898616
49.0,2022-04-08,27279931.0,515123559.0,18.8,19.05,18.55,19.05,+0.40,8895.0,False,0.8571428571428569,0.8201707715502883,0.7995437141100037
50.0,2022-04-11,30083813.0,571219666.0,19.0,19.2,18.8,19.0,-0.05,8388.0,False,0.8333333333333328,0.8245582921446364,0.8078819067882146
51.0,2022-04-12,20082996.0,378991970.0,19.0,19.0,18.8,18.85,-0.15,5680.0,False,0.7560975609756099,0.8017380484216275,0.8058339539993522
52.0,2022-04-13,21046282.0,399803810.0,19.0,19.15,18.75,19.05,+0.20,6446.0,False,0.8378378378378376,0.8137713115603642,0.8084797398530228
53.0,2022-04-14,27153206.0,506969958.0,19.0,19.0,18.5,18.5,-0.55,10436.0,False,0.2916666666666672,0.6397364299291318,0.7522319698783925
54.0,2022-04-15,17114213.0,316989684.0,18.45,18.7,18.3,18.5, 0.00,6684.0,False,0.22727272727272704,0.5022485290436636,0.6689041562668161
55.0,2022-04-18,25933781.0,469752235.0,18.25,18.3,17.9,18.1,-0.40,10510.0,False,0.1379310344827603,0.3808093641900291,0.5728725589078871
56.0,2022-04-19,25899106.0,474858031.0,18.2,18.5,18.15,18.35,+0.25,6556.0,False,0.31034482758620824,0.3573211853220888,0.5010221010459543
57.0,2022-04-20,18441675.0,337239809.0,18.35,18.4,18.15,18.25,-0.10,4977.0,False,0.26923076923077016,0.32795771329164924,0.4433339717945193
58.0,2022-04-21,15543862.0,284077572.0,18.35,18.35,18.2,18.25, 0.00,4138.0,False,0.26923076923077016,0.3083820652713562,0.3983500029534649
59.0,2022-04-22,20296112.0,372252941.0,18.1,18.6,18.05,18.6,+0.35,6038.0,False,0.5600000000000023,0.3922547101809049,0.3963182386959449
60.0,2022-04-25,23876658.0,434525297.0,18.25,18.4,18.05,18.25,-0.35,7484.0,False,0.28000000000000114,0.3548364734539369,0.3824909836152756
61.0,2022-04-26,17289290.0,319519940.0,18.3,18.6,18.25,18.55,+0.30,3775.0,False,0.590909090909092,0.4335273459389886,0.39950310438984654
62.0,2022-04-27,18521842.0,336358879.0,18.35,18.35,18.0,18.15,-0.40,7467.0,False,0.3124999999999997,0.393184897292659,0.3973970353574505
63.0,2022-04-28,21653651.0,391236650.0,18.15,18.2,17.9,18.15, 0.00,6654.0,False,0.3571428571428557,0.3811708839093912,0.39198831820809743
64.0,2022-04-29,9802496.0,178688420.0,18.15,18.3,18.15,18.25,+0.10,2934.0,False,0.5,0.4207805892729274,0.4015857418963741
65.0,2022-05-03,10923400.0,198845017.0,18.2,18.3,18.1,18.2,-0.05,3291.0,False,0.4285714285714278,0.4233775357057609,0.4088496731661697
