0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,91747334.0,2519763275.0,27.0,27.8,26.95,27.75,+0.60,17824.0,False,,,
23.0,2022-03-01,91747334.0,2519763275.0,27.0,27.8,26.95,27.75,+0.60,17824.0,False,0.3265306122448983,0.7054891317429195,0.8152040912946743
1.0,2022-03-02,42611975.0,1184830264.0,27.55,27.95,27.5,27.95,+0.20,12155.0,False,,,
24.0,2022-03-02,42611975.0,1184830264.0,27.55,27.95,27.5,27.95,+0.20,12155.0,False,0.40816326530612257,0.6063805095973205,0.7455962307288896
2.0,2022-03-03,41880993.0,1170909743.0,28.0,28.1,27.8,27.95, 0.00,7981.0,False,,,
25.0,2022-03-03,41880993.0,1170909743.0,28.0,28.1,27.8,27.95, 0.00,7981.0,False,0.40816326530612257,0.5403080948335879,0.6771668520971224
3.0,2022-03-04,56960709.0,1560558841.0,27.6,27.7,27.25,27.35,-0.60,15699.0,False,,,
26.0,2022-03-04,56960709.0,1560558841.0,27.6,27.7,27.25,27.35,-0.60,15699.0,False,0.1632653061224499,0.4146271652632085,0.5896536231524844
4.0,2022-03-07,103281342.0,2705312602.0,26.9,26.9,25.9,26.25,-1.10,34131.0,False,,,
27.0,2022-03-07,103281342.0,2705312602.0,26.9,26.9,25.9,26.25,-1.10,34131.0,False,0.1000000000000004,0.3097514435088058,0.4963528966045915
5.0,2022-03-08,74694575.0,1923145190.0,25.85,26.05,25.6,25.6,-0.65,26895.0,False,,,
28.0,2022-03-08,74694575.0,1923145190.0,25.85,26.05,25.6,25.6,-0.65,26895.0,False,0.0,0.20650096233920384,0.3997355851827956
6.0,2022-03-09,52928940.0,1370884446.0,25.7,26.2,25.7,25.75,+0.15,19065.0,False,,,
29.0,2022-03-09,52928940.0,1370884446.0,25.7,26.2,25.7,25.75,+0.15,19065.0,False,0.03947368421052597,0.15082520296297786,0.31676545777618964
30.0,2022-03-10,42540524.0,1134177655.0,26.35,26.9,26.25,26.8,+1.05,11655.0,False,0.31578947368421056,0.2058132932033888,0.2797814029185893
7.0,2022-03-10,42540524.0,1134177655.0,26.35,26.9,26.25,26.8,+1.05,11655.0,False,,,
8.0,2022-03-11,24513782.0,650939019.0,26.55,26.75,26.4,26.5,-0.30,8915.0,False,0.35999999999999943,0.4533333333333331,0.4844444444444443
31.0,2022-03-11,24513782.0,650939019.0,26.55,26.75,26.4,26.5,-0.30,8915.0,False,0.35999999999999943,0.2572088621355923,0.27225722265759034
32.0,2022-03-14,27309626.0,731084601.0,26.65,26.95,26.5,26.8,+0.30,8374.0,False,0.4799999999999997,0.3314725747570614,0.291995673357414
9.0,2022-03-14,27309626.0,731084601.0,26.65,26.95,26.5,26.8,+0.30,8374.0,False,0.4799999999999997,0.46222222222222203,0.4770370370370369
33.0,2022-03-15,34763568.0,925956661.0,26.65,26.9,26.5,26.6,-0.20,8521.0,False,0.4,0.3543150498380409,0.3127687988509563
10.0,2022-03-15,34763568.0,925956661.0,26.65,26.9,26.5,26.6,-0.20,8521.0,False,0.4,0.4414814814814813,0.465185185185185
34.0,2022-03-16,35953055.0,966010937.0,26.9,27.15,26.7,26.95,+0.35,9446.0,False,0.6428571428571425,0.4504957475110747,0.3586777817376624
11.0,2022-03-16,35953055.0,966010937.0,26.9,27.15,26.7,26.95,+0.35,9446.0,False,0.6428571428571425,0.5086067019400349,0.4796590241034683
35.0,2022-03-17,62511421.0,1727844674.0,27.9,28.15,27.25,27.6,+0.65,15793.0,False,0.7843137254901971,0.5617684068374488,0.4263746567709245
12.0,2022-03-17,62511421.0,1727844674.0,27.9,28.15,27.25,27.6,+0.65,15793.0,False,0.7843137254901971,0.6005090431234222,0.5199423637767863
36.0,2022-03-18,100552292.0,2842679576.0,28.35,28.6,28.0,28.15,+0.55,21477.0,False,0.8499999999999991,0.6578456045582988,0.503531639366716
13.0,2022-03-18,100552292.0,2842679576.0,28.35,28.6,28.0,28.15,+0.55,21477.0,False,0.8499999999999991,0.6836726954156145,0.574519140989729
37.0,2022-03-21,49516986.0,1403804948.0,28.45,28.5,28.1,28.3,+0.15,12861.0,False,0.8965517241379308,0.7374143110848428,0.5814925299394249
14.0,2022-03-21,49516986.0,1403804948.0,28.45,28.5,28.1,28.3,+0.15,12861.0,False,0.8965517241379308,0.7546323716563865,0.6345568845452815
38.0,2022-03-22,39078070.0,1110200046.0,28.35,28.55,28.15,28.55,+0.25,10528.0,False,0.9787234042553188,0.8178506754750015,0.6602785784512837
15.0,2022-03-22,39078070.0,1110200046.0,28.35,28.55,28.15,28.55,+0.25,10528.0,False,0.9787234042553188,0.8293293825226973,0.6994810505377533
16.0,2022-03-23,64389856.0,1866121316.0,28.6,29.2,28.55,29.2,+0.65,19215.0,False,1.0,0.8862195883484647,0.7617272298079905
39.0,2022-03-23,64389856.0,1866121316.0,28.6,29.2,28.55,29.2,+0.65,19215.0,False,1.0,0.8785671169833342,0.7330414246286339
17.0,2022-03-24,35323200.0,1028779692.0,29.1,29.25,28.9,29.15,-0.05,8772.0,False,0.9636363636363632,0.9120251801110976,0.8118265465756928
40.0,2022-03-24,35323200.0,1028779692.0,29.1,29.25,28.9,29.15,-0.05,8772.0,False,0.9636363636363632,0.906923532534344,0.7910021272638705
18.0,2022-03-25,27806516.0,804840775.0,28.95,29.1,28.8,29.0,-0.15,9277.0,False,0.9090909090909092,0.9110470897710344,0.8449000609741399
41.0,2022-03-25,27806516.0,804840775.0,28.95,29.1,28.8,29.0,-0.15,9277.0,False,0.9090909090909092,0.9076459913865322,0.8298834153047577
19.0,2022-03-28,28454325.0,816610712.0,28.75,29.0,28.4,29.0, 0.00,8772.0,False,0.9019607843137256,0.9080183212852648,0.8659394810778482
42.0,2022-03-28,28454325.0,816610712.0,28.75,29.0,28.4,29.0, 0.00,8772.0,False,0.9019607843137256,0.9057509223622632,0.8551725843239262
20.0,2022-03-29,14518021.0,418190116.0,28.95,28.95,28.7,28.8,-0.20,6459.0,False,0.7750000000000004,0.8636788808568433,0.8651859476708466
43.0,2022-03-29,14518021.0,418190116.0,28.95,28.95,28.7,28.8,-0.20,6459.0,False,0.7750000000000004,0.8621672815748422,0.8575041500742314
21.0,2022-03-30,53877960.0,1563676278.0,28.85,29.15,28.75,29.0,+0.20,16013.0,False,0.8,0.8424525872378954,0.8576081608598628
44.0,2022-03-30,53877960.0,1563676278.0,28.85,29.15,28.75,29.0,+0.20,16013.0,False,0.8,0.841444854383228,0.8521510515105636
22.0,2022-03-31,52283566.0,1531802382.0,29.1,29.4,29.1,29.4,+0.40,11463.0,False,1.0,0.8949683914919302,0.8700615710705518
45.0,2022-03-31,52283566.0,1531802382.0,29.1,29.4,29.1,29.4,+0.40,11463.0,False,1.0,0.8942965695888185,0.8661995575366486
46.0,2022-04-01,58811421.0,1746224722.0,29.4,29.85,29.1,29.85,+0.45,16118.0,False,1.0,0.9295310463925456,0.8873100538219476
47.0,2022-04-06,107318527.0,3222378330.0,29.8,30.15,29.7,30.15,+0.30,24031.0,False,1.0,0.9530206975950304,0.9092136017463084
48.0,2022-04-07,124954414.0,3815118007.0,30.15,30.95,30.0,30.35,+0.20,33838.0,False,0.7647058823529421,0.8902490925143343,0.9028920986689836
49.0,2022-04-08,51058572.0,1551399404.0,30.45,30.6,30.1,30.5,+0.15,17125.0,False,0.8235294117647062,0.8680091989311249,0.8912644654230307
50.0,2022-04-11,49998923.0,1529212885.0,30.6,30.85,30.3,30.45,-0.05,14340.0,False,0.8039215686274509,0.8466466554965668,0.8763918621142094
51.0,2022-04-12,54279211.0,1660919379.0,30.5,30.75,30.35,30.7,+0.25,14392.0,False,0.8888888888888888,0.8607273999606742,0.8711703747296976
52.0,2022-04-13,45132455.0,1371580370.0,30.7,30.8,30.2,30.35,-0.35,15642.0,False,0.7272727272727282,0.8162425090646921,0.8528610861746957
53.0,2022-04-14,55672215.0,1652673242.0,30.35,30.35,29.45,29.45,-0.90,22529.0,False,0.18918918918918826,0.6072247357728574,0.7709823027074162
54.0,2022-04-15,37526000.0,1099427974.0,29.1,29.6,28.85,29.35,-0.10,11602.0,False,0.2380952380952384,0.4841815698803177,0.6753820584317166
55.0,2022-04-18,46533339.0,1336736698.0,29.1,29.15,28.35,28.75,-0.60,22652.0,False,0.15384615384615344,0.37406976453559626,0.5749446271330099
56.0,2022-04-19,41114435.0,1189998038.0,28.9,29.2,28.7,28.95,+0.20,14393.0,False,0.2307692307692301,0.32630291994680755,0.4920640580709424
57.0,2022-04-20,42417282.0,1229073608.0,28.95,29.2,28.8,29.2,+0.25,12572.0,False,0.33999999999999914,0.33086861329787143,0.43833224314658537
58.0,2022-04-21,33321632.0,959623402.0,29.0,29.1,28.65,28.75,-0.45,14169.0,False,0.15999999999999942,0.2739124088652474,0.3835256317194728
59.0,2022-04-22,59730172.0,1739768419.0,28.7,29.45,28.5,29.45,+0.70,18141.0,False,0.448979591836734,0.3322681365224096,0.3664397999871184
60.0,2022-04-25,53996980.0,1566909034.0,28.85,29.3,28.7,29.1,-0.35,17869.0,False,0.3061224489795919,0.32355290734147035,0.3521441691052357
61.0,2022-04-26,56100981.0,1656738919.0,29.1,29.7,29.05,29.7,+0.60,14498.0,False,0.6749999999999989,0.4407019382276465,0.3816634254793726
62.0,2022-04-27,57295163.0,1664364353.0,29.15,29.4,28.9,28.9,-0.80,24380.0,False,0.4074074074074059,0.4296037612875663,0.3976435374154371
63.0,2022-04-28,45694877.0,1315842118.0,28.7,29.0,28.5,29.0,+0.10,12583.0,False,0.4814814814814812,0.44689633468553785,0.41406113650547066
64.0,2022-04-29,34381946.0,1001881750.0,29.05,29.3,28.9,29.25,+0.25,7544.0,False,0.6250000000000003,0.506264223123692,0.4447954987115445
65.0,2022-05-03,25226134.0,727915008.0,29.1,29.2,28.75,28.75,-0.50,13198.0,False,0.20833333333333345,0.4069539265269058,0.4321816413166649
66.0,2022-05-04,16777571.0,484727565.0,29.0,29.1,28.75,28.9,+0.15,5955.0,False,0.3333333333333324,0.3824137287957146,0.4155923371430148
67.0,2022-05-05,57284435.0,1621684476.0,29.0,29.1,28.0,28.05,-0.85,21756.0,False,0.029411764705882783,0.2647464074324373,0.3653103605728223
68.0,2022-05-06,61766387.0,1708261894.0,27.4,28.0,27.25,28.0,-0.05,21361.0,False,0.3061224489795919,0.2785384212814888,0.3363863808090445
69.0,2022-05-09,55358178.0,1516517908.0,27.45,27.75,27.15,27.3,-0.70,17116.0,False,0.058823529411765524,0.20530012399158104,0.29269096186989
70.0,2022-05-10,58810745.0,1609685927.0,26.9,27.8,26.8,27.55,+0.25,17961.0,False,0.2884615384615387,0.2330205954815669,0.2728008397404489
71.0,2022-05-11,40401876.0,1094890288.0,27.3,27.4,26.9,27.1,-0.45,15006.0,False,0.12000000000000027,0.19534706365437804,0.2469829143784253
72.0,2022-05-12,63235160.0,1660797767.0,26.55,26.7,25.95,26.05,-1.05,23742.0,False,0.029850746268657125,0.1401816245258044,0.21138248442755164
73.0,2022-05-13,73984492.0,1910359860.0,26.05,26.3,25.55,25.8,-0.25,23100.0,False,0.06849315068493153,0.11628546657884678,0.17968347847798333
74.0,2022-05-16,48920315.0,1257231151.0,25.9,26.3,25.45,25.7,-0.10,14577.0,False,0.06849315068493146,0.10035469461420833,0.15324055052339164
75.0,2022-05-17,49732907.0,1270850877.0,25.7,25.8,25.4,25.5,-0.20,15164.0,False,0.02702702702702739,0.07591213875181467,0.1274644132661993
76.0,2022-05-18,50412582.0,1305977576.0,25.5,26.2,25.45,26.1,+0.60,14416.0,False,0.26923076923077016,0.14035168224479982,0.13176016959239947
77.0,2022-05-19,60798784.0,1540198699.0,25.6,25.6,25.15,25.3,-0.80,15695.0,False,0.056603773584906425,0.11243571269150204,0.12531868395876694
78.0,2022-05-20,46093149.0,1171273650.0,25.3,25.55,25.2,25.45,+0.15,11200.0,False,0.1132075471698115,0.11269299085093852,0.1211101195894908
79.0,2022-05-23,44467966.0,1131951125.0,25.55,25.7,25.2,25.45, 0.00,11088.0,False,0.13333333333333364,0.11957310501173687,0.12059778139690615
80.0,2022-05-24,45339884.0,1160939599.0,25.45,25.9,25.4,25.55,+0.10,10880.0,False,0.2580645161290335,0.1657369087175024,0.13564415717043826
81.0,2022-05-25,49196589.0,1248422337.0,25.75,25.75,25.15,25.35,-0.20,12500.0,False,0.17391304347826306,0.16846228697108928,0.14658353377065525
82.0,2022-05-26,37092830.0,940782482.0,25.45,25.6,25.15,25.3,-0.05,10328.0,False,0.13043478260869726,0.15578645218362527,0.14965117324164526
83.0,2022-05-27,86096091.0,2266651683.0,25.8,26.65,25.65,26.6,+1.30,18908.0,False,0.9666666666666686,0.4260798570113064,0.2417940678315323
84.0,2022-05-30,88093550.0,2366474292.0,26.85,27.1,26.4,27.1,+0.50,19230.0,False,1.0,0.6173865713408708,0.3669915690013118
85.0,2022-05-31,236161970.0,6361128375.0,26.8,27.15,26.3,27.15,+0.05,20428.0,False,1.0,0.7449243808939139,0.4929691729655125
86.0,2022-06-01,38482726.0,1027332186.0,26.9,26.9,26.55,26.55,-0.60,13380.0,False,0.7000000000000011,0.7299495872626096,0.5719626443978781
87.0,2022-06-02,36635226.0,972747486.0,26.4,26.75,26.25,26.6,+0.05,8754.0,False,0.7250000000000014,0.7282997248417402,0.6240750045458321
88.0,2022-06-06,29194751.0,781385223.0,26.55,27.0,26.45,26.85,+0.25,8645.0,False,0.8500000000000014,0.7688664832278272,0.6723388307731638
89.0,2022-06-07,21304529.0,566483337.0,26.6,26.8,26.5,26.55,-0.30,8037.0,False,0.7000000000000011,0.7459109888185518,0.6968628834549597
90.0,2022-06-08,22628493.0,605478662.0,26.7,26.85,26.65,26.75,+0.20,7164.0,False,0.8000000000000007,0.7639406592123681,0.7192221420407625
91.0,2022-06-09,73588446.0,1919257398.0,26.5,26.55,25.85,25.85,-0.90,23610.0,False,0.13333333333333522,0.5537382172526905,0.6640608337780718
92.0,2022-06-10,44983133.0,1161489064.0,25.4,26.1,25.35,26.0,+0.15,11117.0,False,0.3611111111111109,0.4895291818721639,0.6058836164761026
93.0,2022-06-13,51662170.0,1315486176.0,25.45,25.7,25.3,25.55,-0.45,14760.0,False,0.13513513513513528,0.3713978329598209,0.527721688637342
94.0,2022-06-14,49293307.0,1278410216.0,25.6,26.15,25.5,26.0,+0.45,9901.0,False,0.4117647058823527,0.3848534572673316,0.4800989448473385
95.0,2022-06-15,48883434.0,1279350912.0,25.7,26.4,25.7,26.3,+0.30,13757.0,False,0.5882352941176473,0.4526474028841034,0.4709484308595935
96.0,2022-06-16,71511488.0,1913095111.0,26.65,27.0,26.4,26.6,+0.30,16010.0,False,0.7647058823529419,0.5566668960403829,0.4995212525865233
97.0,2022-06-17,59251539.0,1546347740.0,26.15,26.4,25.95,26.0,-0.60,15094.0,False,0.4117647058823527,0.5083661659877061,0.5024695570535842
98.0,2022-06-20,48854374.0,1252458110.0,26.05,26.4,25.15,25.5,-0.50,13125.0,False,0.1891891891891898,0.4019738403882007,0.4689709848317897
99.0,2022-06-21,48373601.0,1273649766.0,26.0,26.5,25.85,26.45,+0.95,11962.0,False,0.7027027027027025,0.5022167944930346,0.480052921385538
100.0,2022-06-22,39278930.0,1023804214.0,26.1,26.45,25.85,26.05,-0.40,10014.0,False,0.4864864864864873,0.4969733584908521,0.4856930670873093
101.0,2022-06-23,37335007.0,971719410.0,26.35,26.4,25.65,26.05, 0.00,9176.0,False,0.4864864864864873,0.4934777344893971,0.4882879562213386
102.0,2022-06-24,26686444.0,701151849.0,26.4,26.4,26.05,26.3,+0.25,7275.0,False,0.6216216216216223,0.5361923635334722,0.5042560919920498
103.0,2022-06-27,25497222.0,671827372.0,26.5,26.5,26.15,26.2,-0.10,9044.0,False,0.5675675675675675,0.5466507648781707,0.5183876496207567
104.0,2022-06-28,26342151.0,679463991.0,26.0,26.15,25.6,25.8,-0.40,10165.0,False,0.35135135135135226,0.4815509603692312,0.5061087532035815
105.0,2022-06-29,40651919.0,1044946158.0,25.55,25.9,25.55,25.8, 0.00,9504.0,False,0.4814814814814826,0.4815278007399816,0.4979151023823815
106.0,2022-06-30,42383136.0,1070370570.0,25.6,25.8,25.1,25.1,-0.70,12021.0,False,0.0,0.32101853382665435,0.4389495795304724
