0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,20301203.0,526194645.0,25.35,26.15,25.35,26.1,+0.40,6532.0,False,,,
23.0,2022-03-01,20301203.0,526194645.0,25.35,26.15,25.35,26.1,+0.40,6532.0,False,0.2307692307692308,0.7057190220750289,0.8633344143770549
1.0,2022-03-02,11798560.0,308249247.0,26.1,26.25,25.9,26.25,+0.15,4338.0,False,,,
24.0,2022-03-02,11798560.0,308249247.0,26.1,26.25,25.9,26.25,+0.15,4338.0,False,0.2769230769230765,0.5627870403577114,0.7631519563706071
2.0,2022-03-03,9122500.0,239069426.0,26.2,26.35,26.1,26.25, 0.00,4243.0,False,,,
25.0,2022-03-03,9122500.0,239069426.0,26.2,26.35,26.1,26.25, 0.00,4243.0,False,0.2769230769230765,0.4674990525461664,0.6646009884291268
3.0,2022-03-04,11398308.0,295211232.0,25.85,26.0,25.6,26.0,-0.25,5320.0,False,,,
26.0,2022-03-04,11398308.0,295211232.0,25.85,26.0,25.6,26.0,-0.25,5320.0,False,0.1999999999999996,0.37833270169744415,0.5691782261852325
4.0,2022-03-07,33537622.0,851412814.0,25.6,25.65,25.2,25.5,-0.50,13502.0,False,,,
27.0,2022-03-07,33537622.0,851412814.0,25.6,25.65,25.2,25.5,-0.50,13502.0,False,0.08823529411764723,0.2816335658375118,0.4733300060693256
5.0,2022-03-08,27977121.0,702457121.0,24.9,25.3,24.9,25.05,-0.45,14259.0,False,,,
28.0,2022-03-08,27977121.0,702457121.0,24.9,25.3,24.9,25.05,-0.45,14259.0,False,0.04054054054054109,0.20126922407185488,0.38264307873683534
6.0,2022-03-09,17789960.0,447964917.0,25.1,25.5,25.1,25.1,+0.05,8178.0,False,,,
29.0,2022-03-09,17789960.0,447964917.0,25.1,25.5,25.1,25.1,+0.05,8178.0,False,0.05405405405405478,0.15219750073258814,0.3058278860687529
30.0,2022-03-10,16037904.0,410198465.0,25.25,25.8,25.25,25.75,+0.65,6953.0,False,0.22972972972972994,0.17804157706496876,0.2632324497341582
7.0,2022-03-10,16037904.0,410198465.0,25.25,25.8,25.25,25.75,+0.65,6953.0,False,,,
8.0,2022-03-11,10292944.0,263212817.0,25.6,25.7,25.5,25.6,-0.15,6905.0,False,0.4827586206896562,0.4942528735632187,0.4980842911877396
31.0,2022-03-11,10292944.0,263212817.0,25.6,25.7,25.5,25.6,-0.15,6905.0,False,0.4827586206896562,0.2796139249398646,0.26869294146939365
32.0,2022-03-14,12593314.0,324888653.0,25.55,25.95,25.5,25.95,+0.35,4064.0,False,0.7241379310344819,0.4277885936380703,0.3217248255256192
9.0,2022-03-14,12593314.0,324888653.0,25.55,25.95,25.5,25.95,+0.35,4064.0,False,0.7241379310344819,0.5708812260536398,0.5223499361430396
33.0,2022-03-15,13712792.0,353945294.0,25.85,25.9,25.7,25.9,-0.05,4776.0,False,0.6896551724137917,0.5150774532299774,0.3861757014270719
10.0,2022-03-15,13712792.0,353945294.0,25.85,25.9,25.7,25.9,-0.05,4776.0,False,0.6896551724137917,0.6104725415070237,0.5517241379310343
34.0,2022-03-16,20448773.0,534382476.0,26.0,26.3,25.9,26.3,+0.40,6113.0,False,1.0,0.6767183021533183,0.4830232350024874
11.0,2022-03-16,20448773.0,534382476.0,26.0,26.3,25.9,26.3,+0.40,6113.0,False,1.0,0.740315027671349,0.6145877678444724
35.0,2022-03-17,24878245.0,660803170.0,26.6,26.85,26.35,26.55,+0.25,7001.0,False,0.8461538461538459,0.7331968168201608,0.5664144289417118
12.0,2022-03-17,24878245.0,660803170.0,26.6,26.85,26.35,26.55,+0.25,7001.0,False,0.8461538461538459,0.7755946338321813,0.6682567231737087
36.0,2022-03-18,40321998.0,1085193526.0,26.65,27.2,26.6,27.0,+0.45,8972.0,False,0.91304347826087,0.7931457039670639,0.6419915206168292
13.0,2022-03-18,40321998.0,1085193526.0,26.65,27.2,26.6,27.0,+0.45,8972.0,False,0.91304347826087,0.8214109153084108,0.7193081205519427
37.0,2022-03-21,14911159.0,403277288.0,27.05,27.2,26.9,27.0, 0.00,5173.0,False,0.9047619047619052,0.8303511042320109,0.7047780484885564
14.0,2022-03-21,14911159.0,403277288.0,27.05,27.2,26.9,27.0, 0.00,5173.0,False,0.9047619047619052,0.8491945784595755,0.7626036065211537
38.0,2022-03-22,16063151.0,433360290.0,26.95,27.2,26.75,27.2,+0.20,4973.0,False,1.0,0.8869007361546739,0.7654856110439289
