0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,484463.0,987662050.0,2020.0,2055.0,2020.0,2050.0,+30.00,1920.0,False,,,
23.0,2022-03-01,484463.0,987662050.0,2020.0,2055.0,2020.0,2050.0,+30.00,1920.0,False,0.9736842105263158,0.4267366274449861,0.2833838847518029
1.0,2022-03-02,447521.0,912683565.0,2045.0,2050.0,2025.0,2045.0,-5.00,1621.0,False,,,
24.0,2022-03-02,447521.0,912683565.0,2045.0,2050.0,2025.0,2045.0,-5.00,1621.0,False,0.9473684210526316,0.6002805586475346,0.3890161093837135
2.0,2022-03-03,343156.0,701260145.0,2050.0,2060.0,2030.0,2040.0,-5.00,1797.0,False,,,
25.0,2022-03-03,343156.0,701260145.0,2050.0,2060.0,2030.0,2040.0,-5.00,1797.0,False,0.8974358974358975,0.6993323382436556,0.4924548523370274
3.0,2022-03-04,294196.0,597664300.0,2030.0,2050.0,2020.0,2025.0,-15.00,2129.0,False,,,
26.0,2022-03-04,294196.0,597664300.0,2030.0,2050.0,2020.0,2025.0,-15.00,2129.0,False,0.8205128205128205,0.7397258323333772,0.5748785123358107
4.0,2022-03-07,897026.0,1776918885.0,2010.0,2010.0,1965.0,1980.0,-45.00,10652.0,False,,,
27.0,2022-03-07,897026.0,1776918885.0,2010.0,2010.0,1965.0,1980.0,-45.00,10652.0,False,0.5897435897435898,0.6897317514701147,0.6131629253805786
5.0,2022-03-08,552473.0,1094082135.0,1970.0,2010.0,1965.0,1985.0,+5.00,4421.0,False,,,
28.0,2022-03-08,552473.0,1094082135.0,1970.0,2010.0,1965.0,1985.0,+5.00,4421.0,False,0.6153846153846154,0.6649493727749483,0.6304250745120351
6.0,2022-03-09,523657.0,1035638460.0,1990.0,2015.0,1960.0,1980.0,-5.00,4167.0,False,,,
29.0,2022-03-09,523657.0,1035638460.0,1990.0,2015.0,1960.0,1980.0,-5.00,4167.0,False,0.5897435897435898,0.6398807784311621,0.6335769758184107
30.0,2022-03-10,305179.0,612473870.0,1995.0,2025.0,1995.0,2005.0,+25.00,1552.0,False,0.6857142857142857,0.6551586141922032,0.6407708552763415
7.0,2022-03-10,305179.0,612473870.0,1995.0,2025.0,1995.0,2005.0,+25.00,1552.0,False,,,
8.0,2022-03-11,253840.0,504782380.0,2005.0,2005.0,1980.0,1985.0,-20.00,2052.0,False,0.25,0.4166666666666666,0.4722222222222222
31.0,2022-03-11,253840.0,504782380.0,2005.0,2005.0,1980.0,1985.0,-20.00,2052.0,False,0.25,0.5201057427948022,0.6005491511158283
32.0,2022-03-14,373790.0,747691855.0,2000.0,2020.0,1980.0,2015.0,+30.00,1797.0,False,0.55,0.5300704951965347,0.5770562658093971
9.0,2022-03-14,373790.0,747691855.0,2000.0,2020.0,1980.0,2015.0,+30.00,1797.0,False,0.55,0.4611111111111111,0.4685185185185185
33.0,2022-03-15,401006.0,789403790.0,1975.0,1980.0,1960.0,1965.0,X0.00,4123.0,False,0.05,0.37004699679768976,0.5080531761388279
10.0,2022-03-15,401006.0,789403790.0,1975.0,1980.0,1960.0,1965.0,X0.00,4123.0,False,0.05,0.324074074074074,0.4203703703703703
34.0,2022-03-16,521976.0,1025286260.0,1980.0,1995.0,1950.0,1950.0,-15.00,4237.0,False,0.0,0.2466979978651265,0.4209347833809275
11.0,2022-03-16,521976.0,1025286260.0,1980.0,1995.0,1950.0,1950.0,-15.00,4237.0,False,0.0,0.2160493827160493,0.35226337448559664
35.0,2022-03-17,591959.0,1169952538.0,1970.0,1995.0,1965.0,1970.0,+20.00,2268.0,False,0.26666666666666666,0.2533542207989732,0.36507459585360935
12.0,2022-03-17,591959.0,1169952538.0,1970.0,1995.0,1965.0,1970.0,+20.00,2268.0,False,0.26666666666666666,0.2329218106995884,0.3124828532235939
36.0,2022-03-18,666912.0,1344063295.0,1985.0,2030.0,1985.0,2025.0,+55.00,1878.0,False,0.9375,0.4814028138659821,0.4038506685244002
13.0,2022-03-18,666912.0,1344063295.0,1985.0,2030.0,1985.0,2025.0,+55.00,1878.0,False,0.9375,0.4677812071330589,0.3642489711934155
37.0,2022-03-21,301137.0,605040465.0,2045.0,2045.0,1995.0,2000.0,-25.00,1521.0,False,0.5263157894736842,0.4963738057352161,0.4346917142613388
14.0,2022-03-21,301137.0,605040465.0,2045.0,2045.0,1995.0,2000.0,-25.00,1521.0,False,0.5263157894736842,0.4872927345799339,0.4052635589889216
38.0,2022-03-22,316202.0,629511915.0,2000.0,2005.0,1985.0,1985.0,-15.00,1790.0,False,0.3684210526315789,0.4537228880340037,0.4410354388522271
15.0,2022-03-22,316202.0,629511915.0,2000.0,2005.0,1985.0,1985.0,-15.00,1790.0,False,0.3684210526315789,0.44766884059714895,0.4193986528583307
16.0,2022-03-23,387522.0,773533125.0,1995.0,2010.0,1980.0,2000.0,+15.00,1391.0,False,0.5263157894736842,0.4738844902226607,0.4375605986464407
39.0,2022-03-23,387522.0,773533125.0,1995.0,2010.0,1980.0,2000.0,+15.00,1391.0,False,0.5263157894736842,0.4779205218472305,0.4533304665172282
17.0,2022-03-24,387626.0,768047785.0,2000.0,2000.0,1970.0,1975.0,-25.00,2998.0,False,0.2631578947368421,0.4036422917273878,0.4262544963400897
40.0,2022-03-24,387626.0,768047785.0,2000.0,2000.0,1970.0,1975.0,-25.00,2998.0,False,0.2631578947368421,0.40633297947710106,0.4376646375038524
18.0,2022-03-25,396782.0,783004495.0,1990.0,1990.0,1965.0,1965.0,-10.00,2401.0,False,0.15789473684210525,0.3217264400989603,0.3914118109263799
41.0,2022-03-25,396782.0,783004495.0,1990.0,1990.0,1965.0,1965.0,-10.00,2401.0,False,0.15789473684210525,0.3235202319321024,0.39961650231326906
19.0,2022-03-28,1163625.0,2225203225.0,1950.0,1955.0,1895.0,1900.0,-65.00,11693.0,False,0.03333333333333333,0.225595404510418,0.3361396754543925
42.0,2022-03-28,1163625.0,2225203225.0,1950.0,1955.0,1895.0,1900.0,-65.00,11693.0,False,0.03333333333333333,0.2267912657325127,0.3420080901196836
20.0,2022-03-29,668853.0,1255090495.0,1915.0,1915.0,1865.0,1865.0,-35.00,10338.0,False,0.0,0.15039693634027862,0.2742254290830212
43.0,2022-03-29,668853.0,1255090495.0,1915.0,1915.0,1865.0,1865.0,-35.00,10338.0,False,0.0,0.15119417715500846,0.2784034524647919
21.0,2022-03-30,732476.0,1381382035.0,1875.0,1910.0,1865.0,1905.0,+40.00,4205.0,False,0.2222222222222222,0.17433869830092644,0.2409298521556563
44.0,2022-03-30,732476.0,1381382035.0,1875.0,1910.0,1865.0,1905.0,+40.00,4205.0,False,0.2222222222222222,0.17487019217741298,0.24389236570233225
22.0,2022-03-31,579830.0,1105715180.0,1920.0,1950.0,1885.0,1885.0,-20.00,3235.0,False,0.1111111111111111,0.15326283590432133,0.2117075134052113
45.0,2022-03-31,579830.0,1105715180.0,1920.0,1950.0,1885.0,1885.0,-20.00,3235.0,False,0.1111111111111111,0.15361716515531235,0.21380063218665896
46.0,2022-04-01,655130.0,1223039475.0,1870.0,1900.0,1850.0,1860.0,-25.00,5341.0,False,0.0625,0.12324477677020824,0.18361534704784205
47.0,2022-04-06,968115.0,1738963575.0,1840.0,1840.0,1775.0,1775.0,-85.00,11207.0,False,0.0,0.08216318451347215,0.14979795953638542
