0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,10467699.0,1164107642.0,111.0,113.5,109.0,111.0,+1.00,6929.0,False,,,
23.0,2022-03-01,10467699.0,1164107642.0,111.0,113.5,109.0,111.0,+1.00,6929.0,False,0.13157894736842105,0.4370941666823088,0.5472713449497808
1.0,2022-03-02,16120011.0,1763428943.0,111.5,114.0,106.5,108.5,-2.50,10753.0,False,,,
24.0,2022-03-02,16120011.0,1763428943.0,111.5,114.0,106.5,108.5,-2.50,10753.0,False,0.09523809523809523,0.3231421428675709,0.4725616109223775
2.0,2022-03-03,14424634.0,1603890278.0,109.0,115.5,107.5,112.0,+3.50,8936.0,False,,,
25.0,2022-03-03,14424634.0,1603890278.0,109.0,115.5,107.5,112.0,+3.50,8936.0,False,0.2619047619047619,0.30272968254663457,0.4159509681304632
3.0,2022-03-04,19572352.0,2236554558.0,111.0,116.5,110.5,113.0,+1.00,12734.0,False,,,
26.0,2022-03-04,19572352.0,2236554558.0,111.0,116.5,110.5,113.0,+1.00,12734.0,False,0.30952380952380953,0.3049943915390262,0.3789654425999841
4.0,2022-03-07,14584225.0,1567680956.0,112.0,112.5,104.5,105.5,-7.50,9646.0,False,,,
27.0,2022-03-07,14584225.0,1567680956.0,112.0,112.5,104.5,105.5,-7.50,9646.0,False,0.043478260869565216,0.2178223479825392,0.32525107772750245
5.0,2022-03-08,23802940.0,2569672149.0,102.5,112.5,102.5,105.5, 0.00,16662.0,False,,,
28.0,2022-03-08,23802940.0,2569672149.0,102.5,112.5,102.5,105.5, 0.00,16662.0,False,0.12,0.1852148986550261,0.27857235137001035
6.0,2022-03-09,30543093.0,3433968762.0,108.5,116.0,107.0,116.0,+10.50,15753.0,False,,,
29.0,2022-03-09,30543093.0,3433968762.0,108.5,116.0,107.0,116.0,+10.50,15753.0,False,0.54,0.30347659910335073,0.2868737672811238
30.0,2022-03-10,48218921.0,5809371493.0,121.5,125.0,117.0,119.5,+3.50,34080.0,False,0.7555555555555555,0.454169584587419,0.3426390397165555
7.0,2022-03-10,48218921.0,5809371493.0,121.5,125.0,117.0,119.5,+3.50,34080.0,False,,,
8.0,2022-03-11,31126162.0,3793347676.0,120.0,124.5,118.5,122.5,+3.00,22020.0,False,0.8888888888888888,0.6296296296296295,0.5432098765432098
31.0,2022-03-11,31126162.0,3793347676.0,120.0,124.5,118.5,122.5,+3.00,22020.0,False,0.8888888888888888,0.5990760193545756,0.4281180329292288
32.0,2022-03-14,20626978.0,2478730645.0,123.5,124.5,116.0,117.0,-5.50,15911.0,False,0.6444444444444445,0.6141988277178652,0.4901449645254409
9.0,2022-03-14,20626978.0,2478730645.0,123.5,124.5,116.0,117.0,-5.50,15911.0,False,0.6444444444444445,0.6345679012345679,0.5736625514403292
33.0,2022-03-15,26475598.0,2925958278.0,115.5,116.0,105.5,106.0,-11.00,15341.0,False,0.15555555555555556,0.4613177369970953,0.48053588868265895
10.0,2022-03-15,26475598.0,2925958278.0,115.5,116.0,105.5,106.0,-11.00,15341.0,False,0.15555555555555556,0.4748971193415638,0.5407407407407407
34.0,2022-03-16,23658706.0,2516222352.0,109.5,109.5,103.5,106.0, 0.00,13947.0,False,0.15555555555555556,0.3593970098499153,0.44015626240507777
11.0,2022-03-16,23658706.0,2516222352.0,109.5,109.5,103.5,106.0, 0.00,13947.0,False,0.15555555555555556,0.3684499314128944,0.4833104709647921
35.0,2022-03-17,18959289.0,2019439891.0,108.0,108.5,105.0,106.5,+0.50,9856.0,False,0.17777777777777778,0.2988572658258695,0.393056596878675
12.0,2022-03-17,18959289.0,2019439891.0,108.0,108.5,105.0,106.5,+0.50,9856.0,False,0.17777777777777778,0.3048925468678555,0.4238378295991465
36.0,2022-03-18,31535800.0,3408661361.0,106.5,112.0,103.0,110.0,+3.50,17127.0,False,0.3333333333333333,0.3103492883283574,0.3654874940285691
13.0,2022-03-18,31535800.0,3408661361.0,106.5,112.0,103.0,110.0,+3.50,17127.0,False,0.3333333333333333,0.3143728090230148,0.38734948940710257
37.0,2022-03-21,40707635.0,4525905503.0,112.0,115.0,106.5,112.5,+2.50,22854.0,False,0.4318181818181818,0.3508389194916321,0.3606046358495901
14.0,2022-03-21,40707635.0,4525905503.0,112.0,115.0,106.5,112.5,+2.50,22854.0,False,0.4318181818181818,0.35352126662140376,0.3760734151452029
38.0,2022-03-22,45070987.0,5248200912.0,114.0,118.0,113.5,118.0,+5.50,26578.0,False,0.6818181818181818,0.4611653402671487,0.394124870655443
15.0,2022-03-22,45070987.0,5248200912.0,114.0,118.0,113.5,118.0,+5.50,26578.0,False,0.6818181818181818,0.4629535716869964,0.4050334673258007
16.0,2022-03-23,37435427.0,4380331773.0,119.5,121.5,114.0,115.0,-3.00,27790.0,False,0.5581395348837209,0.4946822260859046,0.4349163869125021
39.0,2022-03-23,37435427.0,4380331773.0,119.5,121.5,114.0,115.0,-3.00,27790.0,False,0.5581395348837209,0.4934900718060061,0.4272466043722973
17.0,2022-03-24,12732171.0,1434003576.0,114.5,115.5,111.0,111.5,-3.50,8715.0,False,0.3953488372093023,0.4615710964603704,0.4438012900951248
40.0,2022-03-24,12732171.0,1434003576.0,114.5,115.5,111.0,111.5,-3.50,8715.0,False,0.3953488372093023,0.4607763269404381,0.4384231785616776
18.0,2022-03-25,29991067.0,3421257087.0,112.0,117.0,108.5,117.0,+5.50,18303.0,False,0.7567567567567568,0.5599663165591658,0.4825229655831385
41.0,2022-03-25,29991067.0,3421257087.0,112.0,117.0,108.5,117.0,+5.50,18303.0,False,0.7567567567567568,0.5594364702125443,0.4787609424452998
19.0,2022-03-28,24667408.0,2895413388.0,115.0,119.0,114.0,119.0,+2.00,13818.0,False,0.8648648648648649,0.6615991659943988,0.5422150323868921
42.0,2022-03-28,24667408.0,2895413388.0,115.0,119.0,114.0,119.0,+2.00,13818.0,False,0.8648648648648649,0.6612459350966511,0.5395892733290835
20.0,2022-03-29,20075014.0,2376783718.0,121.0,121.5,116.0,116.5,-2.50,11271.0,False,0.7297297297297297,0.6843093539061758,0.5895798062266532
43.0,2022-03-29,20075014.0,2376783718.0,121.0,121.5,116.0,116.5,-2.50,11271.0,False,0.7297297297297297,0.6840738666410106,0.5877508044330592
21.0,2022-03-30,63066384.0,7673943614.0,119.0,127.5,117.0,117.0,+0.50,37089.0,False,0.5714285714285714,0.6466824264136409,0.6086140129556491
44.0,2022-03-30,63066384.0,7673943614.0,119.0,127.5,117.0,117.0,+0.50,37089.0,False,0.5714285714285714,0.6465254349035308,0.6073423479232163
