0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,115160.0,5375332.0,46.4,46.85,46.35,46.65,+0.45,99.0,False,,,
23.0,2022-03-01,115160.0,5375332.0,46.4,46.85,46.35,46.65,+0.45,99.0,False,0.8181818181818158,0.7719802777544855,0.7372394889445285
1.0,2022-03-02,68116.0,3172433.0,46.65,46.8,46.3,46.75,+0.10,64.0,False,,,
24.0,2022-03-02,68116.0,3172433.0,46.65,46.8,46.3,46.75,+0.10,64.0,False,0.9090909090909081,0.817683821533293,0.7640542664741166
2.0,2022-03-03,132536.0,6217395.0,46.75,47.05,46.75,46.75, 0.00,91.0,False,,,
25.0,2022-03-03,132536.0,6217395.0,46.75,47.05,46.75,46.75, 0.00,91.0,False,0.7692307692307709,0.8015328040991189,0.7765471123491172
3.0,2022-03-04,43895.0,2031139.0,46.2,46.55,46.15,46.2,-0.55,274.0,False,,,
26.0,2022-03-04,43895.0,2031139.0,46.2,46.55,46.15,46.2,-0.55,274.0,False,0.3461538461538491,0.6497398181173621,0.7342780142718655
4.0,2022-03-07,168901.0,7632897.0,45.45,45.5,45.0,45.15,-1.05,262.0,False,,,
27.0,2022-03-07,168901.0,7632897.0,45.45,45.5,45.0,45.15,-1.05,262.0,False,0.07317073170731649,0.4575501226473469,0.6420353837303592
5.0,2022-03-08,173605.0,7757896.0,44.7,45.25,44.4,44.4,-0.75,174.0,False,,,
28.0,2022-03-08,173605.0,7757896.0,44.7,45.25,44.4,44.4,-0.75,174.0,False,0.0,0.30503341509823123,0.5297013941863165
6.0,2022-03-09,108159.0,4857886.0,44.5,45.15,44.5,45.0,+0.60,619.0,False,,,
29.0,2022-03-09,108159.0,4857886.0,44.5,45.15,44.5,45.0,+0.60,619.0,False,0.2264150943396233,0.2788273081786952,0.44607669885044265
30.0,2022-03-10,85192.0,3889398.0,45.25,46.0,45.25,45.5,+0.50,89.0,False,0.4150943396226423,0.3242496519933442,0.4054676832314098
7.0,2022-03-10,85192.0,3889398.0,45.25,46.0,45.25,45.5,+0.50,89.0,False,,,
8.0,2022-03-11,52595.0,2391241.0,45.5,45.8,45.2,45.5, 0.00,42.0,False,0.4150943396226423,0.4716981132075474,0.4905660377358491
31.0,2022-03-11,52595.0,2391241.0,45.5,45.8,45.2,45.5, 0.00,42.0,False,0.4150943396226423,0.35453121453644354,0.3884888603330877
32.0,2022-03-14,156980.0,7227654.0,46.35,46.35,45.85,46.0,+0.50,181.0,False,0.6037735849056612,0.4376120046595161,0.4048632417752305
9.0,2022-03-14,156980.0,7227654.0,46.35,46.35,45.85,46.0,+0.50,181.0,False,0.6037735849056612,0.515723270440252,0.4989517819706501
33.0,2022-03-15,144076.0,6573217.0,46.0,46.0,45.35,45.6,-0.40,182.0,False,0.4528301886792466,0.4426847326660929,0.4174704054055179
10.0,2022-03-15,144076.0,6573217.0,46.0,46.0,45.35,45.6,-0.40,182.0,False,0.4528301886792466,0.4947589098532502,0.4975541579315168
34.0,2022-03-16,94896.0,4328512.0,45.8,46.0,45.4,45.8,+0.20,208.0,False,0.6511627906976742,0.5121774186766199,0.4490394098292186
11.0,2022-03-16,94896.0,4328512.0,45.8,46.0,45.4,45.8,+0.20,208.0,False,0.6511627906976742,0.5468935368013915,0.5140006175548083
