0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,139482.0,4383936.0,31.2,31.7,30.65,31.6,0.85,135.0,False,,,
23.0,2022-03-01,139482.0,4383936.0,31.2,31.7,30.65,31.6,0.85,135.0,False,0.2533333333333341,0.40062616601346734,0.5227009601092648
1.0,2022-03-02,222242.0,7132898.0,31.5,32.9,30.95,32.6,1.0,169.0,False,,,
24.0,2022-03-02,222242.0,7132898.0,31.5,32.9,30.95,32.6,1.0,169.0,False,0.5200000000000008,0.4404174440089784,0.4952731214091694
2.0,2022-03-03,173413.0,5617475.0,32.15,33.1,31.9,32.0,-0.6,146.0,False,,,
25.0,2022-03-03,173413.0,5617475.0,32.15,33.1,31.9,32.0,-0.6,146.0,False,0.3600000000000004,0.4136116293393191,0.4680526240525526
3.0,2022-03-04,122800.0,3884949.0,31.0,32.0,31.0,31.45,-0.55,107.0,False,,,
26.0,2022-03-04,122800.0,3884949.0,31.0,32.0,31.0,31.45,-0.55,107.0,False,0.2133333333333335,0.34685219733732386,0.42765248181414295
4.0,2022-03-07,398695.0,12752463.0,32.9,32.9,31.6,31.65,0.2,312.0,False,,,
27.0,2022-03-07,398695.0,12752463.0,32.9,32.9,31.6,31.65,0.2,312.0,False,0.2816901408450701,0.325131511839906,0.3934788251560639
5.0,2022-03-08,489436.0,14702941.0,31.45,31.45,29.55,29.65,-2.0,409.0,False,,,
28.0,2022-03-08,489436.0,14702941.0,31.45,31.45,29.55,29.65,-2.0,409.0,False,0.021505376344085555,0.22392280000796586,0.33696015010669783
6.0,2022-03-09,97202.0,2938383.0,30.6,30.6,29.9,30.15,0.5,100.0,False,,,
29.0,2022-03-09,97202.0,2938383.0,30.6,30.6,29.9,30.15,0.5,100.0,False,0.1290322580645156,0.19229261936014908,0.2887376398578482
30.0,2022-03-10,221741.0,7002279.0,30.8,32.05,30.8,31.8,1.65,188.0,False,0.6250000000000003,0.33652841290676616,0.30466789754082085
7.0,2022-03-10,221741.0,7002279.0,30.8,32.05,30.8,31.8,1.65,188.0,False,,,
8.0,2022-03-11,176234.0,5580409.0,31.8,31.95,31.3,31.95,0.15,126.0,False,0.6760563380281684,0.5586854460093895,0.5195618153364632
31.0,2022-03-11,176234.0,5580409.0,31.8,31.95,31.3,31.95,0.15,126.0,False,0.6760563380281684,0.4497043879472336,0.3530133943429584
32.0,2022-03-14,106711.0,3376883.0,32.3,32.3,31.2,31.3,-0.65,102.0,False,0.4929577464788731,0.4641221741244467,0.3900496542701212
9.0,2022-03-14,106711.0,3376883.0,32.3,32.3,31.2,31.3,-0.65,102.0,False,0.4929577464788731,0.5367762128325507,0.525299947835159
33.0,2022-03-15,132606.0,4033477.0,31.3,31.6,30.1,30.3,-1.0,126.0,False,0.2112676056338028,0.3798373179608987,0.3866455421670469
10.0,2022-03-15,132606.0,4033477.0,31.3,31.6,30.1,30.3,-1.0,126.0,False,0.2112676056338028,0.42827334376630144,0.4929577464788731
34.0,2022-03-16,173945.0,5235174.0,30.4,30.5,29.8,30.0,-0.3,127.0,False,0.13432835820895508,0.2980009980435841,0.3570973607925593
11.0,2022-03-16,173945.0,5235174.0,30.4,30.5,29.8,30.0,-0.3,127.0,False,0.13432835820895508,0.33029168191385266,0.4387357249571996
