0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1252688.0,38708000.0,30.7,31.1,30.6,30.95,+0.45,739.0,False,,,
23.0,2022-03-01,1252688.0,38708000.0,30.7,31.1,30.6,30.95,+0.45,739.0,False,0.1272727272727265,0.30081632794641433,0.4803616109081408
1.0,2022-03-02,1290508.0,39974473.0,31.0,31.5,30.65,31.05,+0.10,714.0,False,,,
24.0,2022-03-02,1290508.0,39974473.0,31.0,31.5,30.65,31.05,+0.10,714.0,False,0.1636363636363634,0.25508967317639736,0.4052709649975596
2.0,2022-03-03,1029592.0,31895207.0,31.3,31.4,30.7,30.9,-0.15,603.0,False,,,
25.0,2022-03-03,1029592.0,31895207.0,31.3,31.4,30.7,30.9,-0.15,603.0,False,0.10909090909090806,0.20642341848123424,0.3389884494921178
3.0,2022-03-04,686270.0,21041753.0,30.5,30.9,30.45,30.6,-0.30,472.0,False,,,
26.0,2022-03-04,686270.0,21041753.0,30.5,30.9,30.45,30.6,-0.30,472.0,False,0.05172413793103518,0.15485699163116787,0.2776112968718012
4.0,2022-03-07,2099446.0,61482074.0,30.1,30.1,28.95,29.05,-1.55,1236.0,False,,,
27.0,2022-03-07,2099446.0,61482074.0,30.1,30.1,28.95,29.05,-1.55,1236.0,False,0.02816901408450744,0.11262766578228105,0.22261675317529445
5.0,2022-03-08,1881840.0,53768273.0,28.5,29.4,28.0,28.05,-1.00,987.0,False,,,
28.0,2022-03-08,1881840.0,53768273.0,28.5,29.4,28.0,28.05,-1.00,987.0,False,0.011494252873563378,0.07891652814604183,0.17471667816554354
6.0,2022-03-09,3345687.0,94521140.0,28.25,28.7,27.8,28.6,+0.55,1365.0,False,,,
29.0,2022-03-09,3345687.0,94521140.0,28.25,28.7,27.8,28.6,+0.55,1365.0,False,0.1860465116279071,0.11462652263999693,0.15468662632369468
30.0,2022-03-10,1965028.0,58454677.0,29.2,30.2,29.15,29.8,+1.20,1194.0,False,0.4878048780487808,0.23901930777625816,0.18279752014121586
7.0,2022-03-10,1965028.0,58454677.0,29.2,30.2,29.15,29.8,+1.20,1194.0,False,,,
8.0,2022-03-11,1783165.0,53886615.0,29.7,30.6,29.7,30.25,+0.45,1288.0,False,0.6621621621621621,0.554054054054054,0.518018018018018
31.0,2022-03-11,1783165.0,53886615.0,29.7,30.6,29.7,30.25,+0.45,1288.0,False,0.6621621621621621,0.3800669259048928,0.2485539887291081
32.0,2022-03-14,910843.0,27666783.0,30.3,30.6,30.05,30.4,+0.15,552.0,False,0.7027027027027023,0.4876121848374959,0.3282400540985707
9.0,2022-03-14,910843.0,27666783.0,30.3,30.6,30.05,30.4,+0.15,552.0,False,0.7027027027027023,0.6036036036036033,0.5465465465465464
33.0,2022-03-15,1064859.0,32192610.0,30.6,30.6,30.0,30.1,-0.30,718.0,False,0.6388888888888895,0.5380377528546271,0.3981726203505895
10.0,2022-03-15,1064859.0,32192610.0,30.6,30.6,30.0,30.1,-0.30,718.0,False,0.6388888888888895,0.6153653653653653,0.569486152819486
34.0,2022-03-16,2414651.0,73862157.0,30.6,31.1,30.25,30.8,+0.70,1361.0,False,0.9090909090909092,0.6617221382667211,0.4860224596559666
11.0,2022-03-16,2414651.0,73862157.0,30.6,31.1,30.25,30.8,+0.70,1361.0,False,0.9090909090909092,0.7132738799405465,0.6174153951931728
35.0,2022-03-17,1601619.0,49730793.0,31.2,31.25,30.85,30.9,+0.10,875.0,False,0.8985507246376807,0.7406650003903742,0.5709033065674358
12.0,2022-03-17,1601619.0,49730793.0,31.2,31.25,30.85,30.9,+0.10,875.0,False,0.8985507246376807,0.7750328281729245,0.6699545395197566
36.0,2022-03-18,5636800.0,178409705.0,31.0,32.0,30.4,32.0,+1.10,2443.0,False,1.0,0.8271100002602494,0.6563055377983736
13.0,2022-03-18,5636800.0,178409705.0,31.0,32.0,30.4,32.0,+1.10,2443.0,False,1.0,0.8500218854486163,0.7299769881627098
37.0,2022-03-21,3086780.0,98872086.0,31.95,32.5,31.6,31.8,-0.20,1352.0,False,0.8510638297872342,0.8350946101025776,0.7159018952331082
14.0,2022-03-21,3086780.0,98872086.0,31.95,32.5,31.6,31.8,-0.20,1352.0,False,0.8510638297872342,0.8503692002281555,0.7701077255178583
38.0,2022-03-22,2183972.0,69803992.0,31.8,32.25,31.6,32.2,+0.40,1073.0,False,0.9104477611940308,0.8602123271330621,0.7640053725330928
15.0,2022-03-22,2183972.0,69803992.0,31.8,32.25,31.6,32.2,+0.40,1073.0,False,0.9104477611940308,0.8703953872167806,0.8035369460841657
16.0,2022-03-23,2851086.0,91519763.0,32.4,32.4,31.7,31.7,-0.50,1392.0,False,0.7142857142857141,0.8183588295730917,0.8084775739138077
39.0,2022-03-23,2851086.0,91519763.0,32.4,32.4,31.7,31.7,-0.50,1392.0,False,0.7142857142857141,0.8115701228506126,0.7798602893055993
17.0,2022-03-24,2505559.0,80431864.0,32.05,32.3,31.75,32.05,+0.35,1255.0,False,0.8199999999999988,0.8189058863820606,0.8119536780698919
40.0,2022-03-24,2505559.0,80431864.0,32.05,32.3,31.75,32.05,+0.35,1255.0,False,0.8199999999999988,0.8143800819004079,0.7913668868372021
18.0,2022-03-25,8065947.0,264916382.0,32.3,33.35,32.25,32.5,+0.45,4038.0,False,0.7462686567164176,0.7946934764935129,0.8062002775444321
41.0,2022-03-25,8065947.0,264916382.0,32.3,33.35,32.25,32.5,+0.45,4038.0,False,0.7462686567164176,0.7916762735057444,0.7914700157267162
19.0,2022-03-28,1687089.0,53766111.0,32.5,32.5,31.65,31.8,-0.70,1140.0,False,0.5,0.6964623176623418,0.7696209575837353
42.0,2022-03-28,1687089.0,53766111.0,32.5,32.5,31.65,31.8,-0.70,1140.0,False,0.5,0.6944508490038296,0.759130293485754
20.0,2022-03-29,1059668.0,33622588.0,32.05,32.35,31.5,31.6,-0.20,741.0,False,0.4067796610169497,0.5999014321138778,0.7130477824271161
43.0,2022-03-29,1059668.0,33622588.0,32.05,32.35,31.5,31.6,-0.20,741.0,False,0.4067796610169497,0.5985604530082029,0.7056070133265702
21.0,2022-03-30,1153996.0,36615894.0,32.05,32.1,31.5,31.8,+0.20,586.0,False,0.474576271186441,0.5581263784713988,0.6614073144418771
44.0,2022-03-30,1153996.0,36615894.0,32.05,32.1,31.5,31.8,+0.20,586.0,False,0.474576271186441,0.5572323924009489,0.6561488063513631
22.0,2022-03-31,1200681.0,37704891.0,31.9,31.9,31.2,31.3,-0.50,662.0,False,0.04651162790697736,0.3875881282832583,0.5701342523890041
45.0,2022-03-31,1200681.0,37704891.0,31.9,31.9,31.2,31.3,-0.50,662.0,False,0.04651162790697736,0.386992137569625,0.5664299167574504
46.0,2022-04-01,866373.0,27217254.0,31.2,31.75,31.0,31.4,+0.10,508.0,False,0.1702127659574461,0.31473234703223196,0.4825307268490442
47.0,2022-04-06,1029661.0,32361378.0,31.45,31.85,31.25,31.4, 0.00,580.0,False,0.1702127659574461,0.2665591533406367,0.4105402023462417
48.0,2022-04-07,1766917.0,54766698.0,31.5,31.65,30.5,30.55,-0.85,1020.0,False,0.01754385964912305,0.18355405544346545,0.3348781533786496
49.0,2022-04-08,878012.0,27014559.0,30.8,31.0,30.55,30.8,+0.25,584.0,False,0.10526315789473704,0.15745708959388932,0.27573779878372945
50.0,2022-04-11,1725117.0,51945557.0,31.15,31.35,29.7,29.7,-1.10,1041.0,False,0.0,0.10497139306259287,0.21881566354335047
51.0,2022-04-12,1259133.0,37463033.0,29.65,30.4,29.2,29.65,-0.05,782.0,False,0.14285714285714254,0.11759997632744275,0.185077101138048
52.0,2022-04-13,791752.0,23553738.0,30.1,30.1,29.55,29.9,+0.25,518.0,False,0.24137931034482715,0.15885975433323754,0.1763379855364445
53.0,2022-04-14,1001612.0,29911334.0,30.15,30.15,29.65,29.75,-0.15,659.0,False,0.20370370370370405,0.17380773745672634,0.17549456950987175
54.0,2022-04-15,1740024.0,50489038.0,29.75,29.75,28.75,28.85,-0.90,976.0,False,0.032258064516129475,0.12662451314319406,0.1592045507209792
55.0,2022-04-18,767329.0,22178346.0,28.5,29.2,28.35,29.1,+0.25,502.0,False,0.21428571428571427,0.15584491352403412,0.15808467165533086
56.0,2022-04-19,788831.0,23468105.0,29.5,29.95,29.5,29.75,+0.65,587.0,False,0.4242424242424242,0.2453107504301641,0.18716003124694192
57.0,2022-04-20,1923043.0,58503582.0,30.3,30.75,29.95,30.35,+0.60,1187.0,False,0.6666666666666666,0.3857627225089983,0.25336092833429397
58.0,2022-04-21,1756188.0,54166384.0,30.65,31.1,30.55,30.55,+0.20,940.0,False,0.7333333333333331,0.5016195927837765,0.33611381648412153
59.0,2022-04-22,1022412.0,30854525.0,30.25,30.5,30.0,30.1,-0.45,581.0,False,0.6363636363636364,0.5465342739770631,0.4062539689817687
60.0,2022-04-25,1739248.0,49914333.0,29.2,29.3,28.4,28.6,-1.50,1039.0,False,0.09090909090909093,0.3946592129544057,0.4023890503059809
61.0,2022-04-26,784427.0,22601350.0,28.75,29.2,28.4,29.1,+0.50,545.0,False,0.2727272727272727,0.35401523287869463,0.3862644444968855
62.0,2022-04-27,1345426.0,37749397.0,28.35,28.4,27.7,28.3,-0.80,777.0,False,0.17647058823529446,0.2948336846642279,0.3557875245526663
63.0,2022-04-28,770650.0,21932944.0,28.2,28.8,28.0,28.55,+0.25,488.0,False,0.2500000000000003,0.2798891231094853,0.33048805740493925
64.0,2022-04-29,599448.0,17405955.0,29.0,29.25,28.7,28.9,+0.35,394.0,False,0.3529411764705878,0.3042398075631861,0.32173864079102155
65.0,2022-05-03,687086.0,19959721.0,29.05,29.35,28.85,29.1,+0.20,361.0,False,0.4117647058823533,0.3400814403362419,0.3278529073060949
66.0,2022-05-04,395059.0,11556462.0,29.4,29.4,29.1,29.3,+0.20,311.0,False,0.4705882352941178,0.3835837053222005,0.3464298399781301
67.0,2022-05-05,850248.0,24915842.0,29.5,29.65,28.9,29.05,-0.25,508.0,False,0.4821428571428576,0.4164367559290861,0.3697654786284488
68.0,2022-05-06,588767.0,16646096.0,28.35,28.4,28.15,28.25,-0.80,416.0,False,0.2820512820512825,0.3716415979698182,0.37039085174223857
69.0,2022-05-09,1524315.0,41532461.0,27.8,27.9,26.9,26.9,-1.35,899.0,False,0.0,0.2477610653132121,0.3295142562658964
70.0,2022-05-10,739432.0,19657494.0,26.1,27.05,26.1,27.0,+0.10,481.0,False,0.2535211267605632,0.2496810857956625,0.3029031994424851
