0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,997688.0,462286731.0,456.5,468.5,456.5,461.0,+6.00,1111.0,False,,,
23.0,2022-03-01,997688.0,462286731.0,456.5,468.5,456.5,461.0,+6.00,1111.0,False,0.8453608247422679,0.7832989660028734,0.7256199370053779
1.0,2022-03-02,997759.0,454087195.0,460.0,461.0,450.0,459.0,-2.00,1086.0,False,,,
24.0,2022-03-02,997759.0,454087195.0,460.0,461.0,450.0,459.0,-2.00,1086.0,False,0.8041237113402062,0.7902405477819843,0.7471601405975801
2.0,2022-03-03,804042.0,368087192.0,463.5,467.5,454.5,455.0,-4.00,863.0,False,,,
25.0,2022-03-03,804042.0,368087192.0,463.5,467.5,454.5,455.0,-4.00,863.0,False,0.7216494845360825,0.7673768600333504,0.7538990470761702
3.0,2022-03-04,1102230.0,491255050.0,451.0,452.5,442.0,442.5,-12.50,1564.0,False,,,
26.0,2022-03-04,1102230.0,491255050.0,451.0,452.5,442.0,442.5,-12.50,1564.0,False,0.4639175257731959,0.6662237486132988,0.7246739475885463
4.0,2022-03-07,2046139.0,876528298.0,436.5,436.5,417.0,431.0,-11.50,2287.0,False,,,
27.0,2022-03-07,2046139.0,876528298.0,436.5,436.5,417.0,431.0,-11.50,2287.0,False,0.27184466019417475,0.5347640524735908,0.6613706492168945
5.0,2022-03-08,1948771.0,825640141.0,422.5,435.5,416.0,416.0,-15.00,2281.0,False,,,
28.0,2022-03-08,1948771.0,825640141.0,422.5,435.5,416.0,416.0,-15.00,2281.0,False,0.0,0.3565093683157272,0.5597502222498387
6.0,2022-03-09,1017671.0,429350280.0,425.5,427.0,417.5,421.5,+5.50,1123.0,False,,,
29.0,2022-03-09,1017671.0,429350280.0,425.5,427.0,417.5,421.5,+5.50,1123.0,False,0.10476190476190476,0.2725935471311197,0.46403133054359896
30.0,2022-03-10,914411.0,398059726.0,432.5,439.5,432.0,439.0,+17.50,1039.0,False,0.4380952380952381,0.3277607774524925,0.4186078128465635
7.0,2022-03-10,914411.0,398059726.0,432.5,439.5,432.0,439.0,+17.50,1039.0,False,,,
8.0,2022-03-11,1192880.0,509605453.0,434.5,435.0,423.0,425.0,-14.00,1400.0,False,0.17142857142857146,0.3904761904761905,0.4634920634920634
31.0,2022-03-11,1192880.0,509605453.0,434.5,435.0,423.0,425.0,-14.00,1400.0,False,0.17142857142857146,0.2756500421111855,0.3709552226014375
32.0,2022-03-14,920826.0,391308362.0,427.0,431.5,420.5,422.5,-2.50,942.0,False,0.1262135922330097,0.2258378921517936,0.3225827791182229
9.0,2022-03-14,920826.0,391308362.0,427.0,431.5,420.5,422.5,-2.50,942.0,False,0.1262135922330097,0.3023886577284635,0.4097909282375301
