0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,39030.0,2888093.0,74.0,74.5,73.7,74.2,+0.30,48.0,False,,,
23.0,2022-03-01,39030.0,2888093.0,74.0,74.5,73.7,74.2,+0.30,48.0,False,0.15624999999999986,0.4696614998517615,0.5386801763416086
1.0,2022-03-02,45139.0,3339638.0,74.3,74.4,73.6,74.4,+0.20,47.0,False,,,
24.0,2022-03-02,45139.0,3339638.0,74.3,74.4,73.6,74.4,+0.20,47.0,False,0.24242424242424504,0.39391574737592266,0.4904253666863799
2.0,2022-03-03,25561.0,1894754.0,74.0,74.5,73.9,74.4, 0.00,28.0,False,,,
25.0,2022-03-03,25561.0,1894754.0,74.0,74.5,73.9,74.4, 0.00,28.0,False,0.24242424242424504,0.3434185790586968,0.4414231041438188
3.0,2022-03-04,28308.0,2102177.0,74.0,74.5,74.0,74.2,-0.20,93.0,False,,,
26.0,2022-03-04,28308.0,2102177.0,74.0,74.5,74.0,74.2,-0.20,93.0,False,0.18181818181818374,0.28955177997852577,0.3907993294220544
4.0,2022-03-07,126720.0,9285141.0,73.3,74.1,72.8,73.0,-1.20,246.0,False,,,
27.0,2022-03-07,126720.0,9285141.0,73.3,74.1,72.8,73.0,-1.20,246.0,False,0.05405405405405478,0.21105253800370208,0.33088373228260365
5.0,2022-03-08,104744.0,7733714.0,72.3,76.7,72.3,73.1,+0.10,310.0,False,,,
28.0,2022-03-08,104744.0,7733714.0,72.3,76.7,72.3,73.1,+0.10,310.0,False,0.18181818181818094,0.20130775260852835,0.28769173905791184
6.0,2022-03-09,122175.0,9163133.0,75.9,75.9,74.5,75.0,+1.90,102.0,False,,,
29.0,2022-03-09,122175.0,9163133.0,75.9,75.9,74.5,75.0,+1.90,102.0,False,0.6136363636363635,0.3387506229511401,0.3047113670223212
30.0,2022-03-10,171048.0,13035409.0,76.0,76.8,75.7,76.4,+1.40,183.0,False,0.911111111111113,0.5295374523377977,0.3796533954608133
7.0,2022-03-10,171048.0,13035409.0,76.0,76.8,75.7,76.4,+1.40,183.0,False,,,
8.0,2022-03-11,285422.0,21963837.0,76.4,77.3,76.2,76.9,+0.50,377.0,False,0.9200000000000016,0.6400000000000006,0.5466666666666669
31.0,2022-03-11,285422.0,21963837.0,76.4,77.3,76.2,76.9,+0.50,377.0,False,0.9200000000000016,0.6596916348918657,0.4729994752711641
32.0,2022-03-14,146717.0,11338874.0,76.9,79.0,76.8,76.9, 0.00,113.0,False,0.6865671641791055,0.6686501446542789,0.5382163650655356
9.0,2022-03-14,146717.0,11338874.0,76.9,79.0,76.8,76.9, 0.00,113.0,False,0.6865671641791055,0.6555223880597022,0.5829519071310121
33.0,2022-03-15,115355.0,8774837.0,76.5,76.5,75.8,76.0,-0.90,83.0,False,0.5522388059701494,0.6298463650929024,0.5687596984079911
10.0,2022-03-15,115355.0,8774837.0,76.5,76.5,75.8,76.0,-0.90,83.0,False,0.5522388059701494,0.6210945273631846,0.5956661138750695
