0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1400831.0,118388044.0,84.2,85.8,82.4,85.7,1.3,1201.0,False,,,
23.0,2022-03-01,1400831.0,118388044.0,84.2,85.8,82.4,85.7,1.3,1201.0,False,0.9902912621359228,0.6069034129869688,0.5000561506035837
1.0,2022-03-02,909398.0,76452219.0,84.0,85.1,82.9,84.5,-1.2,1142.0,False,,,
24.0,2022-03-02,909398.0,76452219.0,84.0,85.1,82.9,84.5,-1.2,1142.0,False,0.8737864077669906,0.6958644112469761,0.5653255708180478
2.0,2022-03-03,2840916.0,249876794.0,85.5,90.5,85.1,87.6,3.1,2719.0,False,,,
25.0,2022-03-03,2840916.0,249876794.0,85.5,90.5,85.1,87.6,3.1,2719.0,False,0.8066666666666663,0.7327984963868728,0.6211498793409894
3.0,2022-03-04,1251522.0,107165211.0,85.7,86.6,84.2,84.2,-3.4,1306.0,False,,,
26.0,2022-03-04,1251522.0,107165211.0,85.7,86.6,84.2,84.2,-3.4,1306.0,False,0.5800000000000002,0.6818656642579152,0.6413884743132979
4.0,2022-03-07,1899550.0,151208764.0,82.5,82.5,78.2,78.4,-5.8,1552.0,False,,,
27.0,2022-03-07,1899550.0,151208764.0,82.5,82.5,78.2,78.4,-5.8,1552.0,False,0.19333333333333366,0.5190215539497213,0.6005995008587725
5.0,2022-03-08,1741944.0,137161311.0,77.0,80.6,76.5,77.3,-1.1,1347.0,False,,,
28.0,2022-03-08,1741944.0,137161311.0,77.0,80.6,76.5,77.3,-1.1,1347.0,False,0.05714285714285694,0.3650619883474331,0.522086996688326
6.0,2022-03-09,685560.0,53745199.0,78.6,79.3,77.5,77.9,0.6,599.0,False,,,
29.0,2022-03-09,685560.0,53745199.0,78.6,79.3,77.5,77.9,0.6,599.0,False,0.1000000000000004,0.27670799223162224,0.4402939952027581
30.0,2022-03-10,1059673.0,85108288.0,79.3,81.0,79.3,80.4,2.5,882.0,False,0.27857142857142897,0.2773291376782245,0.3859723760279135
7.0,2022-03-10,1059673.0,85108288.0,79.3,81.0,79.3,80.4,2.5,882.0,False,,,
8.0,2022-03-11,484799.0,38502494.0,79.3,80.4,78.6,79.1,-1.3,404.0,False,0.1857142857142853,0.3952380952380951,0.465079365079365
31.0,2022-03-11,484799.0,38502494.0,79.3,80.4,78.6,79.1,-1.3,404.0,False,0.1857142857142853,0.24679085369024475,0.3395785352486906
32.0,2022-03-14,551908.0,43658249.0,79.6,80.7,78.3,79.0,-0.1,449.0,False,0.17857142857142858,0.22405104531730605,0.301069371938229
9.0,2022-03-14,551908.0,43658249.0,79.6,80.7,78.3,79.0,-0.1,449.0,False,0.17857142857142858,0.3230158730158729,0.4177248677248676
33.0,2022-03-15,916401.0,70074964.0,79.0,79.0,75.9,76.0,-3.0,772.0,False,0.006849315068492764,0.1516504685677016,0.2512630708147199
10.0,2022-03-15,916401.0,70074964.0,79.0,79.0,75.9,76.0,-3.0,772.0,False,0.006849315068492764,0.21762702036674614,0.35102558527216043
34.0,2022-03-16,701002.0,54019465.0,77.0,78.3,76.2,76.9,0.9,591.0,False,0.09345794392523374,0.13225296035354564,0.21159303399432847
11.0,2022-03-16,701002.0,54019465.0,77.0,78.3,76.2,76.9,0.9,591.0,False,0.09345794392523374,0.17623732821957533,0.29276283292129873
35.0,2022-03-17,1208098.0,95992612.0,78.5,80.3,78.0,79.9,3.0,965.0,False,0.6060606060606066,0.2901888422558993,0.2377916367481854
12.0,2022-03-17,1208098.0,95992612.0,78.5,80.3,78.0,79.9,3.0,965.0,False,0.6060606060606066,0.3195117541665857,0.30167914000306106
36.0,2022-03-18,637382.0,50683980.0,80.0,80.3,78.7,80.0,0.1,592.0,False,0.8039215686274508,0.4614330843797498,0.31233878595870684
13.0,2022-03-18,637382.0,50683980.0,80.0,80.3,78.7,80.0,0.1,592.0,False,0.8039215686274508,0.4809816923202074,0.3614466574421098
37.0,2022-03-21,877219.0,70312556.0,80.4,81.6,78.8,79.1,-0.9,687.0,False,0.5614035087719289,0.4947565591771428,0.37314471036485214
14.0,2022-03-21,877219.0,70312556.0,80.4,81.6,78.8,79.1,-0.9,687.0,False,0.5614035087719289,0.5077889644707811,0.4102274264516669
38.0,2022-03-22,603906.0,48025488.0,79.5,80.3,78.7,79.1,0.0,522.0,False,0.5614035087719289,0.5169722090420714,0.4210872099239252
15.0,2022-03-22,603906.0,48025488.0,79.5,80.3,78.7,79.1,0.0,522.0,False,0.5614035087719289,0.5256604792378303,0.4487051107137213
