0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,2259688.0,2576340285.0,1095.0,1180.0,1085.0,1140.0,+65.00,2271.0,False,,,
23.0,2022-03-01,2259688.0,2576340285.0,1095.0,1180.0,1085.0,1140.0,+65.00,2271.0,False,0.8479087452471483,0.8140383111159579,0.7458363243256536
1.0,2022-03-02,2128971.0,2470030830.0,1135.0,1180.0,1130.0,1175.0,+35.00,2116.0,False,,,
24.0,2022-03-02,2128971.0,2470030830.0,1135.0,1180.0,1130.0,1175.0,+35.00,2116.0,False,0.9739583333333334,0.8673449851884164,0.7863392112799079
2.0,2022-03-03,2816920.0,3383495730.0,1195.0,1230.0,1175.0,1190.0,+15.00,2944.0,False,,,
25.0,2022-03-03,2816920.0,3383495730.0,1195.0,1230.0,1175.0,1190.0,+15.00,2944.0,False,0.8312236286919831,0.8553045330229386,0.8093276518609179
3.0,2022-03-04,2339873.0,2819794620.0,1180.0,1225.0,1175.0,1220.0,+30.00,2405.0,False,,,
26.0,2022-03-04,2339873.0,2819794620.0,1180.0,1225.0,1175.0,1220.0,+30.00,2405.0,False,0.9545454545454546,0.8883848401971106,0.8356800479729822
4.0,2022-03-07,2267073.0,2543188190.0,1175.0,1180.0,1100.0,1100.0,-120.00,2691.0,False,,,
27.0,2022-03-07,2267073.0,2543188190.0,1175.0,1180.0,1100.0,1100.0,-120.00,2691.0,False,0.4090909090909091,0.7286201964950434,0.7999934308136692
5.0,2022-03-08,3435926.0,3655985000.0,1045.0,1125.0,1015.0,1030.0,-70.00,3568.0,False,,,
28.0,2022-03-08,3435926.0,3655985000.0,1045.0,1125.0,1015.0,1030.0,-70.00,3568.0,False,0.06976744186046513,0.5090026116168507,0.7029964910813964
6.0,2022-03-09,3508733.0,3595833951.0,1075.0,1090.0,983.0,983.0,-47.00,3737.0,False,,,
29.0,2022-03-09,3508733.0,3595833951.0,1075.0,1090.0,983.0,983.0,-47.00,3737.0,False,0.0,0.3393350744112338,0.5817760188580088
30.0,2022-03-10,2713231.0,2875479335.0,1025.0,1080.0,1025.0,1080.0,+97.00,2344.0,False,0.3927125506072873,0.3571275664765849,0.5068932013975341
7.0,2022-03-10,2713231.0,2875479335.0,1025.0,1080.0,1025.0,1080.0,+97.00,2344.0,False,,,
8.0,2022-03-11,2626364.0,2810466510.0,1075.0,1095.0,1035.0,1090.0,+10.00,2476.0,False,0.4331983805668016,0.4777327935222672,0.4925775978407557
31.0,2022-03-11,2626364.0,2810466510.0,1075.0,1095.0,1035.0,1090.0,+10.00,2476.0,False,0.4331983805668016,0.3824845045066572,0.4654236357672418
32.0,2022-03-14,1795395.0,1940989040.0,1105.0,1115.0,1060.0,1080.0,-10.00,1757.0,False,0.3927125506072873,0.3858938532068672,0.4389137082471169
9.0,2022-03-14,1795395.0,1940989040.0,1105.0,1115.0,1060.0,1080.0,-10.00,1757.0,False,0.3927125506072873,0.4493927125506072,0.4781826360773729
