0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,326502.0,29866930.0,91.0,92.2,90.4,91.8,1.5,285.0,False,,,
23.0,2022-03-01,326502.0,29866930.0,91.0,92.2,90.4,91.8,1.5,285.0,False,0.959595959595959,0.4483523037434717,0.274949962314317
1.0,2022-03-02,184863.0,16899333.0,91.8,91.8,91.0,91.6,-0.2,221.0,False,,,
24.0,2022-03-02,184863.0,16899333.0,91.8,91.8,91.0,91.6,-0.2,221.0,False,0.9393939393939386,0.612032848960294,0.38731092452964266
2.0,2022-03-03,160646.0,14700231.0,92.0,92.4,91.2,91.4,-0.2,780.0,False,,,
25.0,2022-03-03,160646.0,14700231.0,92.0,92.4,91.2,91.4,-0.2,780.0,False,0.9009900990099012,0.7083519323101629,0.4943245937898161
3.0,2022-03-04,208973.0,18946072.0,91.4,91.4,90.3,90.4,-1.0,356.0,False,,,
26.0,2022-03-04,208973.0,18946072.0,91.4,91.4,90.3,90.4,-1.0,356.0,False,0.8019801980198021,0.7395613542133761,0.5760701805976693
4.0,2022-03-07,421683.0,37460807.0,90.2,90.2,88.2,88.9,-1.5,2057.0,False,,,
27.0,2022-03-07,421683.0,37460807.0,90.2,90.2,88.2,88.9,-1.5,2057.0,False,0.6534653465346537,0.7108626849871352,0.6210010153941579
5.0,2022-03-08,352439.0,31084942.0,88.5,89.9,87.2,87.5,-1.4,923.0,False,,,
28.0,2022-03-08,352439.0,31084942.0,88.5,89.9,87.2,87.5,-1.4,923.0,False,0.4731182795698925,0.6316145498480543,0.6245388602121233
6.0,2022-03-09,236865.0,20890301.0,87.6,88.8,87.6,88.2,0.7,539.0,False,,,
29.0,2022-03-09,236865.0,20890301.0,87.6,88.8,87.6,88.2,0.7,539.0,False,0.5483870967741938,0.6038720654901008,0.6176499286381159
30.0,2022-03-10,172778.0,15313068.0,88.6,89.8,87.6,88.3,0.1,186.0,False,0.5591397849462362,0.5889613053088125,0.6080870541950147
7.0,2022-03-10,172778.0,15313068.0,88.6,89.8,87.6,88.3,0.1,186.0,False,,,
8.0,2022-03-11,147339.0,12951595.0,88.3,88.3,87.6,88.1,-0.2,152.0,False,0.17307692307692135,0.3910256410256404,0.4636752136752135
31.0,2022-03-11,147339.0,12951595.0,88.3,88.3,87.6,88.1,-0.2,152.0,False,0.17307692307692135,0.4503331778981821,0.5555024287627371
32.0,2022-03-14,112898.0,9937839.0,88.8,88.9,87.8,87.8,-0.3,146.0,False,0.11538461538461425,0.3386836570603261,0.4832295048619335
9.0,2022-03-14,112898.0,9937839.0,88.8,88.9,87.8,87.8,-0.3,146.0,False,0.11538461538461425,0.2991452991452983,0.4088319088319083
33.0,2022-03-15,453498.0,39068875.0,87.8,87.8,84.8,85.4,-2.4,429.0,False,0.07894736842105368,0.25210489418056864,0.4061879679681452
10.0,2022-03-15,453498.0,39068875.0,87.8,87.8,84.8,85.4,-2.4,429.0,False,0.07894736842105368,0.22574598890388345,0.3478032688559
34.0,2022-03-16,277582.0,23691822.0,85.9,86.9,84.7,86.0,0.6,294.0,False,0.19402985074626816,0.2327465463691351,0.3483741607684751
11.0,2022-03-16,277582.0,23691822.0,85.9,86.9,84.7,86.0,0.6,294.0,False,0.19402985074626816,0.21517394285134506,0.3035934935210484
35.0,2022-03-17,146553.0,12699612.0,86.3,87.5,85.9,87.0,1.0,148.0,False,0.4181818181818177,0.2945583036400293,0.3304355417256598
12.0,2022-03-17,146553.0,12699612.0,86.3,87.5,85.9,87.0,1.0,148.0,False,0.4181818181818177,0.2828432346281692,0.2966767405567553
36.0,2022-03-18,78026.0,6770865.0,87.0,87.4,86.1,86.7,-0.3,102.0,False,0.3846153846153844,0.3245773306318143,0.328482804694378
13.0,2022-03-18,78026.0,6770865.0,87.0,87.4,86.1,86.7,-0.3,102.0,False,0.3846153846153844,0.3167672846239076,0.3033735885791394
37.0,2022-03-21,157531.0,13611787.0,86.0,87.0,86.0,86.3,-0.4,191.0,False,0.31372549019607765,0.3209600504865687,0.32597521995844153
14.0,2022-03-21,157531.0,13611787.0,86.0,87.0,86.0,86.3,-0.4,191.0,False,0.31372549019607765,0.3157533531479643,0.30750017676874764
38.0,2022-03-22,203189.0,17431204.0,86.1,86.8,85.5,85.6,-0.7,331.0,False,0.17647058823529266,0.27279689640281,0.3082491121065644
15.0,2022-03-22,203189.0,17431204.0,86.1,86.8,85.5,85.6,-0.7,331.0,False,0.17647058823529266,0.2693257648437404,0.2947753727937452
16.0,2022-03-23,553955.0,46738373.0,85.8,85.8,83.4,83.4,-2.2,585.0,False,0.0,0.1795505098958269,0.2563670851611058
39.0,2022-03-23,553955.0,46738373.0,85.8,85.8,83.4,83.4,-2.2,585.0,False,0.0,0.18186459760187326,0.2661209406050007
17.0,2022-03-24,225161.0,18848941.0,82.9,84.3,82.9,83.9,0.5,268.0,False,0.16666666666666666,0.17525589548610682,0.2293300219361061
40.0,2022-03-24,225161.0,18848941.0,82.9,84.3,82.9,83.9,0.5,268.0,False,0.16666666666666666,0.17679862062347113,0.23634683394449085
18.0,2022-03-25,216929.0,18130121.0,84.1,84.1,83.1,83.4,-0.5,227.0,False,0.1020408163265308,0.15085086909958148,0.20317030432393124
41.0,2022-03-25,216929.0,18130121.0,84.1,84.1,83.1,83.4,-0.5,227.0,False,0.1020408163265308,0.151879352524491,0.20819100680449087
19.0,2022-03-28,233018.0,19301791.0,83.5,83.6,82.3,83.1,-0.3,246.0,False,0.15384615384615322,0.15184929734843872,0.18606330199876706
42.0,2022-03-28,233018.0,19301791.0,83.5,83.6,82.3,83.1,-0.3,246.0,False,0.15384615384615322,0.15253495296504507,0.18963898885800887
20.0,2022-03-29,145949.0,12175147.0,83.5,84.1,83.1,83.2,0.1,119.0,False,0.17307692307692407,0.15892517259126715,0.17701725886293376
43.0,2022-03-29,145949.0,12175147.0,83.5,84.1,83.1,83.2,0.1,119.0,False,0.17307692307692407,0.1593822763356714,0.17955341801722974
21.0,2022-03-30,99887.0,8350541.0,83.5,83.8,83.3,83.8,0.6,136.0,False,0.29411764705882304,0.2039893307471191,0.1860079494909956
44.0,2022-03-30,99887.0,8350541.0,83.5,83.8,83.3,83.8,0.6,136.0,False,0.29411764705882304,0.20429406657672194,0.1878003008703938
22.0,2022-03-31,111429.0,9283573.0,83.8,83.8,83.1,83.1,-0.7,136.0,False,0.1702127659574461,0.19273047581722808,0.1882487915997397
45.0,2022-03-31,111429.0,9283573.0,83.8,83.8,83.1,83.1,-0.7,136.0,False,0.1702127659574461,0.1929336330369633,0.1895114115925836
46.0,2022-04-01,110378.0,9130970.0,82.7,83.0,82.4,82.8,-0.3,123.0,False,0.1111111111111111,0.16565945906167925,0.1815607607489488
47.0,2022-04-06,95260.0,7867604.0,82.5,82.7,82.4,82.6,-0.2,130.0,False,0.0857142857142849,0.1390110679458811,0.16737752981459286
48.0,2022-04-07,336117.0,27555662.0,82.6,82.8,81.0,81.5,-1.1,296.0,False,0.15151515151515166,0.14317909580230462,0.15931138514383011
49.0,2022-04-08,122176.0,9994851.0,81.5,82.5,81.2,82.5,1.0,158.0,False,0.4838709677419364,0.2567430531155152,0.19178860780105847
50.0,2022-04-11,612836.0,52215824.0,82.8,86.5,82.8,85.5,3.0,580.0,False,0.8181818181818182,0.4438893081376162,0.275822174579911
