0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,98142.0,10512577.0,106.5,108.0,106.0,107.5,+1.50,102.0,False,,,
23.0,2022-03-01,98142.0,10512577.0,106.5,108.0,106.0,107.5,+1.50,102.0,False,0.9642857142857144,0.7374875018952416,0.6876056443405874
1.0,2022-03-02,65293.0,7036477.0,107.5,108.5,107.0,108.0,+0.50,58.0,False,,,
24.0,2022-03-02,65293.0,7036477.0,107.5,108.5,107.0,108.0,+0.50,58.0,False,0.9655172413793104,0.8134974150565979,0.7295695679125909
2.0,2022-03-03,95705.0,10301044.0,108.5,108.5,107.0,108.0, 0.00,82.0,False,,,
25.0,2022-03-03,95705.0,10301044.0,108.5,108.5,107.0,108.0, 0.00,82.0,False,0.9655172413793104,0.8641706904975021,0.7744366087742278
3.0,2022-03-04,105492.0,11437021.0,106.5,110.0,106.5,109.0,+1.00,96.0,False,,,
26.0,2022-03-04,105492.0,11437021.0,106.5,110.0,106.5,109.0,+1.00,96.0,False,0.9333333333333332,0.8872249047761124,0.8120327074415226
4.0,2022-03-07,161638.0,16965021.0,108.5,108.5,104.0,104.0,-5.00,185.0,False,,,
27.0,2022-03-07,161638.0,16965021.0,108.5,108.5,104.0,104.0,-5.00,185.0,False,0.6,0.7914832698507415,0.8051828949112622
5.0,2022-03-08,250360.0,25490421.0,103.0,105.5,100.0,102.0,-2.00,200.0,False,,,
28.0,2022-03-08,250360.0,25490421.0,103.0,105.5,100.0,102.0,-2.00,200.0,False,0.4666666666666667,0.6832110687893832,0.7645256195373025
6.0,2022-03-09,242718.0,25045600.0,102.0,105.0,102.0,102.0, 0.00,130.0,False,,,
29.0,2022-03-09,242718.0,25045600.0,102.0,105.0,102.0,102.0, 0.00,130.0,False,0.4666666666666667,0.6110296014151444,0.7133602801632497
30.0,2022-03-10,2124374.0,200471743.0,101.5,101.5,91.8,93.7,-8.30,1576.0,False,0.10439560439560468,0.4421516024086312,0.6229573875783768
7.0,2022-03-10,2124374.0,200471743.0,101.5,101.5,91.8,93.7,-8.30,1576.0,False,,,
8.0,2022-03-11,623060.0,56405524.0,93.8,93.8,89.1,90.3,-3.40,642.0,False,0.05741626794258385,0.3524720893141946,0.4508240297713982
31.0,2022-03-11,623060.0,56405524.0,93.8,93.8,89.1,90.3,-3.40,642.0,False,0.05741626794258385,0.3139064909199487,0.5199404220255675
